"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"1",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,1007,1.007,1
"2",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,1045,1.045,1
"3",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,801,0.801,1
"4",14,25,"male","right","P.bmp","￥1","Matching","￥1",NA,0,0,0
"5",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,516,0.516,1
"6",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,684,0.684,1
"7",14,25,"male","right","P.bmp","￥1","Matching","￥1",NA,0,0,0
"8",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,916,0.916,1
"9",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,828,0.828,1
"10",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,484,0.484,1
"11",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,973,0.973,1
"12",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,789,0.789,1
"13",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,517,0.517,1
"14",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,909,0.909,1
"15",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,525,0.525,1
"16",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,717,0.717,0
"17",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,453,0.453,1
"18",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,1028,1.028,1
"19",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,979,0.979,0
"20",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,499,0.499,1
"21",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,971,0.971,0
"22",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,715,0.715,1
"23",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,771,0.771,1
"24",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,548,0.548,1
"25",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,636,0.636,1
"26",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,628,0.628,1
"27",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,556,0.556,1
"28",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,540,0.54,1
"29",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,805,0.805,1
"30",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,917,0.917,1
"31",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,677,0.677,1
"32",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,604,0.604,1
"33",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,866,0.866,1
"34",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,531,0.531,1
"35",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,971,0.971,1
"36",14,25,"male","right","P.bmp","￥1","Matching","￥1",NA,0,0,0
"37",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,419,0.419,1
"38",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,555,0.555,1
"39",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,970,0.97,1
"40",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,634,0.634,1
"41",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,626,0.626,1
"42",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,541,0.541,1
"43",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,621,0.621,1
"44",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,628,0.628,0
"45",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,428,0.428,1
"46",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,524,0.524,1
"47",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,772,0.772,1
"48",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,887,0.887,1
"49",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,759,0.759,0
"50",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,711,0.711,1
"51",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,487,0.487,1
"52",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,671,0.671,1
"53",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,647,0.647,1
"54",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,591,0.591,1
"55",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,608,0.608,1
"56",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,568,0.568,1
"57",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,520,0.52,1
"58",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,480,0.48,1
"59",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,672,0.672,1
"60",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,502,0.502,1
"61",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,510,0.51,1
"62",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,462,0.462,1
"63",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,534,0.534,1
"64",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,432,0.432,1
"65",14,25,"male","right","P.bmp","￥1","Matching","￥1",1,505,0.505,0
"66",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,641,0.641,1
"67",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,649,0.649,1
"68",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,529,0.529,1
"69",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,527,0.527,1
"70",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,848,0.848,1
"71",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,552,0.552,1
"72",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,528,0.528,1
"73",14,25,"male","right","S.bmp","￥16","Matching","￥16",2,583,0.583,1
"74",14,25,"male","right","P.bmp","￥1","Matching","￥1",2,783,0.783,1
"75",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,893,0.893,1
"76",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",2,861,0.861,0
"77",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,898,0.898,1
"78",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",2,1009,1.009,0
"79",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",2,929,0.929,0
"80",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,812,0.812,1
"81",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",2,443,0.443,0
"82",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,875,0.875,1
"83",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,812,0.812,1
"84",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,844,0.844,1
"85",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",2,581,0.581,0
"86",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",2,789,0.789,0
"87",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,667,0.667,1
"88",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,739,0.739,1
"89",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,986,0.986,1
"90",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,770,0.77,1
"91",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,602,0.602,1
"92",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",2,532,0.532,0
"93",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,808,0.808,1
"94",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,798,0.798,1
"95",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,774,0.774,1
"96",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,910,0.91,1
"97",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,774,0.774,1
"98",14,25,"male","right","P.bmp","￥16","Nonmatching","￥1",1,902,0.902,1
"99",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,721,0.721,1
"100",14,25,"male","right","S.bmp","￥1","Nonmatching","￥16",1,775,0.775,1
"101",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,749,0.749,1
"102",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,1059,1.059,1
"103",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,635,0.635,1
"104",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,707,0.707,1
"105",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,642,0.642,1
"106",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,746,0.746,1
"107",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,658,0.658,1
"108",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,665,0.665,1
"109",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,841,0.841,1
"110",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,641,0.641,1
"111",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,537,0.537,1
"112",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,616,0.616,1
"113",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,752,0.752,1
"114",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,584,0.584,1
"115",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,593,0.593,1
"116",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,641,0.641,1
"117",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,697,0.697,1
"118",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,513,0.513,1
"119",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,481,0.481,1
"120",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,482,0.482,1
"121",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,594,0.594,1
"122",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,658,0.658,1
"123",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,594,0.594,1
"124",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,531,0.531,1
"125",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,571,0.571,1
"126",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,506,0.506,1
"127",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,538,0.538,1
"128",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,554,0.554,1
"129",15,21,"female","right","S.bmp","￥16","Matching","￥16",1,515,0.515,1
"130",15,21,"female","right","T.bmp","￥1","Matching","￥1",1,579,0.579,1
