Pair,MatchParticipant,TrialType,Partner,Self,Stranger,StrangerTeam,Team,SelfAcc,PartnerAcc,StrangerAcc,StrangerTeamAcc,TeamAcc,SelfMu,SelfSig,SelfTau,SelfLogLik,SelfAIC,SelfLen,PartnerMu,PartnerSig,PartnerTau,PartnerLogLik,PartnerAIC,PartnerLen,StrangerMu,StrangerSig,StrangerTau,StrangerLogLik,StrangerAIC,StrangerLen,StrangerTeamMu,StrangerTeamSig,StrangerTeamTau,StrangerTeamLogLik,StrangerTeamAIC,StrangerTeamLen,TeamMu,TeamSig,TeamTau,TeamLogLik,TeamAIC,TeamLen
19,Person2,Mismatch,0.869496898,0.865624953,0.833577228,0.807578618,0.858336765,0.96875,0.8125,0.936507937,0.919354839,0.84375,0.853130752,0.15268678,0.012491056,28.35828165,-50.7165633,62,0.79559671,0.126542106,0.075175364,25.0322197,-44.06443939,52,0.61062791,0.043046395,0.223289193,18.88037943,-31.76075885,59,0.691675974,0.103357072,0.116436833,27.29433234,-48.58866468,57,0.690948873,0.113941183,0.167287432,14.03064138,-22.06128276,54
2,Person1,Mismatch,0.679877991,0.767240676,0.724785437,0.716578773,0.703702926,0.790322581,0.84375,0.921875,0.875,0.953125,0.620237752,0.044658293,0.147316512,31.59462725,-57.18925451,49,0.528877292,0.040726087,0.150932169,35.8980214,-65.79604281,54,0.555756282,0.049226127,0.168771864,31.65823178,-57.31646355,59,0.592022487,0.056599497,0.124404427,39.87232963,-73.74465927,56,0.54938906,0.046062444,0.152584692,40.57303055,-75.1460611,61
20,Person2,Mismatch,1.043167648,1.035799614,0.973053888,1.010693312,0.957449722,0.951612903,0.953125,0.904761905,0.90625,0.952380952,0.993458366,0.234487225,0.041734341,1.377857959,3.244284081,59,0.998704571,0.222725005,0.044881711,3.391858281,-0.783716562,61,0.71437419,0.09122408,0.256997678,4.716636228,-3.433272456,57,0.787419727,0.143809793,0.224417238,-0.588046633,7.176093266,58,0.794691613,0.108555186,0.161246773,18.94287223,-31.88574446,60
3,Person2,Mismatch,0.833082474,0.82240047,0.819707679,0.791605516,0.814330884,0.84375,0.790322581,0.84375,0.857142857,0.919354839,0.721921314,0.122650074,0.099100676,24.25002878,-42.50005757,54,0.712307179,0.074699041,0.121456366,29.53015468,-53.06030936,49,0.816096605,0.166467658,0.004795145,18.61184222,-31.22368444,54,0.675821555,0.145440425,0.111968343,17.71368964,-29.42737928,54,0.731255805,0.128295813,0.085055045,23.44916409,-40.89832819,57
4,Person2,Mismatch,0.864769047,0.886988596,0.885776612,0.837283527,0.834791058,0.733333333,0.746031746,0.838709677,0.672131148,0.836065574,0.707736799,0.182092373,0.181601976,-2.159542517,10.31908503,44,0.6965509,0.161226798,0.168214399,3.588348674,-1.176697348,47,0.738827299,0.272817512,0.135044908,-8.919776625,23.83955325,52,0.679554653,0.266757262,0.147099044,-7.308970778,20.61794156,41,0.8247028,0.242596265,0.009500954,-1.002512495,8.00502499,51
5,Person1,Mismatch,0.842726797,0.833574078,0.83816662,0.783550198,0.806865705,0.854545455,0.859649123,0.931034483,0.933333333,0.803571429,0.698473197,0.191753986,0.134323019,1.720482038,2.559035925,47,0.767336522,0.238508695,0.074978477,-1.443059887,8.886119773,49,0.717801157,0.160625193,0.120625068,10.87805223,-15.75610445,54,0.657996158,0.157636745,0.109084778,20.40258437,-34.80516874,56,0.584551353,0.023530425,0.222359762,18.1572501,-30.31450021,45
6,Person1,Mismatch,0.855968985,0.909364103,0.908845951,0.843880783,0.873822707,0.875,0.852459016,0.870967742,0.877192982,0.950819672,0.63364373,0.103927313,0.276894909,-2.254190676,10.50838135,56,0.657809083,0.077088073,0.198692999,14.79879533,-23.59759065,52,0.670266305,0.0708113,0.239553443,8.819462477,-11.63892495,54,0.569453673,0.11153632,0.276561743,-3.650108417,13.30021683,50,0.682631657,0.150711736,0.192011407,2.682899125,0.634201751,58
7,Person2,Mismatch,0.804531474,0.843955119,0.820052109,0.881454715,0.846317815,0.888888889,0.919354839,0.904761905,0.875,0.838709677,0.566852339,0.019413393,0.276768066,13.56964712,-21.13929424,56,0.579889261,0.046107814,0.224701632,17.88958364,-29.77916728,57,0.616752307,0.03051312,0.203127245,26.541651,-47.08330201,57,0.736763917,0.12082314,0.144669445,16.85340524,-27.70681048,56,0.632362103,0.076024401,0.212777194,13.9741096,-21.9482192,52
8,Person2,Mismatch,0.995008823,0.891682411,0.905305134,0.932231641,0.989988284,0.714285714,0.737704918,0.765625,0.796875,0.790322581,0.61257439,0.097358976,0.278837922,-0.646142258,7.292284516,45,0.742544426,0.100179712,0.253828864,1.333391618,3.333216765,45,0.722452849,0.077018352,0.183487191,16.4263878,-26.8527756,49,0.753453397,0.178914767,0.179125798,-0.489391651,6.978783302,51,0.777653398,0.127408845,0.212146793,3.499016474,-0.998032948,49
9,Person1,Mismatch,0.697380444,0.881909255,0.665067099,0.789134454,0.722742186,0.683333333,0.631578947,0.813559322,0.813559322,0.627118644,0.523561005,0.203414833,0.36211401,-18.58295452,43.16590903,41,0.460026238,0.195041962,0.235995195,-6.163312406,18.32662481,36,0.474983237,0.157269472,0.193700715,0.023490417,5.953019165,48,0.525316816,0.183229028,0.265808565,-10.79129873,27.58259747,48,0.302372117,0.05862404,0.420339838,-9.579856395,25.15971279,37
