"","Subject","Block","Trial","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"32",1,1,12,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","They","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.25016157,1,1250.16157,"We","Group-Self"
"33",1,1,13,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.700116741,1,700.116741,"Self","Self"
"34",1,1,14,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","Self","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.933531889,1,933.531889,"They","Group-Stranger"
"35",1,1,15,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.316752857,1,1316.752857,"You","Stranger"
"36",1,1,16,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.966780749,1,966.780749,"We","Group-Self"
"37",1,1,17,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","You","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.98350072,1,983.50072,"Self","Self"
"38",1,1,18,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","You","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.150154424,1,1150.154424,"They","Group-Stranger"
"39",1,1,19,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.033511399,1,1033.511399,"We","Group-Self"
"40",1,1,20,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","You","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.916826526,1,916.826526,"Self","Self"
"41",1,1,21,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",0.966849049,1,966.849049,"We","Group-Self"
"42",1,1,22,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.200137468,1,1200.137468,"They","Group-Stranger"
"43",1,1,23,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.166744112,1,1166.744112,"We","Group-Self"
"44",1,1,24,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.316875638,1,1316.875638,"Self","Self"
"45",1,1,25,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.166801358,1,1166.801358,"You","Stranger"
"46",1,1,26,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","You","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.900133796,1,900.133796,"We","Group-Self"
"47",1,1,27,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","They","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.96682773,1,966.82773,"Self","Self"
"48",1,1,28,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.900142087,1,900.142087,"Self","Self"
"49",1,1,29,"Male",26,"r","Hungarian","Mismatch","Self","EXPERIMENT","We","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",1.133492488,1,1133.492488,"Self","Self"
"50",1,1,30,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","You","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.533465011,1,1533.465011,"We","Group-Self"
"51",1,1,31,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",1.266816794,1,1266.816794,"You","Stranger"
"52",1,1,32,"Male",26,"r","Hungarian","Match","Self","EXPERIMENT","Self","Self","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.916817446,1,916.817446,"Self","Self"
"53",1,1,33,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","We","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",1.350134763,1,1350.134763,"They","Group-Stranger"
"54",1,1,34,"Male",26,"r","Hungarian","Match","We","EXPERIMENT","We","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","n",0.933543733,1,933.543733,"We","Group-Self"
"55",1,1,35,"Male",26,"r","Hungarian","Match","They","EXPERIMENT","They","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.100011883,1,1100.011883,"They","Group-Stranger"
"56",1,1,36,"Male",26,"r","Hungarian","Mismatch","They","EXPERIMENT","You","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","m",0.96679891,1,966.79891,"They","Group-Stranger"
"57",1,1,37,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","You","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.96680799,1,966.80799,"We","Group-Self"
"58",1,1,38,"Male",26,"r","Hungarian","Mismatch","We","EXPERIMENT","Self","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","m",0.933469906,1,933.469906,"We","Group-Self"
"59",1,1,39,"Male",26,"r","Hungarian","Match","You","EXPERIMENT","You","You","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","n",1.066810004,1,1066.810004,"You","Stranger"
