"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Shape","Label","Response","RT_sec","ACC","Subjcet"
"44",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.8,1,1
"45",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.767,1,1
"46",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.75,1,1
"47",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.534,1,1
"48",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.784,1,1
"49",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.834,1,1
"50",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.9,1,1
"51",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.817,1,1
"52",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.917,1,1
"53",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","m",0.583,0,1
"54",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.9,1,1
"55",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.834,1,1
"56",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",1,1,1
"57",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.567,1,1
"58",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.834,1,1
"59",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.917,1,1
"60",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.95,1,1
"61",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.717,1,1
"62",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.934,1,1
"63",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.833,1,1
"64",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.8,1,1
"65",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.817,1,1
"66",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",0.817,1,1
"67",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.817,1,1
"68",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.767,1,1
"69",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","They","They","n",1.15,1,1
"70",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",1,1,1
"71",1,"Male",26,"r","Hungarian","Match","They","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","They","They","n",0.833,1,1
"72",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",1.317,1,1
"73",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",1,1,1
"74",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.967,1,1
"75",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",1.034,1,1
"76",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.967,1,1
"77",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.934,1,1
"78",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.9,1,1
"79",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.784,1,1
"80",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.667,1,1
"81",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.8,1,1
"82",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.75,1,1
"83",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.7,1,1
"84",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.75,1,1
"85",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.733,1,1
"86",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.8,1,1
"87",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.667,1,1
"88",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Bottom","We","We","n",0.617,1,1
"89",1,"Male",26,"r","Hungarian","Match","We","STAR","TRIANGLE","DIAMOND","CIRCLE","Top","We","We","n",0.65,1,1
