"","Subject","Age","Gender","Handedness","Shape","Identity","Matching","Response","RT_ms","ACC","RT_sec","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"78",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,348,1,0.348,"1920*1080",NA,NA,NA,"black","60cm",NA
"79",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,374,1,0.374,"1920*1080",NA,NA,NA,"black","60cm",NA
"80",2832782,22,"Mujer","Diestro","cuadrado","amigo","Matching",5,350,1,0.35,"1920*1080",NA,NA,NA,"black","60cm",NA
"81",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,525,0,0.525,"1920*1080",NA,NA,NA,"black","60cm",NA
"82",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,278,1,0.278,"1920*1080",NA,NA,NA,"black","60cm",NA
"83",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",NA,0,0,0,"1920*1080",NA,NA,NA,"black","60cm",NA
"84",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,590,1,0.59,"1920*1080",NA,NA,NA,"black","60cm",NA
"85",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,461,1,0.461,"1920*1080",NA,NA,NA,"black","60cm",NA
"86",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,816,1,0.816,"1920*1080",NA,NA,NA,"black","60cm",NA
"87",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,1035,1,1.035,"1920*1080",NA,NA,NA,"black","60cm",NA
"88",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,482,0,0.482,"1920*1080",NA,NA,NA,"black","60cm",NA
"89",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,553,1,0.553,"1920*1080",NA,NA,NA,"black","60cm",NA
"90",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,598,1,0.598,"1920*1080",NA,NA,NA,"black","60cm",NA
"91",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,665,1,0.665,"1920*1080",NA,NA,NA,"black","60cm",NA
"92",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,601,1,0.601,"1920*1080",NA,NA,NA,"black","60cm",NA
"93",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,261,1,0.261,"1920*1080",NA,NA,NA,"black","60cm",NA
"94",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,794,0,0.794,"1920*1080",NA,NA,NA,"black","60cm",NA
"95",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,464,1,0.464,"1920*1080",NA,NA,NA,"black","60cm",NA
"96",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,650,1,0.65,"1920*1080",NA,NA,NA,"black","60cm",NA
"97",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,808,1,0.808,"1920*1080",NA,NA,NA,"black","60cm",NA
"98",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,521,0,0.521,"1920*1080",NA,NA,NA,"black","60cm",NA
"99",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,871,1,0.871,"1920*1080",NA,NA,NA,"black","60cm",NA
"100",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,499,1,0.499,"1920*1080",NA,NA,NA,"black","60cm",NA
"101",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,961,1,0.961,"1920*1080",NA,NA,NA,"black","60cm",NA
"102",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,564,0,0.564,"1920*1080",NA,NA,NA,"black","60cm",NA
"103",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,436,1,0.436,"1920*1080",NA,NA,NA,"black","60cm",NA
"104",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",5,272,0,0.272,"1920*1080",NA,NA,NA,"black","60cm",NA
"105",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,434,0,0.434,"1920*1080",NA,NA,NA,"black","60cm",NA
"106",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,683,1,0.683,"1920*1080",NA,NA,NA,"black","60cm",NA
"107",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,675,1,0.675,"1920*1080",NA,NA,NA,"black","60cm",NA
"108",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,537,1,0.537,"1920*1080",NA,NA,NA,"black","60cm",NA
"109",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,325,0,0.325,"1920*1080",NA,NA,NA,"black","60cm",NA
"110",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,280,1,0.28,"1920*1080",NA,NA,NA,"black","60cm",NA
"111",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,440,1,0.44,"1920*1080",NA,NA,NA,"black","60cm",NA
"112",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,459,0,0.459,"1920*1080",NA,NA,NA,"black","60cm",NA
"113",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,688,1,0.688,"1920*1080",NA,NA,NA,"black","60cm",NA
"114",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,700,0,0.7,"1920*1080",NA,NA,NA,"black","60cm",NA
"115",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,681,1,0.681,"1920*1080",NA,NA,NA,"black","60cm",NA
"116",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,785,1,0.785,"1920*1080",NA,NA,NA,"black","60cm",NA
"117",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,663,1,0.663,"1920*1080",NA,NA,NA,"black","60cm",NA
"118",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,791,1,0.791,"1920*1080",NA,NA,NA,"black","60cm",NA
"119",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,848,1,0.848,"1920*1080",NA,NA,NA,"black","60cm",NA
"120",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,662,1,0.662,"1920*1080",NA,NA,NA,"black","60cm",NA
"121",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,652,1,0.652,"1920*1080",NA,NA,NA,"black","60cm",NA
"122",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,597,1,0.597,"1920*1080",NA,NA,NA,"black","60cm",NA
"123",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,620,1,0.62,"1920*1080",NA,NA,NA,"black","60cm",NA
"124",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,801,1,0.801,"1920*1080",NA,NA,NA,"black","60cm",NA
"125",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,803,1,0.803,"1920*1080",NA,NA,NA,"black","60cm",NA
"126",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,706,1,0.706,"1920*1080",NA,NA,NA,"black","60cm",NA
"127",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,391,1,0.391,"1920*1080",NA,NA,NA,"black","60cm",NA
"128",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,579,1,0.579,"1920*1080",NA,NA,NA,"black","60cm",NA
"129",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,554,1,0.554,"1920*1080",NA,NA,NA,"black","60cm",NA
"130",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,544,1,0.544,"1920*1080",NA,NA,NA,"black","60cm",NA
"131",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,358,1,0.358,"1920*1080",NA,NA,NA,"black","60cm",NA
"132",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,700,1,0.7,"1920*1080",NA,NA,NA,"black","60cm",NA
"133",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,435,1,0.435,"1920*1080",NA,NA,NA,"black","60cm",NA
"134",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,857,1,0.857,"1920*1080",NA,NA,NA,"black","60cm",NA
"135",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,595,0,0.595,"1920*1080",NA,NA,NA,"black","60cm",NA
"136",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,590,1,0.59,"1920*1080",NA,NA,NA,"black","60cm",NA
"137",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,566,1,0.566,"1920*1080",NA,NA,NA,"black","60cm",NA
"138",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,501,1,0.501,"1920*1080",NA,NA,NA,"black","60cm",NA
"139",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,674,1,0.674,"1920*1080",NA,NA,NA,"black","60cm",NA
"140",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,668,1,0.668,"1920*1080",NA,NA,NA,"black","60cm",NA
"141",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,662,1,0.662,"1920*1080",NA,NA,NA,"black","60cm",NA
"142",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,527,1,0.527,"1920*1080",NA,NA,NA,"black","60cm",NA
"143",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,541,1,0.541,"1920*1080",NA,NA,NA,"black","60cm",NA
"144",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,530,1,0.53,"1920*1080",NA,NA,NA,"black","60cm",NA
"145",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",5,206,0,0.206,"1920*1080",NA,NA,NA,"black","60cm",NA
"146",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,573,0,0.573,"1920*1080",NA,NA,NA,"black","60cm",NA
"147",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,444,1,0.444,"1920*1080",NA,NA,NA,"black","60cm",NA
"148",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,514,1,0.514,"1920*1080",NA,NA,NA,"black","60cm",NA
"149",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,601,1,0.601,"1920*1080",NA,NA,NA,"black","60cm",NA
"150",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",1,595,0,0.595,"1920*1080",NA,NA,NA,"black","60cm",NA
"151",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,917,1,0.917,"1920*1080",NA,NA,NA,"black","60cm",NA
"152",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,433,1,0.433,"1920*1080",NA,NA,NA,"black","60cm",NA
"153",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,705,1,0.705,"1920*1080",NA,NA,NA,"black","60cm",NA
"154",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,577,1,0.577,"1920*1080",NA,NA,NA,"black","60cm",NA
"155",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,622,1,0.622,"1920*1080",NA,NA,NA,"black","60cm",NA
"156",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,609,1,0.609,"1920*1080",NA,NA,NA,"black","60cm",NA
"157",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,765,1,0.765,"1920*1080",NA,NA,NA,"black","60cm",NA
"158",2832782,22,"Mujer","Diestro","cuadrado","extrano","Nonmatching",1,521,1,0.521,"1920*1080",NA,NA,NA,"black","60cm",NA
"159",2832782,22,"Mujer","Diestro","triangulo","extrano","Matching",5,837,1,0.837,"1920*1080",NA,NA,NA,"black","60cm",NA
"160",2832782,22,"Mujer","Diestro","circulo","extrano","Nonmatching",1,583,1,0.583,"1920*1080",NA,NA,NA,"black","60cm",NA
"161",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,595,1,0.595,"1920*1080",NA,NA,NA,"black","60cm",NA
"162",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,510,1,0.51,"1920*1080",NA,NA,NA,"black","60cm",NA
"163",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",5,537,0,0.537,"1920*1080",NA,NA,NA,"black","60cm",NA
"164",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,642,1,0.642,"1920*1080",NA,NA,NA,"black","60cm",NA
"165",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,555,1,0.555,"1920*1080",NA,NA,NA,"black","60cm",NA
"166",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,440,1,0.44,"1920*1080",NA,NA,NA,"black","60cm",NA
"167",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,316,1,0.316,"1920*1080",NA,NA,NA,"black","60cm",NA
"168",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,404,1,0.404,"1920*1080",NA,NA,NA,"black","60cm",NA
"169",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,451,1,0.451,"1920*1080",NA,NA,NA,"black","60cm",NA
"170",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,320,1,0.32,"1920*1080",NA,NA,NA,"black","60cm",NA
"171",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,728,1,0.728,"1920*1080",NA,NA,NA,"black","60cm",NA
"172",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,293,1,0.293,"1920*1080",NA,NA,NA,"black","60cm",NA
"173",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,850,1,0.85,"1920*1080",NA,NA,NA,"black","60cm",NA
"174",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,719,1,0.719,"1920*1080",NA,NA,NA,"black","60cm",NA
"175",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,282,1,0.282,"1920*1080",NA,NA,NA,"black","60cm",NA
"176",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,507,1,0.507,"1920*1080",NA,NA,NA,"black","60cm",NA
"177",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,283,1,0.283,"1920*1080",NA,NA,NA,"black","60cm",NA
"178",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,792,1,0.792,"1920*1080",NA,NA,NA,"black","60cm",NA
"179",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,450,1,0.45,"1920*1080",NA,NA,NA,"black","60cm",NA
"180",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,345,1,0.345,"1920*1080",NA,NA,NA,"black","60cm",NA
"181",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,644,1,0.644,"1920*1080",NA,NA,NA,"black","60cm",NA
"182",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,328,1,0.328,"1920*1080",NA,NA,NA,"black","60cm",NA
"183",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,299,1,0.299,"1920*1080",NA,NA,NA,"black","60cm",NA
"184",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",5,363,0,0.363,"1920*1080",NA,NA,NA,"black","60cm",NA
"185",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,636,1,0.636,"1920*1080",NA,NA,NA,"black","60cm",NA
"186",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,503,1,0.503,"1920*1080",NA,NA,NA,"black","60cm",NA
"187",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,433,1,0.433,"1920*1080",NA,NA,NA,"black","60cm",NA
"188",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,431,1,0.431,"1920*1080",NA,NA,NA,"black","60cm",NA
"189",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,263,1,0.263,"1920*1080",NA,NA,NA,"black","60cm",NA
"190",2832782,22,"Mujer","Diestro","circulo","tu","Matching",5,544,1,0.544,"1920*1080",NA,NA,NA,"black","60cm",NA
"191",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,495,1,0.495,"1920*1080",NA,NA,NA,"black","60cm",NA
"192",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,550,1,0.55,"1920*1080",NA,NA,NA,"black","60cm",NA
"193",2832782,22,"Mujer","Diestro","triangulo","tu","Nonmatching",1,731,1,0.731,"1920*1080",NA,NA,NA,"black","60cm",NA
"194",2832782,22,"Mujer","Diestro","cuadrado","tu","Nonmatching",1,517,1,0.517,"1920*1080",NA,NA,NA,"black","60cm",NA
