Shape,Label,Condition,ShapeLoc,resp,rt,WeShape,TheyShape,AloneShape,SelfShape,corr,trialinBlock,Block,Handedness,First Language,Participant Number,Gender,Age,Training/Experiment,Outlier,Self/Other,Identity Label,Shapetype,Pronountype
Self,You,Mismatch,Top,None,None,STAR,DIAMOND,CIRCLE,TRIANGLE,3,1,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
We,They,Mismatch,Bottom,m,1.650140804,STAR,DIAMOND,CIRCLE,TRIANGLE,1,2,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Top,m,1.333477565,STAR,DIAMOND,CIRCLE,TRIANGLE,0,3,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
Self,We,Mismatch,Bottom,m,1.699915001,STAR,DIAMOND,CIRCLE,TRIANGLE,1,4,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
We,Self,Mismatch,Top,n,1.200134309,STAR,DIAMOND,CIRCLE,TRIANGLE,0,5,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
We,We,Match,Top,None,None,STAR,DIAMOND,CIRCLE,TRIANGLE,3,6,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
They,They,Match,Bottom,m,0.716864347,STAR,DIAMOND,CIRCLE,TRIANGLE,0,7,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,PLURALLABEL
We,You,Mismatch,Top,None,None,STAR,DIAMOND,CIRCLE,TRIANGLE,3,8,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
They,We,Mismatch,Bottom,n,1.233468445,STAR,DIAMOND,CIRCLE,TRIANGLE,0,9,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
You,You,Match,Top,m,1.433474446,STAR,DIAMOND,CIRCLE,TRIANGLE,0,10,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
Self,Self,Match,Bottom,n,0.900188673,STAR,DIAMOND,CIRCLE,TRIANGLE,1,11,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,Self,Mismatch,Bottom,m,1.483527763,STAR,DIAMOND,CIRCLE,TRIANGLE,1,12,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,We,Mismatch,Top,m,1.516817682,STAR,DIAMOND,CIRCLE,TRIANGLE,1,13,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,SELFLABEL,SINGULARSHAPE,PLURALLABEL
They,You,Mismatch,Bottom,m,1.533448429,STAR,DIAMOND,CIRCLE,TRIANGLE,1,14,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,PLURALSHAPE,SINGULARLABEL
We,We,Match,Bottom,n,1.383457056,STAR,DIAMOND,CIRCLE,TRIANGLE,1,15,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
Self,Self,Match,Top,n,1.000216348,STAR,DIAMOND,CIRCLE,TRIANGLE,1,16,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,SELFLABEL,SINGULARSHAPE,SINGULARLABEL
You,You,Match,Bottom,m,1.150138632,STAR,DIAMOND,CIRCLE,TRIANGLE,0,17,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,SINGULARLABEL
Self,They,Mismatch,Top,m,1.700103713,STAR,DIAMOND,CIRCLE,TRIANGLE,1,18,0,r,Hungarian,1,Male,26,TRAINING,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
They,Self,Mismatch,Top,m,0.983438737,STAR,DIAMOND,CIRCLE,TRIANGLE,1,19,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,SELFLABEL,PLURALSHAPE,SINGULARLABEL
You,They,Mismatch,Top,m,1.21680572,STAR,DIAMOND,CIRCLE,TRIANGLE,1,20,0,r,Hungarian,1,Male,26,TRAINING,0,OTHERSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
Self,They,Mismatch,Bottom,m,1.166809254,STAR,DIAMOND,CIRCLE,TRIANGLE,1,1,1,r,Hungarian,1,Male,26,EXPERIMENT,0,SELFSHAPE,OTHERLABEL,SINGULARSHAPE,PLURALLABEL
They,We,Mismatch,Top,m,1.650156596,STAR,DIAMOND,CIRCLE,TRIANGLE,1,2,1,r,Hungarian,1,Male,26,EXPERIMENT,1,OTHERSHAPE,SELFLABEL,PLURALSHAPE,PLURALLABEL
