"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
1002,2,"test",68,"m",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,0,791
1002,2,"test",69,"z",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,0,593
1002,2,"test",70,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,574
1002,2,"test",71,"z",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,0,763
1002,2,"test",72,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,496
1002,2,"test",73,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,904
1002,2,"test",74,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,592
1002,2,"test",75,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,875
1002,2,"test",76,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,635
1002,2,"test",77,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,542
1002,2,"test",78,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,765
1002,2,"test",79,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,809
1002,2,"test",80,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,555
1002,2,"test",81,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,801
1002,2,"test",82,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,907
1002,2,"test",83,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,561
1002,2,"test",84,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,728
1002,2,"test",85,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,440
1002,2,"test",86,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,529
1002,2,"test",87,"m",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,0,489
1002,2,"test",88,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,562
1002,2,"test",89,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,655
1002,2,"test",90,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,544
1002,2,"test",91,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,959
1002,2,"test",92,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,803
1002,2,"test",93,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,607
1002,2,"test",94,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,635
1002,2,"test",95,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,651
1002,2,"test",96,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,797
1002,2,"test",97,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,522
1002,2,"test",98,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,696
1002,2,"test",99,"z",8,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,688
1002,2,"test",100,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,792
1002,2,"test",101,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,604
1002,2,"test",102,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,631
1002,2,"test",103,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,441
1002,2,"test",104,"z",9,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,652
1002,2,"test",105,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,533
1002,2,"test",106,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,549
1002,2,"test",107,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,762
1002,2,"test",108,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,767
1002,2,"test",109,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,715
1002,2,"test",110,"z",9,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,778
1002,2,"test",111,"z",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,862
1002,2,"test",112,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,727
1002,2,"test",113,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,678
1002,2,"test",114,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,503
1002,2,"test",115,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,639
1002,2,"test",116,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,481
1002,2,"test",117,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,602
1002,2,"test",118,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,844
1002,2,"test",119,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,590
1002,2,"test",120,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,755
1002,2,"test",121,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,654
1002,2,"test",122,"z",8,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,542
1002,2,"test",123,"m",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,0,518
1002,2,"test",124,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,595
1002,2,"test",125,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,753
1002,2,"test",126,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,502
1002,2,"test",127,"z",7,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,598
1002,2,"test",128,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,552
1002,2,"test",129,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,678
1002,2,"test",130,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,775
1002,2,"test",131,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,484
1002,2,"test",132,"z",4,"shape1.jpg",2,1,"You","none","Masha","Masha",2,1,861
1002,2,"test",133,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,541
1002,2,"test",134,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,724
1002,2,"test",135,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,529
1002,2,"test",136,"z",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,665
1002,2,"test",137,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,569
1002,2,"test",138,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,559
1002,2,"test",139,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,444
1002,2,"test",140,"z",9,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,655
1002,2,"test",141,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,544
1002,2,"test",142,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,582
1002,2,"test",143,"z",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,668
1002,2,"test",144,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,747
1002,2,"test",145,"z",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,0,554
1002,2,"test",146,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,553
1002,2,"test",147,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,502
1002,2,"test",148,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,541
1002,2,"test",149,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,556
1002,2,"test",150,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,626
1002,2,"test",151,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,541
1002,2,"test",152,"m",2,"shape2.jpg",2,1,"You","none","Masha","Masha",1,1,635
1002,2,"test",153,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,483
1002,2,"test",154,"z",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,1,661
1002,2,"test",155,"m",5,"shape2.jpg",2,1,"You","none","Masha","Masha",2,0,695
1002,2,"test",156,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,543
1002,2,"test",157,"z",6,"shape3.jpg",2,1,"You","none","Masha","Masha",2,1,612
1002,2,"test",158,"m",1,"shape1.jpg",2,1,"You","none","Masha","Masha",1,1,537
1002,2,"test",159,"m",3,"shape3.jpg",2,1,"You","none","Masha","Masha",1,1,583
