"","Subject","Label","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"245",1,"Friend","Nonmatching","Friend","Friend","Close",646,0.646,0
"246",1,"Friend","Nonmatching","Friend","Friend","Close",680,0.68,1
"247",1,"Friend","Nonmatching","Friend","Friend","Close",562,0.562,1
"248",1,"Friend","Nonmatching","Friend","Friend","Close",781,0.781,1
"249",1,"Friend","Nonmatching","Friend","Friend","Close",601,0.601,0
"250",1,"Friend","Nonmatching","Friend","Friend","Close",502,0.502,1
"251",1,"Friend","Nonmatching","Friend","Friend","Close",1078,1.078,1
"252",1,"Friend","Nonmatching","Friend","Friend","Close",572,0.572,0
"253",1,"Friend","Nonmatching","Friend","Friend","Close",488,0.488,0
"254",1,"Friend","Nonmatching","Friend","Friend","Close",503,0.503,1
"255",1,"Friend","Nonmatching","Friend","Friend","Close",640,0.64,1
"256",1,"Friend","Nonmatching","Friend","Friend","Close",716,0.716,1
"257",1,"Friend","Nonmatching","Friend","Friend","Close",559,0.559,1
"258",1,"Friend","Nonmatching","Friend","Friend","Close",584,0.584,1
"259",1,"Friend","Nonmatching","Friend","Friend","Close",507,0.507,1
"260",1,"Friend","Nonmatching","Friend","Friend","Close",619,0.619,1
"261",1,"Friend","Nonmatching","Friend","Friend","Close",539,0.539,1
"262",1,"Friend","Nonmatching","Friend","Friend","Close",437,0.437,1
"263",1,"Friend","Nonmatching","Friend","Friend","Close",539,0.539,1
"264",1,"Friend","Nonmatching","Friend","Friend","Close",582,0.582,1
"265",1,"Friend","Nonmatching","Friend","Friend","Close",370,0.37,1
"266",1,"Friend","Nonmatching","Friend","Friend","Close",515,0.515,1
"267",1,"Friend","Nonmatching","Friend","Friend","Close",521,0.521,1
"268",1,"Friend","Nonmatching","Friend","Friend","Close",496,0.496,1
"269",1,"Friend","Nonmatching","Friend","Friend","Close",456,0.456,1
"270",1,"Friend","Nonmatching","Friend","Friend","Close",581,0.581,1
"271",1,"Friend","Nonmatching","Friend","Friend","Close",622,0.622,1
"272",1,"Friend","Nonmatching","Friend","Friend","Close",505,0.505,1
"273",1,"Friend","Nonmatching","Friend","Friend","Close",331,0.331,1
"274",1,"Friend","Nonmatching","Friend","Friend","Close",701,0.701,1
"275",1,"Friend","Nonmatching","Friend","Friend","Close",570,0.57,1
"276",1,"Friend","Nonmatching","Friend","Friend","Close",404,0.404,1
"277",1,"Friend","Nonmatching","Friend","Friend","Close",500,0.5,1
"278",1,"Friend","Nonmatching","Friend","Friend","Close",442,0.442,1
"279",1,"Friend","Nonmatching","Friend","Friend","Close",538,0.538,1
"280",1,"Friend","Nonmatching","Friend","Friend","Close",902,0.902,1
"281",1,"Friend","Nonmatching","Friend","Friend","Close",727,0.727,1
"282",1,"Self","Nonmatching","Self","Self","Self",749,0.749,1
"283",1,"Self","Nonmatching","Self","Self","Self",781,0.781,1
"284",1,"Self","Nonmatching","Self","Self","Self",839,0.839,1
"285",1,"Self","Nonmatching","Self","Self","Self",678,0.678,1
"286",1,"Self","Nonmatching","Self","Self","Self",594,0.594,1
"287",1,"Self","Nonmatching","Self","Self","Self",605,0.605,1
"288",1,"Self","Nonmatching","Self","Self","Self",980,0.98,1
"289",1,"Self","Nonmatching","Self","Self","Self",641,0.641,1
"290",1,"Self","Nonmatching","Self","Self","Self",713,0.713,0
"291",1,"Self","Nonmatching","Self","Self","Self",820,0.82,1
"292",1,"Self","Nonmatching","Self","Self","Self",692,0.692,1
"293",1,"Self","Nonmatching","Self","Self","Self",565,0.565,1
"294",1,"Self","Nonmatching","Self","Self","Self",545,0.545,1
"295",1,"Self","Nonmatching","Self","Self","Self",529,0.529,1
"296",1,"Self","Nonmatching","Self","Self","Self",828,0.828,1
"297",1,"Self","Nonmatching","Self","Self","Self",964,0.964,1
"298",1,"Self","Nonmatching","Self","Self","Self",811,0.811,1
"299",1,"Self","Nonmatching","Self","Self","Self",970,0.97,1
"300",1,"Self","Nonmatching","Self","Self","Self",949,0.949,1
"301",1,"Self","Nonmatching","Self","Self","Self",761,0.761,1
"302",1,"Self","Nonmatching","Self","Self","Self",655,0.655,1
"303",1,"Self","Nonmatching","Self","Self","Self",477,0.477,1
"304",1,"Self","Nonmatching","Self","Self","Self",685,0.685,1
"305",1,"Self","Nonmatching","Self","Self","Self",834,0.834,1
"306",1,"Self","Nonmatching","Self","Self","Self",577,0.577,1
"307",1,"Self","Nonmatching","Self","Self","Self",890,0.89,1
"308",1,"Self","Nonmatching","Self","Self","Self",739,0.739,1
"309",1,"Self","Nonmatching","Self","Self","Self",645,0.645,1
"310",1,"Self","Nonmatching","Self","Self","Self",664,0.664,1
"311",1,"Self","Nonmatching","Self","Self","Self",440,0.44,1
"312",1,"Self","Nonmatching","Self","Self","Self",513,0.513,1
"313",1,"Self","Nonmatching","Self","Self","Self",561,0.561,1
"314",1,"Self","Nonmatching","Self","Self","Self",593,0.593,1
"315",1,"Self","Nonmatching","Self","Self","Self",682,0.682,1
"316",1,"Self","Nonmatching","Self","Self","Self",802,0.802,1
"317",1,"Self","Nonmatching","Self","Self","Self",753,0.753,1
"318",1,"Self","Nonmatching","Self","Self","Self",708,0.708,1
"319",1,"Self","Nonmatching","Self","Self","Self",520,0.52,1
"320",1,"Self","Nonmatching","Self","Self","Self",934,0.934,1
"321",1,"Self","Nonmatching","Self","Self","Self",1014,1.014,1
"322",1,"Self","Nonmatching","Self","Self","Self",488,0.488,1
"323",1,"Self","Nonmatching","Self","Self","Self",724,0.724,1
"324",1,"Self","Nonmatching","Self","Self","Self",517,0.517,1
"325",1,"Self","Nonmatching","Self","Self","Self",792,0.792,1
"326",1,"Self","Nonmatching","Self","Self","Self",817,0.817,1
"327",1,"Self","Nonmatching","Self","Self","Self",770,0.77,1
"328",1,"Self","Nonmatching","Self","Self","Self",579,0.579,1
"329",1,"Self","Nonmatching","Self","Self","Self",641,0.641,1
"330",1,"Self","Nonmatching","Self","Self","Self",581,0.581,1
"331",1,"Self","Nonmatching","Self","Self","Self",700,0.7,1
"332",1,"Self","Nonmatching","Self","Self","Self",566,0.566,1
"333",1,"Self","Nonmatching","Self","Self","Self",481,0.481,1
"334",1,"Self","Nonmatching","Self","Self","Self",564,0.564,1
"335",1,"Self","Nonmatching","Self","Self","Self",617,0.617,1
"336",1,"Self","Nonmatching","Self","Self","Self",590,0.59,1
"337",1,"Self","Nonmatching","Self","Self","Self",624,0.624,1
"338",1,"Self","Nonmatching","Self","Self","Self",821,0.821,1
"339",1,"Self","Nonmatching","Self","Self","Self",940,0.94,1
"340",1,"Self","Nonmatching","Self","Self","Self",761,0.761,1
"341",1,"Self","Nonmatching","Self","Self","Self",656,0.656,1
"342",1,"Self","Nonmatching","Self","Self","Self",674,0.674,1
"343",1,"Self","Nonmatching","Self","Self","Self",735,0.735,1
"344",1,"Self","Nonmatching","Self","Self","Self",695,0.695,1
"345",1,"Self","Nonmatching","Self","Self","Self",671,0.671,1
"346",1,"Self","Nonmatching","Self","Self","Self",857,0.857,1
"347",1,"Self","Nonmatching","Self","Self","Self",667,0.667,1
"348",1,"Self","Nonmatching","Self","Self","Self",673,0.673,1
"349",1,"Self","Nonmatching","Self","Self","Self",795,0.795,1
"350",1,"Self","Nonmatching","Self","Self","Self",664,0.664,1
"351",1,"Self","Nonmatching","Self","Self","Self",840,0.84,1
"352",1,"Friend","Nonmatching","Self","Self","Self",603,0.603,1
"353",1,"Friend","Nonmatching","Self","Self","Self",631,0.631,1
"354",1,"Friend","Nonmatching","Self","Self","Self",806,0.806,0
"355",1,"Friend","Nonmatching","Self","Self","Self",267,0.267,1
"356",1,"Friend","Nonmatching","Self","Self","Self",847,0.847,1
"357",1,"Friend","Nonmatching","Self","Self","Self",640,0.64,1
"358",1,"Friend","Nonmatching","Self","Self","Self",597,0.597,1
"359",1,"Friend","Nonmatching","Self","Self","Self",646,0.646,1
"360",1,"Friend","Nonmatching","Self","Self","Self",761,0.761,1
"361",1,"Friend","Nonmatching","Self","Self","Self",757,0.757,1
"362",1,"Friend","Nonmatching","Self","Self","Self",641,0.641,1
"363",1,"Friend","Nonmatching","Self","Self","Self",774,0.774,1
"364",1,"Friend","Nonmatching","Self","Self","Self",847,0.847,1
"365",1,"Friend","Nonmatching","Self","Self","Self",750,0.75,1
"366",1,"Friend","Nonmatching","Self","Self","Self",557,0.557,1
"367",1,"Friend","Nonmatching","Self","Self","Self",538,0.538,0
"368",1,"Friend","Nonmatching","Self","Self","Self",854,0.854,1
"369",1,"Friend","Nonmatching","Self","Self","Self",613,0.613,1
"370",1,"Friend","Nonmatching","Self","Self","Self",826,0.826,1
"371",1,"Friend","Nonmatching","Self","Self","Self",647,0.647,1
"372",1,"Friend","Nonmatching","Self","Self","Self",689,0.689,1
"373",2,"Friend","Matching","Friend","Friend","Close",718,0.718,1
"374",2,"Friend","Matching","Friend","Friend","Close",389,0.389,1
"375",2,"Friend","Matching","Friend","Friend","Close",398,0.398,1
"376",2,"Friend","Matching","Friend","Friend","Close",450,0.45,0
"377",2,"Friend","Matching","Friend","Friend","Close",565,0.565,1
"378",2,"Friend","Matching","Friend","Friend","Close",631,0.631,1
"379",2,"Friend","Matching","Friend","Friend","Close",388,0.388,1
"380",2,"Friend","Matching","Friend","Friend","Close",737,0.737,0
"381",2,"Friend","Matching","Friend","Friend","Close",807,0.807,1
"382",2,"Friend","Matching","Friend","Friend","Close",882,0.882,1
"383",2,"Friend","Matching","Friend","Friend","Close",638,0.638,1
"384",2,"Friend","Matching","Friend","Friend","Close",394,0.394,1
"385",2,"Friend","Matching","Friend","Friend","Close",972,0.972,1
"386",2,"Friend","Matching","Friend","Friend","Close",668,0.668,1
"387",2,"Friend","Matching","Friend","Friend","Close",698,0.698,0
"388",2,"Friend","Matching","Friend","Friend","Close",591,0.591,1
"389",2,"Friend","Matching","Friend","Friend","Close",621,0.621,1
"390",2,"Friend","Matching","Friend","Friend","Close",495,0.495,1
"391",2,"Friend","Matching","Friend","Friend","Close",842,0.842,1
"392",2,"Friend","Matching","Friend","Friend","Close",686,0.686,1
"393",2,"Friend","Matching","Friend","Friend","Close",672,0.672,1
"394",2,"Friend","Matching","Friend","Friend","Close",915,0.915,1
"395",2,"Friend","Matching","Friend","Friend","Close",483,0.483,1
"396",2,"Friend","Matching","Friend","Friend","Close",898,0.898,1
"397",2,"Friend","Matching","Friend","Friend","Close",583,0.583,1
"398",2,"Friend","Matching","Friend","Friend","Close",843,0.843,1
"399",2,"Friend","Matching","Friend","Friend","Close",623,0.623,0
"400",2,"Friend","Matching","Friend","Friend","Close",1086,1.086,1
"401",2,"Friend","Matching","Friend","Friend","Close",584,0.584,1
"402",2,"Friend","Matching","Friend","Friend","Close",414,0.414,1
"403",2,"Friend","Matching","Friend","Friend","Close",517,0.517,1
"404",2,"Friend","Matching","Friend","Friend","Close",506,0.506,0
"405",2,"Friend","Matching","Friend","Friend","Close",381,0.381,0
"406",2,"Friend","Matching","Friend","Friend","Close",727,0.727,1
"407",2,"Friend","Matching","Friend","Friend","Close",682,0.682,0
"408",2,"Friend","Matching","Friend","Friend","Close",928,0.928,0
"409",2,"Friend","Matching","Friend","Friend","Close",526,0.526,1
"410",2,"Friend","Matching","Friend","Friend","Close",488,0.488,1
"411",2,"Friend","Matching","Friend","Friend","Close",430,0.43,1
"412",2,"Friend","Matching","Friend","Friend","Close",403,0.403,1
"413",2,"Friend","Matching","Friend","Friend","Close",610,0.61,1
"414",2,"Friend","Matching","Friend","Friend","Close",549,0.549,1
"415",2,"Friend","Matching","Friend","Friend","Close",521,0.521,1
"416",2,"Friend","Matching","Friend","Friend","Close",554,0.554,1
"417",2,"Friend","Matching","Friend","Friend","Close",658,0.658,1
"418",2,"Friend","Matching","Friend","Friend","Close",849,0.849,1
"419",2,"Friend","Matching","Friend","Friend","Close",545,0.545,1
