"","Subject","Label","Shape","Matching","Origin_Identity","English_Identity","Standardized_Idnetity","RT_ms","RT_sec","ACC"
"88",1,"Friend","Self","Matching","Self","Self","Self",562,0.562,1
"89",1,"Friend","Self","Matching","Self","Self","Self",424,0.424,1
"90",1,"Friend","Self","Matching","Self","Self","Self",440,0.44,1
"91",1,"Friend","Self","Matching","Self","Self","Self",470,0.47,1
"92",1,"Friend","Self","Matching","Self","Self","Self",471,0.471,1
"93",1,"Friend","Self","Matching","Self","Self","Self",448,0.448,1
"94",1,"Friend","Self","Matching","Self","Self","Self",516,0.516,1
"95",1,"Friend","Self","Matching","Self","Self","Self",364,0.364,1
"96",1,"Friend","Self","Matching","Self","Self","Self",523,0.523,1
"97",1,"Friend","Self","Matching","Self","Self","Self",320,0.32,1
"98",1,"Friend","Self","Matching","Self","Self","Self",335,0.335,1
"99",1,"Friend","Self","Matching","Self","Self","Self",271,0.271,1
"100",1,"Friend","Self","Matching","Self","Self","Self",546,0.546,1
"101",1,"Friend","Self","Matching","Self","Self","Self",493,0.493,1
"102",1,"Friend","Self","Matching","Self","Self","Self",293,0.293,1
"103",1,"Friend","Self","Matching","Self","Self","Self",491,0.491,1
"104",1,"Friend","Self","Matching","Self","Self","Self",507,0.507,1
"105",1,"Friend","Self","Matching","Self","Self","Self",574,0.574,1
"106",1,"Friend","Self","Matching","Self","Self","Self",519,0.519,1
"107",1,"Friend","Self","Matching","Self","Self","Self",331,0.331,1
"108",1,"Friend","Self","Matching","Self","Self","Self",586,0.586,1
"109",1,"Friend","Self","Matching","Self","Self","Self",703,0.703,1
"110",1,"Friend","Self","Matching","Self","Self","Self",592,0.592,1
"111",1,"Friend","Self","Matching","Self","Self","Self",318,0.318,1
"112",1,"Friend","Self","Matching","Self","Self","Self",518,0.518,1
"113",1,"Friend","Self","Matching","Self","Self","Self",691,0.691,1
"114",1,"Friend","Self","Matching","Self","Self","Self",492,0.492,1
"115",1,"Friend","Self","Matching","Self","Self","Self",446,0.446,1
"116",1,"Friend","Self","Matching","Self","Self","Self",942,0.942,1
"117",1,"Friend","Self","Matching","Self","Self","Self",529,0.529,1
"118",1,"Friend","Self","Matching","Self","Self","Self",409,0.409,1
"119",1,"Friend","Self","Matching","Self","Self","Self",612,0.612,1
