"Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC"
2,"female",27,"bn",610,0.61,1
2,"female",27,"bn",605,0.605,1
2,"female",27,"bn",358,0.358,0
2,"female",27,"bn",734,0.734,1
2,"female",27,"bn",613,0.613,1
2,"female",27,"bn",472,0.472,1
2,"female",27,"bn",565,0.565,1
2,"female",27,"bn",539,0.539,1
2,"female",27,"im",597,0.597,1
2,"female",27,"im",419,0.419,1
2,"female",27,"im",356,0.356,1
2,"female",27,"im",689,0.689,1
2,"female",27,"im",532,0.532,1
2,"female",27,"im",571,0.571,1
2,"female",27,"im",568,0.568,1
2,"female",27,"im",677,0.677,1
2,"female",27,"im",548,0.548,1
2,"female",27,"im",365,0.365,1
2,"female",27,"im",591,0.591,1
2,"female",27,"im",501,0.501,1
2,"female",27,"im",395,0.395,1
2,"female",27,"im",638,0.638,1
2,"female",27,"im",526,0.526,1
2,"female",27,"im",472,0.472,1
2,"female",27,"im",528,0.528,1
2,"female",27,"im",518,0.518,1
2,"female",27,"in",847,0.847,1
2,"female",27,"in",659,0.659,1
2,"female",27,"in",544,0.544,1
2,"female",27,"in",667,0.667,1
2,"female",27,"in",726,0.726,1
2,"female",27,"in",528,0.528,1
2,"female",27,"in",571,0.571,1
2,"female",27,"in",764,0.764,1
2,"female",27,"in",589,0.589,1
2,"female",27,"in",662,0.662,1
2,"female",27,"in",559,0.559,1
2,"female",27,"in",581,0.581,1
2,"female",27,"in",1005,1.005,1
2,"female",27,"in",597,0.597,1
2,"female",27,"in",519,0.519,1
2,"female",27,"in",585,0.585,0
2,"female",27,"in",510,0.51,1
2,"female",27,"in",494,0.494,1
2,"female",27,"mm",914,0.914,1
2,"female",27,"mm",1095,1.095,1
2,"female",27,"mm",700,0.7,1
2,"female",27,"mm",571,0.571,1
2,"female",27,"mm",574,0.574,1
2,"female",27,"mm",1214,1.214,1
2,"female",27,"mm",389,0.389,1
2,"female",27,"mm",553,0.553,1
2,"female",27,"mm",688,0.688,1
2,"female",27,"mm",618,0.618,1
2,"female",27,"mm",469,0.469,1
2,"female",27,"mm",572,0.572,1
2,"female",27,"mm",425,0.425,1
2,"female",27,"mm",603,0.603,1
2,"female",27,"mm",590,0.59,1
2,"female",27,"mm",519,0.519,1
2,"female",27,"mm",667,0.667,1
2,"female",27,"mm",369,0.369,0
2,"female",27,"mn",837,0.837,1
2,"female",27,"mn",871,0.871,1
2,"female",27,"mn",876,0.876,1
2,"female",27,"mn",593,0.593,1
2,"female",27,"mn",0,0,0
2,"female",27,"mn",661,0.661,1
2,"female",27,"mn",584,0.584,1
2,"female",27,"mn",706,0.706,1
2,"female",27,"mn",622,0.622,1
2,"female",27,"mn",545,0.545,1
2,"female",27,"mn",593,0.593,1
2,"female",27,"mn",707,0.707,1
2,"female",27,"mn",593,0.593,1
2,"female",27,"mn",731,0.731,1
2,"female",27,"mn",1023,1.023,1
2,"female",27,"mn",692,0.692,1
2,"female",27,"mn",622,0.622,1
2,"female",27,"mn",529,0.529,1
2,"female",27,"nm",1301,1.301,0
2,"female",27,"nm",1021,1.021,1
2,"female",27,"nm",1168,1.168,1
2,"female",27,"nm",1261,1.261,1
2,"female",27,"nm",965,0.965,0
2,"female",27,"nm",0,0,0
2,"female",27,"nm",0,0,0
2,"female",27,"nm",562,0.562,0
2,"female",27,"nm",587,0.587,1
2,"female",27,"nm",699,0.699,1
2,"female",27,"nm",827,0.827,1
2,"female",27,"nm",676,0.676,1
