"Subject","Gender","Age","Handedness","Matching","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
1,"female",20,"right","Matching","Mutter","Mother","Close",1899,1.899,0
1,"female",20,"right","Nonmatching","none","none","NonPerson",1282,1.282,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",1358,1.358,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",725,0.725,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",906,0.906,1
1,"female",20,"right","Matching","Mutter","Mother","Close",854,0.854,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",660,0.66,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",571,0.571,0
1,"female",20,"right","Nonmatching","Ich","Self","Self",751,0.751,1
1,"female",20,"right","Matching","Ich","Self","Self",442,0.442,1
1,"female",20,"right","Matching","none","none","NonPerson",691,0.691,1
1,"female",20,"right","Matching","none","none","NonPerson",546,0.546,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",742,0.742,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",1106,1.106,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",797,0.797,0
1,"female",20,"right","Matching","Ich","Self","Self",1070,1.07,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",603,0.603,1
1,"female",20,"right","Matching","Ich","Self","Self",613,0.613,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",534,0.534,1
1,"female",20,"right","Matching","none","none","NonPerson",499,0.499,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",626,0.626,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",715,0.715,1
1,"female",20,"right","Matching","Mutter","Mother","Close",864,0.864,1
1,"female",20,"right","Matching","Ich","Self","Self",517,0.517,1
1,"female",20,"right","Matching","Mutter","Mother","Close",531,0.531,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",504,0.504,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",679,0.679,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",630,0.63,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",695,0.695,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",1037,1.037,1
1,"female",20,"right","Matching","none","none","NonPerson",459,0.459,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",612,0.612,1
1,"female",20,"right","Matching","none","none","NonPerson",486,0.486,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",462,0.462,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",534,0.534,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",620,0.62,1
1,"female",20,"right","Matching","Mutter","Mother","Close",637,0.637,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",461,0.461,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",518,0.518,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",812,0.812,1
1,"female",20,"right","Nonmatching","Mutter","Mother","Close",533,0.533,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",617,0.617,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",482,0.482,1
1,"female",20,"right","Matching","Mutter","Mother","Close",594,0.594,1
1,"female",20,"right","Matching","none","none","NonPerson",492,0.492,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",516,0.516,1
1,"female",20,"right","Matching","Ich","Self","Self",506,0.506,1
1,"female",20,"right","Matching","Ich","Self","Self",728,0.728,1
1,"female",20,"right","Nonmatching","Ich","Self","Self",580,0.58,1
1,"female",20,"right","Matching","Ich","Self","Self",399,0.399,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",434,0.434,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",612,0.612,1
1,"female",20,"right","Nonmatching","none","none","NonPerson",382,0.382,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",482,0.482,0
1,"female",20,"right","Nonmatching","Ich","Self","Self",554,0.554,1
1,"female",20,"right","Matching","Ich","Self","Self",518,0.518,1
1,"female",20,"right","Nonmatching","Bekannter","Acquaintance","Acquaintance",556,0.556,1
1,"female",20,"right","Matching","Bekannter","Acquaintance","Acquaintance",408,0.408,1
1,"female",20,"right","Matching","none","none","NonPerson",459,0.459,1
