"Participant.Public.ID ""Trial.Number"" ""Reaction.Time"" ""Response"" ""Correct"" ""Incorrect"" ""Label"" ""Model"" ""P_Group"" ""P_Orginal"" ""ACC_Mat"""
"1173 ""5ca8ad03a1e8400001fbe68c"" 21 728 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.65625"
"1174 ""5ca8ad03a1e8400001fbe68c"" 22 1167.39999999991 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.65625"
"1175 ""5ca8ad03a1e8400001fbe68c"" 23 21807.5999999996 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.65625"
"1176 ""5ca8ad03a1e8400001fbe68c"" 24 34851.0999999996 ""left"" 0 1 ""Me"" ""m33"" ""User"" ""JA"" 0.65625"
"1177 ""5ca8ad03a1e8400001fbe68c"" 25 1413.5 ""right"" 0 1 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.65625"
"1178 ""5ca8ad03a1e8400001fbe68c"" 26 87.5 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.65625"
"1179 ""5ca8ad03a1e8400001fbe68c"" 27 1311.29999999981 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.65625"
"1180 ""5ca8ad03a1e8400001fbe68c"" 28 1537.80000000028 ""left"" 0 1 ""Me"" ""f27"" ""User"" ""NEIN"" 0.65625"
"1181 ""5ca8ad03a1e8400001fbe68c"" 29 937.399999999907 ""left"" 0 1 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.65625"
"1182 ""5ca8ad03a1e8400001fbe68c"" 30 723.199999999721 ""left"" 0 1 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.65625"
"1183 ""5ca8ad03a1e8400001fbe68c"" 31 732.899999999907 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.65625"
"1184 ""5ca8ad03a1e8400001fbe68c"" 32 893 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.65625"
"1185 ""5ca8ad03a1e8400001fbe68c"" 33 905.200000000186 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.65625"
"1186 ""5ca8ad03a1e8400001fbe68c"" 34 1369.89999999991 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.65625"
"1187 ""5ca8ad03a1e8400001fbe68c"" 35 1306.30000000028 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.65625"
"1188 ""5ca8ad03a1e8400001fbe68c"" 36 1043.5 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.65625"
"1189 ""5ca8ad03a1e8400001fbe68c"" 37 948.100000000093 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.65625"
"1190 ""5ca8ad03a1e8400001fbe68c"" 38 2014.09999999963 ""right"" 0 1 ""Me"" ""f18"" ""Other"" ""JA"" 0.65625"
"1191 ""5ca8ad03a1e8400001fbe68c"" 39 856.299999999814 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.65625"
"1192 ""5ca8ad03a1e8400001fbe68c"" 40 1058.79999999981 ""left"" 0 1 ""Me"" ""f27"" ""User"" ""NEIN"" 0.65625"
"1193 ""5ca8ad03a1e8400001fbe68c"" 41 1173.5 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.65625"
"1194 ""5ca8ad03a1e8400001fbe68c"" 42 652.899999999907 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.65625"
"1195 ""5ca8ad03a1e8400001fbe68c"" 43 1092 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.65625"
"1196 ""5ca8ad03a1e8400001fbe68c"" 44 338 ""left"" 0 1 ""Me"" ""m38"" ""User"" ""JA"" 0.65625"
"1197 ""5ca8ad03a1e8400001fbe68c"" 45 920.099999999627 ""left"" 0 1 ""Me"" ""f4"" ""User"" ""NEIN"" 0.65625"
"1198 ""5ca8ad03a1e8400001fbe68c"" 46 349.099999999627 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.65625"
"1199 ""5ca8ad03a1e8400001fbe68c"" 47 971.100000000093 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.65625"
"1200 ""5ca8ad03a1e8400001fbe68c"" 48 836.199999999721 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.65625"
"1201 ""5ca8ad03a1e8400001fbe68c"" 49 1635.30000000028 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.65625"
"1202 ""5ca8ad03a1e8400001fbe68c"" 50 273 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.65625"
"1203 ""5ca8ad03a1e8400001fbe68c"" 51 936.699999999721 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.65625"
"1204 ""5ca8ad03a1e8400001fbe68c"" 52 928.299999999814 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.65625"
"1205 ""5ca8ad03a1e8400001fbe68c"" 53 939.199999999721 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.65625"
"1206 ""5ca8ad03a1e8400001fbe68c"" 54 960.700000000186 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.65625"
"1207 ""5ca8ad03a1e8400001fbe68c"" 55 1335.10000000009 ""right"" 0 1 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.65625"
"1208 ""5ca8ad03a1e8400001fbe68c"" 56 764.199999999721 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.65625"
"1209 ""5ca8ad03a1e8400001fbe68c"" 57 886.900000000373 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.65625"
"1210 ""5ca8ad03a1e8400001fbe68c"" 58 374.799999999814 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.65625"
"1211 ""5ca8ad03a1e8400001fbe68c"" 59 1056.79999999981 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.65625"
"1212 ""5ca8ad03a1e8400001fbe68c"" 60 1003.59999999963 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.65625"
"1213 ""5ca8ad03a1e8400001fbe68c"" 61 920.200000000186 ""left"" 0 1 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.65625"
"1214 ""5ca8ad03a1e8400001fbe68c"" 62 1040.80000000028 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.65625"
"1215 ""5ca8ad03a1e8400001fbe68c"" 63 370.300000000279 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.65625"
"1216 ""5ca8ad03a1e8400001fbe68c"" 64 833.100000000093 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.65625"
"1217 ""5ed37e458e0e6a1e0c8fe2a6"" 1 1727 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.8125"
"1218 ""5ed37e458e0e6a1e0c8fe2a6"" 2 1212.80000007153 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.8125"
"1219 ""5ed37e458e0e6a1e0c8fe2a6"" 3 1519.5 ""right"" 0 1 ""Stranger"" ""m33"" ""User"" ""JA"" 0.8125"
"1220 ""5ed37e458e0e6a1e0c8fe2a6"" 4 1246.20000004768 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.8125"
"1221 ""5ed37e458e0e6a1e0c8fe2a6"" 5 3097.70000004768 ""right"" 0 1 ""Stranger"" ""m33"" ""User"" ""JA"" 0.8125"
"1222 ""5ed37e458e0e6a1e0c8fe2a6"" 6 1387 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.8125"
"1223 ""5ed37e458e0e6a1e0c8fe2a6"" 7 2151.20000004768 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.8125"
"1224 ""5ed37e458e0e6a1e0c8fe2a6"" 8 1075.10000002384 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.8125"
"1225 ""5ed37e458e0e6a1e0c8fe2a6"" 9 1472.69999992847 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.8125"
"1226 ""5ed37e458e0e6a1e0c8fe2a6"" 10 1140.29999995232 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.8125"
"1227 ""5ed37e458e0e6a1e0c8fe2a6"" 11 2771 ""left"" 0 1 ""Me"" ""m38"" ""User"" ""NEIN"" 0.8125"
"1228 ""5ed37e458e0e6a1e0c8fe2a6"" 12 844.399999976158 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.8125"
"1229 ""5ed37e458e0e6a1e0c8fe2a6"" 13 1034.89999997616 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.8125"
"1230 ""5ed37e458e0e6a1e0c8fe2a6"" 14 1551.89999997616 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.8125"
"1231 ""5ed37e458e0e6a1e0c8fe2a6"" 15 626.600000023842 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.8125"
"1232 ""5ed37e458e0e6a1e0c8fe2a6"" 16 539 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.8125"
"1233 ""5ed37e458e0e6a1e0c8fe2a6"" 17 491.299999952316 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.8125"
"1234 ""5ed37e458e0e6a1e0c8fe2a6"" 18 902.400000095367 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.8125"
"1235 ""5ed37e458e0e6a1e0c8fe2a6"" 19 1086.29999995232 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.8125"
"1236 ""5ed37e458e0e6a1e0c8fe2a6"" 20 1932.60000002384 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.8125"
"1237 ""5ed37e458e0e6a1e0c8fe2a6"" 21 1019.69999992847 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.8125"
"1238 ""5ed37e458e0e6a1e0c8fe2a6"" 22 895.5 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.8125"
"1239 ""5ed37e458e0e6a1e0c8fe2a6"" 23 700 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.8125"
"1240 ""5ed37e458e0e6a1e0c8fe2a6"" 24 578.5 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.8125"
"1241 ""5ed37e458e0e6a1e0c8fe2a6"" 25 1829 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.8125"
"1242 ""5ed37e458e0e6a1e0c8fe2a6"" 26 775.299999952316 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.8125"
"1243 ""5ed37e458e0e6a1e0c8fe2a6"" 27 637.799999952316 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.8125"
"1244 ""5ed37e458e0e6a1e0c8fe2a6"" 28 497.300000071526 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.8125"
"1245 ""5ed37e458e0e6a1e0c8fe2a6"" 29 778.600000023842 ""left"" 0 1 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.8125"
"1246 ""5ed37e458e0e6a1e0c8fe2a6"" 30 864.200000047684 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.8125"
"1247 ""5ed37e458e0e6a1e0c8fe2a6"" 31 956.099999904633 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.8125"
"1248 ""5ed37e458e0e6a1e0c8fe2a6"" 32 957.5 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.8125"
"1249 ""5ed37e458e0e6a1e0c8fe2a6"" 33 1131.19999992847 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.8125"
"1250 ""5ed37e458e0e6a1e0c8fe2a6"" 34 611.399999976158 ""right"" 0 1 ""Me"" ""m35"" ""Other"" ""JA"" 0.8125"
"1251 ""5ed37e458e0e6a1e0c8fe2a6"" 35 1133.39999997616 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.8125"
"1252 ""5ed37e458e0e6a1e0c8fe2a6"" 36 923.399999976158 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.8125"
"1253 ""5ed37e458e0e6a1e0c8fe2a6"" 37 1985 ""left"" 0 1 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.8125"
"1254 ""5ed37e458e0e6a1e0c8fe2a6"" 38 1318.79999995232 ""left"" 0 1 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.8125"
"1255 ""5ed37e458e0e6a1e0c8fe2a6"" 39 1487.20000004768 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.8125"
"1256 ""5ed37e458e0e6a1e0c8fe2a6"" 40 2759.70000004768 ""left"" 0 1 ""Me"" ""m38"" ""User"" ""JA"" 0.8125"
"1257 ""5ed37e458e0e6a1e0c8fe2a6"" 41 1446.39999997616 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.8125"
"1258 ""5ed37e458e0e6a1e0c8fe2a6"" 42 935.299999952316 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.8125"
"1259 ""5ed37e458e0e6a1e0c8fe2a6"" 43 1087.89999997616 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.8125"
"1260 ""5ed37e458e0e6a1e0c8fe2a6"" 44 1218.10000002384 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.8125"
"1261 ""5ed37e458e0e6a1e0c8fe2a6"" 45 2775.5 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.8125"
"1262 ""5ed37e458e0e6a1e0c8fe2a6"" 46 1124.79999995232 ""right"" 0 1 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.8125"
"1263 ""5ed37e458e0e6a1e0c8fe2a6"" 47 911.799999952316 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.8125"
"1264 ""5ed37e458e0e6a1e0c8fe2a6"" 48 625.799999952316 ""right"" 0 1 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.8125"
"1265 ""5ed37e458e0e6a1e0c8fe2a6"" 49 550.600000023842 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.8125"
"1266 ""5ed37e458e0e6a1e0c8fe2a6"" 50 1032.5 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.8125"
"1267 ""5ed37e458e0e6a1e0c8fe2a6"" 51 1196 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.8125"
"1268 ""5ed37e458e0e6a1e0c8fe2a6"" 52 748.700000047684 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.8125"
"1269 ""5ed37e458e0e6a1e0c8fe2a6"" 53 642.300000071526 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.8125"
"1270 ""5ed37e458e0e6a1e0c8fe2a6"" 54 1170.80000007153 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.8125"
"1271 ""5ed37e458e0e6a1e0c8fe2a6"" 55 917.399999976158 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.8125"
"1272 ""5ed37e458e0e6a1e0c8fe2a6"" 56 1289 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.8125"
"1273 ""5ed37e458e0e6a1e0c8fe2a6"" 57 1621 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.8125"
"1274 ""5ed37e458e0e6a1e0c8fe2a6"" 58 787.799999952316 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""JA"" 0.8125"
"1275 ""5ed37e458e0e6a1e0c8fe2a6"" 59 880.100000023842 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.8125"
"1276 ""5ed37e458e0e6a1e0c8fe2a6"" 60 689.200000047684 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.8125"
"1277 ""5ed37e458e0e6a1e0c8fe2a6"" 61 765.200000047684 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.8125"
"1278 ""5ed37e458e0e6a1e0c8fe2a6"" 62 1564.20000004768 ""right"" 0 1 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.8125"
"1279 ""5ed37e458e0e6a1e0c8fe2a6"" 63 830.299999952316 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.8125"
"1280 ""5ed37e458e0e6a1e0c8fe2a6"" 64 1769 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.8125"
"1281 ""61274fd2b46c17c341ed7d71"" 1 1862.09999990463 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.921875"
"1282 ""61274fd2b46c17c341ed7d71"" 2 3647.70000004768 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.921875"
"1283 ""61274fd2b46c17c341ed7d71"" 3 4138.90000009537 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.921875"
"1284 ""61274fd2b46c17c341ed7d71"" 4 2650.5 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.921875"
"1285 ""61274fd2b46c17c341ed7d71"" 5 1665.70000004768 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.921875"
"1286 ""61274fd2b46c17c341ed7d71"" 6 2238.10000002384 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.921875"
"1287 ""61274fd2b46c17c341ed7d71"" 7 2691 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.921875"
"1288 ""61274fd2b46c17c341ed7d71"" 8 2519.69999992847 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.921875"
"1289 ""61274fd2b46c17c341ed7d71"" 9 1676.39999997616 ""right"" 0 1 ""Stranger"" ""f27"" ""User"" ""JA"" 0.921875"
"1290 ""61274fd2b46c17c341ed7d71"" 10 4495.20000004768 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.921875"
"1291 ""61274fd2b46c17c341ed7d71"" 11 1013.40000009537 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""NEIN"" 0.921875"
"1292 ""61274fd2b46c17c341ed7d71"" 12 1692.69999992847 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""NEIN"" 0.921875"
"1293 ""61274fd2b46c17c341ed7d71"" 13 744.100000023842 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.921875"
"1294 ""61274fd2b46c17c341ed7d71"" 14 878.900000095367 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.921875"
"1295 ""61274fd2b46c17c341ed7d71"" 15 1274.89999997616 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.921875"
"1296 ""61274fd2b46c17c341ed7d71"" 16 1315.70000004768 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.921875"
"1297 ""61274fd2b46c17c341ed7d71"" 17 1797.60000002384 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.921875"
"1298 ""61274fd2b46c17c341ed7d71"" 18 1183 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.921875"
"1299 ""61274fd2b46c17c341ed7d71"" 19 1161.10000002384 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.921875"
"1300 ""61274fd2b46c17c341ed7d71"" 20 1845.39999997616 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.921875"
"1301 ""61274fd2b46c17c341ed7d71"" 21 1206.5 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.921875"
"1302 ""61274fd2b46c17c341ed7d71"" 22 1544.40000009537 ""left"" 0 1 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.921875"
"1303 ""61274fd2b46c17c341ed7d71"" 23 2396.89999997616 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.921875"
"1304 ""61274fd2b46c17c341ed7d71"" 24 813 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.921875"
"1305 ""61274fd2b46c17c341ed7d71"" 25 781.700000047684 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""NEIN"" 0.921875"
"1306 ""61274fd2b46c17c341ed7d71"" 26 836 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.921875"
"1307 ""61274fd2b46c17c341ed7d71"" 27 847 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""NEIN"" 0.921875"
"1308 ""61274fd2b46c17c341ed7d71"" 28 1754 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""JA"" 0.921875"
"1309 ""61274fd2b46c17c341ed7d71"" 29 1042.80000007153 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.921875"
"1310 ""61274fd2b46c17c341ed7d71"" 30 811 ""left"" 1 0 ""Stranger"" ""m33"" ""User"" ""JA"" 0.921875"
"1311 ""61274fd2b46c17c341ed7d71"" 31 1345 ""right"" 0 1 ""Me"" ""m35"" ""Other"" ""JA"" 0.921875"
"1312 ""61274fd2b46c17c341ed7d71"" 32 967 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.921875"
"1313 ""61274fd2b46c17c341ed7d71"" 33 876 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.921875"
"1314 ""61274fd2b46c17c341ed7d71"" 34 1309.29999995232 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.921875"
"1315 ""61274fd2b46c17c341ed7d71"" 35 698.700000047684 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.921875"
"1316 ""61274fd2b46c17c341ed7d71"" 36 1132.80000007153 ""right"" 1 0 ""Stranger"" ""m34"" ""Other"" ""NEIN"" 0.921875"
"1317 ""61274fd2b46c17c341ed7d71"" 37 871.399999976158 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.921875"
"1318 ""61274fd2b46c17c341ed7d71"" 38 1032 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.921875"
"1319 ""61274fd2b46c17c341ed7d71"" 39 743 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.921875"
"1320 ""61274fd2b46c17c341ed7d71"" 40 935.699999928474 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.921875"
"1321 ""61274fd2b46c17c341ed7d71"" 41 1303.20000004768 ""left"" 1 0 ""Me"" ""f15"" ""Other"" ""JA"" 0.921875"
"1322 ""61274fd2b46c17c341ed7d71"" 42 691.300000071526 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""JA"" 0.921875"
"1323 ""61274fd2b46c17c341ed7d71"" 43 650.799999952316 ""right"" 1 0 ""Me"" ""m33"" ""User"" ""JA"" 0.921875"
"1324 ""61274fd2b46c17c341ed7d71"" 44 980.299999952316 ""left"" 1 0 ""Me"" ""m35"" ""Other"" ""JA"" 0.921875"
"1325 ""61274fd2b46c17c341ed7d71"" 45 701.399999976158 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""JA"" 0.921875"
"1326 ""61274fd2b46c17c341ed7d71"" 46 839.5 ""left"" 0 1 ""Me"" ""m33"" ""User"" ""NEIN"" 0.921875"
"1327 ""61274fd2b46c17c341ed7d71"" 47 1137.20000004768 ""left"" 1 0 ""Me"" ""f18"" ""Other"" ""NEIN"" 0.921875"
"1328 ""61274fd2b46c17c341ed7d71"" 48 966.5 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""JA"" 0.921875"
"1329 ""61274fd2b46c17c341ed7d71"" 49 839.700000047684 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""JA"" 0.921875"
"1330 ""61274fd2b46c17c341ed7d71"" 50 2015.20000004768 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""NEIN"" 0.921875"
"1331 ""61274fd2b46c17c341ed7d71"" 51 704.800000071526 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.921875"
"1332 ""61274fd2b46c17c341ed7d71"" 52 1095.80000007153 ""left"" 1 0 ""Stranger"" ""m38"" ""User"" ""NEIN"" 0.921875"
"1333 ""61274fd2b46c17c341ed7d71"" 53 902.800000071526 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""JA"" 0.921875"
"1334 ""61274fd2b46c17c341ed7d71"" 54 715.300000071526 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.921875"
"1335 ""61274fd2b46c17c341ed7d71"" 55 902.100000023842 ""left"" 0 1 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.921875"
"1336 ""61274fd2b46c17c341ed7d71"" 56 2052.29999995232 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""NEIN"" 0.921875"
"1337 ""61274fd2b46c17c341ed7d71"" 57 1992.5 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""NEIN"" 0.921875"
"1338 ""61274fd2b46c17c341ed7d71"" 58 1833.29999995232 ""right"" 1 0 ""Me"" ""m38"" ""User"" ""NEIN"" 0.921875"
"1339 ""61274fd2b46c17c341ed7d71"" 59 1571.89999997616 ""right"" 1 0 ""Stranger"" ""f18"" ""Other"" ""JA"" 0.921875"
"1340 ""61274fd2b46c17c341ed7d71"" 60 1067.79999995232 ""right"" 1 0 ""Me"" ""f4"" ""User"" ""NEIN"" 0.921875"
"1341 ""61274fd2b46c17c341ed7d71"" 61 1214.59999990463 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""NEIN"" 0.921875"
"1342 ""61274fd2b46c17c341ed7d71"" 62 790.5 ""right"" 1 0 ""Me"" ""f27"" ""User"" ""JA"" 0.921875"
"1343 ""61274fd2b46c17c341ed7d71"" 63 752.899999976158 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""NEIN"" 0.921875"
"1344 ""61274fd2b46c17c341ed7d71"" 64 890.099999904633 ""right"" 1 0 ""Stranger"" ""m35"" ""Other"" ""JA"" 0.921875"
"1345 ""6124e48c386ab4df50aeedb1"" 1 1929.40000000224 ""left"" 1 0 ""Me"" ""m34"" ""Other"" ""JA"" 0.78125"
"1346 ""6124e48c386ab4df50aeedb1"" 2 2212.5 ""right"" 0 1 ""Stranger"" ""m33"" ""User"" ""NEIN"" 0.78125"
"1347 ""6124e48c386ab4df50aeedb1"" 3 2207.89999999851 ""left"" 1 0 ""Stranger"" ""f27"" ""User"" ""JA"" 0.78125"
"1348 ""6124e48c386ab4df50aeedb1"" 4 2628.89999999851 ""left"" 1 0 ""Stranger"" ""f4"" ""User"" ""NEIN"" 0.78125"
"1349 ""6124e48c386ab4df50aeedb1"" 5 983 ""right"" 1 0 ""Stranger"" ""f15"" ""Other"" ""JA"" 0.78125"
