"","Subject","Age","Gender","Ethnicity","Handedness","Group","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"73",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",509,0.509,1
"74",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","48",588,0.588,0
"75",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",731,0.731,1
"76",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",680,0.68,1
"77",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",593,0.593,1
"78",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",474,0.474,1
"79",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","48",851,0.851,0
"80",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",565,0.565,1
"81",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","48",533,0.533,0
"82",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",527,0.527,1
"83",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",718,0.718,1
"84",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","48",682,0.682,0
"85",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",885,0.885,1
"86",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",672,0.672,1
"87",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",614,0.614,1
"88",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",708,0.708,1
"89",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",663,0.663,1
"90",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",634,0.634,1
"91",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",509,0.509,1
"92",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",847,0.847,1
"93",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",997,0.997,1
"94",18080,22,"Female",6,"Right",2,"sad","friend","Matching","friend","47",660,0.66,1
"95",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",606,0.606,1
"96",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",523,0.523,1
"97",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",481,0.481,1
"98",18080,22,"Female",6,"Right",2,"line","self","Matching","self","47",951,0.951,1
"99",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",648,0.648,1
"100",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",729,0.729,1
"101",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","48",792,0.792,0
"102",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",619,0.619,1
"103",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",967,0.967,1
"104",18080,22,"Female",6,"Right",2,"neutral","self","Matching","self","47",871,0.871,1
"105",18080,22,"Female",6,"Right",2,"happy","self","Matching","self","47",634,0.634,1
"106",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",1280,1.28,1
"107",18080,22,"Female",6,"Right",2,"sad","self","Matching","self","47",667,0.667,1
"108",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",597,0.597,1
"109",18080,22,"Female",6,"Right",2,"line","friend","Matching","friend","47",663,0.663,1
"110",18080,22,"Female",6,"Right",2,"neutral","friend","Matching","friend","47",966,0.966,1
"111",18080,22,"Female",6,"Right",2,"happy","friend","Matching","friend","47",637,0.637,1
