"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3001,1,"test",67,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,1191
3001,1,"test",68,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,866
3001,1,"test",69,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,1057
3001,1,"test",70,"z",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,1,1042
3001,1,"test",71,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,1035
3001,1,"test",72,"z",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,1,763
3001,1,"test",73,"z",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,0,728
3001,1,"test",74,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,640
3001,1,"test",75,"m",7,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,938
3001,1,"test",76,"x",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,1498
3001,1,"test",77,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,795
3001,1,"test",78,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,621
3001,1,"test",79,"m",4,"shape1.jpg",1,1,"You","Julia","none","Julia",2,1,840
3001,1,"test",80,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,697
3001,1,"test",81,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,698
3001,1,"test",82,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,825
3001,1,"test",83,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,450
3001,1,"test",84,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,821
3001,1,"test",85,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,720
3001,1,"test",86,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,695
3001,1,"test",87,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,1206
3001,1,"test",88,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,624
3001,1,"test",89,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,843
3001,1,"test",90,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,629
3001,1,"test",91,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,687
3001,1,"test",92,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,583
3001,1,"test",93,"z",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,0,588
3001,1,"test",94,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,599
3001,1,"test",95,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,587
3001,1,"test",96,"m",9,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,753
3001,1,"test",97,"m",6,"shape3.jpg",1,1,"You","Julia","none","Julia",2,1,565
3001,1,"test",98,"m",3,"shape3.jpg",1,1,"You","Julia","none","Julia",1,0,504
3001,1,"test",99,"m",8,"shape2.jpg",1,1,"You","Julia","none","Julia",2,1,635
3001,1,"test",100,"z",1,"shape1.jpg",1,1,"You","Julia","none","Julia",1,1,284
3001,1,"test",101,"m",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,0,532
3001,1,"test",102,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,555
3001,1,"test",103,"z",2,"shape2.jpg",1,1,"You","Julia","none","Julia",1,1,522
