subj_idx,person,match,stim,accuracy,response,rt
12,Self,mismatch,0,1,0,0.591
12,Self,match,1,1,1,0.575
12,Stranger,mismatch,0,1,0,0.521
12,Friend,mismatch,0,1,0,1.003
12,Friend,match,1,1,1,0.842
12,Self,mismatch,0,1,0,0.841
12,Stranger,match,1,1,1,0.915
12,Self,mismatch,0,1,0,0.809
12,Stranger,mismatch,0,1,0,0.901
12,Friend,match,1,1,1,0.493
12,Stranger,match,1,1,1,0.753
12,Stranger,mismatch,0,1,0,0.676
12,Self,mismatch,0,1,0,0.706
12,Friend,match,1,1,1,0.725
12,Self,match,1,1,1,0.568
12,Self,match,1,1,1,0.524
12,Friend,mismatch,0,1,0,1.015
12,Friend,mismatch,0,1,0,0.795
12,Stranger,match,1,1,1,0.699
12,Self,mismatch,0,1,0,0.639
12,Friend,match,1,1,1,0.658
12,Stranger,mismatch,0,1,0,0.973
12,Self,match,1,1,1,0.75
12,Stranger,mismatch,0,1,0,0.802
12,Self,match,1,1,1,0.612
12,Self,mismatch,0,1,0,0.638
12,Friend,mismatch,0,1,0,0.767
12,Friend,match,1,1,1,0.629
12,Stranger,match,1,1,1,0.812
12,Friend,mismatch,0,1,0,0.717
12,Friend,mismatch,0,1,0,0.895
12,Stranger,mismatch,0,1,0,0.578
12,Friend,match,1,1,1,0.58
12,Self,match,1,0,0,0.662
12,Friend,match,1,1,1,0.61
12,Stranger,match,1,1,1,0.603
12,Stranger,mismatch,0,1,0,0.716
12,Stranger,match,1,1,1,0.77
12,Friend,mismatch,0,1,0,0.692
12,Self,mismatch,0,1,0,0.921
12,Self,mismatch,0,1,0,0.773
12,Self,match,1,1,1,0.626
12,Stranger,match,1,1,1,1.086
12,Friend,mismatch,0,1,0,1.003
12,Stranger,mismatch,0,1,0,0.78
12,Self,mismatch,0,0,1,0.741
12,Friend,match,1,1,1,0.749
12,Friend,mismatch,0,1,0,0.621
12,Self,mismatch,0,1,0,0.708
12,Stranger,mismatch,0,1,0,0.864
12,Self,match,1,1,1,0.433
12,Friend,match,1,1,1,0.764
12,Stranger,match,1,0,0,0.59
12,Self,match,1,1,1,0.531
12,Friend,match,1,1,1,0.543
12,Stranger,mismatch,0,1,0,0.683
12,Stranger,mismatch,0,1,0,0.648
12,Friend,match,1,1,1,0.357
12,Friend,mismatch,0,0,1,0.54
12,Self,mismatch,0,1,0,0.706
12,Friend,mismatch,0,0,1,0.666
12,Self,mismatch,0,1,0,0.671
12,Stranger,match,1,1,1,0.525
12,Self,match,1,1,1,0.484
12,Friend,mismatch,0,1,0,0.753
12,Friend,match,1,1,1,0.89
12,Friend,match,1,1,1,0.598
12,Stranger,mismatch,0,1,0,0.568
12,Self,mismatch,0,1,0,0.978
12,Self,match,1,1,1,0.437
12,Friend,mismatch,0,1,0,0.913
12,Stranger,match,1,1,1,0.694
12,Stranger,match,1,1,1,0.72
12,Self,mismatch,0,1,0,0.721
12,Self,mismatch,0,1,0,0.81
12,Self,match,1,1,1,0.586
12,Self,mismatch,0,1,0,0.648
12,Self,match,1,1,1,0.608
12,Stranger,mismatch,0,1,0,0.551
12,Stranger,mismatch,0,1,0,0.69
12,Friend,match,1,0,0,0.84
12,Friend,mismatch,0,1,0,0.803
12,Friend,mismatch,0,1,0,0.705
12,Stranger,match,1,1,1,0.68
12,Stranger,match,1,1,1,0.69
12,Self,match,1,1,1,0.441
12,Stranger,match,1,1,1,0.961
12,Friend,match,1,1,1,0.389
12,Friend,mismatch,0,1,0,0.727
