SessionDate,Subject,Age,Handedness,MotherTongue,Sex,Procedure[SubTrial],LabelOrder,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Target.ACC,Target.CRESP,Target.RESP,Target.RT,Congruent,Incongruent,Stimulus,Word
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1032,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1015,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1480,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,565,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,503,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,781,m,z,circle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,0,z,m,2550,m,z,triangle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1599,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1159,m,z,square.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1712,m,z,circle.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,948,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,3606,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1453,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1692,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1968,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,CloseBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,761,m,z,triangle.bmp,Self
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,0,z,m,371,m,z,triangle.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,z,z,1557,m,z,square.bmp,Stranger
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1552,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,MediumBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,906,m,z,square.bmp,Friend
11-20-2016,8,27,right,Hebrew,female,MMProc,USF,FarBlock,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,1,m,m,1615,m,z,circle.bmp,Stranger
