Participant.Public.ID,Trial.Number,Reaction.Time,Response,Correct,Incorrect,Label,Model,P_Group,P_Orginal,ACC_Mat
61298eaadde17b9139f37d89,7,1357,right,1,0,Me,m38,User,JA,0.90625
61298eaadde17b9139f37d89,8,4066,right,1,0,Me,f27,User,NEIN,0.90625
61298eaadde17b9139f37d89,9,1169,left,1,0,Me,m35,Other,JA,0.90625
61298eaadde17b9139f37d89,10,3159,right,1,0,Stranger,m35,Other,NEIN,0.90625
61298eaadde17b9139f37d89,11,3956,left,0,1,Stranger,f18,Other,NEIN,0.90625
61298eaadde17b9139f37d89,12,1164,left,1,0,Stranger,m33,User,NEIN,0.90625
61298eaadde17b9139f37d89,13,1215,left,1,0,Me,f18,Other,NEIN,0.90625
61298eaadde17b9139f37d89,14,1056,right,1,0,Me,m38,User,JA,0.90625
61298eaadde17b9139f37d89,15,948,right,1,0,Stranger,m34,Other,JA,0.90625
61298eaadde17b9139f37d89,16,921,right,1,0,Stranger,f15,Other,NEIN,0.90625
61298eaadde17b9139f37d89,17,2330,right,0,1,Stranger,f4,User,NEIN,0.90625
61298eaadde17b9139f37d89,18,1292,left,1,0,Me,m35,Other,JA,0.90625
61298eaadde17b9139f37d89,19,825,right,0,1,Stranger,f4,User,NEIN,0.90625
61298eaadde17b9139f37d89,20,1190,left,1,0,Me,f15,Other,NEIN,0.90625
61298eaadde17b9139f37d89,21,8350,left,1,0,Me,f15,Other,NEIN,0.90625
61298eaadde17b9139f37d89,22,901,left,1,0,Me,m34,Other,NEIN,0.90625
61298eaadde17b9139f37d89,23,1495,left,1,0,Stranger,m33,User,JA,0.90625
61298eaadde17b9139f37d89,24,1731,right,1,0,Stranger,m35,Other,NEIN,0.90625
61298eaadde17b9139f37d89,25,4050,left,1,0,Stranger,f4,User,JA,0.90625
61298eaadde17b9139f37d89,26,1022,right,1,0,Stranger,m34,Other,NEIN,0.90625
61298eaadde17b9139f37d89,27,1239,right,0,1,Me,f18,Other,JA,0.90625
61298eaadde17b9139f37d89,28,928,left,1,0,Me,f15,Other,JA,0.90625
61298eaadde17b9139f37d89,29,941,left,1,0,Stranger,f27,User,NEIN,0.90625
61298eaadde17b9139f37d89,30,1045,left,1,0,Me,m34,Other,NEIN,0.90625
61298eaadde17b9139f37d89,31,1080,left,1,0,Stranger,f27,User,JA,0.90625
