"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
"162",1,"Nonmatching","Partner","Bottom",1367,1.367,1
"163",1,"Nonmatching","Partner","Bottom",1017,1.017,1
"164",1,"Nonmatching","Partner","Bottom",767,0.767,1
"165",1,"Nonmatching","Partner","Bottom",1333,1.333,1
"166",1,"Nonmatching","Partner","Bottom",1217,1.217,1
"167",1,"Nonmatching","Partner","Bottom",1083,1.083,1
"168",1,"Nonmatching","Partner","Bottom",900,0.9,1
"169",1,"Nonmatching","Partner","Bottom",917,0.917,1
"170",1,"Nonmatching","Partner","Bottom",800,0.8,1
"171",1,"Nonmatching","Partner","Bottom",900,0.9,1
"172",1,"Nonmatching","Partner","Bottom",1183,1.183,1
"173",1,"Nonmatching","Partner","Bottom",850,0.85,1
"174",1,"Nonmatching","Partner","Bottom",950,0.95,1
"175",1,"Nonmatching","Partner","Bottom",933,0.933,1
"176",1,"Nonmatching","Partner","Bottom",1200,1.2,1
"177",1,"Nonmatching","Partner","Top",800,0.8,0
"178",1,"Nonmatching","Partner","Top",600,0.6,0
"179",1,"Nonmatching","Partner","Top",767,0.767,1
"180",1,"Nonmatching","Partner","Top",783,0.783,1
"181",1,"Nonmatching","Partner","Top",1350,1.35,1
"182",1,"Nonmatching","Partner","Top",917,0.917,1
"183",1,"Nonmatching","Partner","Top",834,0.834,1
"184",1,"Nonmatching","Partner","Top",900,0.9,1
"185",1,"Nonmatching","Partner","Top",784,0.784,1
"186",1,"Nonmatching","Partner","Top",850,0.85,1
"187",1,"Nonmatching","Partner","Top",733,0.733,1
"188",1,"Nonmatching","Partner","Top",800,0.8,1
"189",1,"Nonmatching","Partner","Top",817,0.817,1
"190",1,"Nonmatching","Partner","Top",1100,1.1,1
"191",1,"Nonmatching","Partner","Top",967,0.967,1
"192",1,"Nonmatching","Partner","Top",1034,1.034,1
"193",1,"Nonmatching","Partner","Top",1133,1.133,1
"194",1,"Nonmatching","Partner","Top",750,0.75,1
"195",1,"Nonmatching","Stranger","Bottom",650,0.65,1
"196",1,"Nonmatching","Stranger","Bottom",600,0.6,1
"197",1,"Nonmatching","Stranger","Bottom",700,0.7,1
"198",1,"Nonmatching","Stranger","Bottom",617,0.617,1
"199",1,"Nonmatching","Stranger","Bottom",834,0.834,1
"200",1,"Nonmatching","Stranger","Bottom",1150,1.15,1
"201",1,"Nonmatching","Stranger","Bottom",1283,1.283,1
"202",1,"Nonmatching","Stranger","Bottom",750,0.75,1
"203",1,"Nonmatching","Stranger","Bottom",1033,1.033,1
"204",1,"Nonmatching","Stranger","Bottom",833,0.833,1
"205",1,"Nonmatching","Stranger","Bottom",967,0.967,1
"206",1,"Nonmatching","Stranger","Bottom",784,0.784,1
"207",1,"Nonmatching","Stranger","Bottom",750,0.75,1
"208",1,"Nonmatching","Stranger","Bottom",1000,1,1
"209",1,"Nonmatching","Stranger","Bottom",800,0.8,1
"210",1,"Nonmatching","Stranger","Bottom",783,0.783,1
"211",1,"Nonmatching","Stranger","Bottom",817,0.817,1
"212",1,"Nonmatching","Stranger","Bottom",967,0.967,1
"213",1,"Nonmatching","Stranger","Bottom",884,0.884,1
"214",1,"Nonmatching","Stranger","Top",717,0.717,1
"215",1,"Nonmatching","Stranger","Top",883,0.883,1
"216",1,"Nonmatching","Stranger","Top",817,0.817,1
"217",1,"Nonmatching","Stranger","Top",867,0.867,1
"218",1,"Nonmatching","Stranger","Top",700,0.7,1
"219",1,"Nonmatching","Stranger","Top",783,0.783,1
"220",1,"Nonmatching","Stranger","Top",667,0.667,1
"221",1,"Nonmatching","Stranger","Top",833,0.833,1
"222",1,"Nonmatching","Stranger","Top",983,0.983,1
"223",1,"Nonmatching","Stranger","Top",683,0.683,1
"224",1,"Nonmatching","Stranger","Top",1000,1,1
"225",1,"Nonmatching","Stranger","Top",1133,1.133,1
"226",1,"Nonmatching","Stranger","Top",783,0.783,1
"227",1,"Nonmatching","Stranger","Top",867,0.867,1
"228",1,"Nonmatching","Stranger","Top",650,0.65,1
"229",1,"Nonmatching","Stranger","Top",1050,1.05,1
"230",1,"Nonmatching","Stranger","Top",967,0.967,1
"231",1,"Nonmatching","Stranger","Top",767,0.767,1
"232",1,"Nonmatching","Stranger","Top",867,0.867,1
"233",2,"Matching","Self","Bottom",400,0.4,1
"234",2,"Matching","Self","Bottom",517,0.517,1
"235",2,"Matching","Self","Bottom",550,0.55,1
"236",2,"Matching","Self","Bottom",483,0.483,1
"237",2,"Matching","Self","Bottom",450,0.45,1
"238",2,"Matching","Self","Bottom",400,0.4,1
"239",2,"Matching","Self","Bottom",617,0.617,1
"240",2,"Matching","Self","Bottom",334,0.334,1
"241",2,"Matching","Self","Bottom",517,0.517,1
"242",2,"Matching","Self","Bottom",467,0.467,1
"243",2,"Matching","Self","Bottom",517,0.517,1
"244",2,"Matching","Self","Bottom",1133,1.133,1
"245",2,"Matching","Self","Bottom",500,0.5,1
"246",2,"Matching","Self","Bottom",483,0.483,1
"247",2,"Matching","Self","Bottom",500,0.5,1
"248",2,"Matching","Self","Bottom",584,0.584,1
"249",2,"Matching","Self","Bottom",567,0.567,1
"250",2,"Matching","Self","Bottom",450,0.45,1
"251",2,"Matching","Self","Bottom",667,0.667,1
"252",2,"Matching","Self","Bottom",517,0.517,1
"253",2,"Matching","Self","Top",750,0.75,1
"254",2,"Matching","Self","Top",534,0.534,1
"255",2,"Matching","Self","Top",517,0.517,1
"256",2,"Matching","Self","Top",667,0.667,1
"257",2,"Matching","Self","Top",533,0.533,1
"258",2,"Matching","Self","Top",617,0.617,0
"259",2,"Matching","Self","Top",433,0.433,1
"260",2,"Matching","Self","Top",617,0.617,1
"261",2,"Matching","Self","Top",450,0.45,1
"262",2,"Matching","Self","Top",567,0.567,1
"263",2,"Matching","Self","Top",517,0.517,1
"264",2,"Matching","Self","Top",617,0.617,1
"265",2,"Matching","Self","Top",500,0.5,1
"266",2,"Matching","Self","Top",383,0.383,1
"267",2,"Matching","Self","Top",500,0.5,1
"268",2,"Matching","Self","Top",567,0.567,1
"269",2,"Matching","Self","Top",767,0.767,1
"270",2,"Matching","Self","Top",600,0.6,1
"271",2,"Matching","Self","Top",567,0.567,0
"272",2,"Matching","Self","Top",583,0.583,1
"273",2,"Matching","Partner","Bottom",783,0.783,1
"274",2,"Matching","Partner","Bottom",434,0.434,0
"275",2,"Matching","Partner","Bottom",1050,1.05,1
"276",2,"Matching","Partner","Bottom",517,0.517,1
"277",2,"Matching","Partner","Bottom",467,0.467,1
"278",2,"Matching","Partner","Bottom",367,0.367,1
"279",2,"Matching","Partner","Bottom",617,0.617,0
"280",2,"Matching","Partner","Bottom",650,0.65,0
"281",2,"Matching","Partner","Bottom",483,0.483,1
"282",2,"Matching","Partner","Bottom",633,0.633,1
"283",2,"Matching","Partner","Bottom",400,0.4,1
"284",2,"Matching","Partner","Bottom",500,0.5,1
"285",2,"Matching","Partner","Bottom",883,0.883,1
"286",2,"Matching","Partner","Bottom",533,0.533,0
"287",2,"Matching","Partner","Bottom",584,0.584,0
"288",2,"Matching","Partner","Bottom",517,0.517,1
"289",2,"Matching","Partner","Bottom",717,0.717,1
"290",2,"Matching","Partner","Bottom",417,0.417,1
"291",2,"Matching","Partner","Bottom",650,0.65,0
"292",2,"Matching","Partner","Bottom",634,0.634,1
"293",2,"Matching","Partner","Top",450,0.45,0
"294",2,"Matching","Partner","Top",467,0.467,0
"295",2,"Matching","Partner","Top",634,0.634,1
"296",2,"Matching","Partner","Top",717,0.717,0
"297",2,"Matching","Partner","Top",567,0.567,1
"298",2,"Matching","Partner","Top",567,0.567,1
"299",2,"Matching","Partner","Top",667,0.667,1
"300",2,"Matching","Partner","Top",1367,1.367,1
"301",2,"Matching","Partner","Top",600,0.6,1
"302",2,"Matching","Partner","Top",717,0.717,1
"303",2,"Matching","Partner","Top",684,0.684,1
"304",2,"Matching","Partner","Top",533,0.533,1
"305",2,"Matching","Partner","Top",700,0.7,1
"306",2,"Matching","Partner","Top",634,0.634,1
"307",2,"Matching","Partner","Top",467,0.467,1
"308",2,"Matching","Partner","Top",633,0.633,0
"309",2,"Matching","Partner","Top",533,0.533,1
"310",2,"Matching","Partner","Top",367,0.367,1
"311",2,"Matching","Partner","Top",683,0.683,1
"312",2,"Matching","Partner","Top",700,0.7,1
"313",2,"Matching","Stranger","Bottom",650,0.65,1
"314",2,"Matching","Stranger","Bottom",733,0.733,1
"315",2,"Matching","Stranger","Bottom",617,0.617,1
"316",2,"Matching","Stranger","Bottom",333,0.333,1
"317",2,"Matching","Stranger","Bottom",617,0.617,1
"318",2,"Matching","Stranger","Bottom",600,0.6,1
"319",2,"Matching","Stranger","Bottom",617,0.617,0
"320",2,"Matching","Stranger","Bottom",1367,1.367,1
"321",2,"Matching","Stranger","Bottom",800,0.8,1
"322",2,"Matching","Stranger","Bottom",733,0.733,0
"323",2,"Matching","Stranger","Bottom",384,0.384,1
"324",2,"Matching","Stranger","Bottom",533,0.533,1
"325",2,"Matching","Stranger","Bottom",550,0.55,1
"326",2,"Matching","Stranger","Bottom",534,0.534,1
"327",2,"Matching","Stranger","Bottom",617,0.617,1
"328",2,"Matching","Stranger","Bottom",817,0.817,1
"329",2,"Matching","Stranger","Bottom",517,0.517,1
"330",2,"Matching","Stranger","Bottom",400,0.4,1
"331",2,"Matching","Stranger","Bottom",533,0.533,1
"332",2,"Matching","Stranger","Top",400,0.4,1
"333",2,"Matching","Stranger","Top",667,0.667,0
"334",2,"Matching","Stranger","Top",450,0.45,1
"335",2,"Matching","Stranger","Top",617,0.617,1
"336",2,"Matching","Stranger","Top",333,0.333,1
"337",2,"Matching","Stranger","Top",367,0.367,1
"338",2,"Matching","Stranger","Top",633,0.633,1
"339",2,"Matching","Stranger","Top",550,0.55,0
"340",2,"Matching","Stranger","Top",750,0.75,0
"341",2,"Matching","Stranger","Top",350,0.35,1
"342",2,"Matching","Stranger","Top",883,0.883,1
"343",2,"Matching","Stranger","Top",750,0.75,0
"344",2,"Matching","Stranger","Top",517,0.517,1
"345",2,"Matching","Stranger","Top",583,0.583,1
"346",2,"Matching","Stranger","Top",517,0.517,1
"347",2,"Matching","Stranger","Top",583,0.583,1
"348",2,"Matching","Stranger","Top",550,0.55,1
"349",2,"Matching","Stranger","Top",367,0.367,1
"350",2,"Matching","Stranger","Top",483,0.483,1
"351",2,"Matching","Stranger","Top",417,0.417,1
"352",2,"Nonmatching","Self","Bottom",1317,1.317,1
"353",2,"Nonmatching","Self","Bottom",1000,1,1
"354",2,"Nonmatching","Self","Bottom",1200,1.2,1
"355",2,"Nonmatching","Self","Bottom",733,0.733,1
"356",2,"Nonmatching","Self","Bottom",600,0.6,0
"357",2,"Nonmatching","Self","Bottom",583,0.583,0
"358",2,"Nonmatching","Self","Bottom",850,0.85,1
"359",2,"Nonmatching","Self","Bottom",733,0.733,1
"360",2,"Nonmatching","Self","Bottom",1017,1.017,1
"361",2,"Nonmatching","Self","Bottom",1083,1.083,1
"362",2,"Nonmatching","Self","Bottom",500,0.5,0
"363",2,"Nonmatching","Self","Bottom",833,0.833,1
"364",2,"Nonmatching","Self","Bottom",883,0.883,1
"365",2,"Nonmatching","Self","Bottom",750,0.75,1
"366",2,"Nonmatching","Self","Bottom",933,0.933,1
"367",2,"Nonmatching","Self","Bottom",417,0.417,0
"368",2,"Nonmatching","Self","Bottom",717,0.717,1
"369",2,"Nonmatching","Self","Top",750,0.75,1
"370",2,"Nonmatching","Self","Top",717,0.717,1
"371",2,"Nonmatching","Self","Top",717,0.717,1
"372",2,"Nonmatching","Self","Top",800,0.8,1
"373",2,"Nonmatching","Self","Top",717,0.717,1
"374",2,"Nonmatching","Self","Top",1083,1.083,1
"375",2,"Nonmatching","Self","Top",483,0.483,0
"376",2,"Nonmatching","Self","Top",850,0.85,1
"377",2,"Nonmatching","Self","Top",917,0.917,1
"378",2,"Nonmatching","Self","Top",550,0.55,0
"379",2,"Nonmatching","Self","Top",734,0.734,1
"380",2,"Nonmatching","Self","Top",400,0.4,1
"381",2,"Nonmatching","Self","Top",733,0.733,1
"382",2,"Nonmatching","Self","Top",617,0.617,0
"383",2,"Nonmatching","Self","Top",1050,1.05,1
"384",2,"Nonmatching","Self","Top",1200,1.2,1
"385",2,"Nonmatching","Self","Top",934,0.934,1
"386",2,"Nonmatching","Self","Top",767,0.767,1
"387",2,"Nonmatching","Self","Top",834,0.834,1
"388",2,"Nonmatching","Partner","Bottom",417,0.417,0
"389",2,"Nonmatching","Partner","Bottom",1300,1.3,1
"390",2,"Nonmatching","Partner","Bottom",817,0.817,1
"391",2,"Nonmatching","Partner","Bottom",934,0.934,1
"392",2,"Nonmatching","Partner","Bottom",1034,1.034,1
"393",2,"Nonmatching","Partner","Bottom",950,0.95,1
"394",2,"Nonmatching","Partner","Bottom",417,0.417,0
"395",2,"Nonmatching","Partner","Bottom",650,0.65,1
"396",2,"Nonmatching","Partner","Bottom",667,0.667,1
"397",2,"Nonmatching","Partner","Bottom",1383,1.383,1
"398",2,"Nonmatching","Partner","Bottom",733,0.733,1
"399",2,"Nonmatching","Partner","Bottom",1133,1.133,1
"400",2,"Nonmatching","Partner","Bottom",1067,1.067,1
"401",2,"Nonmatching","Partner","Bottom",650,0.65,1
"402",2,"Nonmatching","Partner","Bottom",1200,1.2,1
"403",2,"Nonmatching","Partner","Bottom",583,0.583,1
"404",2,"Nonmatching","Partner","Bottom",800,0.8,0
"405",2,"Nonmatching","Partner","Bottom",983,0.983,1
"406",2,"Nonmatching","Partner","Bottom",783,0.783,1
"407",2,"Nonmatching","Partner","Top",517,0.517,0
"408",2,"Nonmatching","Partner","Top",867,0.867,1
"409",2,"Nonmatching","Partner","Top",567,0.567,1
"410",2,"Nonmatching","Partner","Top",750,0.75,1
"411",2,"Nonmatching","Partner","Top",617,0.617,1
"412",2,"Nonmatching","Partner","Top",650,0.65,0
"413",2,"Nonmatching","Partner","Top",900,0.9,1
"414",2,"Nonmatching","Partner","Top",1083,1.083,1
"415",2,"Nonmatching","Partner","Top",833,0.833,1
"416",2,"Nonmatching","Partner","Top",1367,1.367,1
"417",2,"Nonmatching","Partner","Top",783,0.783,1
"418",2,"Nonmatching","Partner","Top",617,0.617,1
"419",2,"Nonmatching","Partner","Top",833,0.833,1
"420",2,"Nonmatching","Partner","Top",633,0.633,1
"421",2,"Nonmatching","Partner","Top",384,0.384,0
"422",2,"Nonmatching","Partner","Top",717,0.717,1
"423",2,"Nonmatching","Partner","Top",1217,1.217,1
"424",2,"Nonmatching","Partner","Top",883,0.883,1
"425",2,"Nonmatching","Stranger","Bottom",917,0.917,1
"426",2,"Nonmatching","Stranger","Bottom",767,0.767,1
"427",2,"Nonmatching","Stranger","Bottom",617,0.617,1
"428",2,"Nonmatching","Stranger","Bottom",383,0.383,1
"429",2,"Nonmatching","Stranger","Bottom",1000,1,1
"430",2,"Nonmatching","Stranger","Bottom",567,0.567,0
"431",2,"Nonmatching","Stranger","Bottom",500,0.5,1
"432",2,"Nonmatching","Stranger","Bottom",917,0.917,1
"433",2,"Nonmatching","Stranger","Bottom",1017,1.017,1
"434",2,"Nonmatching","Stranger","Bottom",400,0.4,0
"435",2,"Nonmatching","Stranger","Bottom",1150,1.15,1
"436",2,"Nonmatching","Stranger","Bottom",584,0.584,1
"437",2,"Nonmatching","Stranger","Bottom",650,0.65,0
"438",2,"Nonmatching","Stranger","Bottom",433,0.433,1
"439",2,"Nonmatching","Stranger","Bottom",817,0.817,1
"440",2,"Nonmatching","Stranger","Bottom",667,0.667,1
"441",2,"Nonmatching","Stranger","Bottom",1033,1.033,1
"442",2,"Nonmatching","Stranger","Bottom",783,0.783,1
"443",2,"Nonmatching","Stranger","Bottom",917,0.917,1
"444",2,"Nonmatching","Stranger","Bottom",733,0.733,1
"445",2,"Nonmatching","Stranger","Top",983,0.983,1
"446",2,"Nonmatching","Stranger","Top",484,0.484,0
"447",2,"Nonmatching","Stranger","Top",733,0.733,1
"448",2,"Nonmatching","Stranger","Top",650,0.65,1
"449",2,"Nonmatching","Stranger","Top",500,0.5,0
"450",2,"Nonmatching","Stranger","Top",767,0.767,1
"451",2,"Nonmatching","Stranger","Top",717,0.717,1
"452",2,"Nonmatching","Stranger","Top",667,0.667,1
"453",2,"Nonmatching","Stranger","Top",850,0.85,1
"454",2,"Nonmatching","Stranger","Top",484,0.484,0
"455",2,"Nonmatching","Stranger","Top",1433,1.433,1
"456",2,"Nonmatching","Stranger","Top",850,0.85,1
"457",2,"Nonmatching","Stranger","Top",717,0.717,0
"458",2,"Nonmatching","Stranger","Top",683,0.683,1
"459",2,"Nonmatching","Stranger","Top",683,0.683,1
"460",2,"Nonmatching","Stranger","Top",883,0.883,1
"461",2,"Nonmatching","Stranger","Top",967,0.967,1
"462",2,"Nonmatching","Stranger","Top",650,0.65,1
"463",2,"Nonmatching","Stranger","Top",667,0.667,1
"464",2,"Nonmatching","Stranger","Top",667,0.667,1
"465",3,"Matching","Self","Bottom",634,0.634,1
"466",3,"Matching","Self","Bottom",650,0.65,1
"467",3,"Matching","Self","Bottom",700,0.7,1
"468",3,"Matching","Self","Bottom",600,0.6,1
"469",3,"Matching","Self","Bottom",683,0.683,1
"470",3,"Matching","Self","Bottom",500,0.5,1
"471",3,"Matching","Self","Bottom",617,0.617,1
"472",3,"Matching","Self","Bottom",783,0.783,1
"473",3,"Matching","Self","Bottom",567,0.567,1
"474",3,"Matching","Self","Bottom",667,0.667,1
"475",3,"Matching","Self","Bottom",567,0.567,1
"476",3,"Matching","Self","Bottom",917,0.917,1
"477",3,"Matching","Self","Bottom",533,0.533,1
"478",3,"Matching","Self","Bottom",717,0.717,1
"479",3,"Matching","Self","Bottom",750,0.75,1
"480",3,"Matching","Self","Bottom",617,0.617,1
"481",3,"Matching","Self","Bottom",467,0.467,1
"482",3,"Matching","Self","Bottom",733,0.733,1
"483",3,"Matching","Self","Bottom",584,0.584,1
"484",3,"Matching","Self","Bottom",717,0.717,1
"485",3,"Matching","Self","Top",567,0.567,1
"486",3,"Matching","Self","Top",583,0.583,1
"487",3,"Matching","Self","Top",583,0.583,1
"488",3,"Matching","Self","Top",667,0.667,0
"489",3,"Matching","Self","Top",483,0.483,1
"490",3,"Matching","Self","Top",650,0.65,1
"491",3,"Matching","Self","Top",700,0.7,1
"492",3,"Matching","Self","Top",467,0.467,1
"493",3,"Matching","Self","Top",717,0.717,1
"494",3,"Matching","Self","Top",850,0.85,1
"495",3,"Matching","Self","Top",700,0.7,1
"496",3,"Matching","Self","Top",833,0.833,1
"497",3,"Matching","Self","Top",650,0.65,1
"498",3,"Matching","Self","Top",767,0.767,1
"499",3,"Matching","Self","Top",600,0.6,1
"500",3,"Matching","Self","Top",600,0.6,1
"501",3,"Matching","Self","Top",617,0.617,1
"502",3,"Matching","Self","Top",784,0.784,1
"503",3,"Matching","Self","Top",634,0.634,1
"504",3,"Matching","Self","Top",533,0.533,1
"505",3,"Matching","Partner","Bottom",684,0.684,1
"506",3,"Matching","Partner","Bottom",784,0.784,1
"507",3,"Matching","Partner","Bottom",867,0.867,1
