"Subject","Gender","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Cue","RT_ms","RT_sec","ACC"
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",473,0.473,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",480,0.48,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",679,0.679,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",510,0.51,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",569,0.569,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",377,0.377,0
1,"female","Nonmatching","Self","Self","Self","No cue",603,0.603,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",627,0.627,1
1,"female","Nonmatching","Self","Self","Self","No cue",509,0.509,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",461,0.461,1
1,"female","Nonmatching","Self","Self","Self","No cue",435,0.435,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",461,0.461,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",491,0.491,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",389,0.389,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",332,0.332,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",625,0.625,1
1,"female","Nonmatching","Self","Self","Self","No cue",525,0.525,1
1,"female","Matching","Self","Self","Self","Alter cue",348,0.348,1
1,"female","Nonmatching","Self","Self","Self","No cue",419,0.419,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",355,0.355,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",541,0.541,1
1,"female","Nonmatching","Self","Self","Self","No cue",415,0.415,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",456,0.456,0
1,"female","Nonmatching","Self","Self","Self","No cue",456,0.456,1
1,"female","Matching","Self","Self","Self","Alter cue",491,0.491,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",568,0.568,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",693,0.693,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",538,0.538,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",602,0.602,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",656,0.656,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",368,0.368,1
1,"female","Matching","Self","Self","Self","Alter cue",381,0.381,0
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",495,0.495,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",531,0.531,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",628,0.628,1
1,"female","Matching","Self","Self","Self","No cue",453,0.453,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",661,0.661,1
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",288,0.288,1
1,"female","Nonmatching","Self","Self","Self","No cue",405,0.405,1
1,"female","Matching","Self","Self","Self","No cue",493,0.493,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",361,0.361,0
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",549,0.549,1
1,"female","Nonmatching","Self","Self","Self","Alter cue",673,0.673,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",342,0.342,1
1,"female","Matching","Self","Self","Self","No cue",382,0.382,1
1,"female","Nonmatching","Self","Self","Self","No cue",541,0.541,1
1,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",401,0.401,0
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",472,0.472,0
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",508,0.508,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",559,0.559,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",379,0.379,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",250,0.25,1
1,"female","Matching","Self","Self","Self","Alter cue",297,0.297,0
1,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",457,0.457,0
1,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",507,0.507,1
1,"female","Matching","Familiar","Familiar","Celebrity","No cue",433,0.433,1
1,"female","Matching","Self","Self","Self","No cue",572,0.572,1
1,"female","Nonmatching","Self","Self","Self","No cue",891,0.891,1
2,"female","Matching","Self","Self","Self","No cue",658,0.658,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",890,0.89,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",570,0.57,0
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",656,0.656,1
2,"female","Nonmatching","Self","Self","Self","No cue",768,0.768,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",741,0.741,0
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",670,0.67,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",673,0.673,1
2,"female","Nonmatching","Self","Self","Self","No cue",631,0.631,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",637,0.637,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",761,0.761,1
2,"female","Matching","Self","Self","Self","Alter cue",584,0.584,1
2,"female","Matching","Self","Self","Self","No cue",548,0.548,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",626,0.626,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",644,0.644,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",805,0.805,0
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",738,0.738,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",726,0.726,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",784,0.784,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",725,0.725,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",713,0.713,1
2,"female","Matching","Self","Self","Self","No cue",620,0.62,1
2,"female","Matching","Self","Self","Self","Alter cue",597,0.597,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",612,0.612,0
2,"female","Matching","Self","Self","Self","Alter cue",775,0.775,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",626,0.626,1
2,"female","Matching","Self","Self","Self","Alter cue",543,0.543,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",843,0.843,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",784,0.784,0
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",782,0.782,0
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",626,0.626,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",706,0.706,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",557,0.557,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",985,0.985,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",658,0.658,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",591,0.591,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",689,0.689,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",599,0.599,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",627,0.627,1
2,"female","Nonmatching","Self","Self","Self","No cue",604,0.604,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",547,0.547,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",650,0.65,1
2,"female","Matching","Self","Self","Self","No cue",689,0.689,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",687,0.687,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",702,0.702,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",636,0.636,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",666,0.666,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",715,0.715,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",679,0.679,1
2,"female","Matching","Self","Self","Self","No cue",611,0.611,1
2,"female","Nonmatching","Self","Self","Self","No cue",591,0.591,1
2,"female","Matching","Self","Self","Self","Alter cue",887,0.887,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",521,0.521,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",823,0.823,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",674,0.674,1
2,"female","Matching","Self","Self","Self","No cue",605,0.605,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",633,0.633,0
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",608,0.608,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",824,0.824,1
2,"female","Matching","Self","Self","Self","No cue",604,0.604,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",698,0.698,1
2,"female","Matching","Self","Self","Self","No cue",594,0.594,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",571,0.571,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",601,0.601,1
2,"female","Nonmatching","Self","Self","Self","No cue",720,0.72,1
2,"female","Matching","Self","Self","Self","No cue",560,0.56,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",651,0.651,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",711,0.711,1
2,"female","Matching","Self","Self","Self","No cue",513,0.513,1
2,"female","Matching","Self","Self","Self","Alter cue",492,0.492,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",697,0.697,1
2,"female","Matching","Self","Self","Self","No cue",552,0.552,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",608,0.608,1
2,"female","Nonmatching","Self","Self","Self","No cue",538,0.538,1
2,"female","Matching","Self","Self","Self","No cue",525,0.525,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",604,0.604,1
2,"female","Nonmatching","Self","Self","Self","No cue",588,0.588,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",903,0.903,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",652,0.652,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",629,0.629,0
2,"female","Matching","Self","Self","Self","No cue",751,0.751,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",690,0.69,1
2,"female","Nonmatching","Self","Self","Self","No cue",648,0.648,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",871,0.871,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",662,0.662,0
2,"female","Matching","Self","Self","Self","Alter cue",556,0.556,1
2,"female","Matching","Self","Self","Self","No cue",799,0.799,1
2,"female","Nonmatching","Self","Self","Self","No cue",528,0.528,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",620,0.62,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",899,0.899,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",656,0.656,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",543,0.543,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",622,0.622,1
2,"female","Nonmatching","Self","Self","Self","No cue",617,0.617,1
2,"female","Matching","Self","Self","Self","Alter cue",518,0.518,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",697,0.697,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",516,0.516,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",572,0.572,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",760,0.76,1
2,"female","Matching","Self","Self","Self","No cue",559,0.559,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",577,0.577,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",801,0.801,1
2,"female","Matching","Self","Self","Self","Alter cue",583,0.583,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",862,0.862,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",675,0.675,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",654,0.654,1
2,"female","Matching","Self","Self","Self","No cue",556,0.556,1
2,"female","Matching","Self","Self","Self","Alter cue",506,0.506,1
2,"female","Matching","Self","Self","Self","Alter cue",446,0.446,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",548,0.548,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",475,0.475,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",687,0.687,1
2,"female","Nonmatching","Self","Self","Self","No cue",594,0.594,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",705,0.705,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",687,0.687,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",677,0.677,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",635,0.635,1
2,"female","Matching","Self","Self","Self","Alter cue",490,0.49,0
2,"female","Nonmatching","Self","Self","Self","Alter cue",706,0.706,1
2,"female","Matching","Self","Self","Self","Alter cue",532,0.532,1
2,"female","Nonmatching","Self","Self","Self","No cue",694,0.694,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",726,0.726,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",506,0.506,1
2,"female","Matching","Self","Self","Self","Alter cue",499,0.499,0
2,"female","Matching","Self","Self","Self","Alter cue",463,0.463,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",574,0.574,1
2,"female","Matching","Self","Self","Self","Alter cue",529,0.529,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",573,0.573,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",481,0.481,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",540,0.54,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",468,0.468,0
2,"female","Nonmatching","Self","Self","Self","No cue",738,0.738,1
2,"female","Nonmatching","Self","Self","Self","No cue",632,0.632,1
2,"female","Matching","Self","Self","Self","Alter cue",691,0.691,0
2,"female","Matching","Self","Self","Self","No cue",470,0.47,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",590,0.59,1
2,"female","Nonmatching","Self","Self","Self","No cue",534,0.534,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",829,0.829,0
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",698,0.698,0
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",565,0.565,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",609,0.609,1
2,"female","Nonmatching","Self","Self","Self","No cue",582,0.582,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",528,0.528,0
2,"female","Nonmatching","Self","Self","Self","Alter cue",814,0.814,1
2,"female","Nonmatching","Self","Self","Self","No cue",689,0.689,0
2,"female","Nonmatching","Self","Self","Self","Alter cue",684,0.684,1
2,"female","Matching","Self","Self","Self","Alter cue",614,0.614,1
2,"female","Matching","Self","Self","Self","No cue",551,0.551,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",632,0.632,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",680,0.68,1
2,"female","Matching","Self","Self","Self","No cue",628,0.628,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",965,0.965,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",653,0.653,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",740,0.74,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",720,0.72,1
2,"female","Nonmatching","Self","Self","Self","No cue",658,0.658,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",710,0.71,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",735,0.735,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",566,0.566,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",666,0.666,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","No cue",920,0.92,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",743,0.743,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",725,0.725,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",694,0.694,1
2,"female","Matching","Self","Self","Self","No cue",595,0.595,1
2,"female","Nonmatching","Self","Self","Self","No cue",627,0.627,1
2,"female","Nonmatching","Self","Self","Self","No cue",677,0.677,1
2,"female","Matching","Self","Self","Self","No cue",674,0.674,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",696,0.696,0
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",633,0.633,1
2,"female","Matching","Self","Self","Self","Alter cue",539,0.539,1
2,"female","Nonmatching","Self","Self","Self","No cue",674,0.674,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",664,0.664,0
2,"female","Matching","Self","Self","Self","No cue",542,0.542,1
2,"female","Matching","Self","Self","Self","No cue",471,0.471,1
2,"female","Matching","Self","Self","Self","No cue",510,0.51,1
2,"female","Matching","Self","Self","Self","Alter cue",421,0.421,1
2,"female","Matching","Familiar","Familiar","Celebrity","No cue",577,0.577,1
2,"female","Matching","Self","Self","Self","Alter cue",532,0.532,1
2,"female","Nonmatching","Self","Self","Self","Alter cue",530,0.53,1
2,"female","Matching","Familiar","Familiar","Celebrity","Alter cue",658,0.658,1
2,"female","Matching","Self","Self","Self","Alter cue",535,0.535,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",475,0.475,1
2,"female","Matching","Self","Self","Self","Alter cue",345,0.345,1
2,"female","Matching","Self","Self","Self","No cue",449,0.449,1
2,"female","Matching","Self","Self","Self","Alter cue",358,0.358,1
2,"female","Nonmatching","Familiar","Familiar","Celebrity","Alter cue",342,0.342,0
