"","Subject","Trial","Matching","Face","Label","Response","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","RT_ms","RT_sec","ACC"
"69",2,5,"Nonmatching","m35","Stranger","right","Stranger","Other","Stranger","Stranger",1225,1.225,1
"70",2,6,"Nonmatching","f15","Stranger","right","Stranger","Other","Stranger","Stranger",1454.8,1.4548,1
"71",2,7,"Nonmatching","f27","Stranger","left","Stranger","User","Self","Self",1329.1,1.3291,1
"72",2,8,"Matching","m34","Stranger","right","Stranger","Other","Stranger","Stranger",1247.4,1.2474,1
"73",2,9,"Matching","m38","Stranger","left","Stranger","User","Self","Self",1086.4,1.0864,1
"74",2,10,"Matching","m35","Stranger","right","Stranger","Other","Stranger","Stranger",879.6,0.8796,1
"75",2,11,"Matching","f18","Stranger","right","Stranger","Other","Stranger","Stranger",936.1,0.9361,1
"76",2,12,"Matching","f15","Stranger","right","Stranger","Other","Stranger","Stranger",2180.1,2.1801,1
"77",2,13,"Matching","f27","Stranger","left","Stranger","User","Self","Self",1049.3,1.0493,1
"78",2,14,"Nonmatching","f15","Me","left","Me","Other","Stranger","Stranger",1301.6,1.3016,1
"79",2,15,"Matching","m33","Stranger","left","Stranger","User","Self","Self",1065.8,1.0658,1
"80",2,16,"Nonmatching","m38","Me","right","Me","User","Self","Self",714,0.714,1
"81",2,17,"Matching","m33","Me","right","Me","User","Self","Self",1465.4,1.4654,1
"82",2,18,"Nonmatching","m38","Me","right","Me","User","Self","Self",707.5,0.7075,1
"83",2,19,"Nonmatching","m33","Stranger","left","Stranger","User","Self","Self",1018.9,1.0189,1
"84",2,20,"Matching","m33","Stranger","left","Stranger","User","Self","Self",2142.4,2.1424,1
"85",2,21,"Nonmatching","f27","Stranger","left","Stranger","User","Self","Self",2058.5,2.0585,1
"86",2,22,"Nonmatching","f4","Stranger","right","Stranger","User","Self","Self",947.8000001,0.9478000001,0
"87",2,23,"Nonmatching","m35","Me","left","Me","Other","Stranger","Stranger",1217.2,1.2172,1
"88",2,24,"Nonmatching","m35","Me","left","Me","Other","Stranger","Stranger",2230.3,2.2303,1
"89",2,25,"Nonmatching","f27","Me","right","Me","User","Self","Self",1587.4,1.5874,1
"90",2,26,"Nonmatching","m34","Stranger","right","Stranger","Other","Stranger","Stranger",2917.2,2.9172,1
"91",2,27,"Matching","f18","Me","left","Me","Other","Stranger","Stranger",1599.2,1.5992,1
"92",2,28,"Matching","f27","Me","right","Me","User","Self","Self",1311.5,1.3115,1
"93",2,29,"Nonmatching","m34","Me","left","Me","Other","Stranger","Stranger",3680,3.68,1
"94",2,30,"Nonmatching","f15","Stranger","left","Stranger","Other","Stranger","Stranger",1749.4,1.7494,0
"95",2,31,"Nonmatching","f15","Me","right","Me","Other","Stranger","Stranger",1281.4,1.2814,0
"96",2,32,"Matching","f15","Me","right","Me","Other","Stranger","Stranger",1867.2,1.8672,0
"97",2,33,"Nonmatching","m38","Stranger","left","Stranger","User","Self","Self",3321.5,3.3215,1
"98",2,34,"Matching","m38","Me","right","Me","User","Self","Self",2602.8,2.6028,1
"99",2,35,"Matching","f18","Me","right","Me","Other","Stranger","Stranger",2660.4,2.6604,0
