SessionDate,Subject,Age,Handedness,MotherTongue,LabelOrder,Procedure[SubTrial],CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,BlockType,Target.RT,Target.ACC,Target.CRESP,Target.RESP,Congruent,Incongruent,Sex,Stimulus,Word
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,790,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,736,1,z,z,m,z,female,circle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,907,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,736,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,909,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,705,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,798,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,1175,1,z,z,m,z,female,triangle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,945,1,z,z,m,z,female,square.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,612,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,805,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,670,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,556,1,m,m,m,z,female,square.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,CloseBlock,511,1,m,m,m,z,female,triangle.bmp,Self
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,500,0,m,z,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,1409,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,705,1,m,m,m,z,female,circle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,FarBlock,782,1,z,z,m,z,female,triangle.bmp,Stranger
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,872,1,z,z,m,z,female,circle.bmp,Friend
06-07-2017,2816,21,right,Hebrew,UFS,MMProc,triangle.bmp,Self,square.bmp,Friend,circle.bmp,Stranger,MediumBlock,845,1,m,m,m,z,female,square.bmp,Friend
