"Subject","Cohens_d_RT","deta_RT","Cohens_d_ACC","deta_ACC","Matching","Condition"
1,-0.845383817245405,-120.331743421053,0.595676927447025,0.184484649122807,"Matching","Self-Stranger"
1,0.148000802663715,22.0209975199779,0.0499999814417703,0.0224579774042436,"Nonmatching","Self-Stranger"
2,-0.00313778369495298,-0.598897767980191,0.21730919582319,0.107247175530449,"Matching","Self-Stranger"
2,0.122211216080812,19.5555555555555,0.0633637965661263,0.0317460317460317,"Nonmatching","Self-Stranger"
3,-0.282916368857865,-66.0867052023121,-0.122735219635925,-0.0520231213872833,"Matching","Self-Stranger"
3,-0.0747514479461625,-15.0630616954094,0.0244236831838654,0.00783337381588534,"Nonmatching","Self-Stranger"
4,-0.545291083910605,-96.9278195898779,0.540373030120334,0.231157286212915,"Matching","Self-Stranger"
4,-0.533091817142195,-102.051917989418,0.189239318158812,0.0828373015873016,"Nonmatching","Self-Stranger"
5,-0.389997081564256,-70.8854166666666,0.117954101934482,0.0364583333333334,"Matching","Self-Stranger"
5,-0.0566955134735849,-10.9166666666666,0.246813944940563,0.09375,"Nonmatching","Self-Stranger"
6,0.0482102837941646,9.67555800496007,0.141680236693053,0.0465968586387435,"Matching","Self-Stranger"
6,-0.299628562447176,-63.7091055153883,-0.0282930993940939,-0.00925233385966373,"Nonmatching","Self-Stranger"
7,-0.481613636451134,-77.6010638297873,0.352276551448155,0.101063829787234,"Matching","Self-Stranger"
7,-0.00442774144042622,-0.735684761642347,0.00141689522261237,0.000358225406448032,"Nonmatching","Self-Stranger"
8,-0.739183252863269,-193.683126635567,0.173452001220648,0.0593924223461144,"Matching","Self-Stranger"
8,-0.246613552226503,-69.3405405405406,0.0611049391485007,0.0216216216216216,"Nonmatching","Self-Stranger"
9,-0.309260786715566,-71.4576067162567,0.300731910402679,0.103984690885521,"Matching","Self-Stranger"
9,0.0347329985243131,8.61171497584542,0.0365898638335649,0.00900046008741662,"Nonmatching","Self-Stranger"
10,0.159092914652948,31.2729602966841,0.00146272350107881,0.000381762652705064,"Matching","Self-Stranger"
10,-0.335401510648053,-69.0981359649123,-0.101686037816591,-0.0351973684210526,"Nonmatching","Self-Stranger"
11,-0.645179104208686,-92.213852665294,0.354961630761925,0.105868222374743,"Matching","Self-Stranger"
11,-0.0466299441581872,-6.47643979057591,0.0400799442919538,0.0104712041884817,"Nonmatching","Self-Stranger"
12,-0.167142545456773,-37.277901928234,0.173673670692434,0.0452049546673476,"Matching","Self-Stranger"
12,-0.30298147912253,-63.6050955414013,-0.155140764097982,-0.0362515245968289,"Nonmatching","Self-Stranger"
13,-0.290862378649087,-51.9759049710071,1.2297523051356,0.521055001970388,"Matching","Self-Stranger"
13,-0.037892150079176,-7.72105263157891,0.160094137652892,0.0736842105263158,"Nonmatching","Self-Stranger"
14,-0.485578599485885,-146.948879168945,0.375047881088443,0.161563696008748,"Matching","Self-Stranger"
14,-0.310510050541117,-93.5766129032259,0.136146982154861,0.0564516129032258,"Nonmatching","Self-Stranger"
15,-0.841859675623712,-172.358884162304,0.475379656630696,0.130099258289703,"Matching","Self-Stranger"
15,0.0782310914982764,15.9913194444445,0.00388843873030723,0.000909391534391624,"Nonmatching","Self-Stranger"
16,-0.0726955430510634,-20.4167539267016,0.0572141661012929,0.0211405122399887,"Matching","Self-Stranger"
16,-0.152848364073393,-45.2707323865218,0.01497206843235,0.00679476468950158,"Nonmatching","Self-Stranger"
17,-0.200779697644193,-33.4973270873519,0.0393443513736488,0.0109396527969137,"Matching","Self-Stranger"
17,-0.0780050795100039,-13.1684210526316,-0.14753027549027,-0.0421052631578948,"Nonmatching","Self-Stranger"
18,0.0270688562175741,5.71875,0,0,"Matching","Self-Stranger"
18,-0.316784417896459,-63.5104166666666,-0.110365870089448,-0.0520833333333334,"Nonmatching","Self-Stranger"
19,-0.692708460800509,-127.235602094241,0.439231151493526,0.12565445026178,"Matching","Self-Stranger"
19,0.160116743235222,32.4895833333333,0.139513355482164,0.0416666666666666,"Nonmatching","Self-Stranger"
20,-0.648329844289882,-106.202634162304,0.33197586928096,0.0523560209424084,"Matching","Self-Stranger"
20,-0.317224757185341,-50.575479930192,0.000760723223043337,0.000109075043630003,"Nonmatching","Self-Stranger"
21,-0.197533343116931,-57.9594298245614,0.158603268828562,0.0774122807017544,"Matching","Self-Stranger"
21,0.0313546258754944,9.83985745614035,0.162749704608609,0.0796052631578947,"Nonmatching","Self-Stranger"
22,0.327951318885502,63.542105263158,0,0,"Matching","Self-Stranger"
22,-0.808993337654392,-137.587260034904,0.608353694928136,0.236065663176265,"Nonmatching","Self-Stranger"
23,-0.414149303576683,-110.450537634409,0.47036716543264,0.173437954083115,"Matching","Self-Stranger"
23,0.0498734145524119,12.4420102351791,-0.149186488060786,-0.0476395836927146,"Nonmatching","Self-Stranger"
24,0.0262258348765488,5.29842931937173,0.184153258607819,0.0471204188481675,"Matching","Self-Stranger"
