Shape,resp,rt,selfkey,wekey,alonekey,theykey,WeShape,TheyShape,AloneShape,SelfShape,corr,Handedness,First Language,Participant Number,Gender,Age
You,o,0.571572503,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,3.664335662,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,0.729202165,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,0.792011784,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,2.643979998,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,0.710147353,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,1.221551026,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,0.768288514,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,1.117028484,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,0.87586401,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,1.39659394,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,0.696656792,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,1.30463498,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,0.576097256,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,6.260893201,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,0.710505038,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,0.645904232,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,0.823979572,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,0.946715221,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,1.288817097,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,q,0.46488648,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,5.529591118,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
They,p,0.824544129,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,2.451263662,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,1.388763563,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
You,o,0.560831298,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,1.142110246,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
We,w,0.788032244,q,w,o,p,Star,Triangle,Circle,Diamond,1,l,h,22,Female,21
Self,o,9.43464395,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,7.96573687,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,2.683023314,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,6.315182735,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,w,8.186278404,o,w,p,q,Diamond,Triangle,Star,Circle,0,r,h,23,Male,24
Self,o,9.278750993,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,4.167953174,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,2.380854227,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,12.0730826,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,2.642398841,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,w,5.876569905,o,w,p,q,Diamond,Triangle,Star,Circle,0,r,h,23,Male,24
Self,o,1.253531052,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,5.375083894,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,w,4.772006699,o,w,p,q,Diamond,Triangle,Star,Circle,0,r,h,23,Male,24
We,w,5.809021949,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,2.068614299,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.453415298,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,q,5.55090653,o,w,p,q,Diamond,Triangle,Star,Circle,0,r,h,23,Male,24
They,q,3.580490541,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.544672312,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,2.086818721,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.198972268,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.674331493,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.267139658,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,4.859979802,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.253501837,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,4.958987049,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.140565805,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.010675274,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,0.774030027,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.122670114,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.681553884,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,0.825682325,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.204370309,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,0.879822626,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,3.000547582,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.052063676,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.06949035,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,0.958246412,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,1.891748218,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,1.10776184,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.763188149,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,0.776610806,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,0.693354326,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,0.949398647,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,0.730841752,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.064888612,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,0.665646383,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,0.858353244,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,0.515798932,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,0.938495181,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,0.944543056,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.078643293,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,0.871390186,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.680116828,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,p,1.160902913,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,1.254345911,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
They,q,1.247814411,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
Self,o,0.873144263,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
We,w,2.129590092,o,w,p,q,Diamond,Triangle,Star,Circle,1,r,h,23,Male,24
You,q,16.71605231,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,11.59630921,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,8.056081906,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,3.346150506,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,3.752407069,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,3.085978596,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,3.310237525,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,2.565718868,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,12.73068068,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,3.545403078,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,2.023632467,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,12.89851975,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,2.410540096,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,2.16608658,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,2.266939497,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,1.003655018,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,3.79113968,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,3.091353738,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,2.963591551,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,3.736426926,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,0.846652686,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,1.800794408,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.972147562,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,5.889102298,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,2.801330145,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,1.132824652,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,2.058947728,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,4.132408932,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.842636824,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,1.332708109,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.954659299,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,4.848070002,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,2.92184428,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,3.600792513,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.892317514,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,3.140401176,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,1.314517899,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,0.841314259,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,2.051421343,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,2.028894304,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,0.519664771,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.654402603,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.815756768,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,2.154568812,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,0.81597588,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.762707287,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,p,2.872074762,w,p,q,o,Circle,Diamond,Star,Triangle,0,r,h,24,Female,25
Self,q,0.656986935,w,p,q,o,Circle,Diamond,Star,Triangle,0,r,h,24,Female,25
You,w,0.706369949,w,p,q,o,Circle,Diamond,Star,Triangle,0,r,h,24,Female,25
Self,w,3.601791741,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.861383696,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,2.054784213,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.896201908,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.552291078,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
Self,w,2.109711341,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,4.853201161,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
They,o,0.638751719,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,1.536825748,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,q,0.686749,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
We,p,1.743020803,w,p,q,o,Circle,Diamond,Star,Triangle,1,r,h,24,Female,25
You,w,9.388300073,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,5.073255911,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,3.474496596,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,3.923313315,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,4.082334632,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,2.202486344,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,3.422026676,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,3.28090026,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.673243041,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,2.76990915,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,2.68673834,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,2.782989124,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,2.747122729,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.384618209,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.972727122,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.217482262,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.244269146,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.526414592,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.317153555,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.099882904,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.547319417,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,2.344806621,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.302923936,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.950391164,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.259807513,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,0.949231649,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.018665938,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.229456414,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.048219551,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.20966136,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.300880078,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.084340589,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.308571882,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,0.835962014,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,2.638079777,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,0.848269769,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.049673978,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.051049051,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,0.732486865,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,0.634499375,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.084569175,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.924709707,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.267452731,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,0.972232443,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,1.440935413,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,0.947062247,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.288476784,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.992569946,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
They,p,1.188630991,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.976708636,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.269439738,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
Self,q,0.558256835,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,0.771658884,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.89636259,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,0.82444622,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.683203735,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,1.051287113,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
You,w,1.468730606,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,2.52536641,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,o,0.531993844,q,o,w,p,Diamond,Circle,Triangle,Star,1,r,h,25,Male,27
We,w,7.038142787,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,4.369043521,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,2.493628788,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,4.150234745,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,3.56375239,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,2.440719855,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.706830675,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.258309264,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,2.947791039,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,3.225505694,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,2.180149596,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,2.80832474,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,4.419884514,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.478757625,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.95962346,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.677095852,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,2.197919743,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.961385828,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,2.790874772,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.891022979,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,2.099150163,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,3.562659596,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.536133671,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,2.11034104,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.589769029,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.281869089,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.241978937,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.34810277,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.337529748,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.231595022,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.841542056,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.923498868,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,3.474672675,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.363553887,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,2.473049275,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.29779633,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.577377578,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,0.966000199,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,0.906732292,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,0.978192673,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,2.038878291,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.40903632,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,1.52443785,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.203249484,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.2306333,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.384778496,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,3.036847857,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.487025436,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,0.94316285,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.765198448,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.369994978,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
Self,q,1.726772593,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.365660517,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,1.658317002,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,p,0.883754001,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,1.547795935,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,1.289258084,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
You,o,0.817342267,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,1.339903654,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
We,w,0.929833759,q,w,o,p,Triangle,Diamond,Circle,Star,1,r,h,26,Female,31
They,o,6.929727954,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
We,p,4.136699177,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
Self,q,3.198855014,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,3.130255322,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,1.75258907,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
We,p,3.822047047,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
We,p,1.936977192,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
You,w,2.607079239,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,3.682640362,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,1.546785653,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
You,w,1.864902904,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
We,p,3.481764784,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
We,p,1.001921865,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,1.389338386,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
You,w,2.209418166,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,1.79695423,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
Self,q,1.016407707,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
You,w,2.587152323,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
Self,q,1.663279189,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
They,o,1.160727229,q,p,w,o,Star,Diamond,Triangle,Circle,1,r,h,27,Female,18
