"Subject","P1Age","P2Age","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC"
1,24,21,1,23,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","num_3",683.763245,0.683763245,0
1,24,21,1,24,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",624.425229,0.624425229,1
1,24,21,1,25,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",633.697768,0.633697768,1
1,24,21,1,26,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Top","z",683.589535,0.683589535,1
1,24,21,1,27,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","num_3",583.615315,0.583615315,0
1,24,21,1,28,"Team","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",800.312914,0.800312914,1
1,24,21,1,29,"StrangerTeam","StrangerTeam","Matching",NA,"StrangerTeam","Group-Stranger","Stranger","Top","z",900.28595,0.90028595,1
1,24,21,1,30,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",817.118134,0.817118134,1
1,24,21,1,31,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Bottom","z",1133.597688,1.133597688,1
1,24,21,1,32,"Team","Team","Matching",NA,"Team","Group-Self","Self","Bottom","z",733.696465,0.733696465,1
1,24,21,1,33,"Team","Person1","Nonmatching",NA,"Person1","Individual_Self","Self","Bottom","num_3",683.814568,0.683814568,1
1,24,21,1,34,"Person1","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",800.229613,0.800229613,1
1,24,21,1,35,"Person1","Person1","Matching",NA,"Person1","Individual_Self","Self","Bottom","z",666.922493,0.666922493,1
1,24,21,1,36,"Person2","Stranger","Nonmatching",NA,"Stranger","Individual_Stranger","Stranger","Top","num_3",650.384155,0.650384155,1
1,24,21,1,37,"Person2","Person2","Matching",NA,"Person2","Individual_Self","Self","Top","z",917.086037,0.917086037,1
1,24,21,1,38,"Person1","StrangerTeam","Nonmatching",NA,"StrangerTeam","Group-Stranger","Stranger","Bottom","z",533.635904,0.533635904,0
1,24,21,1,39,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",650.246372,0.650246372,1
1,24,21,1,40,"Stranger","Stranger","Matching",NA,"Stranger","Individual_Stranger","Stranger","Bottom","z",583.610183,0.583610183,1
1,24,21,1,41,"Team","Person2","Nonmatching",NA,"Person2","Individual_Self","Self","Bottom","num_3",616.886232,0.616886232,1
