"Subject","Age","Gender","Handedness","Label","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Matching","Condition","Race","RT_ms","RT_sec","ACC"
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",602.5690401,0.6025690401,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",812.696693,0.812696693,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",769.5186581,0.7695186581,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",704.494779,0.704494779,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",782.5290929,0.7825290929,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",564.700746,0.564700746,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",549.5944319,0.5495944319,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",571.8833948,0.5718833948,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",584.5849949,0.5845849949,1
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",712.7280291,0.7127280291,1
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",794.6005969,0.7946005969,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",715.758031,0.715758031,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",596.6378639,0.5966378639,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",599.4278188,0.5994278188,1
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",669.661121,0.669661121,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",494.4260549,0.4944260549,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",710.98341,0.71098341,0
1,20,"female","right","Self","Self","other","Stranger","Stranger","Nonmatching","White","Asian",669.3680838,0.6693680838,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",919.2583121,0.9192583121,1
1,20,"female","right","Other","Stranger","other","Stranger","Stranger","Matching","White","Asian",704.4261629,0.7044261629,0
1,20,"female","right","Self","Self","self","Self","Self","Matching","White","White",644.2645211,0.6442645211,0
1,20,"female","right","Other","Stranger","self","Self","Self","Nonmatching","White","White",772.7851758,0.7727851758,1
