Participant,Association,Scale,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
20,Sad,87,0.978723404,0.958333333,0.895833333,0.875,0.956521739,0.913043478,0.936170213,0.936170213,,,,,,,0.089673913,-0.120567376,0.064716312,-0.157919622
23,Sad,90,0.914893617,0.891304348,0.729166667,0.574468085,0.645833333,0.85106383,0.872340426,0.875,,,,,,,0.020833333,0.003102837,-0.059840426,-0.133672525
24,Sad,55,0.854166667,0.854166667,0.895833333,0.8125,0.854166667,0.888888889,0.9375,0.9375,,,,,,,0.065217391,0.170212766,-0.105920444,0.05
27,Sad,65,0.872340426,0.791666667,0.958333333,0.875,0.723404255,0.739130435,0.765957447,0.625,,,,,,,0.128989362,0.127659574,-0.038043478,0.001850139
28,Sad,90,0.854166667,0.854166667,0.717391304,0.604166667,0.787234043,0.723404255,0.75,0.729166667,,,,,,,0.216569767,0.413043478,-0.212450593,0.030075188
31,Sad,73,0.934782609,0.760869565,0.895833333,0.744186047,0.909090909,0.872340426,1,0.765957447,,,,,,,0.020833333,-0.145833333,0.1875,0.063829787
32,Sad,48,0.958333333,0.936170213,0.891304348,0.854166667,0.782608696,0.782608696,0.854166667,0.875,,,,,,,0.082003546,0.133672525,-0.083333333,-0.002775208
35,Sad,90,0.936170213,0.958333333,0.75,0.787234043,0.936170213,0.872340426,0.765957447,0.75,,,,,,,0.03442029,0.125,-0.028368794,0.134308511
36,Sad,70,0.936170213,0.8125,0.770833333,0.744680851,0.829787234,0.891304348,0.895833333,0.8125,,,,,,,0.209302326,0.29787234,0.027173913,0
39,Sad,2,1,0.957446809,0.934782609,0.787234043,0.872340426,0.916666667,0.97826087,0.866666667,,,,,,,0.041666667,0.023049645,-0.00177305,0
40,Sad,27,0.9375,0.957446809,0.808510638,0.829787234,0.875,0.914893617,0.913043478,0.913043478,,,,,,,0.066489362,-0.06072695,0.060283688,-0.056818182
43,Sad,50,0.936170213,0.85106383,0.854166667,0.717391304,0.854166667,0.869565217,0.9375,0.872340426,,,,,,,0.111594203,0.063829787,-0.001811594,0.102777778
44,Sad,85,0.708333333,0.75,0.673913043,0.625,0.638297872,0.6875,0.666666667,0.553191489,,,,,,,0.106382979,0.125,-0.041666667,-0.14893617
47,Sad,86,0.875,0.854166667,0.808510638,0.914893617,0.893617021,0.818181818,0.833333333,0.875,,,,,,,0.068917669,0.252543941,-0.121040189,-0.055319149
48,Sad,88,0.97826087,1,0.866666667,0.936170213,0.956521739,0.977777778,0.958333333,0.875,,,,,,,-0.121010638,0.021276596,0.177777778,-0.020833333
51,Sad,50,0.6875,0.744680851,0.808510638,0.723404255,0.844444444,0.791666667,0.666666667,0.8125,,,,,,,0.143173759,0.194592199,0,0.023049645
52,Sad,96,0.872340426,0.854166667,0.729166667,0.659574468,0.875,0.916666667,0.875,0.893617021,,,,,,,0.191932624,-0.143173759,0.14893617,-0.045938104
55,Sad,81,0.787234043,0.622222222,0.765957447,0.85106383,0.787234043,0.822222222,0.711111111,0.8,,,,,,,0.021276596,-0.228841608,0.076122931,0.022222222
56,Sad,20,0.9375,0.869565217,0.872340426,0.808510638,0.914893617,0.978723404,0.914893617,0.808510638,,,,,,,0.065159574,0.061054579,0,0.170212766
,,,0.8928673,0.857839527,0.795922335,0.748660407,0.830472277,0.815446391,0.849652961,0.780162981,,,,,,,,,,
,,,0.083303177,0.093210566,0.10060308,0.106511162,0.096365154,0.116529993,0.110516859,0.130778051,,,,,,,,,,
