Participant,Association,SelfStrongMatch,SelfWeakMatch,StrangerStrongMatch,StrangerWeakMatch,SelfStrongMismatch,SelfWeakMismatch,StrangerStrongMismatch,StrangerWeakMismatch,,,,,,,StrongMatchPrio,WeakMatchPrio,StrongMismatchPrio,WeakMismatchPrio
16,Dark,0.894736842,0.802083333,0.811111111,0.842105263,0.680851064,0.744680851,0.705263158,0.726315789,,,,,,,0.083625731,-0.04002193,-0.024412094,0.018365062
18,Dark,0.6875,0.691489362,0.677083333,0.70212766,0.684210526,0.694736842,0.663157895,0.625,,,,,,,0.010416667,-0.010638298,0.021052632,0.069736842
20,Dark,1,1,0.945054945,0.947916667,0.989361702,0.968421053,0.989583333,0.978947368,,,,,,,0.054945055,0.052083333,-0.000221631,-0.010526316
22,Dark,0.882978723,0.784946237,0.836956522,0.810526316,0.572916667,0.778947368,0.926315789,0.895833333,,,,,,,0.046022202,-0.025580079,-0.353399123,-0.116885965
24,Dark,0.978723404,0.925531915,0.914893617,0.904255319,0.947368421,0.936842105,0.90625,0.925531915,,,,,,,0.063829787,0.021276596,0.041118421,0.01131019
26,Dark,0.947368421,0.947368421,0.946808511,0.915789474,0.978723404,0.916666667,0.968421053,0.957894737,,,,,,,0.00055991,0.031578947,0.010302352,-0.04122807
28,Dark,0.968085106,0.904255319,0.946808511,0.925531915,0.936842105,0.924731183,0.956521739,0.947368421,,,,,,,0.021276596,-0.021276596,-0.019679634,-0.022637238
32,Dark,0.989247312,0.892473118,0.816091954,0.776470588,0.776595745,0.755555556,0.791208791,0.880434783,,,,,,,0.173155358,0.11600253,-0.014613047,-0.124879227
34,Dark,0.84375,0.787234043,0.860215054,0.894736842,0.833333333,0.861702128,0.787234043,0.84375,,,,,,,-0.016465054,-0.1075028,0.046099291,0.017952128
36,Dark,1,0.958333333,0.88172043,0.858695652,0.935483871,0.904255319,0.968421053,0.926315789,,,,,,,0.11827957,0.099637681,-0.032937182,-0.02206047
38,Dark,0.869565217,0.891304348,0.905263158,0.904255319,0.904255319,0.978494624,0.925531915,0.925531915,,,,,,,-0.035697941,-0.012950971,-0.021276596,0.052962709
40,Dark,0.989583333,0.989583333,0.957894737,0.978723404,0.946808511,0.968421053,0.957446809,0.978494624,,,,,,,0.031688596,0.010859929,-0.010638298,-0.010073571
42,Dark,0.808510638,0.85106383,0.915789474,0.901098901,0.831578947,0.808510638,0.924731183,0.903225806,,,,,,,-0.107278835,-0.050035071,-0.093152235,-0.094715168
44,Dark,0.968085106,0.946236559,0.88172043,0.861702128,0.904255319,0.882978723,0.936170213,0.847826087,,,,,,,0.086364676,0.084534431,-0.031914894,0.035152636
46,Dark,0.852272727,0.706521739,0.621052632,0.472527473,0.528089888,0.505617978,0.712765957,0.725274725,,,,,,,0.231220096,0.233994267,-0.18467607,-0.219656748
48,Dark,0.978947368,0.957446809,0.925531915,0.978947368,0.935483871,0.913978495,0.96875,0.915789474,,,,,,,0.053415454,-0.02150056,-0.033266129,-0.001810979
50,Dark,0.815217391,0.827956989,0.860215054,0.880434783,0.565217391,0.578947368,0.729166667,0.755319149,,,,,,,-0.044997662,-0.052477793,-0.163949275,-0.176371781
52,Dark,0.852272727,0.582417582,0.647727273,0.734042553,0.608695652,0.595505618,0.586956522,0.559139785,,,,,,,0.204545455,-0.151624971,0.02173913,0.036365833
54,Dark,0.989473684,0.957894737,0.957894737,0.90625,0.914893617,0.97826087,0.946808511,0.913978495,,,,,,,0.031578947,0.051644737,-0.031914894,0.064282375
56,Dark,0.894736842,0.875,0.52688172,0.663157895,0.720430108,0.677419355,0.720430108,0.659574468,,,,,,,0.367855122,0.211842105,0,0.017844887
,,0.911021941,0.870018944,0.838588982,0.839849732,0.818018034,0.825539625,0.859061487,0.842161651,,,,,,,,,,
,,0.078638366,0.100352735,0.123084632,0.120790648,0.145888757,0.135648852,0.116025374,0.113024204,,,,,,,,,,
