"","Subject","Matching","Identity","Session","RT_ms","RT_sec","ACC","condition1level"
"104",1,"Nonmatching","Self","1",455,0.455,1,1
"105",1,"Nonmatching","Self","1",489,0.489,1,2
"106",1,"Nonmatching","Self","1",416,0.416,1,1
"107",1,"Nonmatching","Self","1",648,0.648,0,1
"108",1,"Nonmatching","Self","1",589,0.589,1,2
"109",1,"Nonmatching","Self","1",425,0.425,1,2
"110",1,"Nonmatching","Self","1",461,0.461,1,2
"111",1,"Nonmatching","Self","1",411,0.411,1,1
"112",1,"Nonmatching","Self","1",839,0.839,1,2
"113",1,"Nonmatching","Self","1",364,0.364,1,1
"114",1,"Nonmatching","Self","1",843,0.843,1,1
"115",1,"Nonmatching","Self","1",447,0.447,1,1
"116",1,"Nonmatching","Self","1",427,0.427,1,2
"117",1,"Nonmatching","Self","1",534,0.534,1,2
"118",1,"Nonmatching","Self","1",471,0.471,0,1
"119",1,"Nonmatching","Self","1",847,0.847,1,1
"120",1,"Nonmatching","Self","1",675,0.675,0,2
"121",1,"Nonmatching","Self","1",518,0.518,1,2
"122",1,"Nonmatching","Self","1",434,0.434,0,1
"123",1,"Nonmatching","Self","1",539,0.539,1,1
"124",1,"Nonmatching","Self","1",655,0.655,1,2
"125",1,"Nonmatching","Self","1",788,0.788,1,2
"126",1,"Nonmatching","Self","1",498,0.498,1,1
"127",1,"Nonmatching","Self","1",478,0.478,1,1
"128",1,"Nonmatching","Self","1",710,0.71,1,2
"129",1,"Nonmatching","Self","1",524,0.524,1,1
"130",1,"Nonmatching","Self","1",458,0.458,1,2
"131",1,"Nonmatching","Self","1",508,0.508,1,1
"132",1,"Nonmatching","Self","1",679,0.679,1,1
"133",1,"Nonmatching","Self","1",569,0.569,1,1
"134",1,"Nonmatching","Self","1",603,0.603,1,2
"135",1,"Nonmatching","Self","1",509,0.509,1,2
"136",1,"Nonmatching","Self","1",461,0.461,1,1
"137",1,"Nonmatching","Self","1",435,0.435,1,2
"138",1,"Nonmatching","Self","1",389,0.389,1,1
"139",1,"Nonmatching","Self","1",525,0.525,1,2
"140",1,"Nonmatching","Self","1",419,0.419,1,2
"141",1,"Nonmatching","Self","1",355,0.355,1,1
"142",1,"Nonmatching","Self","1",415,0.415,1,2
"143",1,"Nonmatching","Self","1",456,0.456,1,2
"144",1,"Nonmatching","Self","1",405,0.405,1,2
"145",1,"Nonmatching","Self","1",361,0.361,0,1
"146",1,"Nonmatching","Self","1",673,0.673,1,1
"147",1,"Nonmatching","Self","1",541,0.541,1,2
"148",1,"Nonmatching","Self","1",891,0.891,1,2
"149",1,"Nonmatching","Celebrity","1",427,0.427,1,1
"150",1,"Nonmatching","Celebrity","1",596,0.596,1,2
"151",1,"Nonmatching","Celebrity","1",589,0.589,1,2
"152",1,"Nonmatching","Celebrity","1",413,0.413,1,2
"153",1,"Nonmatching","Celebrity","1",491,0.491,1,1
"154",1,"Nonmatching","Celebrity","1",368,0.368,1,2
"155",1,"Nonmatching","Celebrity","1",307,0.307,1,1
"156",1,"Nonmatching","Celebrity","1",391,0.391,1,1
"157",1,"Nonmatching","Celebrity","1",615,0.615,0,2
"158",1,"Nonmatching","Celebrity","1",826,0.826,1,1
"159",1,"Nonmatching","Celebrity","1",481,0.481,1,1
"160",1,"Nonmatching","Celebrity","1",601,0.601,0,2
"161",1,"Nonmatching","Celebrity","1",511,0.511,1,2
"162",1,"Nonmatching","Celebrity","1",487,0.487,1,2
"163",1,"Nonmatching","Celebrity","1",844,0.844,1,2
"164",1,"Nonmatching","Celebrity","1",559,0.559,1,2
"165",1,"Nonmatching","Celebrity","1",442,0.442,1,1
"166",1,"Nonmatching","Celebrity","1",493,0.493,1,2
"167",1,"Nonmatching","Celebrity","1",424,0.424,1,2
"168",1,"Nonmatching","Celebrity","1",351,0.351,1,1
"169",1,"Nonmatching","Celebrity","1",366,0.366,1,1
"170",1,"Nonmatching","Celebrity","1",543,0.543,1,2
"171",1,"Nonmatching","Celebrity","1",532,0.532,1,1
"172",1,"Nonmatching","Celebrity","1",397,0.397,1,1
"173",1,"Nonmatching","Celebrity","1",422,0.422,1,2
"174",1,"Nonmatching","Celebrity","1",412,0.412,0,2
"175",1,"Nonmatching","Celebrity","1",463,0.463,1,1
"176",1,"Nonmatching","Celebrity","1",410,0.41,1,1
"177",1,"Nonmatching","Celebrity","1",645,0.645,0,1
"178",1,"Nonmatching","Celebrity","1",702,0.702,1,1
"179",1,"Nonmatching","Celebrity","1",747,0.747,1,1
"180",1,"Nonmatching","Celebrity","1",565,0.565,1,1
"181",1,"Nonmatching","Celebrity","1",472,0.472,1,1
"182",1,"Nonmatching","Celebrity","1",533,0.533,1,1
"183",1,"Nonmatching","Celebrity","1",420,0.42,0,1
"184",1,"Nonmatching","Celebrity","1",509,0.509,1,2
"185",1,"Nonmatching","Celebrity","1",585,0.585,1,2
"186",1,"Nonmatching","Celebrity","1",584,0.584,1,1
"187",1,"Nonmatching","Celebrity","1",473,0.473,1,1
"188",1,"Nonmatching","Celebrity","1",510,0.51,1,2
"189",1,"Nonmatching","Celebrity","1",627,0.627,1,2
"190",1,"Nonmatching","Celebrity","1",461,0.461,1,1
"191",1,"Nonmatching","Celebrity","1",625,0.625,1,1
"192",1,"Nonmatching","Celebrity","1",456,0.456,0,2
"193",1,"Nonmatching","Celebrity","1",602,0.602,1,2
"194",1,"Nonmatching","Celebrity","1",531,0.531,1,2
"195",1,"Nonmatching","Celebrity","1",342,0.342,1,2
"196",1,"Nonmatching","Celebrity","1",401,0.401,0,1
"197",1,"Nonmatching","Celebrity","1",457,0.457,0,2
"198",2,"Matching","Self","1",658,0.658,1,2
"199",2,"Matching","Self","1",584,0.584,1,1
"200",2,"Matching","Self","1",548,0.548,1,2
"201",2,"Matching","Self","1",620,0.62,1,2
"202",2,"Matching","Self","1",597,0.597,1,1
"203",2,"Matching","Self","1",775,0.775,1,1
"204",2,"Matching","Self","1",543,0.543,1,1
"205",2,"Matching","Self","1",689,0.689,1,2
"206",2,"Matching","Self","1",611,0.611,1,2
"207",2,"Matching","Self","1",887,0.887,1,1
"208",2,"Matching","Self","1",605,0.605,1,2
"209",2,"Matching","Self","1",604,0.604,1,2
"210",2,"Matching","Self","1",594,0.594,1,2
"211",2,"Matching","Self","1",560,0.56,1,2
"212",2,"Matching","Self","1",513,0.513,1,2
"213",2,"Matching","Self","1",492,0.492,1,1
"214",2,"Matching","Self","1",552,0.552,1,2
"215",2,"Matching","Self","1",525,0.525,1,2
"216",2,"Matching","Self","1",751,0.751,1,2
"217",2,"Matching","Self","1",556,0.556,1,1
"218",2,"Matching","Self","1",799,0.799,1,2
"219",2,"Matching","Self","1",518,0.518,1,1
"220",2,"Matching","Self","1",559,0.559,1,2
"221",2,"Matching","Self","1",583,0.583,1,1
"222",2,"Matching","Self","1",556,0.556,1,2
"223",2,"Matching","Self","1",506,0.506,1,1
"224",2,"Matching","Self","1",446,0.446,1,1
"225",2,"Matching","Self","1",490,0.49,0,1
"226",2,"Matching","Self","1",532,0.532,1,1
"227",2,"Matching","Self","1",499,0.499,0,1
"228",2,"Matching","Self","1",463,0.463,1,1
"229",2,"Matching","Self","1",529,0.529,1,1
"230",2,"Matching","Self","1",691,0.691,0,1
"231",2,"Matching","Self","1",470,0.47,1,2
"232",2,"Matching","Self","1",614,0.614,1,1
"233",2,"Matching","Self","1",551,0.551,1,2
"234",2,"Matching","Self","1",628,0.628,1,2
"235",2,"Matching","Self","1",595,0.595,1,2
"236",2,"Matching","Self","1",674,0.674,1,2
"237",2,"Matching","Self","1",539,0.539,1,1
"238",2,"Matching","Self","1",542,0.542,1,2
"239",2,"Matching","Self","1",471,0.471,1,2
"240",2,"Matching","Self","1",510,0.51,1,2
"241",2,"Matching","Self","1",421,0.421,1,1
"242",2,"Matching","Self","1",532,0.532,1,1
"243",2,"Matching","Self","1",535,0.535,1,1
"244",2,"Matching","Self","1",345,0.345,1,1
"245",2,"Matching","Self","1",449,0.449,1,2
"246",2,"Matching","Self","1",358,0.358,1,1
"247",2,"Matching","Self","1",607,0.607,1,1
"248",2,"Matching","Celebrity","1",570,0.57,0,1
"249",2,"Matching","Celebrity","1",741,0.741,0,2
"250",2,"Matching","Celebrity","1",673,0.673,1,1
"251",2,"Matching","Celebrity","1",761,0.761,1,1
"252",2,"Matching","Celebrity","1",726,0.726,1,2
"253",2,"Matching","Celebrity","1",612,0.612,0,2
"254",2,"Matching","Celebrity","1",784,0.784,0,1
"255",2,"Matching","Celebrity","1",626,0.626,1,1
"256",2,"Matching","Celebrity","1",706,0.706,1,1
"257",2,"Matching","Celebrity","1",689,0.689,1,1
"258",2,"Matching","Celebrity","1",702,0.702,1,2
"259",2,"Matching","Celebrity","1",679,0.679,1,1
"260",2,"Matching","Celebrity","1",521,0.521,1,2
"261",2,"Matching","Celebrity","1",674,0.674,1,2
"262",2,"Matching","Celebrity","1",608,0.608,1,2
"263",2,"Matching","Celebrity","1",824,0.824,1,2
"264",2,"Matching","Celebrity","1",698,0.698,1,1
"265",2,"Matching","Celebrity","1",571,0.571,1,2
"266",2,"Matching","Celebrity","1",871,0.871,1,2
"267",2,"Matching","Celebrity","1",656,0.656,1,1
"268",2,"Matching","Celebrity","1",622,0.622,1,2
"269",2,"Matching","Celebrity","1",697,0.697,1,1
"270",2,"Matching","Celebrity","1",516,0.516,1,1
"271",2,"Matching","Celebrity","1",572,0.572,1,1
"272",2,"Matching","Celebrity","1",654,0.654,1,2
"273",2,"Matching","Celebrity","1",548,0.548,1,1
"274",2,"Matching","Celebrity","1",687,0.687,1,1
"275",2,"Matching","Celebrity","1",705,0.705,1,1
"276",2,"Matching","Celebrity","1",677,0.677,1,2
"277",2,"Matching","Celebrity","1",635,0.635,1,2
"278",2,"Matching","Celebrity","1",726,0.726,1,1
"279",2,"Matching","Celebrity","1",506,0.506,1,2
"280",2,"Matching","Celebrity","1",573,0.573,1,2
"281",2,"Matching","Celebrity","1",481,0.481,1,2
"282",2,"Matching","Celebrity","1",698,0.698,0,1
"283",2,"Matching","Celebrity","1",609,0.609,1,2
"284",2,"Matching","Celebrity","1",528,0.528,0,1
"285",2,"Matching","Celebrity","1",965,0.965,1,2
"286",2,"Matching","Celebrity","1",710,0.71,1,1
"287",2,"Matching","Celebrity","1",735,0.735,1,2
"288",2,"Matching","Celebrity","1",666,0.666,1,2
"289",2,"Matching","Celebrity","1",725,0.725,1,2
"290",2,"Matching","Celebrity","1",694,0.694,1,1
"291",2,"Matching","Celebrity","1",696,0.696,0,1
"292",2,"Matching","Celebrity","1",633,0.633,1,2
"293",2,"Matching","Celebrity","1",577,0.577,1,2
"294",2,"Matching","Celebrity","1",658,0.658,1,1
"295",2,"Matching","Celebrity","1",505,0.505,1,1
"296",2,"Matching","Celebrity","1",489,0.489,1,2
"297",2,"Matching","Celebrity","1",498,0.498,1,1
"298",2,"Nonmatching","Self","1",890,0.89,1,1
"299",2,"Nonmatching","Self","1",768,0.768,1,2
"300",2,"Nonmatching","Self","1",631,0.631,1,2
"301",2,"Nonmatching","Self","1",805,0.805,0,1
"302",2,"Nonmatching","Self","1",784,0.784,1,1
"303",2,"Nonmatching","Self","1",713,0.713,1,1
"304",2,"Nonmatching","Self","1",626,0.626,1,1
"305",2,"Nonmatching","Self","1",557,0.557,1,1
"306",2,"Nonmatching","Self","1",591,0.591,1,1
"307",2,"Nonmatching","Self","1",627,0.627,1,1
"308",2,"Nonmatching","Self","1",604,0.604,1,2
"309",2,"Nonmatching","Self","1",636,0.636,1,1
"310",2,"Nonmatching","Self","1",666,0.666,1,1
"311",2,"Nonmatching","Self","1",591,0.591,1,2
"312",2,"Nonmatching","Self","1",823,0.823,1,1
"313",2,"Nonmatching","Self","1",633,0.633,0,1
"314",2,"Nonmatching","Self","1",720,0.72,1,2
"315",2,"Nonmatching","Self","1",538,0.538,1,2
"316",2,"Nonmatching","Self","1",588,0.588,1,2
"317",2,"Nonmatching","Self","1",652,0.652,1,1
"318",2,"Nonmatching","Self","1",648,0.648,1,2
"319",2,"Nonmatching","Self","1",528,0.528,1,2
"320",2,"Nonmatching","Self","1",899,0.899,1,1
"321",2,"Nonmatching","Self","1",617,0.617,1,2
"322",2,"Nonmatching","Self","1",760,0.76,1,1
"323",2,"Nonmatching","Self","1",577,0.577,1,1
"324",2,"Nonmatching","Self","1",594,0.594,1,2
"325",2,"Nonmatching","Self","1",706,0.706,1,1
"326",2,"Nonmatching","Self","1",694,0.694,1,2
"327",2,"Nonmatching","Self","1",468,0.468,0,1
"328",2,"Nonmatching","Self","1",738,0.738,1,2
"329",2,"Nonmatching","Self","1",632,0.632,1,2
"330",2,"Nonmatching","Self","1",534,0.534,1,2
"331",2,"Nonmatching","Self","1",582,0.582,1,2
"332",2,"Nonmatching","Self","1",814,0.814,1,1
"333",2,"Nonmatching","Self","1",689,0.689,0,2
"334",2,"Nonmatching","Self","1",684,0.684,1,1
"335",2,"Nonmatching","Self","1",740,0.74,1,1
"336",2,"Nonmatching","Self","1",720,0.72,1,1
"337",2,"Nonmatching","Self","1",658,0.658,1,2
"338",2,"Nonmatching","Self","1",627,0.627,1,2
"339",2,"Nonmatching","Self","1",677,0.677,1,2
"340",2,"Nonmatching","Self","1",674,0.674,1,2
"341",2,"Nonmatching","Self","1",664,0.664,0,1
"342",2,"Nonmatching","Self","1",530,0.53,1,1
"343",2,"Nonmatching","Self","1",675,0.675,1,2
"344",2,"Nonmatching","Self","1",593,0.593,1,2
"345",2,"Nonmatching","Self","1",653,0.653,1,2
"346",2,"Nonmatching","Celebrity","1",656,0.656,1,2
"347",2,"Nonmatching","Celebrity","1",670,0.67,1,2
"348",2,"Nonmatching","Celebrity","1",637,0.637,1,2
"349",2,"Nonmatching","Celebrity","1",626,0.626,1,2
"350",2,"Nonmatching","Celebrity","1",644,0.644,1,2
"351",2,"Nonmatching","Celebrity","1",738,0.738,1,1
"352",2,"Nonmatching","Celebrity","1",725,0.725,1,2
"353",2,"Nonmatching","Celebrity","1",843,0.843,1,2
"354",2,"Nonmatching","Celebrity","1",782,0.782,0,1
"355",2,"Nonmatching","Celebrity","1",985,0.985,1,1
"356",2,"Nonmatching","Celebrity","1",658,0.658,1,1
"357",2,"Nonmatching","Celebrity","1",599,0.599,1,2
"358",2,"Nonmatching","Celebrity","1",547,0.547,1,2
"359",2,"Nonmatching","Celebrity","1",650,0.65,1,2
"360",2,"Nonmatching","Celebrity","1",687,0.687,1,1
"361",2,"Nonmatching","Celebrity","1",715,0.715,1,2
"362",2,"Nonmatching","Celebrity","1",601,0.601,1,1
"363",2,"Nonmatching","Celebrity","1",651,0.651,1,2
"364",2,"Nonmatching","Celebrity","1",711,0.711,1,2
"365",2,"Nonmatching","Celebrity","1",697,0.697,1,2
"366",2,"Nonmatching","Celebrity","1",608,0.608,1,2
"367",2,"Nonmatching","Celebrity","1",604,0.604,1,1
"368",2,"Nonmatching","Celebrity","1",903,0.903,1,1
"369",2,"Nonmatching","Celebrity","1",629,0.629,0,1
"370",2,"Nonmatching","Celebrity","1",690,0.69,1,2
"371",2,"Nonmatching","Celebrity","1",662,0.662,0,1
"372",2,"Nonmatching","Celebrity","1",620,0.62,1,1
"373",2,"Nonmatching","Celebrity","1",543,0.543,1,2
"374",2,"Nonmatching","Celebrity","1",801,0.801,1,2
"375",2,"Nonmatching","Celebrity","1",862,0.862,1,1
"376",2,"Nonmatching","Celebrity","1",675,0.675,1,2
"377",2,"Nonmatching","Celebrity","1",475,0.475,1,1
"378",2,"Nonmatching","Celebrity","1",687,0.687,1,1
"379",2,"Nonmatching","Celebrity","1",574,0.574,1,1
"380",2,"Nonmatching","Celebrity","1",540,0.54,1,2
"381",2,"Nonmatching","Celebrity","1",590,0.59,1,2
"382",2,"Nonmatching","Celebrity","1",829,0.829,0,2
"383",2,"Nonmatching","Celebrity","1",565,0.565,1,1
"384",2,"Nonmatching","Celebrity","1",632,0.632,1,1
"385",2,"Nonmatching","Celebrity","1",680,0.68,1,2
"386",2,"Nonmatching","Celebrity","1",653,0.653,1,1
"387",2,"Nonmatching","Celebrity","1",566,0.566,1,2
"388",2,"Nonmatching","Celebrity","1",920,0.92,1,2
"389",2,"Nonmatching","Celebrity","1",743,0.743,1,1
"390",2,"Nonmatching","Celebrity","1",475,0.475,1,1
"391",2,"Nonmatching","Celebrity","1",342,0.342,0,1
"392",3,"Matching","Self","1",518,0.518,1,2
"393",3,"Matching","Self","1",592,0.592,1,1
"394",3,"Matching","Self","1",587,0.587,1,2
"395",3,"Matching","Self","1",496,0.496,1,1
"396",3,"Matching","Self","1",466,0.466,1,2
"397",3,"Matching","Self","1",468,0.468,1,1
"398",3,"Matching","Self","1",550,0.55,1,2
"399",3,"Matching","Self","1",490,0.49,1,1
"400",3,"Matching","Self","1",494,0.494,1,2
"401",3,"Matching","Self","1",637,0.637,1,1
"402",3,"Matching","Self","1",545,0.545,1,2
"403",3,"Matching","Self","1",592,0.592,1,1
"404",3,"Matching","Self","1",517,0.517,1,2
