"","Subject","Gender","Age","Handedness","First_Language","Matching","Origin_Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","English_Identity","Standarlized_Identity"
"42",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",0.484,0,484,"They","Group-Stranger"
"43",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.434,0,434,"They","Group-Stranger"
"44",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",0.35,0,350,"They","Group-Stranger"
"45",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.267,0,267,"They","Group-Stranger"
"46",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",0.45,0,450,"They","Group-Stranger"
"47",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.5,0,500,"They","Group-Stranger"
"48",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.834,0,834,"They","Group-Stranger"
"49",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.233,1,1233,"They","Group-Stranger"
"50",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",0.55,1,550,"They","Group-Stranger"
"51",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",0.983,0,983,"They","Group-Stranger"
"52",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.383,1,1383,"They","Group-Stranger"
"53",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.584,1,1584,"They","Group-Stranger"
"54",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.584,1,1584,"They","Group-Stranger"
"55",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"They","Group-Stranger"
"56",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.433,1,1433,"They","Group-Stranger"
"57",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.583,1,1583,"They","Group-Stranger"
"58",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.3,1,1300,"They","Group-Stranger"
"59",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.083,1,1083,"They","Group-Stranger"
"60",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",0.967,1,967,"They","Group-Stranger"
"61",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","None",NA,3,NA,"They","Group-Stranger"
"62",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",1.35,0,1350,"They","Group-Stranger"
"63",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.85,0,850,"They","Group-Stranger"
"64",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","None",NA,3,NA,"They","Group-Stranger"
"65",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.317,1,1317,"They","Group-Stranger"
"66",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",1.184,0,1184,"They","Group-Stranger"
"67",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.317,1,1317,"They","Group-Stranger"
"68",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","m",1.433,1,1433,"They","Group-Stranger"
"69",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.617,1,1617,"They","Group-Stranger"
"70",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.583,1,1583,"They","Group-Stranger"
"71",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",1.233,0,1233,"They","Group-Stranger"
"72",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","n",0.634,0,634,"They","Group-Stranger"
"73",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.667,1,1667,"They","Group-Stranger"
"74",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.133,1,1133,"They","Group-Stranger"
"75",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Top","m",1.067,1,1067,"They","Group-Stranger"
"76",1,"Female",31,"r","h","Match","They","EXPERIMENT","They","They","Diamond","Triangle","Circle","Star","Bottom","n",1.167,0,1167,"They","Group-Stranger"
"77",1,"Female",31,"r","h","Match","We","TRAINING","We","We","Diamond","Triangle","Circle","Star","Bottom","None",NA,3,NA,"We","Group-Self"
"78",1,"Female",31,"r","h","Match","We","TRAINING","We","We","Diamond","Triangle","Circle","Star","Top","n",0.517,0,517,"We","Group-Self"
"79",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","n",0.367,0,367,"We","Group-Self"
"80",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",0.4,0,400,"We","Group-Self"
"81",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",0.35,0,350,"We","Group-Self"
"82",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",1.083,0,1083,"We","Group-Self"
"83",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","n",0.367,0,367,"We","Group-Self"
"84",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.467,1,467,"We","Group-Self"
"85",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","n",0.434,0,434,"We","Group-Self"
"86",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",0.384,0,384,"We","Group-Self"
"87",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","n",0.534,0,534,"We","Group-Self"
"88",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","None",NA,3,NA,"We","Group-Self"
"89",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.067,1,1067,"We","Group-Self"
"90",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.083,1,1083,"We","Group-Self"
"91",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","n",1.533,0,1533,"We","Group-Self"
"92",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.183,1,1183,"We","Group-Self"
"93",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.5,1,1500,"We","Group-Self"
"94",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.3,1,1300,"We","Group-Self"
"95",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.284,1,1284,"We","Group-Self"
"96",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.033,1,1033,"We","Group-Self"
"97",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.984,1,984,"We","Group-Self"
"98",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.15,1,1150,"We","Group-Self"
"99",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1,1,1000,"We","Group-Self"
"100",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",0.65,1,650,"We","Group-Self"
"101",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.867,1,867,"We","Group-Self"
"102",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.383,1,1383,"We","Group-Self"
"103",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.467,1,1467,"We","Group-Self"
"104",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.034,1,1034,"We","Group-Self"
"105",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",1.35,1,1350,"We","Group-Self"
"106",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.85,1,850,"We","Group-Self"
"107",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.283,1,1283,"We","Group-Self"
"108",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Top","m",1.167,1,1167,"We","Group-Self"
"109",1,"Female",31,"r","h","Match","We","EXPERIMENT","We","We","Diamond","Triangle","Circle","Star","Bottom","m",0.883,1,883,"We","Group-Self"
