Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,rt,P1key,P2key,StrangerKey,WeKey,OtherKey,P1Shape,P2Shape,StrangerShape,StrangerTeamShape,corr,PairNumber,P2Age,P1Age
Other,8,0,40,4,v,1.51633956,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,8,1,41,4,v,0.763085367,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,8,2,42,4,v,0.776539176,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,8,3,43,3,b,1.269200932,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Stranger,8,4,44,2,m,2.206162506,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
We,9,0,45,3,b,1.7292191,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,9,1,46,4,v,1.222349478,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,9,2,47,0,m,3.217182406,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,0,1,21,24
P1,9,3,48,0,n,2.476116706,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
P1,9,4,49,0,n,0.772897196,n,c,m,b,v,TRIANGLE,DIAMOND,CIRCLE,PENTAGON,1,1,21,24
Other,0,0,0,4,b,16.85458481,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,0,1,1,3,n,7.152890234,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,0,2,2,4,b,3.710719983,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,0,3,3,0,m,4.774210104,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,0,4,4,0,m,19.3332882,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,1,0,5,4,b,5.466486456,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,1,1,6,3,n,4.763606309,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,1,2,7,2,v,4.680533573,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,1,3,8,4,b,3.864851453,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,1,4,9,2,v,4.601830822,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,2,0,10,1,c,4.717505323,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,2,1,11,2,v,5.822300462,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,2,2,12,4,b,4.177371464,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,2,3,13,1,c,7.670139809,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,2,4,14,2,v,4.205553106,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,3,0,15,0,m,3.521216868,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,3,1,16,0,m,1.856082664,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,3,2,17,3,n,4.289544529,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,3,3,18,3,n,3.02586696,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Other,3,4,19,4,b,10.77281885,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,4,0,20,0,m,2.979979952,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
We,4,1,21,3,n,3.368921195,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,4,2,22,0,m,3.325760247,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
Stranger,4,3,23,2,v,5.284450886,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,4,4,24,1,c,18.05915211,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P1,5,0,25,0,m,3.925555111,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,5,1,26,1,c,3.076576781,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
P2,5,2,27,1,c,2.341349117,m,c,v,n,b,TRIANGLE,CIRCLE,PENTAGON,DIAMOND,1,10,36,26
