"","Subject","Gender","Age","Condition","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","VisualAngle","Color","Contrast"
"49",1,"female",25,"im",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"50",1,"female",25,"im",177,0.177,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"51",1,"female",25,"im",52,0.052,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"52",1,"female",25,"im",765,0.765,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"53",1,"female",25,"im",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"54",1,"female",25,"im",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"55",1,"female",25,"in",223,0.223,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"56",1,"female",25,"in",186,0.186,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"57",1,"female",25,"in",238,0.238,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"58",1,"female",25,"in",143,0.143,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"59",1,"female",25,"in",319,0.319,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"60",1,"female",25,"in",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"61",1,"female",25,"in",175,0.175,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"62",1,"female",25,"in",151,0.151,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"63",1,"female",25,"in",163,0.163,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"64",1,"female",25,"in",1057,1.057,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"65",1,"female",25,"in",17,0.017,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"66",1,"female",25,"in",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"67",1,"female",25,"in",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"68",1,"female",25,"in",326,0.326,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"69",1,"female",25,"in",156,0.156,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"70",1,"female",25,"in",594,0.594,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"71",1,"female",25,"in",188,0.188,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"72",1,"female",25,"in",188,0.188,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"73",1,"female",25,"mm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"74",1,"female",25,"mm",240,0.24,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"75",1,"female",25,"mm",144,0.144,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"76",1,"female",25,"mm",181,0.181,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"77",1,"female",25,"mm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"78",1,"female",25,"mm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"79",1,"female",25,"mm",338,0.338,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"80",1,"female",25,"mm",227,0.227,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"81",1,"female",25,"mm",331,0.331,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"82",1,"female",25,"mm",164,0.164,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"83",1,"female",25,"mm",429,0.429,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"84",1,"female",25,"mm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"85",1,"female",25,"mm",619,0.619,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"86",1,"female",25,"mm",256,0.256,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"87",1,"female",25,"mm",258,0.258,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"88",1,"female",25,"mm",270,0.27,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"89",1,"female",25,"mm",511,0.511,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"90",1,"female",25,"mm",164,0.164,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"91",1,"female",25,"mn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"92",1,"female",25,"mn",54,0.054,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"93",1,"female",25,"mn",60,0.06,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"94",1,"female",25,"mn",221,0.221,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"95",1,"female",25,"mn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"96",1,"female",25,"mn",69,0.069,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"97",1,"female",25,"mn",187,0.187,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"98",1,"female",25,"mn",115,0.115,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"99",1,"female",25,"mn",3,0.003,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"100",1,"female",25,"mn",187,0.187,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"101",1,"female",25,"mn",95,0.095,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"102",1,"female",25,"mn",188,0.188,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"103",1,"female",25,"mn",1057,1.057,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"104",1,"female",25,"mn",301,0.301,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"105",1,"female",25,"mn",209,0.209,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"106",1,"female",25,"mn",219,0.219,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"107",1,"female",25,"mn",174,0.174,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"108",1,"female",25,"mn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"109",1,"female",25,"nm",157,0.157,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"110",1,"female",25,"nm",203,0.203,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"111",1,"female",25,"nm",150,0.15,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"112",1,"female",25,"nm",192,0.192,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"113",1,"female",25,"nm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"114",1,"female",25,"nm",246,0.246,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"115",1,"female",25,"nm",535,0.535,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"116",1,"female",25,"nm",116,0.116,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"117",1,"female",25,"nm",7,0.007,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"118",1,"female",25,"nm",159,0.159,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"119",1,"female",25,"nm",293,0.293,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"120",1,"female",25,"nm",312,0.312,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"121",1,"female",25,"nm",85,0.085,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"122",1,"female",25,"nm",816,0.816,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"123",1,"female",25,"nm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"124",1,"female",25,"nm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"125",1,"female",25,"nm",218,0.218,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"126",1,"female",25,"nm",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"127",1,"female",25,"nn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"128",1,"female",25,"nn",104,0.104,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"129",1,"female",25,"nn",269,0.269,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"130",1,"female",25,"nn",210,0.21,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"131",1,"female",25,"nn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"132",1,"female",25,"nn",353,0.353,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"133",1,"female",25,"nn",132,0.132,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"134",1,"female",25,"nn",133,0.133,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"135",1,"female",25,"nn",219,0.219,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"136",1,"female",25,"nn",153,0.153,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"137",1,"female",25,"nn",302,0.302,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"138",1,"female",25,"nn",0,0,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"139",1,"female",25,"nn",20,0.02,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"140",1,"female",25,"nn",226,0.226,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"141",1,"female",25,"nn",222,0.222,1,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"142",1,"female",25,"nn",360,0.36,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"143",1,"female",25,"nn",204,0.204,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
"144",1,"female",25,"nn",1335,1.335,0,"1680x1050","60 Hz",NA,NA,NA,NA,NA,NA,"0.48°",NA,NA
