"","Subject","Gender","Age","Handedness","Matching","Identity","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","VisualAngle","Color","Contrast"
"53",1,"female",19,"right","comp","Mutter",311,0.311,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"54",1,"female",19,"right","comp","Mutter",335,0.335,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"55",1,"female",19,"right","comp","Mutter",358,0.358,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"56",1,"female",19,"right","comp","Mutter",224,0.224,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"57",1,"female",19,"right","comp","Mutter",261,0.261,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"58",1,"female",19,"right","comp","Mutter",302,0.302,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"59",1,"female",19,"right","comp","Mutter",320,0.32,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"60",1,"female",19,"right","comp","Mutter",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"61",1,"female",19,"right","comp","Mutter",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"62",1,"female",19,"right","comp","Mutter",471,0.471,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"63",1,"female",19,"right","comp","Mutter",376,0.376,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"64",1,"female",19,"right","comp","Mutter",305,0.305,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"65",1,"female",19,"right","comp","Mutter",316,0.316,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"66",1,"female",19,"right","comp","Mutter",277,0.277,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"67",1,"female",19,"right","comp","Mutter",282,0.282,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"68",1,"female",19,"right","comp","Mutter",217,0.217,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"69",1,"female",19,"right","comp","Mutter",251,0.251,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"70",1,"female",19,"right","comp","Mutter",326,0.326,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"71",1,"female",19,"right","comp","Mutter",249,0.249,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"72",1,"female",19,"right","comp","Mutter",268,0.268,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"73",1,"female",19,"right","incomp","Bekannter",608,0.608,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"74",1,"female",19,"right","incomp","Bekannter",534,0.534,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"75",1,"female",19,"right","incomp","Bekannter",454,0.454,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"76",1,"female",19,"right","incomp","Bekannter",509,0.509,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"77",1,"female",19,"right","incomp","Bekannter",333,0.333,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"78",1,"female",19,"right","incomp","Bekannter",459,0.459,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"79",1,"female",19,"right","incomp","Bekannter",386,0.386,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"80",1,"female",19,"right","incomp","Bekannter",316,0.316,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"81",1,"female",19,"right","incomp","Bekannter",532,0.532,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"82",1,"female",19,"right","incomp","Bekannter",428,0.428,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"83",1,"female",19,"right","incomp","Bekannter",443,0.443,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"84",1,"female",19,"right","incomp","Bekannter",361,0.361,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"85",1,"female",19,"right","incomp","Bekannter",426,0.426,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"86",1,"female",19,"right","incomp","Bekannter",678,0.678,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"87",1,"female",19,"right","incomp","Bekannter",293,0.293,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"88",1,"female",19,"right","incomp","Bekannter",408,0.408,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"89",1,"female",19,"right","incomp","Bekannter",464,0.464,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"90",1,"female",19,"right","incomp","Bekannter",432,0.432,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"91",1,"female",19,"right","incomp","Bekannter",381,0.381,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"92",1,"female",19,"right","incomp","Bekannter",558,0.558,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"93",1,"female",19,"right","incomp","Bekannter",449,0.449,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"94",1,"female",19,"right","incomp","Bekannter",433,0.433,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"95",1,"female",19,"right","incomp","Bekannter",340,0.34,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"96",1,"female",19,"right","incomp","Bekannter",264,0.264,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"97",1,"female",19,"right","incomp","Ich",869,0.869,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"98",1,"female",19,"right","incomp","Ich",524,0.524,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"99",1,"female",19,"right","incomp","Ich",464,0.464,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"100",1,"female",19,"right","incomp","Ich",431,0.431,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"101",1,"female",19,"right","incomp","Ich",502,0.502,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"102",1,"female",19,"right","incomp","Ich",433,0.433,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"103",1,"female",19,"right","incomp","Ich",490,0.49,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"104",1,"female",19,"right","incomp","Ich",463,0.463,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"105",1,"female",19,"right","incomp","Ich",471,0.471,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"106",1,"female",19,"right","incomp","Ich",507,0.507,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"107",1,"female",19,"right","incomp","Ich",385,0.385,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"108",1,"female",19,"right","incomp","Ich",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"109",1,"female",19,"right","incomp","Ich",359,0.359,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"110",1,"female",19,"right","incomp","Ich",304,0.304,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"111",1,"female",19,"right","incomp","Ich",400,0.4,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"112",1,"female",19,"right","incomp","Ich",439,0.439,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"113",1,"female",19,"right","incomp","Ich",358,0.358,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"114",1,"female",19,"right","incomp","Ich",402,0.402,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"115",1,"female",19,"right","incomp","Ich",476,0.476,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"116",1,"female",19,"right","incomp","Ich",361,0.361,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"117",1,"female",19,"right","incomp","Ich",242,0.242,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"118",1,"female",19,"right","incomp","Ich",290,0.29,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"119",1,"female",19,"right","incomp","Ich",320,0.32,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"120",1,"female",19,"right","incomp","Ich",386,0.386,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"121",1,"female",19,"right","incomp","Mutter",517,0.517,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"122",1,"female",19,"right","incomp","Mutter",639,0.639,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"123",1,"female",19,"right","incomp","Mutter",332,0.332,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"124",1,"female",19,"right","incomp","Mutter",423,0.423,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"125",1,"female",19,"right","incomp","Mutter",511,0.511,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"126",1,"female",19,"right","incomp","Mutter",433,0.433,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"127",1,"female",19,"right","incomp","Mutter",544,0.544,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"128",1,"female",19,"right","incomp","Mutter",496,0.496,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"129",1,"female",19,"right","incomp","Mutter",227,0.227,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"130",1,"female",19,"right","incomp","Mutter",272,0.272,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"131",1,"female",19,"right","incomp","Mutter",476,0.476,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"132",1,"female",19,"right","incomp","Mutter",399,0.399,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"133",1,"female",19,"right","incomp","Mutter",401,0.401,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"134",1,"female",19,"right","incomp","Mutter",425,0.425,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"135",1,"female",19,"right","incomp","Mutter",468,0.468,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"136",1,"female",19,"right","incomp","Mutter",425,0.425,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"137",1,"female",19,"right","incomp","Mutter",626,0.626,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"138",1,"female",19,"right","incomp","Mutter",424,0.424,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"139",1,"female",19,"right","incomp","Mutter",479,0.479,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"140",1,"female",19,"right","incomp","Mutter",484,0.484,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"141",1,"female",19,"right","incomp","Mutter",319,0.319,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"142",1,"female",19,"right","incomp","Mutter",286,0.286,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"143",1,"female",19,"right","incomp","Mutter",452,0.452,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"144",1,"female",19,"right","incomp","Mutter",370,0.37,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"145",2,"female",20,"right","comp","Bekannter",59,0.059,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"146",2,"female",20,"right","comp","Bekannter",1064,1.064,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"147",2,"female",20,"right","comp","Bekannter",856,0.856,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"148",2,"female",20,"right","comp","Bekannter",876,0.876,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"149",2,"female",20,"right","comp","Bekannter",693,0.693,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"150",2,"female",20,"right","comp","Bekannter",575,0.575,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"151",2,"female",20,"right","comp","Bekannter",706,0.706,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"152",2,"female",20,"right","comp","Bekannter",548,0.548,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"153",2,"female",20,"right","comp","Bekannter",391,0.391,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"154",2,"female",20,"right","comp","Bekannter",487,0.487,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"155",2,"female",20,"right","comp","Bekannter",478,0.478,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"156",2,"female",20,"right","comp","Bekannter",482,0.482,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"157",2,"female",20,"right","comp","Bekannter",429,0.429,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"158",2,"female",20,"right","comp","Bekannter",939,0.939,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"159",2,"female",20,"right","comp","Bekannter",619,0.619,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"160",2,"female",20,"right","comp","Bekannter",435,0.435,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"161",2,"female",20,"right","comp","Bekannter",596,0.596,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"162",2,"female",20,"right","comp","Bekannter",761,0.761,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"163",2,"female",20,"right","comp","Bekannter",657,0.657,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"164",2,"female",20,"right","comp","Bekannter",620,0.62,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"165",2,"female",20,"right","comp","Bekannter",632,0.632,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"166",2,"female",20,"right","comp","Bekannter",690,0.69,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"167",2,"female",20,"right","comp","Bekannter",753,0.753,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"168",2,"female",20,"right","comp","Bekannter",579,0.579,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"169",2,"female",20,"right","comp","Ich",219,0.219,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"170",2,"female",20,"right","comp","Ich",902,0.902,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"171",2,"female",20,"right","comp","Ich",533,0.533,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"172",2,"female",20,"right","comp","Ich",475,0.475,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"173",2,"female",20,"right","comp","Ich",688,0.688,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"174",2,"female",20,"right","comp","Ich",645,0.645,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"175",2,"female",20,"right","comp","Ich",776,0.776,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"176",2,"female",20,"right","comp","Ich",615,0.615,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"177",2,"female",20,"right","comp","Ich",626,0.626,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"178",2,"female",20,"right","comp","Ich",953,0.953,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"179",2,"female",20,"right","comp","Ich",659,0.659,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"180",2,"female",20,"right","comp","Ich",518,0.518,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"181",2,"female",20,"right","comp","Ich",755,0.755,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"182",2,"female",20,"right","comp","Ich",954,0.954,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"183",2,"female",20,"right","comp","Ich",721,0.721,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"184",2,"female",20,"right","comp","Ich",804,0.804,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"185",2,"female",20,"right","comp","Ich",871,0.871,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"186",2,"female",20,"right","comp","Ich",585,0.585,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"187",2,"female",20,"right","comp","Ich",654,0.654,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"188",2,"female",20,"right","comp","Ich",669,0.669,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"189",2,"female",20,"right","comp","Ich",571,0.571,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"190",2,"female",20,"right","comp","Ich",673,0.673,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"191",2,"female",20,"right","comp","Ich",725,0.725,0,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"192",2,"female",20,"right","comp","Ich",351,0.351,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
"193",2,"female",20,"right","comp","Mutter",219,0.219,1,"1680*1050","60 Hz",NA,NA,"60cm",NA,NA
