"Subject","Identity","d_prime"
2001,"Self",Inf
2002,"Self",Inf
2003,"Self",Inf
2004,"Self",3.63428603719701
2005,"Self",3.97973622162055
2006,"Self",4.37869951104417
2007,"Self",4.17131015000706
2008,"Self",4.73713411853575
2009,"Self",3.90290858358366
2101,"Self",Inf
2102,"Self",3.90290858358366
2103,"Self",4.03045134890205
2104,"Self",4.46873255211234
2105,"Self",4.46873255211234
2106,"Self",3.60548618147838
2107,"Self",Inf
2108,"Self",3.39195926866884
2109,"Self",4.17131015000706
2001,"Mother",NA
2002,"Mother",NA
2003,"Mother",NA
2004,"Mother",NA
2005,"Mother",NA
2006,"Mother",NA
2007,"Mother",NA
2008,"Mother",NA
2009,"Mother",NA
2101,"Mother",NA
2102,"Mother",NA
2103,"Mother",NA
2104,"Mother",NA
2105,"Mother",NA
2106,"Mother",NA
2107,"Mother",NA
2108,"Mother",NA
2109,"Mother",NA
2001,"Acquaintance",NA
2002,"Acquaintance",NA
2003,"Acquaintance",NA
2004,"Acquaintance",NA
2005,"Acquaintance",NA
2006,"Acquaintance",NA
2007,"Acquaintance",NA
2008,"Acquaintance",NA
2009,"Acquaintance",NA
2101,"Acquaintance",NA
2102,"Acquaintance",NA
2103,"Acquaintance",NA
2104,"Acquaintance",NA
2105,"Acquaintance",NA
2106,"Acquaintance",NA
2107,"Acquaintance",NA
2108,"Acquaintance",NA
2109,"Acquaintance",NA
2001,"none",NA
2002,"none",NA
2003,"none",NA
2004,"none",NA
2005,"none",NA
2006,"none",NA
2007,"none",NA
2008,"none",NA
2009,"none",NA
2101,"none",NA
2102,"none",NA
2103,"none",NA
2104,"none",NA
2105,"none",NA
2106,"none",NA
2107,"none",NA
2108,"none",NA
2109,"none",NA
