"Subject","Identity","d_prime"
1,"Self",3.2604573105925
2,"Self",3.3968524117742
3,"Self",1.87160112057422
4,"Self",2.3229712304909
5,"Self",0.84405600618108
6,"Self",2.51632312212619
7,"Self",1.99306704160985
8,"Self",2.42182916895774
9,"Self",3.46332879224449
10,"Self",3.66181485331459
11,"Self",1.7515842131111
12,"Self",1.08799855673576
13,"Self",3.46332879224449
14,"Self",0.973851163443622
15,"Self",2.68446992472855
16,"Self",1.01254467550806
17,"Self",1.35556994842251
18,"Self",2.57830551750682
19,"Self",3.03562622075095
20,"Self",3.26578494047479
21,"Self",3.47739816983646
22,"Self",3.14197560167203
23,"Self",2.41328318911029
24,"Self",2.5885929961226
25,"Self",2.3036537712993
26,"Self",2.42623082261854
27,"Self",1.4697458398211
28,"Self",1.69653382704655
29,"Self",3.3968524117742
30,"Self",2.56983444127608
31,"Self",2.21716404003105
32,"Self",2.72100176701212
33,"Self",3.17006070788845
34,"Self",0.0020827870204361
35,"Self",2.33262423036608
36,"Self",2.20482183214606
37,"Self",1.70634051191289
38,"Self",2.43746657887069
39,"Self",3.34897181243782
40,"Self",2.97959364257687
41,"Self",2.597719219311
42,"Self",2.12904586218048
43,"Self",2.55813342536337
44,"Self",0.890985667413102
45,"Self",Inf
46,"Self",3.07938832446924
47,"Self",2.15561796014391
48,"Self",3.69398546535806
49,"Self",3.2499614432264
50,"Self",1.96552705418189
51,"Self",1.1905836579746
52,"Self",2.29091901902295
53,"Self",1.14962128050087
54,"Self",1.67955802864823
55,"Self",1.23532882631545
56,"Self",2.35277914093917
1,"Stranger",2.47672114661226
2,"Stranger",2.37787910616197
3,"Stranger",1.09513178335171
4,"Stranger",2.17863924501796
5,"Stranger",0.545805687133205
6,"Stranger",2.53334350747665
7,"Stranger",1.38671637133426
8,"Stranger",1.58107667967147
9,"Stranger",2.71256916391914
10,"Stranger",2.37248334907359
11,"Stranger",0.584139108945025
12,"Stranger",0.464495760064507
13,"Stranger",2.15043328747401
14,"Stranger",-0.0232603947413755
15,"Stranger",1.61804299472084
16,"Stranger",1.38213325894896
17,"Stranger",1.43570218653417
18,"Stranger",1.83480237234726
19,"Stranger",2.24971607108341
20,"Stranger",2.72590461364408
21,"Stranger",2.92796583526912
22,"Stranger",1.98710770674193
23,"Stranger",1.04858516039381
24,"Stranger",2.20482183214606
25,"Stranger",1.97445503967219
26,"Stranger",1.4598680407151
27,"Stranger",1.98470228153992
28,"Stranger",1.10262645268956
29,"Stranger",2.45390180381727
30,"Stranger",0.622786856380215
31,"Stranger",2.15850952914546
32,"Stranger",1.91855816699527
33,"Stranger",2.18498776167425
34,"Stranger",-0.110128841411901
35,"Stranger",2.04777989939392
36,"Stranger",1.80226108862895
37,"Stranger",1.60430872829325
38,"Stranger",1.96580506981598
39,"Stranger",2.34673710014129
40,"Stranger",2.1702880650669
41,"Stranger",0.967255118161786
42,"Stranger",3.2499614432264
43,"Stranger",1.88485929556247
44,"Stranger",0.784699997506551
45,"Stranger",1.5061947581166
46,"Stranger",2.76028915246686
47,"Stranger",2.1555690806139
48,"Stranger",3.14391846235976
49,"Stranger",1.97041368960754
50,"Stranger",1.09516556322694
51,"Stranger",1.62080342299228
52,"Stranger",1.76748388052624
53,"Stranger",-0.440938917359685
54,"Stranger",1.76394742487196
55,"Stranger",1.72967536593837
56,"Stranger",2.63497089086278
