Subject,Cohens_d_RT,deta_RT,Cohens_d_ACC,deta_ACC,Condition
52,-0.351849082,-90.04723064,0.210223833,0.077872692,Self-Stranger
53,0.003617503,1.105747126,0.498322404,0.241762452,Self-Stranger
54,-0.615692406,-152.9288762,-0.040288641,-0.016073969,Self-Stranger
55,0.192227209,71.42715349,-0.179810065,-0.075682382,Self-Stranger
56,-0.38612698,-74.66895724,-0.051362218,-0.016252182,Self-Stranger
17,-0.265103955,-24.96354167,0.271944193,0.088541667,Self-Stranger
18,-0.178268703,-21.80190587,0.004086688,0.00138508,Self-Stranger
19,-0.275168414,-35.858498,0.295008836,0.104824635,Self-Stranger
20,-0.181483037,-22.51863676,0.030325183,0.009088295,Self-Stranger
21,-0.303374915,-34.71256545,0.160281017,0.053155139,Self-Stranger
22,-0.357048711,-43.99014202,0.290959696,0.068922306,Self-Stranger
23,-0.105040453,-11.17149123,0.307550747,0.098245614,Self-Stranger
24,-0.073457062,-9.64021164,0.167391671,0.042328042,Self-Stranger
25,-0.068930939,-9.725806452,0.334477108,0.11827957,Self-Stranger
26,-0.24649574,-37.15378966,0.187786535,0.071415981,Self-Stranger
27,-0.346686266,-41.50868887,0.3740851,0.14974379,Self-Stranger
28,-0.22935912,-27.89002193,0.182764728,0.058826754,Self-Stranger
29,-0.172771575,-19.41691209,0.094880939,0.032013525,Self-Stranger
30,-0.147534509,-21.49128466,-0.066117587,-0.024900962,Self-Stranger
31,-0.226260436,-25.47382199,0.191205691,0.062036431,Self-Stranger
32,-0.075173691,-10.83510638,0.078373305,0.021276596,Self-Stranger
33,0.039495171,5.126315789,0.163924771,0.047368421,Self-Stranger
34,-0.572064085,-78.16676362,0.04315727,0.011302252,Self-Stranger
35,-0.162177507,-18.37914439,0.42329236,0.166563467,Self-Stranger
36,-0.113559437,-13.82105263,0.255874831,0.078947368,Self-Stranger
37,-0.148817859,-17.599752,0.177225362,0.057123174,Self-Stranger
38,-0.40060273,-57.66937895,-0.007024399,-0.002587694,Self-Stranger
39,-0.120450445,-13.28764681,0.165021402,0.054535163,Self-Stranger
40,-0.283647137,-41.46486486,-0.112145168,-0.032432432,Self-Stranger
1001,-0.073220619,-11.89732143,0.133931253,0.008928571,Self-Stranger
1002,-0.105553471,-31.91071429,-0.192740188,-0.053571429,Self-Stranger
1003,0.07750478,15.90178571,-0.094810526,-0.008928571,Self-Stranger
1004,0.006308842,1.848214286,0.077384411,0.008928571,Self-Stranger
1005,-0.322320588,-56.45535714,NA,0,Self-Stranger
1006,-0.299466459,-76.26339286,-0.095350146,-0.013392857,Self-Stranger
1007,-0.353348363,-47.04464286,0.180312498,0.022321429,Self-Stranger
1008,-0.574370717,-231.8660714,0.192915236,0.035714286,Self-Stranger
1009,0.051718676,9.575892857,-0.094491118,-0.004464286,Self-Stranger
1101,-0.142339244,-42.14285714,-0.101406031,-0.010204082,Self-Stranger
1102,-0.025910027,-4.629464286,-0.095350146,-0.013392857,Self-Stranger
1103,0.265069969,66.96875,-0.240556693,-0.040178571,Self-Stranger
1104,-0.247441783,-70.17857143,0.159240405,0.022321429,Self-Stranger
1105,-0.158681778,-75.54464286,0.096121333,0.017857143,Self-Stranger
1106,0.029556369,4.066964286,-0.094810526,-0.008928571,Self-Stranger
1107,-0.131964043,-40.45089286,-0.026538753,-0.004464286,Self-Stranger
1108,-0.1835027,-64.75,-0.022104445,-0.004464286,Self-Stranger
1109,0.076940756,9.959821429,NA,0,Self-Stranger
17,-0.477958783,-43.7061791,0.274359189,0.089414267,Self-Familiar
18,-0.176848939,-23.74072862,-0.153871079,-0.047556719,Self-Familiar
19,-0.110224467,-13.85863874,0.29417491,0.104712042,Self-Familiar
20,0.237756512,30.18298524,-0.094560063,-0.025953773,Self-Familiar
21,-0.370576765,-45.69235268,0.15008936,0.04945973,Self-Familiar
22,-0.020403679,-2.572152604,0.136362312,0.026594263,Self-Familiar
23,0.066688024,7.19914577,0.178003497,0.051997796,Self-Familiar
24,-0.080011564,-9.862205062,0.029228861,0.006435006,Self-Familiar
25,0.045971238,6.672978027,0.140157594,0.044471716,Self-Familiar
26,-0.044271056,-6.440670617,-0.004323015,-0.001503107,Self-Familiar
27,-0.16352119,-19.50821794,0.296792477,0.115698525,Self-Familiar
28,-0.495296914,-63.14583333,0.086065295,0.026041667,Self-Familiar
29,-0.407902583,-52.02754568,0.088675747,0.029801693,Self-Familiar
30,0.05523268,8.04911363,0.122292282,0.049636734,Self-Familiar
31,-0.317872339,-37.55276936,0.195703175,0.063626343,Self-Familiar
32,-0.316819,-45.83803618,0.229846627,0.069888497,Self-Familiar
33,-0.094489901,-12.48421053,0.059339636,0.015789474,Self-Familiar
34,-0.467558449,-60.70437936,0.128595223,0.036103839,Self-Familiar
35,0.039512898,4.569532864,0.366925125,0.1416122,Self-Familiar
36,-0.256251377,-30.73609023,0.181966362,0.053272069,Self-Familiar
37,-0.342379096,-44.64006327,0.149137598,0.047138338,Self-Familiar
38,-0.19806473,-27.96414119,0.182853577,0.072810515,Self-Familiar
39,-0.148917891,-17.11442871,0.212234647,0.072014872,Self-Familiar
40,-0.542998407,-78.27660146,0.091243541,0.030013439,Self-Familiar
1,-0.253146372,-34.72721649,0.249316185,0.097113402,Self-Familiar
2,-0.428703112,-46.86883503,0.142243229,0.043367347,Self-Familiar
3,-0.266899961,-41.29484649,0.244135781,0.09627193,Self-Familiar
5,-0.577387771,-69.61918367,0.239110896,0.094897959,Self-Familiar
6,-0.38833395,-54.83505155,0.337428844,0.134020619,Self-Familiar
7,-0.188648173,-22.01338013,0.48967734,0.161219566,Self-Familiar
8,-0.242379728,-39.80858748,-0.04711463,-0.015783842,Self-Familiar
9,-0.399577366,-60.81443299,0.081959489,0.030927835,Self-Familiar
10,-0.247226421,-34.05092784,0.249316185,0.097113402,Self-Familiar
11,-0.306413724,-33.95232323,0.186205128,0.040707071,Self-Familiar
12,-0.428905785,-46.65625,0.142243229,0.043367347,Self-Familiar
13,-0.654039472,-84.07082474,0.49137391,0.134639175,Self-Familiar
14,-0.488538174,-61.27737374,0.003153494,0.000909091,Self-Familiar
15,-0.361752508,-50.18085106,0.251915268,0.106382979,Self-Familiar
16,-0.578968511,-95.06444683,0.626034502,0.233834586,Self-Familiar
17,0.20092628,33.57592354,0.096575899,0.039304124,Self-Familiar
