"Subject","Age","Gender","Handedness","Block","Trial","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
2832782,22,"Mujer","Diestro",1,19,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,766,0.766,1
2832782,22,"Mujer","Diestro",1,20,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,267,0.267,1
2832782,22,"Mujer","Diestro",1,21,"circulo","tu","Matching","Self","Self","Self","Self",5,451,0.451,1
2832782,22,"Mujer","Diestro",1,22,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,461,0.461,1
2832782,22,"Mujer","Diestro",1,23,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,381,0.381,1
2832782,22,"Mujer","Diestro",1,24,"circulo","tu","Matching","Self","Self","Self","Self",5,320,0.32,1
2832782,22,"Mujer","Diestro",1,25,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",1,728,0.728,1
2832782,22,"Mujer","Diestro",1,26,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,816,0.816,1
2832782,22,"Mujer","Diestro",1,27,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,494,0.494,1
2832782,22,"Mujer","Diestro",1,28,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,1035,1.035,1
2832782,22,"Mujer","Diestro",1,29,"circulo","tu","Matching","Self","Self","Self","Self",5,293,0.293,1
2832782,22,"Mujer","Diestro",1,30,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,482,0.482,0
2832782,22,"Mujer","Diestro",1,31,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,840,0.84,1
2832782,22,"Mujer","Diestro",1,32,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,553,0.553,1
2832782,22,"Mujer","Diestro",1,33,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,850,0.85,1
2832782,22,"Mujer","Diestro",1,34,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,598,0.598,1
2832782,22,"Mujer","Diestro",1,35,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,665,0.665,1
2832782,22,"Mujer","Diestro",1,36,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,424,0.424,1
2832782,22,"Mujer","Diestro",1,37,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,601,0.601,1
2832782,22,"Mujer","Diestro",1,38,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",1,719,0.719,1
2832782,22,"Mujer","Diestro",1,39,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,604,0.604,1
2832782,22,"Mujer","Diestro",1,40,"triangulo","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",1,821,0.821,1
2832782,22,"Mujer","Diestro",1,41,"circulo","tu","Matching","Self","Self","Self","Self",5,282,0.282,1
2832782,22,"Mujer","Diestro",1,42,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,261,0.261,1
2832782,22,"Mujer","Diestro",1,43,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,507,0.507,1
2832782,22,"Mujer","Diestro",1,44,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,794,0.794,0
2832782,22,"Mujer","Diestro",1,45,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,464,0.464,1
2832782,22,"Mujer","Diestro",1,46,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,711,0.711,1
2832782,22,"Mujer","Diestro",1,47,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,477,0.477,1
2832782,22,"Mujer","Diestro",1,48,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,650,0.65,1
2832782,22,"Mujer","Diestro",2,49,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,808,0.808,1
2832782,22,"Mujer","Diestro",2,50,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,570,0.57,1
2832782,22,"Mujer","Diestro",2,51,"circulo","tu","Matching","Self","Self","Self","Self",5,283,0.283,1
2832782,22,"Mujer","Diestro",2,52,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,792,0.792,1
2832782,22,"Mujer","Diestro",2,53,"circulo","tu","Matching","Self","Self","Self","Self",5,450,0.45,1
2832782,22,"Mujer","Diestro",2,54,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,661,0.661,1
2832782,22,"Mujer","Diestro",2,55,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,521,0.521,0
2832782,22,"Mujer","Diestro",2,56,"circulo","tu","Matching","Self","Self","Self","Self",5,345,0.345,1
2832782,22,"Mujer","Diestro",2,57,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,644,0.644,1
2832782,22,"Mujer","Diestro",2,58,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",5,336,0.336,1
2832782,22,"Mujer","Diestro",2,59,"circulo","tu","Matching","Self","Self","Self","Self",5,328,0.328,1
2832782,22,"Mujer","Diestro",2,60,"circulo","tu","Matching","Self","Self","Self","Self",5,299,0.299,1
2832782,22,"Mujer","Diestro",2,61,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",5,363,0.363,0
2832782,22,"Mujer","Diestro",2,62,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",5,871,0.871,1
2832782,22,"Mujer","Diestro",2,63,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,499,0.499,1
2832782,22,"Mujer","Diestro",2,64,"circulo","extrano","Nonmatching","Stranger","Self","Self","Self",1,961,0.961,1
2832782,22,"Mujer","Diestro",2,65,"triangulo","amigo","Nonmatching","Friend","Stranger","Stranger","Stranger",5,553,0.553,0
2832782,22,"Mujer","Diestro",2,66,"triangulo","extrano","Matching","Stranger","Stranger","Stranger","Stranger",1,564,0.564,0
2832782,22,"Mujer","Diestro",2,67,"circulo","amigo","Nonmatching","Friend","Self","Self","Self",1,687,0.687,1
2832782,22,"Mujer","Diestro",2,68,"cuadrado","extrano","Nonmatching","Stranger","Friend","Friend","Close",1,436,0.436,1
2832782,22,"Mujer","Diestro",2,69,"cuadrado","amigo","Matching","Friend","Friend","Friend","Close",1,282,0.282,0
2832782,22,"Mujer","Diestro",2,70,"cuadrado","tu","Nonmatching","Self","Friend","Friend","Close",1,636,0.636,1
2832782,22,"Mujer","Diestro",2,71,"circulo","tu","Matching","Self","Self","Self","Self",5,503,0.503,1
2832782,22,"Mujer","Diestro",2,72,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,433,0.433,1
2832782,22,"Mujer","Diestro",2,73,"triangulo","tu","Nonmatching","Self","Stranger","Stranger","Stranger",1,431,0.431,1
2832782,22,"Mujer","Diestro",2,74,"circulo","tu","Matching","Self","Self","Self","Self",5,263,0.263,1
2832782,22,"Mujer","Diestro",2,75,"circulo","tu","Matching","Self","Self","Self","Self",5,544,0.544,1
