"","Subject","Shape","Label","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"105",1,"P2","P2","Matching","Partner","1",667,0.667,1,2
"106",1,"P2","P2","Matching","Partner","1",800,0.8,1,2
"107",1,"P2","P2","Matching","Partner","1",1217,1.217,1,2
"108",1,"P2","P2","Matching","Partner","1",867,0.867,1,2
"109",1,"P2","P2","Matching","Partner","1",900,0.9,1,2
"110",1,"P2","P2","Matching","Partner","1",633,0.633,1,2
"111",1,"P2","P2","Matching","Partner","1",700,0.7,1,2
"112",1,"P2","P2","Matching","Partner","1",884,0.884,1,2
"113",1,"P2","P2","Matching","Partner","1",767,0.767,1,2
"114",1,"P2","P2","Matching","Partner","1",700,0.7,1,2
"115",1,"P2","P2","Matching","Partner","1",684,0.684,1,2
"116",1,"P2","P2","Matching","Partner","1",867,0.867,1,2
"117",1,"P2","P2","Matching","Partner","1",700,0.7,1,2
"118",1,"P2","P2","Matching","Partner","1",884,0.884,1,2
"119",1,"P2","P2","Matching","Partner","1",850,0.85,1,2
"120",1,"P2","P2","Matching","Partner","1",767,0.767,1,2
"121",1,"P2","P2","Matching","Partner","2",567,0.567,1,1
"122",1,"P2","P2","Matching","Partner","2",950,0.95,1,1
"123",1,"P2","P2","Matching","Partner","2",650,0.65,1,1
"124",1,"P2","P2","Matching","Partner","2",767,0.767,1,1
"125",1,"P2","P2","Matching","Partner","2",650,0.65,1,1
"126",1,"P2","P2","Matching","Partner","2",867,0.867,1,1
"127",1,"P2","P2","Matching","Partner","2",667,0.667,1,1
"128",1,"P2","P2","Matching","Partner","2",1117,1.117,1,1
"129",1,"P2","P2","Matching","Partner","2",667,0.667,1,1
"130",1,"P2","P2","Matching","Partner","2",550,0.55,1,1
"131",1,"P2","P2","Matching","Partner","2",650,0.65,1,1
"132",1,"P2","P2","Matching","Partner","2",550,0.55,1,1
"133",1,"P2","P2","Matching","Partner","2",550,0.55,1,1
"134",1,"P2","P2","Matching","Partner","2",534,0.534,1,1
"135",1,"P2","P2","Matching","Partner","2",567,0.567,1,1
"136",1,"P2","P2","Matching","Partner","2",650,0.65,1,1
"137",1,"P2","P2","Matching","Partner","2",1067,1.067,1,1
"138",1,"P2","P2","Matching","Partner","2",767,0.767,1,1
"139",1,"P2","P2","Matching","Partner","2",683,0.683,1,1
"140",1,"P2","P2","Matching","Partner","2",717,0.717,0,1
"141",1,"P2","P2","Matching","Partner","2",583,0.583,1,2
"142",1,"P2","P2","Matching","Partner","2",784,0.784,1,2
"143",1,"P2","P2","Matching","Partner","2",533,0.533,1,2
"144",1,"P2","P2","Matching","Partner","2",767,0.767,1,2
"145",1,"P2","P2","Matching","Partner","2",717,0.717,1,2
"146",1,"P2","P2","Matching","Partner","2",667,0.667,1,2
"147",1,"P2","P2","Matching","Partner","2",767,0.767,1,2
"148",1,"P2","P2","Matching","Partner","2",700,0.7,1,2
"149",1,"P2","P2","Matching","Partner","2",717,0.717,1,2
"150",1,"P2","P2","Matching","Partner","2",783,0.783,1,2
"151",1,"P2","P2","Matching","Partner","2",933,0.933,1,2
"152",1,"P2","P2","Matching","Partner","2",683,0.683,1,2
"153",1,"P2","P2","Matching","Partner","2",767,0.767,1,2
"154",1,"P2","P2","Matching","Partner","2",851,0.851,1,2
"155",1,"P2","P2","Matching","Partner","2",650,0.65,1,2
"156",1,"P2","P2","Matching","Partner","2",850,0.85,1,2
"157",1,"P2","P2","Matching","Partner","2",750,0.75,1,2
"158",1,"P2","P2","Matching","Partner","2",817,0.817,1,2
"159",1,"P2","P2","Matching","Partner","2",667,0.667,1,2
"160",1,"P2","P2","Matching","Partner","2",884,0.884,1,2
"161",1,"Stranger","Stranger","Matching","Stranger","1",650,0.65,1,1
"162",1,"Stranger","Stranger","Matching","Stranger","1",600,0.6,1,1
"163",1,"Stranger","Stranger","Matching","Stranger","1",617,0.617,1,1
