"Subject","Gender","Age","Handedness","First_Lanugage","Shape","Label","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",1014,1.014,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1142,1.142,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1041,1.041,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1408,1.408,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",895,0.895,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1139,1.139,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1951,1.951,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",937,0.937,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",700,0.7,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1337,1.337,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1004,1.004,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1117,1.117,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1113,1.113,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",949,0.949,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",888,0.888,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",669,0.669,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",732,0.732,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1368,1.368,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1225,1.225,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1121,1.121,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",749,0.749,0
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",1023,1.023,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",1870,1.87,0
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1187,1.187,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1420,1.42,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1180,1.18,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1669,1.669,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1707,1.707,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",2143,2.143,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",784,0.784,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1162,1.162,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1460,1.46,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",962,0.962,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",868,0.868,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",970,0.97,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",780,0.78,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1062,1.062,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",804,0.804,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1741,1.741,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","z",719,0.719,0
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1506,1.506,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",798,0.798,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",855,0.855,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1358,1.358,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",784,0.784,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1433,1.433,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1240,1.24,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",927,0.927,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1026,1.026,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1202,1.202,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",586,0.586,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",668,0.668,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",875,0.875,0
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",744,0.744,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1123,1.123,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",719,0.719,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",1323,1.323,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",975,0.975,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1008,1.008,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","m",879,0.879,0
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1180,1.18,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1462,1.462,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1747,1.747,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",901,0.901,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1418,1.418,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1194,1.194,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",595,0.595,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","z",1028,1.028,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",3337,3.337,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",1242,1.242,1
1,"female",36,"right","Hebrew","circle.bmp","Self","Nonmatching","Self","Friend","Friend","Close","m",976,0.976,1
1,"female",36,"right","Hebrew","circle.bmp","Stranger","Nonmatching","Stranger","Friend","Friend","Close","m",1074,1.074,1
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1214,1.214,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",662,0.662,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1188,1.188,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",798,0.798,1
1,"female",36,"right","Hebrew","square.bmp","Stranger","Matching","Stranger","Stranger","Stranger","Stranger","m",1047,1.047,0
1,"female",36,"right","Hebrew","square.bmp","Friend","Nonmatching","Friend","Stranger","Stranger","Stranger","m",1037,1.037,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",908,0.908,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",1216,1.216,1
1,"female",36,"right","Hebrew","square.bmp","Self","Nonmatching","Self","Stranger","Stranger","Stranger","m",1080,1.08,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1046,1.046,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",836,0.836,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",796,0.796,1
1,"female",36,"right","Hebrew","triangle.bmp","Self","Matching","Self","Self","Self","Self","z",549,0.549,1
1,"female",36,"right","Hebrew","circle.bmp","Friend","Matching","Friend","Friend","Friend","Close","z",776,0.776,1
1,"female",36,"right","Hebrew","triangle.bmp","Stranger","Nonmatching","Stranger","Self","Self","Self","m",738,0.738,1
1,"female",36,"right","Hebrew","triangle.bmp","Friend","Nonmatching","Friend","Self","Self","Self","m",1422,1.422,1
