"","Subject","Gender","Age","Handedness","First_Lanugage","Shape","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","LuminanceBackground","LuminanceStrongDark","LuminanceWeakDark","LuminanceWeakLight","LuminanceStrongLight","TextColor","Color","VisualAngle","Contrast"
"30",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",695,0.695,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"31",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",758,0.758,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"32",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",885,0.885,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"33",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",568,0.568,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"34",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1540,1.54,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"35",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1079,1.079,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"36",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",696,0.696,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"37",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",886,0.886,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"38",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",594,0.594,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"39",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",774,0.774,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"40",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",2565,2.565,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"41",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1481,1.481,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"42",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",1032,1.032,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"43",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",997,0.997,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"44",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",601,0.601,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"45",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",707,0.707,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"46",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",2411,2.411,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"47",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",739,0.739,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"48",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",496,0.496,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"49",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",634,0.634,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"50",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",710,0.71,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"51",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",645,0.645,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"52",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",522,0.522,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"53",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",697,0.697,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"54",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",634,0.634,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"55",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",709,0.709,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"56",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",723,0.723,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"57",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",762,0.762,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"58",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",594,0.594,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"59",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",774,0.774,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"60",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",952,0.952,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"61",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",835,0.835,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"62",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1014,1.014,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"63",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",722,0.722,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"64",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",2069,2.069,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"65",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1081,1.081,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"66",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",713,0.713,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"67",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",648,0.648,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"68",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",644,0.644,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"69",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",696,0.696,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"70",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",643,0.643,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"71",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",565,0.565,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"72",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",602,0.602,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"73",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",714,0.714,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"74",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","m",777,0.777,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
"75",1,"female",25,"right","Hebrew","circle.bmp","Friend","Nonmatching","z",1083,1.083,1,"1920 × 1080","60 Hz",NA,NA,NA,NA,NA,NA,NA,"60cm",NA
