"Subject","Stim","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","RT_ms","RT_sec","ACC"
1,0,"Nonmatching","Friend","Friend","Close",0,846,0.846,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,783,0.783,1
1,1,"Matching","Self","Self","Self",1,997,0.997,1
1,1,"Matching","Stranger","Stranger","Stranger",0,823,0.823,0
1,0,"Nonmatching","Self","Self","Self",0,725,0.725,1
1,1,"Matching","Friend","Friend","Close",1,765,0.765,1
1,0,"Nonmatching","Friend","Friend","Close",0,630,0.63,1
1,1,"Matching","Stranger","Stranger","Stranger",0,797,0.797,0
1,1,"Matching","Friend","Friend","Close",1,1079,1.079,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,825,0.825,1
1,0,"Nonmatching","Self","Self","Self",1,963,0.963,0
1,0,"Nonmatching","Friend","Friend","Close",0,1056,1.056,1
1,1,"Matching","Friend","Friend","Close",1,807,0.807,1
1,1,"Matching","Self","Self","Self",1,698,0.698,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,662,0.662,1
1,1,"Matching","Friend","Friend","Close",1,618,0.618,1
1,0,"Nonmatching","Self","Self","Self",0,791,0.791,1
1,0,"Nonmatching","Friend","Friend","Close",0,949,0.949,1
1,0,"Nonmatching","Self","Self","Self",0,681,0.681,1
1,1,"Matching","Stranger","Stranger","Stranger",0,553,0.553,0
1,1,"Matching","Self","Self","Self",1,664,0.664,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,842,0.842,1
1,0,"Nonmatching","Self","Self","Self",0,1078,1.078,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,1004,1.004,1
1,1,"Matching","Stranger","Stranger","Stranger",1,917,0.917,1
1,1,"Matching","Self","Self","Self",0,751,0.751,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,779,0.779,1
1,0,"Nonmatching","Self","Self","Self",0,916,0.916,1
1,1,"Matching","Friend","Friend","Close",0,415,0.415,0
1,1,"Matching","Self","Self","Self",1,665,0.665,1
1,1,"Matching","Friend","Friend","Close",1,756,0.756,1
1,0,"Nonmatching","Friend","Friend","Close",0,660,0.66,1
1,1,"Matching","Stranger","Stranger","Stranger",1,902,0.902,1
1,0,"Nonmatching","Friend","Friend","Close",0,641,0.641,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,641,0.641,1
1,1,"Matching","Self","Self","Self",1,834,0.834,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,566,0.566,1
1,1,"Matching","Friend","Friend","Close",1,564,0.564,1
1,1,"Matching","Stranger","Stranger","Stranger",0,589,0.589,0
1,1,"Matching","Stranger","Stranger","Stranger",0,678,0.678,0
1,1,"Matching","Friend","Friend","Close",1,1031,1.031,1
1,0,"Nonmatching","Friend","Friend","Close",0,766,0.766,1
1,1,"Matching","Self","Self","Self",1,722,0.722,1
1,0,"Nonmatching","Self","Self","Self",0,849,0.849,1
1,1,"Matching","Self","Self","Self",0,709,0.709,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,1077,1.077,1
1,1,"Matching","Self","Self","Self",0,891,0.891,0
1,1,"Matching","Friend","Friend","Close",0,764,0.764,0
1,0,"Nonmatching","Self","Self","Self",0,1048,1.048,1
1,1,"Matching","Stranger","Stranger","Stranger",1,955,0.955,1
1,0,"Nonmatching","Friend","Friend","Close",0,916,0.916,1
1,1,"Matching","Stranger","Stranger","Stranger",1,688,0.688,1
1,0,"Nonmatching","Self","Self","Self",0,934,0.934,1
1,1,"Matching","Friend","Friend","Close",1,440,0.44,1
1,0,"Nonmatching","Self","Self","Self",0,571,0.571,1
1,0,"Nonmatching","Friend","Friend","Close",0,773,0.773,1
1,1,"Matching","Friend","Friend","Close",1,674,0.674,1
1,0,"Nonmatching","Friend","Friend","Close",0,806,0.806,1
1,1,"Matching","Self","Self","Self",1,845,0.845,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,706,0.706,1
1,1,"Matching","Self","Self","Self",1,686,0.686,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,824,0.824,1
1,1,"Matching","Stranger","Stranger","Stranger",1,604,0.604,1
1,1,"Matching","Friend","Friend","Close",1,604,0.604,1
1,1,"Matching","Stranger","Stranger","Stranger",0,633,0.633,0
1,0,"Nonmatching","Self","Self","Self",0,727,0.727,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,738,0.738,0
1,0,"Nonmatching","Friend","Friend","Close",0,719,0.719,1
1,1,"Matching","Friend","Friend","Close",1,704,0.704,1
1,1,"Matching","Friend","Friend","Close",0,916,0.916,0
1,1,"Matching","Stranger","Stranger","Stranger",0,695,0.695,0
1,1,"Matching","Self","Self","Self",1,892,0.892,1
1,0,"Nonmatching","Friend","Friend","Close",0,1025,1.025,1
1,0,"Nonmatching","Self","Self","Self",0,865,0.865,1
1,0,"Nonmatching","Self","Self","Self",0,976,0.976,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,797,0.797,1
1,1,"Matching","Stranger","Stranger","Stranger",1,570,0.57,1
1,1,"Matching","Self","Self","Self",1,620,0.62,1
1,1,"Matching","Stranger","Stranger","Stranger",1,707,0.707,1
1,1,"Matching","Self","Self","Self",1,922,0.922,1
1,1,"Matching","Friend","Friend","Close",1,608,0.608,1
1,1,"Matching","Friend","Friend","Close",1,836,0.836,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,857,0.857,1
1,1,"Matching","Stranger","Stranger","Stranger",0,629,0.629,0
1,0,"Nonmatching","Friend","Friend","Close",0,879,0.879,1
1,1,"Matching","Self","Self","Self",1,688,0.688,1
1,0,"Nonmatching","Friend","Friend","Close",0,712,0.712,1
1,0,"Nonmatching","Self","Self","Self",1,724,0.724,0
1,0,"Nonmatching","Self","Self","Self",0,879,0.879,1
1,1,"Matching","Self","Self","Self",1,878,0.878,1
1,0,"Nonmatching","Self","Self","Self",0,655,0.655,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,588,0.588,1
1,0,"Nonmatching","Friend","Friend","Close",0,780,0.78,1
1,1,"Matching","Friend","Friend","Close",0,667,0.667,0
1,0,"Nonmatching","Friend","Friend","Close",1,694,0.694,0
1,1,"Matching","Friend","Friend","Close",0,359,0.359,0
1,1,"Matching","Stranger","Stranger","Stranger",1,611,0.611,1
1,1,"Matching","Self","Self","Self",0,751,0.751,0
1,0,"Nonmatching","Self","Self","Self",0,987,0.987,1
1,1,"Matching","Stranger","Stranger","Stranger",0,867,0.867,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,792,0.792,0
1,1,"Matching","Self","Self","Self",0,906,0.906,0
1,1,"Matching","Stranger","Stranger","Stranger",1,987,0.987,1
1,1,"Matching","Stranger","Stranger","Stranger",1,851,0.851,1
1,0,"Nonmatching","Self","Self","Self",0,725,0.725,1
1,1,"Matching","Friend","Friend","Close",1,1012,1.012,1
1,0,"Nonmatching","Friend","Friend","Close",0,800,0.8,1
1,0,"Nonmatching","Self","Self","Self",1,856,0.856,0
1,1,"Matching","Self","Self","Self",0,566,0.566,0
1,1,"Matching","Friend","Friend","Close",0,689,0.689,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,869,0.869,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,1018,1.018,1
1,0,"Nonmatching","Friend","Friend","Close",1,708,0.708,0
1,1,"Matching","Self","Self","Self",1,647,0.647,1
1,1,"Matching","Stranger","Stranger","Stranger",1,877,0.877,1
1,1,"Matching","Friend","Friend","Close",1,506,0.506,1
1,0,"Nonmatching","Friend","Friend","Close",0,850,0.85,1
1,0,"Nonmatching","Self","Self","Self",0,760,0.76,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,832,0.832,1
1,1,"Matching","Friend","Friend","Close",0,836,0.836,0
1,0,"Nonmatching","Self","Self","Self",0,822,0.822,1
1,1,"Matching","Self","Self","Self",1,552,0.552,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,778,0.778,1
1,0,"Nonmatching","Friend","Friend","Close",0,986,0.986,1
1,1,"Matching","Self","Self","Self",1,802,0.802,1
1,1,"Matching","Stranger","Stranger","Stranger",0,1052,1.052,0
1,0,"Nonmatching","Friend","Friend","Close",0,773,0.773,1
1,0,"Nonmatching","Self","Self","Self",0,948,0.948,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,628,0.628,1
1,1,"Matching","Stranger","Stranger","Stranger",1,843,0.843,1
1,1,"Matching","Friend","Friend","Close",1,685,0.685,1
1,0,"Nonmatching","Self","Self","Self",0,659,0.659,1
1,1,"Matching","Self","Self","Self",1,582,0.582,1
1,1,"Matching","Friend","Friend","Close",0,804,0.804,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,953,0.953,1
1,1,"Matching","Self","Self","Self",1,1057,1.057,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,598,0.598,1
1,1,"Matching","Stranger","Stranger","Stranger",0,737,0.737,0
1,0,"Nonmatching","Friend","Friend","Close",0,844,0.844,1
1,0,"Nonmatching","Self","Self","Self",0,997,0.997,1
1,1,"Matching","Stranger","Stranger","Stranger",1,861,0.861,1
1,0,"Nonmatching","Friend","Friend","Close",0,1015,1.015,1
1,1,"Matching","Friend","Friend","Close",1,788,0.788,1
1,1,"Matching","Friend","Friend","Close",0,754,0.754,0
1,1,"Matching","Self","Self","Self",1,607,0.607,1
1,1,"Matching","Friend","Friend","Close",1,701,0.701,1
1,1,"Matching","Stranger","Stranger","Stranger",1,749,0.749,1
1,1,"Matching","Friend","Friend","Close",0,977,0.977,0
1,0,"Nonmatching","Friend","Friend","Close",0,915,0.915,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,876,0.876,1
1,1,"Matching","Self","Self","Self",1,637,0.637,1
1,0,"Nonmatching","Self","Self","Self",0,729,0.729,1
1,0,"Nonmatching","Friend","Friend","Close",0,646,0.646,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,791,0.791,1
1,0,"Nonmatching","Self","Self","Self",0,763,0.763,1
1,1,"Matching","Self","Self","Self",1,878,0.878,1
1,1,"Matching","Stranger","Stranger","Stranger",1,1053,1.053,1
1,0,"Nonmatching","Self","Self","Self",0,978,0.978,1
1,1,"Matching","Friend","Friend","Close",0,913,0.913,0
1,1,"Matching","Self","Self","Self",1,587,0.587,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,864,0.864,1
1,0,"Nonmatching","Friend","Friend","Close",1,769,0.769,0
1,0,"Nonmatching","Self","Self","Self",0,595,0.595,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,864,0.864,1
1,1,"Matching","Self","Self","Self",1,525,0.525,1
1,1,"Matching","Friend","Friend","Close",1,739,0.739,1
1,0,"Nonmatching","Friend","Friend","Close",0,605,0.605,1
1,1,"Matching","Stranger","Stranger","Stranger",1,682,0.682,1
1,1,"Matching","Stranger","Stranger","Stranger",1,634,0.634,1
1,0,"Nonmatching","Friend","Friend","Close",0,802,0.802,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,713,0.713,1
1,1,"Matching","Self","Self","Self",0,721,0.721,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,1002,1.002,0
1,1,"Matching","Friend","Friend","Close",1,621,0.621,1
1,1,"Matching","Stranger","Stranger","Stranger",0,676,0.676,0
1,1,"Matching","Self","Self","Self",1,920,0.92,1
1,1,"Matching","Friend","Friend","Close",1,707,0.707,1
1,0,"Nonmatching","Self","Self","Self",0,751,0.751,1
1,0,"Nonmatching","Friend","Friend","Close",0,838,0.838,1
1,0,"Nonmatching","Self","Self","Self",0,1094,1.094,1
1,1,"Matching","Stranger","Stranger","Stranger",1,762,0.762,1
1,1,"Matching","Stranger","Stranger","Stranger",0,985,0.985,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,745,0.745,1
1,1,"Matching","Self","Self","Self",1,608,0.608,1
1,1,"Matching","Stranger","Stranger","Stranger",1,844,0.844,1
1,1,"Matching","Friend","Friend","Close",1,740,0.74,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,895,0.895,1
1,1,"Matching","Self","Self","Self",1,567,0.567,1
1,1,"Matching","Friend","Friend","Close",1,948,0.948,1
1,0,"Nonmatching","Self","Self","Self",0,780,0.78,1
1,0,"Nonmatching","Friend","Friend","Close",0,960,0.96,1
1,0,"Nonmatching","Self","Self","Self",0,1095,1.095,1
1,0,"Nonmatching","Friend","Friend","Close",1,1099,1.099,0
1,1,"Matching","Self","Self","Self",1,723,0.723,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,645,0.645,1
1,1,"Matching","Friend","Friend","Close",0,742,0.742,0
1,1,"Matching","Stranger","Stranger","Stranger",1,689,0.689,1
1,1,"Matching","Friend","Friend","Close",1,863,0.863,1
1,1,"Matching","Self","Self","Self",1,733,0.733,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,952,0.952,1
1,0,"Nonmatching","Friend","Friend","Close",0,930,0.93,1
1,0,"Nonmatching","Self","Self","Self",0,971,0.971,1
1,1,"Matching","Stranger","Stranger","Stranger",1,662,0.662,1
1,0,"Nonmatching","Friend","Friend","Close",0,857,0.857,1
1,1,"Matching","Stranger","Stranger","Stranger",1,866,0.866,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,647,0.647,1
1,0,"Nonmatching","Self","Self","Self",0,903,0.903,1
1,1,"Matching","Friend","Friend","Close",1,832,0.832,1
1,0,"Nonmatching","Self","Self","Self",1,734,0.734,0
1,1,"Matching","Friend","Friend","Close",0,558,0.558,0
1,1,"Matching","Self","Self","Self",1,650,0.65,1
1,0,"Nonmatching","Friend","Friend","Close",0,750,0.75,1
1,1,"Matching","Stranger","Stranger","Stranger",1,955,0.955,1
1,1,"Matching","Self","Self","Self",0,555,0.555,0
1,0,"Nonmatching","Friend","Friend","Close",0,1050,1.05,1
1,1,"Matching","Friend","Friend","Close",1,917,0.917,1
1,0,"Nonmatching","Self","Self","Self",0,865,0.865,1
1,1,"Matching","Stranger","Stranger","Stranger",0,838,0.838,0
1,0,"Nonmatching","Friend","Friend","Close",1,758,0.758,0
1,0,"Nonmatching","Friend","Friend","Close",0,969,0.969,1
1,1,"Matching","Stranger","Stranger","Stranger",0,692,0.692,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,851,0.851,1
1,1,"Matching","Friend","Friend","Close",1,956,0.956,1
1,1,"Matching","Self","Self","Self",0,566,0.566,0
1,1,"Matching","Self","Self","Self",1,615,0.615,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,633,0.633,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,648,0.648,1
1,1,"Matching","Stranger","Stranger","Stranger",1,729,0.729,1
1,1,"Matching","Friend","Friend","Close",0,750,0.75,0
1,1,"Matching","Friend","Friend","Close",1,731,0.731,1
1,0,"Nonmatching","Friend","Friend","Close",0,818,0.818,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,996,0.996,1
1,1,"Matching","Stranger","Stranger","Stranger",1,664,0.664,1
1,0,"Nonmatching","Friend","Friend","Close",0,693,0.693,1
1,0,"Nonmatching","Self","Self","Self",0,824,0.824,1
1,1,"Matching","Self","Self","Self",1,856,0.856,1
1,0,"Nonmatching","Friend","Friend","Close",0,988,0.988,1
1,1,"Matching","Self","Self","Self",1,721,0.721,1
1,1,"Matching","Stranger","Stranger","Stranger",0,1016,1.016,0
1,1,"Matching","Stranger","Stranger","Stranger",1,553,0.553,1
1,1,"Matching","Self","Self","Self",1,424,0.424,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,615,0.615,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,959,0.959,0
1,0,"Nonmatching","Friend","Friend","Close",0,820,0.82,1
1,1,"Matching","Friend","Friend","Close",0,931,0.931,0
1,0,"Nonmatching","Self","Self","Self",0,1088,1.088,1
1,1,"Matching","Friend","Friend","Close",1,823,0.823,1
1,1,"Matching","Stranger","Stranger","Stranger",1,1078,1.078,1
1,1,"Matching","Friend","Friend","Close",0,787,0.787,0
1,1,"Matching","Self","Self","Self",1,553,0.553,1
1,0,"Nonmatching","Friend","Friend","Close",0,902,0.902,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,832,0.832,0
1,0,"Nonmatching","Friend","Friend","Close",0,656,0.656,1
1,0,"Nonmatching","Self","Self","Self",1,573,0.573,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,808,0.808,1
1,0,"Nonmatching","Self","Self","Self",0,1031,1.031,1
1,1,"Matching","Friend","Friend","Close",1,1018,1.018,1
1,1,"Matching","Friend","Friend","Close",1,915,0.915,1
1,0,"Nonmatching","Friend","Friend","Close",0,823,0.823,1
1,1,"Matching","Self","Self","Self",1,445,0.445,1
1,1,"Matching","Stranger","Stranger","Stranger",0,662,0.662,0
1,1,"Matching","Friend","Friend","Close",1,609,0.609,1
1,0,"Nonmatching","Self","Self","Self",0,827,0.827,1
1,0,"Nonmatching","Self","Self","Self",0,844,0.844,1
1,0,"Nonmatching","Friend","Friend","Close",0,777,0.777,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,836,0.836,1
1,1,"Matching","Self","Self","Self",1,494,0.494,1
1,1,"Matching","Friend","Friend","Close",0,714,0.714,0
1,1,"Matching","Self","Self","Self",1,666,0.666,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,528,0.528,1
1,0,"Nonmatching","Self","Self","Self",0,806,0.806,1
1,0,"Nonmatching","Self","Self","Self",0,640,0.64,1
1,1,"Matching","Stranger","Stranger","Stranger",1,703,0.703,1
1,1,"Matching","Stranger","Stranger","Stranger",0,601,0.601,0
1,0,"Nonmatching","Friend","Friend","Close",1,706,0.706,0
1,1,"Matching","Self","Self","Self",1,735,0.735,1
1,0,"Nonmatching","Friend","Friend","Close",0,1001,1.001,1
1,1,"Matching","Friend","Friend","Close",1,774,0.774,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,770,0.77,1
1,1,"Matching","Self","Self","Self",1,761,0.761,1
1,1,"Matching","Friend","Friend","Close",1,824,0.824,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,658,0.658,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,836,0.836,1
1,0,"Nonmatching","Friend","Friend","Close",0,794,0.794,1
1,0,"Nonmatching","Self","Self","Self",0,766,0.766,1
1,1,"Matching","Self","Self","Self",1,564,0.564,1
1,0,"Nonmatching","Friend","Friend","Close",0,558,0.558,1
1,1,"Matching","Stranger","Stranger","Stranger",1,753,0.753,1
1,1,"Matching","Stranger","Stranger","Stranger",0,695,0.695,0
1,1,"Matching","Friend","Friend","Close",1,607,0.607,1
1,0,"Nonmatching","Self","Self","Self",0,669,0.669,1
1,1,"Matching","Stranger","Stranger","Stranger",1,902,0.902,1
1,1,"Matching","Self","Self","Self",0,742,0.742,0
1,1,"Matching","Stranger","Stranger","Stranger",1,823,0.823,1
1,1,"Matching","Friend","Friend","Close",1,600,0.6,1
1,0,"Nonmatching","Self","Self","Self",0,676,0.676,1
1,1,"Matching","Self","Self","Self",1,622,0.622,1
1,1,"Matching","Friend","Friend","Close",0,685,0.685,0
1,0,"Nonmatching","Friend","Friend","Close",0,1091,1.091,1
1,0,"Nonmatching","Friend","Friend","Close",1,663,0.663,0
1,0,"Nonmatching","Self","Self","Self",0,870,0.87,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,1094,1.094,0
1,1,"Matching","Stranger","Stranger","Stranger",0,746,0.746,0
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,877,0.877,1
1,1,"Matching","Self","Self","Self",0,647,0.647,0
1,1,"Matching","Self","Self","Self",1,670,0.67,1
1,0,"Nonmatching","Self","Self","Self",0,592,0.592,1
1,0,"Nonmatching","Self","Self","Self",0,773,0.773,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",1,767,0.767,0
1,1,"Matching","Stranger","Stranger","Stranger",1,937,0.937,1
1,1,"Matching","Friend","Friend","Close",0,878,0.878,0
1,0,"Nonmatching","Friend","Friend","Close",0,810,0.81,1
1,0,"Nonmatching","Friend","Friend","Close",0,937,0.937,1
1,1,"Matching","Self","Self","Self",1,853,0.853,1
1,1,"Matching","Friend","Friend","Close",1,1000,1,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,742,0.742,1
1,0,"Nonmatching","Self","Self","Self",1,526,0.526,0
1,1,"Matching","Self","Self","Self",1,533,0.533,1
1,0,"Nonmatching","Friend","Friend","Close",0,639,0.639,1
1,1,"Matching","Friend","Friend","Close",0,702,0.702,0
1,0,"Nonmatching","Friend","Friend","Close",0,1097,1.097,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,900,0.9,1
1,0,"Nonmatching","Self","Self","Self",0,832,0.832,1
1,1,"Matching","Stranger","Stranger","Stranger",1,713,0.713,1
1,1,"Matching","Stranger","Stranger","Stranger",1,934,0.934,1
1,1,"Matching","Self","Self","Self",1,990,0.99,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,584,0.584,1
1,1,"Matching","Friend","Friend","Close",1,535,0.535,1
1,1,"Matching","Stranger","Stranger","Stranger",1,990,0.99,1
1,0,"Nonmatching","Self","Self","Self",0,799,0.799,1
1,1,"Matching","Self","Self","Self",1,736,0.736,1
1,0,"Nonmatching","Stranger","Stranger","Stranger",0,660,0.66,1
