"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Shape1","Shape2","Identity1","Identity2","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"36",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",635,0.635,1,"15.6-in",NA,NA,"white","black","50cm",NA
"37",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",940,0.94,1,"15.6-in",NA,NA,"white","black","50cm",NA
"38",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",627,0.627,1,"15.6-in",NA,NA,"white","black","50cm",NA
"39",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",999,0.999,1,"15.6-in",NA,NA,"white","black","50cm",NA
"40",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",716,0.716,1,"15.6-in",NA,NA,"white","black","50cm",NA
"41",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",2090,2.09,1,"15.6-in",NA,NA,"white","black","50cm",NA
"42",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",807,0.807,1,"15.6-in",NA,NA,"white","black","50cm",NA
"43",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",718,0.718,1,"15.6-in",NA,NA,"white","black","50cm",NA
"44",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",713,0.713,1,"15.6-in",NA,NA,"white","black","50cm",NA
"45",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",612,0.612,1,"15.6-in",NA,NA,"white","black","50cm",NA
"46",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",839,0.839,1,"15.6-in",NA,NA,"white","black","50cm",NA
"47",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",782,0.782,1,"15.6-in",NA,NA,"white","black","50cm",NA
"48",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1195,1.195,1,"15.6-in",NA,NA,"white","black","50cm",NA
"49",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1479,1.479,1,"15.6-in",NA,NA,"white","black","50cm",NA
"50",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",668,0.668,1,"15.6-in",NA,NA,"white","black","50cm",NA
"51",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",447,0.447,1,"15.6-in",NA,NA,"white","black","50cm",NA
"52",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1132,1.132,1,"15.6-in",NA,NA,"white","black","50cm",NA
"53",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1018,1.018,1,"15.6-in",NA,NA,"white","black","50cm",NA
"54",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1136,1.136,1,"15.6-in",NA,NA,"white","black","50cm",NA
"55",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",704,0.704,1,"15.6-in",NA,NA,"white","black","50cm",NA
"56",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",1190,1.19,1,"15.6-in",NA,NA,"white","black","50cm",NA
"57",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","k",435,0.435,0,"15.6-in",NA,NA,"white","black","50cm",NA
"58",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",641,0.641,1,"15.6-in",NA,NA,"white","black","50cm",NA
"59",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",690,0.69,1,"15.6-in",NA,NA,"white","black","50cm",NA
"60",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",551,0.551,1,"15.6-in",NA,NA,"white","black","50cm",NA
"61",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",720,0.72,1,"15.6-in",NA,NA,"white","black","50cm",NA
"62",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",777,0.777,1,"15.6-in",NA,NA,"white","black","50cm",NA
"63",1,NA,"","","Kreis.png","Fremder","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",987,0.987,1,"15.6-in",NA,NA,"white","black","50cm",NA
"64",1,NA,"","","Dreieck.png","Ich","Matching","Dreieck.png","Kreis.png","Ich","Fremder","d",661,0.661,1,"15.6-in",NA,NA,"white","black","50cm",NA
