"","Participant","SelfD","SelfB","SelfA","SelfBPPD","SelfC","TheyD","TheyB","TheyA","TheyBPPD","TheyC","WeD","WeB","WeA","WeBPPD","WeC","YouD","YouB","YouA","YouBPPD","YouC"
"1",1,2.95612709328114,1.99488429797663,0.970995670995671,0.477611940298508,0.233611759869157,1.36428188532461,2.24018356119451,0.821969696969697,0.531914893617021,0.591195865126808,1.49789087561416,1.40809709375534,0.861290322580645,0.27906976744186,0.228480738859595,1.19211042357479,1.83694298250423,0.814555921052632,0.432372505543237,0.510106073523187
"2",2,3.41932004482394,0.467209855967591,0.986111111111111,-1,-0.22255206938629,2.53404565720817,1.10193722691212,0.94625946969697,0.127753303964758,0.0383062341270364,2.4194385788375,0.919400782938947,0.94625946969697,-0.127753303964757,-0.0347324973526618,2.86145768788896,2.49813403671318,0.963616071428571,0.570552147239264,0.319957227307692
"3",3,3.10046634767798,0.822244384949203,0.978361344537815,-0.320388349514563,-0.0631252208133124,1.71297386015915,0.974856937490798,0.879310344827586,-8.85990788124509e-17,-0.0148656965066625,2.65088028938899,0.482903065680788,0.947106261859582,-0.390134529147982,-0.274602870811266,2.70875466886114,2.92561039562004,0.941379310344828,0.705882352941176,0.396308736821598
"4",4,3.12858673092471,1.7225301769363,0.970995670995671,0.477611940298508,0.173814661311257,2.8488796434104,2.44391916089267,0.963616071428571,0.570552147239264,0.313668205068413,2.27795201661608,0.786416473596693,0.937927663734115,-0.220472440944882,-0.105475778463371,3.68289816305043,0.715859812486833,0.993055555555556,-1,-0.0907630102730447
"5",5,3.11444434069633,0.839597099139636,0.978361344537815,-0.320388349514563,-0.056136224304139,1.80847229865193,1.2633545302264,0.890841013824885,0.182058047493404,0.129264080518705,2.32776999164769,0.570394616980032,0.93921568627451,-0.451612903225806,-0.241186564485787,2.42397893399577,0.648784834721561,0.937927663734115,-0.220472440944882,-0.178489237153213
"6",6,1.68551135044434,1.65550750955026,0.883413461538462,0.34020618556701,0.299082894923348,1.67123640699608,1.76326136153736,0.864583333333333,0.384615384615385,0.33936858856805,1.01123128492854,1.14846095750843,0.781803542673108,0.103321033210332,0.13688534986917,1.91715631454781,0.93352545956031,0.90994623655914,-0.074626865671642,-0.0358797259358475
"7",7,3.68289816305043,0.715859812486833,0.993055555555556,-1,-0.0907630102730447,3.68289816305043,0.715859812486833,0.993055555555556,-1,-0.0907630102730447,3.62143433953403,4.34497037177553,0.986111111111111,1,0.405645609457383,2.45497962822522,0.387786827346636,0.941379310344828,-0.705882352941176,-0.385868580539694
"8",8,4.13686478099194,1.84405696210371,0.993055555555556,1,0.147930388728426,3.46081456599581,5.37523266595597,0.979166666666667,1,0.485955496226492,3.46081456599581,5.37523266595597,0.979166666666667,1,0.485955496226492,4.14857487102266,1.80292473803814,1,NA,0.14207534371307
"9",9,2.26442827135754,0.16340263201791,0.909722222222222,-1,-0.799997956119489,1.71865957236491,1.72031417623374,0.883413461538462,0.34020618556701,0.315657005883635,1.83607911678267,0.869088697601907,0.900444938820912,-0.134078212290503,-0.0764183248184193,1.73598313828516,1.1352703181612,0.889942528735632,0.0600522193211487,0.0730829612103953
"10",10,2.90615750635366,1.14971773441151,0.970588235294118,2.64494308807758e-16,0.048007192867196,2.1863922020007,2.43953433914381,0.915305010893246,0.562700964630225,0.407889845043677,3.8297211738767,3.17297403597732,0.993055555555556,1,0.301502192286048,3.25271649566554,0.369776746412786,0.979166666666667,-1,-0.305853843965489
"11",11,3.43329803784228,0.477069891798739,0.986111111111111,-1,-0.215563072877117,3.11444434069633,0.839597099139636,0.978361344537815,-0.320388349514563,-0.056136224304139,2.4194385788375,0.919400782938947,0.94625946969697,-0.127753303964757,-0.0347324973526618,2.04529515709298,1.05935077847846,0.919354838709677,-2.32072425792613e-16,0.0281896953367373
"12",12,2.74553773281544,1.42233428397632,0.962789661319073,0.18562874251497,0.128317079636306,1.464546956783,1.17368095095435,0.857598978288634,0.0896860986547085,0.109347755181413,2.08607302034433,0.65693711897615,0.92110762800418,-0.344370860927152,-0.20141527659925,2.58005835237572,0.743180697452933,0.954963235294118,-0.306122448979592,-0.115042384121771
"13",13,1.74085074838336,0.274354145681927,0.880952380952381,-0.8,-0.74293302046062,1.10735700529811,1.12998707219214,0.795138888888889,0.0847457627118644,0.1103584404453,1.58185142533015,0.636491585010174,0.848333333333333,-0.208791208791209,-0.285604624151226,1.34880355517353,0.957884671836325,0.845568783068783,-0.0406852248394005,-0.0319007852533243
"14",14,4.14857487102266,1.80292473803814,1,NA,0.14207534371307,2.37243857263026,2.11066235125566,0.931288032454361,0.498154981549815,0.314866659728893,3.23754115452938,0.362482238604665,0.979166666666667,-1,-0.313441514533568,2.49554382925378,1.88166357891614,0.947106261859582,0.390134529147982,0.253314031417136
"15",15,3.11444434069633,0.839597099139636,0.978361344537815,-0.320388349514563,-0.056136224304139,3.68289816305043,0.715859812486833,0.993055555555556,-1,-0.0907630102730447,3.68289816305043,0.715859812486833,0.993055555555556,-1,-0.0907630102730447,3.8297211738767,3.17297403597732,0.993055555555556,1,0.301502192286048
"16",16,2.90615750635366,1.14971773441151,0.970588235294118,2.64494308807758e-16,0.048007192867196,3.14116477540327,1.76074206263778,0.970995670995671,0.477611940298508,0.180103683550536,3.14116477540327,1.76074206263778,0.970995670995671,0.477611940298508,0.180103683550536,3.09091981304985,0.302576847575729,0.972222222222222,-1,-0.386752185273336
"17",17,4.14857487102266,1.80292473803814,1,NA,0.14207534371307,2.86145768788896,2.49813403671318,0.963616071428571,0.570552147239264,0.319957227307692,2.74553773281544,1.42233428397632,0.962789661319073,0.18562874251497,0.128317079636306,3.10660966649478,7.84488890172733,0.958333333333333,1,0.663057945977009
"18",18,3.62143433953403,4.34497037177553,0.986111111111111,1,0.405645609457383,2.49554382925378,1.88166357891614,0.947106261859582,0.390134529147982,0.253314031417136,1.74432733695041,0.80789664607807,0.890841013824885,-0.182058047493404,-0.122294214734549,2.93386279851958,0.650771488527394,0.970995670995671,-0.477611940298507,-0.146426995392511
"19",19,4.13802274217634,1.76134642153822,1,NA,0.13679927928991,3.43329803784228,0.477069891798739,0.986111111111111,-1,-0.215563072877117,4.14857487102266,1.80292473803814,1,NA,0.14207534371307,3.62143433953403,4.34497037177553,0.986111111111111,1,0.405645609457383
"20",20,2.78834518671839,0.542717868083889,0.963616071428572,-0.570552147239264,-0.219185801293106,1.75713983672332,1.35350541791124,0.890841013824885,0.182058047493404,0.17226735552157,2.05184614698976,0.840216101682763,0.919791666666667,-0.168831168831169,-0.0848485431419047,2.99513785802358,2.13426160678868,0.970995670995671,0.477611940298508,0.253117142240378
"21",21,1.46923040988798,0.575416910639557,0.854959239130435,-0.400468384074941,-0.376156411692796,1.21162365135394,0.885363526517004,0.821785714285714,-0.102204408817635,-0.100490737163118,1.24870568052157,0.717470528884239,0.826449275362319,-0.248434237995825,-0.265894047009593,1.4997789717236,0.692949232888647,0.861290322580645,-0.279069767441861,-0.244568397347951
"22",22,3.11444434069633,0.839597099139636,0.978361344537815,-0.320388349514563,-0.056136224304139,1.56400025356306,1.28247577310916,0.869444444444444,0.148936170212766,0.159074403571444,2.29528906065464,0.800754687431862,0.937927663734115,-0.220472440944882,-0.096807256444093,1.35781357607848,0.877710257711275,0.833791208791209,-0.0743801652892562,-0.0960652807680223
"23",23,3.25271649566554,0.369776746412786,0.979166666666667,-1,-0.305853843965489,2.16160889052001,0.937276167723904,0.928679435483871,-0.0954063604240282,-0.0299671713767791,1.73598313828516,1.1352703181612,0.889942528735632,0.0600522193211487,0.0730829612103953,4.14857487102266,1.80292473803814,1,NA,0.14207534371307
"24",24,2.08607302034433,0.65693711897615,0.92110762800418,-0.344370860927152,-0.20141527659925,1.28696266630444,1.02680732374262,0.833333333333333,0,0.0205556099421337,1.39542100226819,0.466296177466598,0.841287878787879,-0.52744630071599,-0.546741285637318,1.73598313828516,1.1352703181612,0.889942528735632,0.0600522193211487,0.0730829612103953
"25",25,3.36404446590447,1.25984437980032,0.985714285714286,2.56937328556108e-16,0.0686638382999334,2.18552631712439,0.717832166278219,0.929545454545454,-0.290322580645161,-0.151688628209219,2.28243581527666,0.60728524098892,0.90994623655914,-0.074626865671642,-0.218519476300274,4.14857487102266,1.80292473803814,1,NA,0.14207534371307
"26",26,3.81916904503038,3.09980020019234,0.993055555555556,1,0.296226127862888,2.45590883419286,0.647275310329852,0.947106261859582,-0.390134529147982,-0.177117143213203,2.4194385788375,0.919400782938947,0.94625946969697,-0.127753303964757,-0.0347324973526618,2.26894660766098,1.09628034132282,0.928679435483871,0.0954063604240281,0.0405134882356011
"27",27,2.55443292500528,0.423732881409156,0.948809523809524,-0.674418604651163,-0.336141932149663,2.29528906065464,0.800754687431862,0.937927663734115,-0.220472440944882,-0.096807256444093,2.18552631712439,0.717832166278219,0.929545454545454,-0.290322580645161,-0.151688628209219,2.27795201661608,0.786416473596693,0.937927663734115,-0.220472440944882,-0.105475778463371
"28",28,2.45590883419286,0.647275310329852,0.947106261859582,-0.390134529147982,-0.177117143213203,0.135326931920431,1.02068811434806,0.553221288515406,0.0125391849529781,0.151315199867344,0.755716311678149,0.934359473459087,0.735,-0.0566037735849057,-0.0898406432754341,1.04121610276716,0.680536440904929,0.791666666666667,-0.28,-0.369638835886802
