Shape,Colour,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,4. Handedness,3. Age,2. Gender (M/F),6. Stimuli Type(Self = Positive/Self = Negative),1. Participant Number,5. First Lanugage
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,2.681105157,1,R,28,M,Self = Positive,29,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,0.897167704,1,R,28,M,Self = Positive,29,Hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,0.488427547,1,R,28,M,Self = Positive,29,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,0.928353674,1,R,28,M,Self = Positive,29,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.462998392,1,R,28,M,Self = Positive,29,Hungarian
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,0.560291402,1,R,28,M,Self = Positive,29,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.445607537,1,R,28,M,Self = Positive,29,Hungarian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,12.31678864,1,R,19,F,Self = Negative,30,Turkish
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,5.971564131,1,R,19,F,Self = Negative,30,Turkish
Self,Light,0,2,2,1,w,w,o,DARK,LIGHT,4.680031725,1,R,19,F,Self = Negative,30,Turkish
Stranger,Strong,0,3,3,2,o,w,o,DARK,LIGHT,3.063960572,1,R,19,F,Self = Negative,30,Turkish
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,3.760340119,1,R,19,F,Self = Negative,30,Turkish
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,3.16551533,1,R,19,F,Self = Negative,30,Turkish
Stranger,Strong,1,2,6,2,o,w,o,DARK,LIGHT,4.457884688,1,R,19,F,Self = Negative,30,Turkish
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,2.683151349,1,R,19,F,Self = Negative,30,Turkish
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,13.41251592,1,R,23,M,Self = Positive,31,Russian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,6.207167159,1,R,23,M,Self = Positive,31,Russian
Stranger,Strong,0,2,2,2,o,w,o,LIGHT,DARK,1.714743557,1,R,23,M,Self = Positive,31,Russian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,1.569180473,1,R,23,M,Self = Positive,31,Russian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,1.173910125,1,R,23,M,Self = Positive,31,Russian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.738451037,1,R,23,M,Self = Positive,31,Russian
Self,Strong,1,2,6,0,w,w,o,LIGHT,DARK,5.583970062,1,R,23,M,Self = Positive,31,Russian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.348105289,1,R,23,M,Self = Positive,31,Russian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,15.56230993,1,Right,25,M,Self = Negative,32,Arabic
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,6.295299223,1,Right,25,M,Self = Negative,32,Arabic
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,3.239318723,1,Right,25,M,Self = Negative,32,Arabic
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,0.833396434,1,Right,25,M,Self = Negative,32,Arabic
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,1.339273835,1,Right,25,M,Self = Negative,32,Arabic
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.753169257,1,Right,25,M,Self = Negative,32,Arabic
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,0.774485029,1,Right,25,M,Self = Negative,32,Arabic
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,6.722362394,1,Right,25,M,Self = Negative,32,Arabic
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,12.98179562,1,Right,26,F,Self = Positive,33,Hungarian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,8.297707832,1,Right,26,F,Self = Positive,33,Hungarian
Stranger,Strong,0,2,2,2,o,w,o,LIGHT,DARK,2.52930004,1,Right,26,F,Self = Positive,33,Hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,2.439199184,1,Right,26,F,Self = Positive,33,Hungarian
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,2.648987354,1,Right,26,F,Self = Positive,33,Hungarian
Self,Strong,1,1,5,0,w,w,o,LIGHT,DARK,3.362156669,1,Right,26,F,Self = Positive,33,Hungarian
Stranger,Light,1,2,6,3,o,w,o,LIGHT,DARK,2.559387481,1,Right,26,F,Self = Positive,33,Hungarian
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,3.660437336,1,Right,26,F,Self = Positive,33,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,10.20002156,1,Right,22,F,Self = Negative,34,Hungarian
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,7.971048359,1,Right,22,F,Self = Negative,34,Hungarian
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,3.519852413,1,Right,22,F,Self = Negative,34,Hungarian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,5.110425236,1,Right,22,F,Self = Negative,34,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,2.596862556,1,Right,22,F,Self = Negative,34,Hungarian
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,2.120098681,1,Right,22,F,Self = Negative,34,Hungarian
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,2.518544881,1,Right,22,F,Self = Negative,34,Hungarian
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,4.15690933,1,Right,22,F,Self = Negative,34,Hungarian
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,7.945729144,1,R,26,M,Self = Positive,35,Turkish
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,3.775144423,1,R,26,M,Self = Positive,35,Turkish
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,5.587414139,1,R,26,M,Self = Positive,35,Turkish
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,5.839080827,1,R,26,M,Self = Positive,35,Turkish
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,3.864992221,1,R,26,M,Self = Positive,35,Turkish
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,3.953466953,1,R,26,M,Self = Positive,35,Turkish
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,3.838570369,1,R,26,M,Self = Positive,35,Turkish
Self,Light,1,3,7,1,w,w,o,LIGHT,DARK,3.440385911,1,R,26,M,Self = Positive,35,Turkish
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,15.83034303,1,R,23,M,Self = Negative,36,Italian
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,3.792954804,1,R,23,M,Self = Negative,36,Italian
Self,Light,0,2,2,1,w,w,o,DARK,LIGHT,3.460784511,1,R,23,M,Self = Negative,36,Italian
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,2.878006346,1,R,23,M,Self = Negative,36,Italian
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,1.998579559,1,R,23,M,Self = Negative,36,Italian
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,3.353586652,1,R,23,M,Self = Negative,36,Italian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,4.174640754,1,R,23,M,Self = Negative,36,Italian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,2.899211494,1,R,23,M,Self = Negative,36,Italian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,13.88806427,1,R,22,F,Self = Positive,37,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,1.872806905,1,R,22,F,Self = Positive,37,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.705310724,1,R,22,F,Self = Positive,37,Hungarian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,1.744595653,1,R,22,F,Self = Positive,37,Hungarian
Self,Light,1,0,4,1,w,w,o,LIGHT,DARK,1.718508871,1,R,22,F,Self = Positive,37,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.709194645,1,R,22,F,Self = Positive,37,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.652470364,1,R,22,F,Self = Positive,37,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.429726013,1,R,22,F,Self = Positive,37,Hungarian
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,7.836773053,1,R,18,F,Self = Negative,38,Hungarian
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,3.318975036,1,R,18,F,Self = Negative,38,Hungarian
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,5.333160153,1,R,18,F,Self = Negative,38,Hungarian
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,1.851240837,1,R,18,F,Self = Negative,38,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,0.660589963,1,R,18,F,Self = Negative,38,Hungarian
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,0.653885678,1,R,18,F,Self = Negative,38,Hungarian
Stranger,Strong,1,2,6,2,w,w,o,DARK,LIGHT,0.471195303,0,R,18,F,Self = Negative,38,Hungarian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.35107325,1,R,18,F,Self = Negative,38,Hungarian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,16.63723314,1,R,23,F,Self = Positive,39,Hungarian
Self,Strong,0,1,1,0,w,w,o,LIGHT,DARK,3.288409783,1,R,23,F,Self = Positive,39,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.072361821,1,R,23,F,Self = Positive,39,Hungarian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,0.817003664,1,R,23,F,Self = Positive,39,Hungarian
Self,Light,1,0,4,1,w,w,o,LIGHT,DARK,1.323564049,1,R,23,F,Self = Positive,39,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.802309271,1,R,23,F,Self = Positive,39,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.685407107,1,R,23,F,Self = Positive,39,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.541381844,1,R,23,F,Self = Positive,39,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,21.74515428,1,R,18,M,Self = Negative,40,Hungarian
Stranger,Light,0,1,1,3,o,w,o,DARK,LIGHT,2.095723778,1,R,18,M,Self = Negative,40,Hungarian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.926556855,1,R,18,M,Self = Negative,40,Hungarian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,1.213419071,1,R,18,M,Self = Negative,40,Hungarian
Self,Strong,1,0,4,0,w,w,o,DARK,LIGHT,1.471928818,1,R,18,M,Self = Negative,40,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.576476891,1,R,18,M,Self = Negative,40,Hungarian
Self,Light,1,2,6,1,w,w,o,DARK,LIGHT,3.57281484,1,R,18,M,Self = Negative,40,Hungarian
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,0.833642386,1,R,18,M,Self = Negative,40,Hungarian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,8.897096613,1,R,21,M,Self = Positive,41,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,4.112533838,1,R,21,M,Self = Positive,41,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.607167292,1,R,21,M,Self = Positive,41,Hungarian
Stranger,Strong,0,3,3,2,o,w,o,LIGHT,DARK,2.986282312,1,R,21,M,Self = Positive,41,Hungarian
Self,Light,1,0,4,1,w,w,o,LIGHT,DARK,2.782112327,1,R,21,M,Self = Positive,41,Hungarian
Stranger,Light,1,1,5,3,w,w,o,LIGHT,DARK,2.426098309,0,R,21,M,Self = Positive,41,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,1.660561143,1,R,21,M,Self = Positive,41,Hungarian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.757881048,1,R,21,M,Self = Positive,41,Hungarian
Self,Strong,0,0,0,0,o,w,o,DARK,LIGHT,10.22730022,0,R,25,F,Self = Negative,42,Hungarian
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,2.605812954,1,R,25,F,Self = Negative,42,Hungarian
Self,Strong,0,2,2,0,o,w,o,DARK,LIGHT,4.336769709,0,R,25,F,Self = Negative,42,Hungarian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,1.82284155,1,R,25,F,Self = Negative,42,Hungarian
Stranger,Light,1,0,4,3,w,w,o,DARK,LIGHT,3.977196982,0,R,25,F,Self = Negative,42,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,2.14936964,1,R,25,F,Self = Negative,42,Hungarian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,1.523145301,1,R,25,F,Self = Negative,42,Hungarian
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,0.905864513,1,R,25,F,Self = Negative,42,Hungarian
Stranger,Strong,0,0,0,2,w,w,o,LIGHT,DARK,10.42236038,0,R,28,F,Self = Positive,43,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,4.617106291,1,R,28,F,Self = Positive,43,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,3.507677464,1,R,28,F,Self = Positive,43,Hungarian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,5.33863114,1,R,28,F,Self = Positive,43,Hungarian
Self,Strong,1,0,4,0,w,w,o,LIGHT,DARK,1.192781834,1,R,28,F,Self = Positive,43,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,0.628700062,1,R,28,F,Self = Positive,43,Hungarian
Self,Light,1,2,6,1,w,w,o,LIGHT,DARK,0.919197331,1,R,28,F,Self = Positive,43,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.773828483,1,R,28,F,Self = Positive,43,Hungarian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,15.66454691,1,R,20,F,Self = Negative,44,Hungarian
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,4.06578884,1,R,20,F,Self = Negative,44,Hungarian
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,6.825886163,1,R,20,F,Self = Negative,44,Hungarian
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,2.108736762,1,R,20,F,Self = Negative,44,Hungarian
Self,Strong,1,0,4,0,w,w,o,DARK,LIGHT,1.452048916,1,R,20,F,Self = Negative,44,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,DARK,LIGHT,1.037250326,1,R,20,F,Self = Negative,44,Hungarian
Self,Light,1,2,6,1,w,w,o,DARK,LIGHT,0.903199292,1,R,20,F,Self = Negative,44,Hungarian
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,0.54249352,1,R,20,F,Self = Negative,44,Hungarian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,8.746499208,1,R,25,F,Self = Positive,45,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,1.776208272,1,R,25,F,Self = Positive,45,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,2.524604836,1,R,25,F,Self = Positive,45,Hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,6.330676534,1,R,25,F,Self = Positive,45,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,2.776693862,1,R,25,F,Self = Positive,45,Hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,2.4052518,1,R,25,F,Self = Positive,45,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,0.856583779,1,R,25,F,Self = Positive,45,Hungarian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.537891068,1,R,25,F,Self = Positive,45,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,16.6970953,1,R,27,M,Self = Negative,46,English
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,3.313028277,1,R,27,M,Self = Negative,46,English
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,2.447731897,1,R,27,M,Self = Negative,46,English
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,2.120831521,1,R,27,M,Self = Negative,46,English
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,5.342934736,1,R,27,M,Self = Negative,46,English
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,1.437116018,1,R,27,M,Self = Negative,46,English
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,0.767185367,1,R,27,M,Self = Negative,46,English
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,0.835776025,1,R,27,M,Self = Negative,46,English
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,11.16372571,1,R,20,F,Self = Positive,47,Hungarian
Stranger,Light,0,1,1,3,o,w,o,LIGHT,DARK,4.616645684,1,R,20,F,Self = Positive,47,Hungarian
Stranger,Light,0,2,2,3,o,w,o,LIGHT,DARK,10.02635197,1,R,20,F,Self = Positive,47,Hungarian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,3.101545706,1,R,20,F,Self = Positive,47,Hungarian
Self,Light,1,0,4,1,w,w,o,LIGHT,DARK,5.524435485,1,R,20,F,Self = Positive,47,Hungarian
Stranger,Strong,1,1,5,2,o,w,o,LIGHT,DARK,2.747087367,1,R,20,F,Self = Positive,47,Hungarian
Self,Strong,1,2,6,0,w,w,o,LIGHT,DARK,5.911815436,1,R,20,F,Self = Positive,47,Hungarian
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,1.950742139,1,R,20,F,Self = Positive,47,Hungarian
Stranger,Light,0,0,0,3,w,w,o,DARK,LIGHT,24.46066608,0,R,21,F,Self = Negative,48,Hungarian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,3.646674697,1,R,21,F,Self = Negative,48,Hungarian
Self,Strong,0,2,2,0,w,w,o,DARK,LIGHT,4.295772591,1,R,21,F,Self = Negative,48,Hungarian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,7.758463919,1,R,21,F,Self = Negative,48,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,4.539671862,1,R,21,F,Self = Negative,48,Hungarian
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,3.561552489,1,R,21,F,Self = Negative,48,Hungarian
Self,Light,1,2,6,1,w,w,o,DARK,LIGHT,4.342630547,1,R,21,F,Self = Negative,48,Hungarian
Stranger,Light,1,3,7,3,o,w,o,DARK,LIGHT,2.931874125,1,R,21,F,Self = Negative,48,Hungarian
Stranger,Light,0,0,0,3,o,w,o,LIGHT,DARK,28.10906322,1,R,30,M,Self = Positive,49,Hungarian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,6.533504907,1,R,30,M,Self = Positive,49,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,7.434957602,1,R,30,M,Self = Positive,49,Hungarian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,4.988960595,1,R,30,M,Self = Positive,49,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,3.048912423,1,R,30,M,Self = Positive,49,Hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,0.954313769,1,R,30,M,Self = Positive,49,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,1.21552836,1,R,30,M,Self = Positive,49,Hungarian
Self,Strong,1,3,7,0,w,w,o,LIGHT,DARK,0.570145404,1,R,30,M,Self = Positive,49,Hungarian
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,14.68588367,1,R,19,M,Self = Negative,50,Hungarian
Self,Strong,0,1,1,0,w,w,o,DARK,LIGHT,15.68527057,1,R,19,M,Self = Negative,50,Hungarian
Stranger,Light,0,2,2,3,w,w,o,DARK,LIGHT,13.62867324,0,R,19,M,Self = Negative,50,Hungarian
Self,Light,0,3,3,1,w,w,o,DARK,LIGHT,10.28623298,1,R,19,M,Self = Negative,50,Hungarian
Self,Light,1,0,4,1,w,w,o,DARK,LIGHT,9.269822508,1,R,19,M,Self = Negative,50,Hungarian
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,2.958703001,1,R,19,M,Self = Negative,50,Hungarian
Stranger,Strong,1,2,6,2,w,w,o,DARK,LIGHT,3.235846818,0,R,19,M,Self = Negative,50,Hungarian
Stranger,Strong,1,3,7,2,o,w,o,DARK,LIGHT,1.021860888,1,R,19,M,Self = Negative,50,Hungarian
Stranger,Light,0,0,0,3,w,w,o,LIGHT,DARK,16.47533634,0,R,22,F,Self = Positive,51,Hungarian
Self,Light,0,1,1,1,w,w,o,LIGHT,DARK,2.196961466,1,R,22,F,Self = Positive,51,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,3.807897993,1,R,22,F,Self = Positive,51,Hungarian
Self,Strong,0,3,3,0,w,w,o,LIGHT,DARK,2.867248217,1,R,22,F,Self = Positive,51,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,1.25988927,1,R,22,F,Self = Positive,51,Hungarian
Stranger,Light,1,1,5,3,o,w,o,LIGHT,DARK,1.061267715,1,R,22,F,Self = Positive,51,Hungarian
Self,Strong,1,2,6,0,w,w,o,LIGHT,DARK,0.718386276,1,R,22,F,Self = Positive,51,Hungarian
Stranger,Strong,1,3,7,2,o,w,o,LIGHT,DARK,0.909061515,1,R,22,F,Self = Positive,51,Hungarian
Self,Strong,0,0,0,0,w,w,o,DARK,LIGHT,13.57812718,1,R,21,F,Self = Negative,52,Hungarian
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,7.574171002,1,R,21,F,Self = Negative,52,Hungarian
Self,Light,0,2,2,1,w,w,o,DARK,LIGHT,4.906523416,1,R,21,F,Self = Negative,52,Hungarian
Stranger,Strong,0,3,3,2,o,w,o,DARK,LIGHT,5.873493386,1,R,21,F,Self = Negative,52,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,DARK,LIGHT,5.321962749,1,R,21,F,Self = Negative,52,Hungarian
Stranger,Light,1,1,5,3,o,w,o,DARK,LIGHT,3.968426742,1,R,21,F,Self = Negative,52,Hungarian
Stranger,Light,1,2,6,3,o,w,o,DARK,LIGHT,3.188901847,1,R,21,F,Self = Negative,52,Hungarian
Self,Strong,1,3,7,0,w,w,o,DARK,LIGHT,4.272672541,1,R,21,F,Self = Negative,52,Hungarian
Self,Strong,0,0,0,0,w,w,o,LIGHT,DARK,20.05153656,1,R,22,F,Self = Positive,53,Hungarian
Stranger,Strong,0,1,1,2,o,w,o,LIGHT,DARK,4.933432636,1,R,22,F,Self = Positive,53,Hungarian
Self,Strong,0,2,2,0,w,w,o,LIGHT,DARK,5.235122175,1,R,22,F,Self = Positive,53,Hungarian
Self,Light,0,3,3,1,w,w,o,LIGHT,DARK,3.868988053,1,R,22,F,Self = Positive,53,Hungarian
Stranger,Light,1,0,4,3,o,w,o,LIGHT,DARK,4.085429992,1,R,22,F,Self = Positive,53,Hungarian
Self,Light,1,1,5,1,w,w,o,LIGHT,DARK,1.18944705,1,R,22,F,Self = Positive,53,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,LIGHT,DARK,1.921338667,1,R,22,F,Self = Positive,53,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,2.343787086,1,R,22,F,Self = Positive,53,Hungarian
Stranger,Light,0,0,0,3,o,w,o,DARK,LIGHT,6.410988481,1,R,20,M,Self = Negative,54,Hungarian
Self,Light,0,1,1,1,w,w,o,DARK,LIGHT,1.606529891,1,R,20,M,Self = Negative,54,Hungarian
Stranger,Strong,0,2,2,2,o,w,o,DARK,LIGHT,4.577436303,1,R,20,M,Self = Negative,54,Hungarian
Self,Strong,0,3,3,0,w,w,o,DARK,LIGHT,0.766247348,1,R,20,M,Self = Negative,54,Hungarian
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,2.098702407,1,R,20,M,Self = Negative,54,Hungarian
Self,Light,1,1,5,1,w,w,o,DARK,LIGHT,1.073964922,1,R,20,M,Self = Negative,54,Hungarian
Stranger,Strong,1,2,6,2,o,w,o,DARK,LIGHT,1.730496826,1,R,20,M,Self = Negative,54,Hungarian
Self,Strong,1,3,7,0,w,w,o,DARK,LIGHT,1.080398011,1,R,20,M,Self = Negative,54,Hungarian
Self,Light,0,0,0,1,w,w,o,LIGHT,DARK,7.129116959,1,R,22,F,Self = Positive,55,Hungarian
Stranger,Strong,0,1,1,2,o,w,o,LIGHT,DARK,2.071086515,1,R,22,F,Self = Positive,55,Hungarian
Self,Light,0,2,2,1,w,w,o,LIGHT,DARK,2.247647649,1,R,22,F,Self = Positive,55,Hungarian
Stranger,Light,0,3,3,3,o,w,o,LIGHT,DARK,2.456845209,1,R,22,F,Self = Positive,55,Hungarian
Stranger,Strong,1,0,4,2,o,w,o,LIGHT,DARK,0.914156269,1,R,22,F,Self = Positive,55,Hungarian
Self,Strong,1,1,5,0,w,w,o,LIGHT,DARK,0.568822794,1,R,22,F,Self = Positive,55,Hungarian
Self,Strong,1,2,6,0,w,w,o,LIGHT,DARK,0.56539642,1,R,22,F,Self = Positive,55,Hungarian
Stranger,Light,1,3,7,3,o,w,o,LIGHT,DARK,0.466007474,1,R,22,F,Self = Positive,55,Hungarian
Stranger,Strong,0,0,0,2,o,w,o,DARK,LIGHT,6.775794138,1,R,29,F,Self = Negative,56,Russian
Stranger,Strong,0,1,1,2,o,w,o,DARK,LIGHT,5.204284014,1,R,29,F,Self = Negative,56,Russian
Self,Light,0,2,2,1,w,w,o,DARK,LIGHT,3.087513689,1,R,29,F,Self = Negative,56,Russian
Stranger,Light,0,3,3,3,o,w,o,DARK,LIGHT,2.439376975,1,R,29,F,Self = Negative,56,Russian
Stranger,Light,1,0,4,3,o,w,o,DARK,LIGHT,2.353214254,1,R,29,F,Self = Negative,56,Russian
Self,Strong,1,1,5,0,w,w,o,DARK,LIGHT,3.022353354,1,R,29,F,Self = Negative,56,Russian
Self,Strong,1,2,6,0,w,w,o,DARK,LIGHT,0.617064443,1,R,29,F,Self = Negative,56,Russian
Self,Light,1,3,7,1,w,w,o,DARK,LIGHT,1.067638427,1,R,29,F,Self = Negative,56,Russian
