Subject,SessionDate,Age,Sex,Handedness,MotherTongue,Procedure[SubTrial],LabelOrder,PressAssos.RT,BlockType,CloseShape,CloseWord,MediumShape,MediumWord,FarShape,FarWord,Stimulus,Congruent,Incongruent,Target.ACC,Target.CRESP,Target.RESP,Target.RT
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,804
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1048
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,1137
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,1095
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,839
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,1337
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,1383
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,699
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,955
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1080
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,1321
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,991
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,899
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,z,z,875
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,675
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,940
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,618
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,1085
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,1132
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,962
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,735
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,869
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1110
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,m,m,533
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,931
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,922
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,600
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,956
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,618
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,1124
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,m,m,1275
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,FarBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,square.bmp,m,z,1,z,z,700
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,MediumBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,triangle.bmp,m,z,1,z,z,819
9503,08-08-2017,29,male,right,Hebrew,MMProc,SUF,,CloseBlock,circle.bmp,father,square.bmp,close,triangle.bmp,stranger,circle.bmp,m,z,1,m,m,757
