Source,Subject,Matching,Comparison,Cohens_d_RT,Cohens_d_ACC
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_10,Matching,Self vs Close,-0.03128603312046979,0.25875653414936717
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_10,Nonmatching,Self vs Stranger,0.138280392532044,0
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_10,Nonmatching,Self vs Close,0.19101106495353917,0.30498401842764994
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_11,Matching,Self vs Stranger,-0.006821217512463533,0.25875653414936717
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_11,Matching,Self vs Close,0.015721203058617513,0.1837189811385002
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_11,Nonmatching,Self vs Stranger,-0.1438064059405392,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_11,Nonmatching,Self vs Close,0.013759949404106832,0.31967857006232714
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_12,Matching,Self vs Stranger,1.3461160695156915,0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_12,Matching,Self vs Close,1.5583117873490238,0.6231682557680206
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_12,Nonmatching,Self vs Stranger,-0.04981484500974575,0.24849540436176143
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_12,Nonmatching,Self vs Close,0.08189901736126919,0.18376229328814442
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_13,Matching,Self vs Stranger,1.6221822821204135,0.48979622269517353
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_13,Matching,Self vs Close,1.0884020428552121,0
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_13,Nonmatching,Self vs Stranger,-0.20937438457471744,0.24849540436176143
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_13,Nonmatching,Self vs Close,-0.18734758892127704,0.3103029195485692
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_14,Matching,Self vs Stranger,0.7616939775245014,0.816934648919011
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_14,Matching,Self vs Close,0.4124581317138651,0.5853646487926468
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_14,Nonmatching,Self vs Stranger,-0.047809886377185334,0
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_14,Nonmatching,Self vs Close,-0.2693736432130661,-0.07011190648057716
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_15,Matching,Self vs Stranger,1.2776414868834198,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_15,Matching,Self vs Close,1.2653660355507577,0.1806310472470057
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_15,Nonmatching,Self vs Stranger,0.30527637127616347,0.18292195431240935
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_15,Nonmatching,Self vs Close,0.18283939049217635,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_16,Matching,Self vs Stranger,0.15107149174524356,-0.18376229328814442
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_16,Matching,Self vs Close,0.08261130092614906,-0.18376229328814442
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_16,Nonmatching,Self vs Stranger,-0.036728822357922464,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_16,Nonmatching,Self vs Close,-0.06165345482346577,0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_17,Matching,Self vs Stranger,0.29547594081384765,0.18936031397779438
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_17,Matching,Self vs Close,0.13549827897762645,0
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_17,Nonmatching,Self vs Stranger,0.203957876469049,0.32817899289456903
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_17,Nonmatching,Self vs Close,0.026349189988318804,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_18,Matching,Self vs Stranger,0.541155139343781,0.00625672914100461
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_18,Matching,Self vs Close,0.7216093300099539,0.33547527564078344
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_18,Nonmatching,Self vs Stranger,-0.1239294295940941,0.21554047602082266
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_18,Nonmatching,Self vs Close,-0.24080010577271277,0.25970264137998217
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_19,Matching,Self vs Stranger,1.4783133065853293,-0.0822525509805269
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_19,Matching,Self vs Close,1.331621100342347,0.003815675834601687
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_19,Nonmatching,Self vs Stranger,0.017774156441821006,-0.25875653414936717
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_19,Nonmatching,Self vs Close,0.18828504968964374,0.08608601036587271
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_20,Matching,Self vs Stranger,0.31788506188080906,-0.10622227680531773
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_20,Matching,Self vs Close,0.6276601978959894,-0.10845793861276569
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_20,Nonmatching,Self vs Stranger,-0.2641886230884244,0.31830364008562656
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_20,Nonmatching,Self vs Close,-0.04954456336274185,0.3756890009210317
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_21,Matching,Self vs Stranger,0.3084629313573801,0.30442624350701747
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_21,Matching,Self vs Close,0.17742454196486607,0.13312903067165285
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_21,Nonmatching,Self vs Stranger,0.15005839289426726,0.313143967211766
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_21,Nonmatching,Self vs Close,-0.2728530576499408,0.6634497844073493
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_22,Matching,Self vs Stranger,1.2460640903474587,0.6110324649683789
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_22,Matching,Self vs Close,1.5504812168480375,0.27658996040645634
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_22,Nonmatching,Self vs Stranger,0.036152237372617524,0.37301073840796134
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_22,Nonmatching,Self vs Close,0.049140431501209274,-0.09678176813017947
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_24,Matching,Self vs Stranger,-0.005776414757904783,-0.07913190173588565
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_24,Matching,Self vs Close,0.5495608401807827,-0.07913190173588565
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_24,Nonmatching,Self vs Stranger,-0.5655521283644178,-0.33113553113553146
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_24,Nonmatching,Self vs Close,0.11749928745846566,0.06274942082433964
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_25,Matching,Self vs Stranger,1.084215404030181,0.4206867909652415
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_25,Matching,Self vs Close,0.9347324704059805,0.10622227680531773
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_25,Nonmatching,Self vs Stranger,-0.3150477673787456,-0.07915003678137449
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_25,Nonmatching,Self vs Close,-0.2623509738133918,-0.16030131983581214
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_26,Matching,Self vs Stranger,1.4250404079747885,0.9528197697255866
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_26,Matching,Self vs Close,1.1724039948614022,0.2114088678334636
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_26,Nonmatching,Self vs Stranger,0.024741686603513054,0.018364239749928346
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_26,Nonmatching,Self vs Close,0.058508966806045073,-0.034473127027271094
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_27,Matching,Self vs Stranger,1.397802252317851,0.706984217905585
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_27,Matching,Self vs Close,0.8521102546719825,0.37241426386147547
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_27,Nonmatching,Self vs Stranger,-0.30187185619096735,-0.11572827927510979
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_27,Nonmatching,Self vs Close,-0.13979365170592942,-0.11065351040741905
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_28,Matching,Self vs Stranger,-0.02675830905194618,-0.3093335308843211
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_28,Matching,Self vs Close,0.44724755290987217,-0.11287856018699736
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_28,Nonmatching,Self vs Stranger,0.24091630003657372,0.13342944619352773
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_28,Nonmatching,Self vs Close,-0.08645080931733305,0.28819263475021906
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_29,Matching,Self vs Stranger,0.7524552878721418,-0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_29,Matching,Self vs Close,0.6356397515550255,-0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_29,Nonmatching,Self vs Stranger,-0.2677992621677724,0.1370283657114187
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_29,Nonmatching,Self vs Close,-0.23720232965309268,0.1370283657114187
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_30,Matching,Self vs Stranger,0.8165229691651964,0.1837189811385002
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_30,Matching,Self vs Close,0.9884010852955304,0.37241426386147547
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_30,Nonmatching,Self vs Stranger,-0.08623589293271407,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_30,Nonmatching,Self vs Close,0.13548260368302856,0.1806310472470057
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_31,Matching,Self vs Stranger,1.3299856168014292,0.38111218295621896
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_31,Matching,Self vs Close,1.4918826608583178,0.2628788117571981
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_31,Nonmatching,Self vs Stranger,0.07984306128084366,0.25652589478119675
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_31,Nonmatching,Self vs Close,-0.16655475361840513,0.47972660349759516
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_32,Matching,Self vs Stranger,0.925766200825118,0.5620200766234333
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_32,Matching,Self vs Close,0.0747619190456033,NA
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_32,Nonmatching,Self vs Stranger,0.45528273313867135,0.31967857006232714
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_32,Nonmatching,Self vs Close,0.23541019569389912,0.18141129293164795
Amodeo_2024_CABN_Exp1_Clean.csv,Amodeo_2024_CABN_Exp1_Clean.csv_50,Matching,Self vs Stranger,0.4765539432624359,0.4257514613372833
