"","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC","Phase"
"277",1,"Nonmatching","Self","1",1117,1.117,1,2
"278",1,"Nonmatching","Self","1",1234,1.234,1,2
"279",1,"Nonmatching","Self","1",717,0.717,1,2
"280",1,"Nonmatching","Self","2",783,0.783,1,1
"281",1,"Nonmatching","Self","2",967,0.967,1,1
"282",1,"Nonmatching","Self","2",683,0.683,1,1
"283",1,"Nonmatching","Self","2",1383,1.383,1,1
"284",1,"Nonmatching","Self","2",1384,1.384,1,1
"285",1,"Nonmatching","Self","2",867,0.867,1,1
"286",1,"Nonmatching","Self","2",1100,1.1,1,1
"287",1,"Nonmatching","Self","2",767,0.767,1,1
"288",1,"Nonmatching","Self","2",917,0.917,1,1
"289",1,"Nonmatching","Self","2",1267,1.267,1,1
"290",1,"Nonmatching","Self","2",967,0.967,1,1
"291",1,"Nonmatching","Self","2",833,0.833,1,1
"292",1,"Nonmatching","Self","2",833,0.833,1,1
"293",1,"Nonmatching","Self","2",800,0.8,1,1
"294",1,"Nonmatching","Self","2",984,0.984,1,1
"295",1,"Nonmatching","Self","2",900,0.9,1,1
"296",1,"Nonmatching","Self","2",933,0.933,1,1
"297",1,"Nonmatching","Self","2",1000,1,1,2
"298",1,"Nonmatching","Self","2",850,0.85,1,2
"299",1,"Nonmatching","Self","2",1100,1.1,1,2
"300",1,"Nonmatching","Self","2",983,0.983,1,2
"301",1,"Nonmatching","Self","2",733,0.733,1,2
"302",1,"Nonmatching","Self","2",800,0.8,1,2
"303",1,"Nonmatching","Self","2",883,0.883,1,2
"304",1,"Nonmatching","Self","2",884,0.884,1,2
"305",1,"Nonmatching","Self","2",917,0.917,1,2
"306",1,"Nonmatching","Self","2",1167,1.167,1,2
"307",1,"Nonmatching","Self","2",917,0.917,1,2
"308",1,"Nonmatching","Self","2",934,0.934,1,2
"309",1,"Nonmatching","Self","2",550,0.55,0,2
"310",1,"Nonmatching","Self","2",967,0.967,1,2
"311",1,"Nonmatching","Self","2",650,0.65,1,2
"312",1,"Nonmatching","Self","2",784,0.784,1,2
"313",1,"Nonmatching","Self","2",800,0.8,1,2
"314",1,"Nonmatching","Self","2",833,0.833,1,2
"315",1,"Nonmatching","Self","2",1034,1.034,1,2
"316",1,"Nonmatching","Partner","1",800,0.8,0,1
"317",1,"Nonmatching","Partner","1",600,0.6,0,1
"318",1,"Nonmatching","Partner","1",767,0.767,1,1
"319",1,"Nonmatching","Partner","1",783,0.783,1,1
"320",1,"Nonmatching","Partner","1",1350,1.35,1,1
"321",1,"Nonmatching","Partner","1",917,0.917,1,1
"322",1,"Nonmatching","Partner","1",834,0.834,1,1
"323",1,"Nonmatching","Partner","1",900,0.9,1,1
"324",1,"Nonmatching","Partner","1",784,0.784,1,1
"325",1,"Nonmatching","Partner","1",850,0.85,1,1
"326",1,"Nonmatching","Partner","1",733,0.733,1,1
"327",1,"Nonmatching","Partner","1",800,0.8,1,1
"328",1,"Nonmatching","Partner","1",817,0.817,1,1
"329",1,"Nonmatching","Partner","1",1100,1.1,1,1
"330",1,"Nonmatching","Partner","1",967,0.967,1,1
"331",1,"Nonmatching","Partner","1",1034,1.034,1,1
"332",1,"Nonmatching","Partner","1",1133,1.133,1,1
"333",1,"Nonmatching","Partner","1",750,0.75,1,1
"334",1,"Nonmatching","Partner","1",917,0.917,1,2
"335",1,"Nonmatching","Partner","1",850,0.85,0,2
"336",1,"Nonmatching","Partner","1",1000,1,1,2
"337",1,"Nonmatching","Partner","1",933,0.933,1,2
"338",1,"Nonmatching","Partner","1",1250,1.25,1,2
"339",1,"Nonmatching","Partner","1",783,0.783,1,2
"340",1,"Nonmatching","Partner","1",683,0.683,0,2
"341",1,"Nonmatching","Partner","1",1117,1.117,1,2
"342",1,"Nonmatching","Partner","1",900,0.9,1,2
"343",1,"Nonmatching","Partner","1",900,0.9,1,2
"344",1,"Nonmatching","Partner","1",784,0.784,1,2
"345",1,"Nonmatching","Partner","1",984,0.984,1,2
"346",1,"Nonmatching","Partner","1",1500,1.5,1,2
"347",1,"Nonmatching","Partner","1",1217,1.217,1,2
"348",1,"Nonmatching","Partner","1",833,0.833,1,2
"349",1,"Nonmatching","Partner","1",884,0.884,1,2
"350",1,"Nonmatching","Partner","1",817,0.817,0,2
"351",1,"Nonmatching","Partner","1",784,0.784,1,2
"352",1,"Nonmatching","Partner","1",1000,1,1,2
"353",1,"Nonmatching","Partner","2",567,0.567,0,1
"354",1,"Nonmatching","Partner","2",700,0.7,1,1
"355",1,"Nonmatching","Partner","2",1417,1.417,1,1
"356",1,"Nonmatching","Partner","2",867,0.867,1,1
"357",1,"Nonmatching","Partner","2",733,0.733,1,1
"358",1,"Nonmatching","Partner","2",1367,1.367,1,1
"359",1,"Nonmatching","Partner","2",1017,1.017,1,1
"360",1,"Nonmatching","Partner","2",767,0.767,1,1
"361",1,"Nonmatching","Partner","2",1333,1.333,1,1
"362",1,"Nonmatching","Partner","2",1217,1.217,1,1
"363",1,"Nonmatching","Partner","2",1083,1.083,1,1
"364",1,"Nonmatching","Partner","2",900,0.9,1,1
"365",1,"Nonmatching","Partner","2",917,0.917,1,1
"366",1,"Nonmatching","Partner","2",800,0.8,1,1
"367",1,"Nonmatching","Partner","2",900,0.9,1,1
"368",1,"Nonmatching","Partner","2",1183,1.183,1,1
"369",1,"Nonmatching","Partner","2",850,0.85,1,1
"370",1,"Nonmatching","Partner","2",950,0.95,1,1
"371",1,"Nonmatching","Partner","2",933,0.933,1,1
"372",1,"Nonmatching","Partner","2",1200,1.2,1,1
"373",1,"Nonmatching","Partner","2",767,0.767,1,2
"374",1,"Nonmatching","Partner","2",933,0.933,1,2
"375",1,"Nonmatching","Partner","2",733,0.733,1,2
"376",1,"Nonmatching","Partner","2",717,0.717,1,2
"377",1,"Nonmatching","Partner","2",767,0.767,1,2
"378",1,"Nonmatching","Partner","2",767,0.767,1,2
"379",1,"Nonmatching","Partner","2",733,0.733,1,2
"380",1,"Nonmatching","Partner","2",833,0.833,1,2
"381",1,"Nonmatching","Partner","2",1184,1.184,1,2
"382",1,"Nonmatching","Partner","2",1450,1.45,1,2
"383",1,"Nonmatching","Partner","2",1283,1.283,1,2
"384",1,"Nonmatching","Partner","2",800,0.8,1,2
"385",1,"Nonmatching","Partner","2",850,0.85,1,2
"386",1,"Nonmatching","Partner","2",701,0.701,1,2
"387",1,"Nonmatching","Partner","2",950,0.95,1,2
"388",1,"Nonmatching","Partner","2",817,0.817,1,2
"389",1,"Nonmatching","Partner","2",817,0.817,1,2
"390",1,"Nonmatching","Partner","2",1267,1.267,1,2
"391",1,"Nonmatching","Partner","2",934,0.934,1,2
"392",1,"Nonmatching","Partner","2",717,0.717,1,2
"393",1,"Nonmatching","Stranger","1",717,0.717,1,1
"394",1,"Nonmatching","Stranger","1",883,0.883,1,1
"395",1,"Nonmatching","Stranger","1",817,0.817,1,1
"396",1,"Nonmatching","Stranger","1",867,0.867,1,1
"397",1,"Nonmatching","Stranger","1",700,0.7,1,1
"398",1,"Nonmatching","Stranger","1",783,0.783,1,1
"399",1,"Nonmatching","Stranger","1",667,0.667,1,1
"400",1,"Nonmatching","Stranger","1",833,0.833,1,1
"401",1,"Nonmatching","Stranger","1",983,0.983,1,1
"402",1,"Nonmatching","Stranger","1",683,0.683,1,1
"403",1,"Nonmatching","Stranger","1",1000,1,1,1
"404",1,"Nonmatching","Stranger","1",1133,1.133,1,1
"405",1,"Nonmatching","Stranger","1",783,0.783,1,1
"406",1,"Nonmatching","Stranger","1",867,0.867,1,1
"407",1,"Nonmatching","Stranger","1",650,0.65,1,1
"408",1,"Nonmatching","Stranger","1",1050,1.05,1,1
"409",1,"Nonmatching","Stranger","1",967,0.967,1,1
"410",1,"Nonmatching","Stranger","1",767,0.767,1,1
"411",1,"Nonmatching","Stranger","1",867,0.867,1,1
"412",1,"Nonmatching","Stranger","1",850,0.85,1,2
"413",1,"Nonmatching","Stranger","1",884,0.884,1,2
"414",1,"Nonmatching","Stranger","1",850,0.85,1,2
"415",1,"Nonmatching","Stranger","1",900,0.9,1,2
"416",1,"Nonmatching","Stranger","1",1467,1.467,1,2
"417",1,"Nonmatching","Stranger","1",900,0.9,1,2
"418",1,"Nonmatching","Stranger","1",800,0.8,0,2
"419",1,"Nonmatching","Stranger","1",1067,1.067,1,2
"420",1,"Nonmatching","Stranger","1",1017,1.017,1,2
"421",1,"Nonmatching","Stranger","1",717,0.717,1,2
"422",1,"Nonmatching","Stranger","1",750,0.75,1,2
"423",1,"Nonmatching","Stranger","1",733,0.733,1,2
"424",1,"Nonmatching","Stranger","1",1283,1.283,1,2
"425",1,"Nonmatching","Stranger","1",1283,1.283,1,2
"426",1,"Nonmatching","Stranger","1",800,0.8,1,2
"427",1,"Nonmatching","Stranger","1",933,0.933,1,2
"428",1,"Nonmatching","Stranger","1",883,0.883,1,2
"429",1,"Nonmatching","Stranger","1",733,0.733,1,2
"430",1,"Nonmatching","Stranger","1",1067,1.067,1,2
"431",1,"Nonmatching","Stranger","1",684,0.684,1,2
"432",1,"Nonmatching","Stranger","2",650,0.65,1,1
"433",1,"Nonmatching","Stranger","2",600,0.6,1,1
"434",1,"Nonmatching","Stranger","2",700,0.7,1,1
"435",1,"Nonmatching","Stranger","2",617,0.617,1,1
"436",1,"Nonmatching","Stranger","2",834,0.834,1,1
"437",1,"Nonmatching","Stranger","2",1150,1.15,1,1
"438",1,"Nonmatching","Stranger","2",1283,1.283,1,1
"439",1,"Nonmatching","Stranger","2",750,0.75,1,1
"440",1,"Nonmatching","Stranger","2",1033,1.033,1,1
"441",1,"Nonmatching","Stranger","2",833,0.833,1,1
"442",1,"Nonmatching","Stranger","2",967,0.967,1,1
"443",1,"Nonmatching","Stranger","2",784,0.784,1,1
"444",1,"Nonmatching","Stranger","2",750,0.75,1,1
"445",1,"Nonmatching","Stranger","2",1000,1,1,1
"446",1,"Nonmatching","Stranger","2",800,0.8,1,1
"447",1,"Nonmatching","Stranger","2",783,0.783,1,1
"448",1,"Nonmatching","Stranger","2",817,0.817,1,1
"449",1,"Nonmatching","Stranger","2",967,0.967,1,1
"450",1,"Nonmatching","Stranger","2",884,0.884,1,1
"451",1,"Nonmatching","Stranger","2",717,0.717,1,2
"452",1,"Nonmatching","Stranger","2",1200,1.2,1,2
"453",1,"Nonmatching","Stranger","2",1000,1,1,2
"454",1,"Nonmatching","Stranger","2",1233,1.233,1,2
"455",1,"Nonmatching","Stranger","2",851,0.851,1,2
"456",1,"Nonmatching","Stranger","2",867,0.867,1,2
"457",1,"Nonmatching","Stranger","2",967,0.967,1,2
"458",1,"Nonmatching","Stranger","2",717,0.717,1,2
"459",1,"Nonmatching","Stranger","2",617,0.617,0,2
"460",1,"Nonmatching","Stranger","2",817,0.817,1,2
"461",1,"Nonmatching","Stranger","2",850,0.85,1,2
"462",1,"Nonmatching","Stranger","2",1033,1.033,1,2
"463",1,"Nonmatching","Stranger","2",1100,1.1,1,2
"464",1,"Nonmatching","Stranger","2",1033,1.033,1,2
"465",1,"Nonmatching","Stranger","2",867,0.867,1,2
"466",1,"Nonmatching","Stranger","2",884,0.884,1,2
"467",1,"Nonmatching","Stranger","2",750,0.75,1,2
"468",1,"Nonmatching","Stranger","2",783,0.783,1,2
"469",1,"Nonmatching","Stranger","2",1350,1.35,1,2
"470",1,"Nonmatching","Stranger","2",733,0.733,1,2
"471",2,"Matching","Self","1",750,0.75,1,1
"472",2,"Matching","Self","1",534,0.534,1,1
"473",2,"Matching","Self","1",517,0.517,1,1
"474",2,"Matching","Self","1",667,0.667,1,1
"475",2,"Matching","Self","1",533,0.533,1,1
"476",2,"Matching","Self","1",617,0.617,0,1
"477",2,"Matching","Self","1",433,0.433,1,1
"478",2,"Matching","Self","1",617,0.617,1,1
"479",2,"Matching","Self","1",450,0.45,1,1
"480",2,"Matching","Self","1",567,0.567,1,1
"481",2,"Matching","Self","1",517,0.517,1,1
"482",2,"Matching","Self","1",617,0.617,1,1
"483",2,"Matching","Self","1",500,0.5,1,1
"484",2,"Matching","Self","1",383,0.383,1,1
"485",2,"Matching","Self","1",500,0.5,1,1
"486",2,"Matching","Self","1",567,0.567,1,1
"487",2,"Matching","Self","1",767,0.767,1,1
"488",2,"Matching","Self","1",600,0.6,1,1
"489",2,"Matching","Self","1",567,0.567,0,1
"490",2,"Matching","Self","1",583,0.583,1,1
"491",2,"Matching","Self","1",417,0.417,1,2
"492",2,"Matching","Self","1",733,0.733,1,2
"493",2,"Matching","Self","1",583,0.583,1,2
"494",2,"Matching","Self","1",433,0.433,1,2
"495",2,"Matching","Self","1",500,0.5,1,2
"496",2,"Matching","Self","1",450,0.45,1,2
"497",2,"Matching","Self","1",567,0.567,1,2
"498",2,"Matching","Self","1",334,0.334,0,2
"499",2,"Matching","Self","1",517,0.517,1,2
"500",2,"Matching","Self","1",450,0.45,1,2
"501",2,"Matching","Self","1",633,0.633,1,2
"502",2,"Matching","Self","1",517,0.517,1,2
"503",2,"Matching","Self","1",617,0.617,1,2
"504",2,"Matching","Self","1",584,0.584,1,2
"505",2,"Matching","Self","1",617,0.617,1,2
