"","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
"133",1,"Nonmatching","Acquaintance",426,0.426,1
"134",1,"Nonmatching","Acquaintance",678,0.678,0
"135",1,"Nonmatching","Acquaintance",293,0.293,1
"136",1,"Nonmatching","Acquaintance",408,0.408,1
"137",1,"Nonmatching","Acquaintance",464,0.464,1
"138",1,"Nonmatching","Acquaintance",432,0.432,1
"139",1,"Nonmatching","Acquaintance",381,0.381,0
"140",1,"Nonmatching","Acquaintance",558,0.558,1
"141",1,"Nonmatching","Acquaintance",449,0.449,1
"142",1,"Nonmatching","Acquaintance",433,0.433,0
"143",1,"Nonmatching","Acquaintance",340,0.34,0
"144",1,"Nonmatching","Acquaintance",264,0.264,1
"145",2,"Matching","Self",219,0.219,1
"146",2,"Matching","Self",902,0.902,0
"147",2,"Matching","Self",533,0.533,0
"148",2,"Matching","Self",475,0.475,1
"149",2,"Matching","Self",688,0.688,1
"150",2,"Matching","Self",645,0.645,1
"151",2,"Matching","Self",776,0.776,1
"152",2,"Matching","Self",615,0.615,1
"153",2,"Matching","Self",626,0.626,1
"154",2,"Matching","Self",953,0.953,1
"155",2,"Matching","Self",659,0.659,1
"156",2,"Matching","Self",518,0.518,1
"157",2,"Matching","Self",755,0.755,1
"158",2,"Matching","Self",954,0.954,1
"159",2,"Matching","Self",721,0.721,0
"160",2,"Matching","Self",804,0.804,1
"161",2,"Matching","Self",871,0.871,1
"162",2,"Matching","Self",585,0.585,1
"163",2,"Matching","Self",654,0.654,1
"164",2,"Matching","Self",669,0.669,1
"165",2,"Matching","Self",571,0.571,1
"166",2,"Matching","Self",673,0.673,1
"167",2,"Matching","Self",725,0.725,0
"168",2,"Matching","Self",351,0.351,1
"169",2,"Matching","Mother",219,0.219,1
"170",2,"Matching","Mother",516,0.516,0
"171",2,"Matching","Mother",774,0.774,1
"172",2,"Matching","Mother",769,0.769,1
"173",2,"Matching","Mother",676,0.676,0
"174",2,"Matching","Mother",607,0.607,1
"175",2,"Matching","Mother",749,0.749,1
"176",2,"Matching","Mother",641,0.641,1
"177",2,"Matching","Mother",408,0.408,1
"178",2,"Matching","Mother",479,0.479,1
"179",2,"Matching","Mother",727,0.727,0
"180",2,"Matching","Mother",482,0.482,1
"181",2,"Matching","Mother",498,0.498,1
"182",2,"Matching","Mother",498,0.498,1
"183",2,"Matching","Mother",547,0.547,1
"184",2,"Matching","Mother",604,0.604,1
"185",2,"Matching","Mother",718,0.718,1
"186",2,"Matching","Mother",594,0.594,1
"187",2,"Matching","Mother",545,0.545,0
"188",2,"Matching","Mother",1218,1.218,1
"189",2,"Matching","Mother",645,0.645,1
"190",2,"Matching","Mother",721,0.721,1
"191",2,"Matching","Mother",498,0.498,1
"192",2,"Matching","Mother",445,0.445,1
"193",2,"Matching","Acquaintance",1064,1.064,0
"194",2,"Matching","Acquaintance",856,0.856,1
"195",2,"Matching","Acquaintance",876,0.876,1
"196",2,"Matching","Acquaintance",693,0.693,1
"197",2,"Matching","Acquaintance",575,0.575,1
"198",2,"Matching","Acquaintance",706,0.706,1
"199",2,"Matching","Acquaintance",548,0.548,1
"200",2,"Matching","Acquaintance",391,0.391,1
"201",2,"Matching","Acquaintance",487,0.487,1
"202",2,"Matching","Acquaintance",478,0.478,1
"203",2,"Matching","Acquaintance",482,0.482,1
"204",2,"Matching","Acquaintance",429,0.429,1
"205",2,"Matching","Acquaintance",939,0.939,1
"206",2,"Matching","Acquaintance",619,0.619,1
"207",2,"Matching","Acquaintance",435,0.435,1
"208",2,"Matching","Acquaintance",596,0.596,1
"209",2,"Matching","Acquaintance",761,0.761,1
"210",2,"Matching","Acquaintance",657,0.657,1
"211",2,"Matching","Acquaintance",620,0.62,1
"212",2,"Matching","Acquaintance",632,0.632,1
"213",2,"Matching","Acquaintance",690,0.69,1
"214",2,"Matching","Acquaintance",753,0.753,1
"215",2,"Matching","Acquaintance",579,0.579,1
"216",2,"Nonmatching","Self",394,0.394,0
"217",2,"Nonmatching","Self",779,0.779,0
"218",2,"Nonmatching","Self",1023,1.023,1
"219",2,"Nonmatching","Self",707,0.707,1
"220",2,"Nonmatching","Self",667,0.667,1
"221",2,"Nonmatching","Self",707,0.707,1
"222",2,"Nonmatching","Self",535,0.535,1
"223",2,"Nonmatching","Self",952,0.952,1
"224",2,"Nonmatching","Self",622,0.622,1
"225",2,"Nonmatching","Self",594,0.594,1
"226",2,"Nonmatching","Self",680,0.68,1
"227",2,"Nonmatching","Self",529,0.529,0
"228",2,"Nonmatching","Self",680,0.68,1
"229",2,"Nonmatching","Self",728,0.728,1
"230",2,"Nonmatching","Self",688,0.688,1
"231",2,"Nonmatching","Self",521,0.521,1
"232",2,"Nonmatching","Self",1377,1.377,1
"233",2,"Nonmatching","Self",682,0.682,1
"234",2,"Nonmatching","Self",758,0.758,1
"235",2,"Nonmatching","Self",729,0.729,1
"236",2,"Nonmatching","Self",906,0.906,1
"237",2,"Nonmatching","Self",649,0.649,1
"238",2,"Nonmatching","Self",728,0.728,1
"239",2,"Nonmatching","Self",803,0.803,1
"240",2,"Nonmatching","Mother",664,0.664,0
"241",2,"Nonmatching","Mother",706,0.706,1
"242",2,"Nonmatching","Mother",882,0.882,0
"243",2,"Nonmatching","Mother",871,0.871,0
"244",2,"Nonmatching","Mother",751,0.751,1
"245",2,"Nonmatching","Mother",626,0.626,1
"246",2,"Nonmatching","Mother",518,0.518,1
"247",2,"Nonmatching","Mother",997,0.997,1
"248",2,"Nonmatching","Mother",594,0.594,1
"249",2,"Nonmatching","Mother",859,0.859,1
"250",2,"Nonmatching","Mother",521,0.521,1
"251",2,"Nonmatching","Mother",475,0.475,1
"252",2,"Nonmatching","Mother",702,0.702,1
"253",2,"Nonmatching","Mother",533,0.533,0
"254",2,"Nonmatching","Mother",539,0.539,1
"255",2,"Nonmatching","Mother",657,0.657,1
"256",2,"Nonmatching","Mother",811,0.811,1
"257",2,"Nonmatching","Mother",704,0.704,1
"258",2,"Nonmatching","Mother",573,0.573,1
"259",2,"Nonmatching","Mother",546,0.546,1
"260",2,"Nonmatching","Mother",587,0.587,1
"261",2,"Nonmatching","Mother",770,0.77,1
"262",2,"Nonmatching","Mother",720,0.72,1
"263",2,"Nonmatching","Mother",780,0.78,0
"264",2,"Nonmatching","Acquaintance",845,0.845,1
"265",2,"Nonmatching","Acquaintance",847,0.847,1
"266",2,"Nonmatching","Acquaintance",656,0.656,1
"267",2,"Nonmatching","Acquaintance",835,0.835,1
"268",2,"Nonmatching","Acquaintance",686,0.686,1
"269",2,"Nonmatching","Acquaintance",967,0.967,0
"270",2,"Nonmatching","Acquaintance",428,0.428,1
"271",2,"Nonmatching","Acquaintance",596,0.596,1
"272",2,"Nonmatching","Acquaintance",574,0.574,1
"273",2,"Nonmatching","Acquaintance",704,0.704,1
"274",2,"Nonmatching","Acquaintance",603,0.603,1
"275",2,"Nonmatching","Acquaintance",1033,1.033,1
"276",2,"Nonmatching","Acquaintance",602,0.602,1
"277",2,"Nonmatching","Acquaintance",588,0.588,1
"278",2,"Nonmatching","Acquaintance",771,0.771,1
"279",2,"Nonmatching","Acquaintance",624,0.624,1
"280",2,"Nonmatching","Acquaintance",475,0.475,0
"281",2,"Nonmatching","Acquaintance",501,0.501,1
"282",2,"Nonmatching","Acquaintance",661,0.661,1
"283",2,"Nonmatching","Acquaintance",681,0.681,1
"284",2,"Nonmatching","Acquaintance",907,0.907,0
"285",3,"Matching","Self",589,0.589,1
"286",3,"Matching","Self",654,0.654,1
"287",3,"Matching","Self",480,0.48,1
"288",3,"Matching","Self",645,0.645,1
"289",3,"Matching","Self",687,0.687,1
"290",3,"Matching","Self",523,0.523,1
"291",3,"Matching","Self",472,0.472,1
"292",3,"Matching","Self",432,0.432,1
"293",3,"Matching","Self",439,0.439,1
"294",3,"Matching","Self",348,0.348,1
"295",3,"Matching","Self",545,0.545,1
"296",3,"Matching","Self",323,0.323,1
"297",3,"Matching","Self",218,0.218,1
"298",3,"Matching","Self",371,0.371,1
"299",3,"Matching","Self",384,0.384,1
"300",3,"Matching","Self",266,0.266,1
"301",3,"Matching","Self",385,0.385,1
"302",3,"Matching","Self",349,0.349,1
"303",3,"Matching","Self",321,0.321,1
"304",3,"Matching","Self",437,0.437,1
"305",3,"Matching","Self",283,0.283,1
"306",3,"Matching","Self",299,0.299,1
"307",3,"Matching","Self",414,0.414,1
"308",3,"Matching","Mother",363,0.363,1
"309",3,"Matching","Mother",1019,1.019,1
"310",3,"Matching","Mother",723,0.723,1
"311",3,"Matching","Mother",728,0.728,1
"312",3,"Matching","Mother",701,0.701,1
"313",3,"Matching","Mother",576,0.576,1
"314",3,"Matching","Mother",486,0.486,1
"315",3,"Matching","Mother",365,0.365,1
"316",3,"Matching","Mother",980,0.98,1
"317",3,"Matching","Mother",497,0.497,1
"318",3,"Matching","Mother",505,0.505,1
"319",3,"Matching","Mother",319,0.319,1
"320",3,"Matching","Mother",310,0.31,1
"321",3,"Matching","Mother",391,0.391,1
"322",3,"Matching","Mother",304,0.304,1
"323",3,"Matching","Mother",465,0.465,1
"324",3,"Matching","Mother",345,0.345,1
"325",3,"Matching","Mother",273,0.273,1
"326",3,"Matching","Mother",396,0.396,1
"327",3,"Matching","Mother",235,0.235,1
"328",3,"Matching","Mother",352,0.352,1
"329",3,"Matching","Mother",372,0.372,1
"330",3,"Matching","Mother",253,0.253,1
"331",3,"Matching","Mother",203,0.203,1
"332",3,"Matching","Acquaintance",958,0.958,1
"333",3,"Matching","Acquaintance",615,0.615,1
"334",3,"Matching","Acquaintance",448,0.448,1
"335",3,"Matching","Acquaintance",682,0.682,1
"336",3,"Matching","Acquaintance",441,0.441,1
"337",3,"Matching","Acquaintance",456,0.456,1
"338",3,"Matching","Acquaintance",599,0.599,1
"339",3,"Matching","Acquaintance",516,0.516,1
"340",3,"Matching","Acquaintance",310,0.31,1
"341",3,"Matching","Acquaintance",480,0.48,1
"342",3,"Matching","Acquaintance",468,0.468,1
"343",3,"Matching","Acquaintance",462,0.462,1
"344",3,"Matching","Acquaintance",400,0.4,1
"345",3,"Matching","Acquaintance",376,0.376,1
"346",3,"Matching","Acquaintance",445,0.445,1
"347",3,"Matching","Acquaintance",334,0.334,1
"348",3,"Matching","Acquaintance",416,0.416,0
"349",3,"Matching","Acquaintance",267,0.267,1
"350",3,"Matching","Acquaintance",459,0.459,1
"351",3,"Matching","Acquaintance",485,0.485,1
"352",3,"Matching","Acquaintance",363,0.363,1
"353",3,"Matching","Acquaintance",327,0.327,1
"354",3,"Matching","Acquaintance",290,0.29,1
"355",3,"Nonmatching","Self",507,0.507,1
"356",3,"Nonmatching","Self",684,0.684,1
"357",3,"Nonmatching","Self",454,0.454,1
"358",3,"Nonmatching","Self",347,0.347,1
"359",3,"Nonmatching","Self",579,0.579,1
"360",3,"Nonmatching","Self",493,0.493,1
"361",3,"Nonmatching","Self",418,0.418,1
"362",3,"Nonmatching","Self",438,0.438,1
"363",3,"Nonmatching","Self",502,0.502,1
"364",3,"Nonmatching","Self",379,0.379,1
"365",3,"Nonmatching","Self",499,0.499,1
"366",3,"Nonmatching","Self",433,0.433,1
"367",3,"Nonmatching","Self",486,0.486,1
"368",3,"Nonmatching","Self",604,0.604,1
"369",3,"Nonmatching","Self",467,0.467,1
"370",3,"Nonmatching","Self",414,0.414,1
"371",3,"Nonmatching","Self",706,0.706,1
"372",3,"Nonmatching","Self",548,0.548,1
"373",3,"Nonmatching","Self",671,0.671,0
"374",3,"Nonmatching","Self",659,0.659,1
"375",3,"Nonmatching","Self",730,0.73,1
"376",3,"Nonmatching","Self",623,0.623,1
"377",3,"Nonmatching","Self",471,0.471,1
"378",3,"Nonmatching","Self",470,0.47,1
"379",3,"Nonmatching","Mother",850,0.85,1
"380",3,"Nonmatching","Mother",603,0.603,1
"381",3,"Nonmatching","Mother",596,0.596,1
"382",3,"Nonmatching","Mother",729,0.729,1
"383",3,"Nonmatching","Mother",660,0.66,1
"384",3,"Nonmatching","Mother",667,0.667,1
"385",3,"Nonmatching","Mother",798,0.798,1
"386",3,"Nonmatching","Mother",597,0.597,1
"387",3,"Nonmatching","Mother",626,0.626,1
"388",3,"Nonmatching","Mother",596,0.596,0
"389",3,"Nonmatching","Mother",571,0.571,1
"390",3,"Nonmatching","Mother",716,0.716,1
"391",3,"Nonmatching","Mother",520,0.52,1
"392",3,"Nonmatching","Mother",1341,1.341,1
"393",3,"Nonmatching","Mother",536,0.536,1
"394",3,"Nonmatching","Mother",495,0.495,1
"395",3,"Nonmatching","Mother",623,0.623,1
"396",3,"Nonmatching","Mother",221,0.221,0
"397",3,"Nonmatching","Mother",620,0.62,1
"398",3,"Nonmatching","Mother",503,0.503,1
"399",3,"Nonmatching","Acquaintance",1242,1.242,1
"400",3,"Nonmatching","Acquaintance",949,0.949,1
"401",3,"Nonmatching","Acquaintance",869,0.869,1
"402",3,"Nonmatching","Acquaintance",602,0.602,1
"403",3,"Nonmatching","Acquaintance",368,0.368,1
"404",3,"Nonmatching","Acquaintance",577,0.577,1
"405",3,"Nonmatching","Acquaintance",545,0.545,1
"406",3,"Nonmatching","Acquaintance",485,0.485,1
"407",3,"Nonmatching","Acquaintance",617,0.617,1
"408",3,"Nonmatching","Acquaintance",516,0.516,1
"409",3,"Nonmatching","Acquaintance",795,0.795,1
"410",3,"Nonmatching","Acquaintance",527,0.527,1
"411",3,"Nonmatching","Acquaintance",482,0.482,1
"412",3,"Nonmatching","Acquaintance",475,0.475,1
"413",3,"Nonmatching","Acquaintance",537,0.537,1
"414",3,"Nonmatching","Acquaintance",450,0.45,1
"415",3,"Nonmatching","Acquaintance",786,0.786,1
"416",3,"Nonmatching","Acquaintance",503,0.503,1
"417",3,"Nonmatching","Acquaintance",475,0.475,1
"418",3,"Nonmatching","Acquaintance",508,0.508,1
"419",3,"Nonmatching","Acquaintance",391,0.391,1
"420",3,"Nonmatching","Acquaintance",237,0.237,0
"421",3,"Nonmatching","Acquaintance",490,0.49,1
"422",4,"Matching","Self",303,0.303,0
"423",4,"Matching","Self",428,0.428,1
"424",4,"Matching","Self",328,0.328,1
"425",4,"Matching","Self",494,0.494,1
"426",4,"Matching","Self",615,0.615,1
"427",4,"Matching","Self",487,0.487,1
"428",4,"Matching","Self",251,0.251,1
"429",4,"Matching","Self",377,0.377,1
"430",4,"Matching","Self",353,0.353,1
"431",4,"Matching","Self",416,0.416,1
"432",4,"Matching","Self",334,0.334,1
"433",4,"Matching","Self",332,0.332,1
"434",4,"Matching","Self",294,0.294,1
"435",4,"Matching","Self",286,0.286,1
"436",4,"Matching","Self",339,0.339,1
"437",4,"Matching","Self",491,0.491,1
"438",4,"Matching","Self",588,0.588,1
"439",4,"Matching","Self",585,0.585,1
"440",4,"Matching","Self",390,0.39,1
"441",4,"Matching","Self",339,0.339,0
"442",4,"Matching","Self",309,0.309,1
"443",4,"Matching","Self",376,0.376,1
"444",4,"Matching","Self",297,0.297,1
"445",4,"Matching","Mother",1374,1.374,1
"446",4,"Matching","Mother",881,0.881,1
"447",4,"Matching","Mother",1229,1.229,1
"448",4,"Matching","Mother",405,0.405,1
"449",4,"Matching","Mother",869,0.869,1
"450",4,"Matching","Mother",394,0.394,1
"451",4,"Matching","Mother",1000,1,1
"452",4,"Matching","Mother",412,0.412,1
"453",4,"Matching","Mother",1203,1.203,0
"454",4,"Matching","Mother",742,0.742,1
"455",4,"Matching","Mother",344,0.344,1
"456",4,"Matching","Mother",315,0.315,1
"457",4,"Matching","Mother",398,0.398,1
"458",4,"Matching","Mother",545,0.545,1
"459",4,"Matching","Mother",350,0.35,1
"460",4,"Matching","Mother",370,0.37,1
"461",4,"Matching","Mother",563,0.563,1
"462",4,"Matching","Mother",459,0.459,1
"463",4,"Matching","Mother",391,0.391,1
"464",4,"Matching","Mother",439,0.439,1
"465",4,"Matching","Mother",404,0.404,1
"466",4,"Matching","Mother",636,0.636,0
"467",4,"Matching","Mother",329,0.329,1
"468",4,"Matching","Mother",460,0.46,1
"469",4,"Matching","Acquaintance",397,0.397,1
"470",4,"Matching","Acquaintance",551,0.551,1
"471",4,"Matching","Acquaintance",1168,1.168,1
"472",4,"Matching","Acquaintance",896,0.896,1
"473",4,"Matching","Acquaintance",583,0.583,1
"474",4,"Matching","Acquaintance",457,0.457,1
"475",4,"Matching","Acquaintance",397,0.397,1
"476",4,"Matching","Acquaintance",372,0.372,1
"477",4,"Matching","Acquaintance",569,0.569,1
"478",4,"Matching","Acquaintance",405,0.405,1
"479",4,"Matching","Acquaintance",299,0.299,1
"480",4,"Matching","Acquaintance",239,0.239,1
"481",4,"Matching","Acquaintance",331,0.331,0
"482",4,"Matching","Acquaintance",334,0.334,1
"483",4,"Matching","Acquaintance",512,0.512,1
"484",4,"Matching","Acquaintance",547,0.547,1
"485",4,"Matching","Acquaintance",560,0.56,1
"486",4,"Matching","Acquaintance",371,0.371,1
"487",4,"Matching","Acquaintance",338,0.338,1
"488",4,"Matching","Acquaintance",415,0.415,1
"489",4,"Matching","Acquaintance",334,0.334,1
"490",4,"Matching","Acquaintance",1054,1.054,1
"491",4,"Nonmatching","Self",969,0.969,1
"492",4,"Nonmatching","Self",506,0.506,1
"493",4,"Nonmatching","Self",409,0.409,1
"494",4,"Nonmatching","Self",432,0.432,1
"495",4,"Nonmatching","Self",355,0.355,1
"496",4,"Nonmatching","Self",325,0.325,1
"497",4,"Nonmatching","Self",283,0.283,1
"498",4,"Nonmatching","Self",485,0.485,1
"499",4,"Nonmatching","Self",424,0.424,1
"500",4,"Nonmatching","Self",559,0.559,1
"501",4,"Nonmatching","Self",398,0.398,1
"502",4,"Nonmatching","Self",413,0.413,1
"503",4,"Nonmatching","Self",327,0.327,1
"504",4,"Nonmatching","Self",514,0.514,1
"505",4,"Nonmatching","Self",515,0.515,1
"506",4,"Nonmatching","Self",530,0.53,1
"507",4,"Nonmatching","Self",387,0.387,1
"508",4,"Nonmatching","Self",579,0.579,1
"509",4,"Nonmatching","Self",419,0.419,1
"510",4,"Nonmatching","Self",597,0.597,1
"511",4,"Nonmatching","Self",539,0.539,1
"512",4,"Nonmatching","Self",450,0.45,1
"513",4,"Nonmatching","Self",408,0.408,1
"514",4,"Nonmatching","Self",590,0.59,1
"515",4,"Nonmatching","Mother",940,0.94,1
"516",4,"Nonmatching","Mother",787,0.787,1
"517",4,"Nonmatching","Mother",954,0.954,1
"518",4,"Nonmatching","Mother",596,0.596,1
"519",4,"Nonmatching","Mother",903,0.903,1
"520",4,"Nonmatching","Mother",552,0.552,1
"521",4,"Nonmatching","Mother",1075,1.075,1
"522",4,"Nonmatching","Mother",685,0.685,1
"523",4,"Nonmatching","Mother",929,0.929,1
"524",4,"Nonmatching","Mother",1423,1.423,1
"525",4,"Nonmatching","Mother",1029,1.029,1
"526",4,"Nonmatching","Mother",550,0.55,1
"527",4,"Nonmatching","Mother",532,0.532,1
"528",4,"Nonmatching","Mother",540,0.54,1
"529",4,"Nonmatching","Mother",526,0.526,0
"530",4,"Nonmatching","Mother",567,0.567,1
"531",4,"Nonmatching","Mother",1449,1.449,1
"532",4,"Nonmatching","Mother",739,0.739,1
"533",4,"Nonmatching","Mother",395,0.395,1
"534",4,"Nonmatching","Mother",978,0.978,1
"535",4,"Nonmatching","Mother",403,0.403,0
"536",4,"Nonmatching","Mother",444,0.444,1
"537",4,"Nonmatching","Mother",742,0.742,1
"538",4,"Nonmatching","Mother",501,0.501,1
"539",4,"Nonmatching","Acquaintance",651,0.651,0
"540",4,"Nonmatching","Acquaintance",689,0.689,1
"541",4,"Nonmatching","Acquaintance",961,0.961,1
"542",4,"Nonmatching","Acquaintance",778,0.778,1
"543",4,"Nonmatching","Acquaintance",649,0.649,1
"544",4,"Nonmatching","Acquaintance",950,0.95,1
"545",4,"Nonmatching","Acquaintance",841,0.841,1
"546",4,"Nonmatching","Acquaintance",567,0.567,1
"547",4,"Nonmatching","Acquaintance",387,0.387,0
"548",4,"Nonmatching","Acquaintance",1021,1.021,1
"549",4,"Nonmatching","Acquaintance",320,0.32,1
"550",4,"Nonmatching","Acquaintance",436,0.436,1
"551",4,"Nonmatching","Acquaintance",361,0.361,1
"552",4,"Nonmatching","Acquaintance",471,0.471,1
"553",4,"Nonmatching","Acquaintance",600,0.6,1
"554",4,"Nonmatching","Acquaintance",575,0.575,1
"555",4,"Nonmatching","Acquaintance",554,0.554,1
"556",4,"Nonmatching","Acquaintance",671,0.671,1
"557",4,"Nonmatching","Acquaintance",574,0.574,1
"558",4,"Nonmatching","Acquaintance",775,0.775,1
"559",5,"Matching","Self",1443,1.443,1
"560",5,"Matching","Self",571,0.571,1
"561",5,"Matching","Self",844,0.844,1
"562",5,"Matching","Self",579,0.579,1
"563",5,"Matching","Self",386,0.386,1
"564",5,"Matching","Self",998,0.998,1
"565",5,"Matching","Self",475,0.475,1
"566",5,"Matching","Self",769,0.769,1
"567",5,"Matching","Self",1028,1.028,1
"568",5,"Matching","Self",747,0.747,1
"569",5,"Matching","Self",585,0.585,1
"570",5,"Matching","Self",388,0.388,1
"571",5,"Matching","Self",323,0.323,0
"572",5,"Matching","Self",355,0.355,1
"573",5,"Matching","Self",381,0.381,1
"574",5,"Matching","Self",456,0.456,1
"575",5,"Matching","Self",484,0.484,1
"576",5,"Matching","Self",483,0.483,0
"577",5,"Matching","Self",1099,1.099,1
"578",5,"Matching","Self",674,0.674,0
"579",5,"Matching","Self",428,0.428,1
"580",5,"Matching","Self",356,0.356,1
