Shape,.thisRepN,.thisTrialN,.thisN,.thisIndex,resp,selfkey,strangerkey,selfStimuli,strangerStimuli,rt,corr,6. Stimuli Type (SN/SP),4. Handedness,7. Experiment Type (T/NT),3. Age,5. First Language,2. Gender (M/F),1. Participant Number
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.793589469,1,SN,Right,T,23,Turkish,M,12
Stranger,0,0,0,1,o,w,o,HAPPY,SAD,7.837044608,1,SP,Right,T,20,Hungarian,F,13
Self,0,1,1,0,w,w,o,HAPPY,SAD,3.231417667,1,SP,Right,T,20,Hungarian,F,13
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,2.825625938,1,SP,Right,T,20,Hungarian,F,13
Self,1,1,3,0,w,w,o,HAPPY,SAD,1.364462563,1,SP,Right,T,20,Hungarian,F,13
Self,0,0,0,0,w,w,o,HAPPY,SAD,2.742237024,1,SP,Right,T,26,Urdu,M,14
Self,0,1,1,0,w,w,o,HAPPY,SAD,1.188175997,1,SP,Right,T,26,Urdu,M,14
Stranger,1,0,2,1,o,w,o,HAPPY,SAD,0.360209979,1,SP,Right,T,26,Urdu,M,14
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,0.277531102,1,SP,Right,T,26,Urdu,M,14
Stranger,0,0,0,1,o,w,o,SAD,HAPPY,4.536168992,1,SN,Right,T,25,Hungarian,M,15
Self,0,1,1,0,w,w,o,SAD,HAPPY,0.510374633,1,SN,Right,T,25,Hungarian,M,15
Self,1,0,2,0,w,w,o,SAD,HAPPY,0.597755903,1,SN,Right,T,25,Hungarian,M,15
Stranger,1,1,3,1,o,w,o,SAD,HAPPY,0.313769638,1,SN,Right,T,25,Hungarian,M,15
Self,0,0,0,0,w,w,o,SAD,HAPPY,9.759252131,1,SN,Right,T,22,Hungarian,F,16
Stranger,0,1,1,1,o,w,o,SAD,HAPPY,11.65318559,1,SN,Right,T,22,Hungarian,F,16
Stranger,1,0,2,1,o,w,o,SAD,HAPPY,2.367097823,1,SN,Right,T,22,Hungarian,F,16
Self,1,1,3,0,w,w,o,SAD,HAPPY,1.659926323,1,SN,Right,T,22,Hungarian,F,16
Stranger,0,0,0,1,w,w,o,HAPPY,SAD,11.65549632,0,SP,Right,T,32,Mongolian,F,17
Self,0,1,1,0,w,w,o,HAPPY,SAD,7.137497794,1,SP,Right,T,32,Mongolian,F,17
Self,1,0,2,0,w,w,o,HAPPY,SAD,2.079917267,1,SP,Right,T,32,Mongolian,F,17
Stranger,1,1,3,1,o,w,o,HAPPY,SAD,2.424043124,1,SP,Right,T,32,Mongolian,F,17
Self,0,0,0,0,w,w,o,HAPPY,SAD,6.802605352,1,SP,Right,T,18,Hungarian,F,18
