"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC"
"86",2501,1,"Anna","You","Anna","none","Friend","Matching","z",1091,1.091,1
"87",2501,1,"Anna","You","Anna","none","Friend","Matching","z",590,0.59,1
"88",2501,1,"Anna","You","Anna","none","Friend","Matching","m",476,0.476,0
"89",2501,1,"Anna","You","Anna","none","Friend","Matching","z",508,0.508,1
"90",2501,1,"Anna","You","Anna","none","Friend","Matching","z",698,0.698,1
"91",2501,1,"Anna","You","Anna","none","Friend","Matching","z",928,0.928,1
"92",2501,1,"Anna","You","Anna","none","Friend","Matching","z",385,0.385,1
"93",2501,1,"Anna","You","Anna","none","Friend","Matching","z",549,0.549,1
"94",2501,1,"Anna","You","Anna","none","Friend","Matching","z",578,0.578,1
"95",2501,1,"Anna","You","Anna","none","Friend","Matching","z",437,0.437,1
"96",2501,1,"Anna","You","Anna","none","Friend","Matching","z",476,0.476,1
"97",2501,1,"Anna","You","Anna","none","Friend","Matching","m",606,0.606,0
"98",2501,1,"Anna","You","Anna","none","Friend","Matching","z",622,0.622,1
"99",2501,1,"Anna","You","Anna","none","Friend","Matching","z",599,0.599,1
"100",2501,1,"Anna","You","Anna","none","Friend","Matching","z",561,0.561,1
"101",2501,1,"Anna","You","Anna","none","Friend","Matching","z",511,0.511,1
"102",2501,1,"Anna","You","Anna","none","Friend","Matching","z",585,0.585,1
"103",2501,1,"Anna","You","Anna","none","Friend","Matching","m",850,0.85,0
"104",2501,1,"Anna","You","Anna","none","Friend","Matching","z",602,0.602,1
"105",2501,1,"Anna","You","Anna","none","Friend","Matching","z",627,0.627,1
"106",2501,1,"Anna","You","Anna","none","Friend","Matching","z",495,0.495,1
"107",2501,1,"Anna","You","Anna","none","Friend","Matching","z",649,0.649,1
"108",2501,1,"Anna","You","Anna","none","Friend","Matching","z",562,0.562,1
"109",2501,1,"Anna","You","Anna","none","Friend","Matching","z",617,0.617,1
"110",2501,1,"Anna","You","Anna","none","Friend","Matching","z",611,0.611,1
"111",2501,1,"Anna","You","Anna","none","Friend","Matching","m",477,0.477,0
"112",2501,1,"Anna","You","Anna","none","Friend","Matching","z",558,0.558,1
"113",2501,1,"Anna","You","Anna","none","Friend","Matching","z",519,0.519,1
"114",2501,1,"Anna","You","Anna","none","Friend","Matching","z",826,0.826,1
"115",2501,1,"Anna","You","Anna","none","Friend","Matching","z",525,0.525,1
"116",2501,1,"Anna","You","Anna","none","Friend","Matching","z",533,0.533,1
"117",2501,1,"Anna","You","Anna","none","Friend","Matching","z",611,0.611,1
"118",2501,1,"Anna","You","Anna","none","Friend","Matching","z",559,0.559,1
"119",2501,1,"Anna","You","Anna","none","Friend","Matching","z",451,0.451,1
"120",2501,1,"Anna","You","Anna","none","Friend","Matching","z",516,0.516,1
"121",2501,1,"none","You","Anna","none","None","Matching","m",512,0.512,0
"122",2501,1,"none","You","Anna","none","None","Matching","m",441,0.441,0
"123",2501,1,"none","You","Anna","none","None","Matching","z",523,0.523,1
"124",2501,1,"none","You","Anna","none","None","Matching","z",704,0.704,1
"125",2501,1,"none","You","Anna","none","None","Matching","z",686,0.686,1
"126",2501,1,"none","You","Anna","none","None","Matching","z",500,0.5,1
"127",2501,1,"none","You","Anna","none","None","Matching","m",544,0.544,0
"128",2501,1,"none","You","Anna","none","None","Matching","z",743,0.743,1
"129",2501,1,"none","You","Anna","none","None","Matching","z",635,0.635,1
"130",2501,1,"none","You","Anna","none","None","Matching","z",677,0.677,1
"131",2501,1,"none","You","Anna","none","None","Matching","z",688,0.688,1
"132",2501,1,"none","You","Anna","none","None","Matching","z",692,0.692,1
"133",2501,1,"none","You","Anna","none","None","Matching","z",564,0.564,1
