"","Subject","Age","Gender","Handedness","Shape","Label","Matching","Identity","Response","RT_ms","RT_sec","ACC"
"1",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,961,0.961,1
"2",14,25,"male","right","T.bmp","中性","Matching","中性",1,732,0.732,0
"3",14,25,"male","right","T.bmp","中性","Matching","中性",1,993,0.993,0
"4",14,25,"male","right","T.bmp","中性","Matching","中性",2,804,0.804,1
"5",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,758,0.758,1
"6",14,25,"male","right","T.bmp","中性","Matching","中性",2,1024,1.024,1
"7",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,826,0.826,1
"8",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,789,0.789,1
"9",14,25,"male","right","T.bmp","中性","Matching","中性",1,599,0.599,0
"10",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,497,0.497,1
"11",14,25,"male","right","T.bmp","中性","Matching","中性",1,651,0.651,0
"12",14,25,"male","right","T.bmp","中性","Matching","中性",1,685,0.685,0
"13",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,457,0.457,1
"14",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,636,0.636,1
"15",14,25,"male","right","T.bmp","中性","Matching","中性",2,690,0.69,1
"16",14,25,"male","right","T.bmp","中性","Matching","中性",2,820,0.82,1
"17",14,25,"male","right","T.bmp","中性","Matching","中性",2,525,0.525,1
"18",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,583,0.583,1
"19",14,25,"male","right","T.bmp","中性","Matching","中性",2,906,0.906,1
"20",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,772,0.772,1
"21",14,25,"male","right","T.bmp","中性","Matching","中性",2,758,0.758,1
"22",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,608,0.608,1
"23",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,548,0.548,1
"24",14,25,"male","right","T.bmp","中性","Matching","中性",2,822,0.822,1
"25",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,649,0.649,1
"26",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,483,0.483,1
"27",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,529,0.529,1
"28",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,605,0.605,1
"29",14,25,"male","right","T.bmp","中性","Matching","中性",2,703,0.703,1
"30",14,25,"male","right","T.bmp","中性","Matching","中性",2,826,0.826,1
"31",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,556,0.556,1
"32",14,25,"male","right","T.bmp","中性","Matching","中性",2,901,0.901,1
"33",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,552,0.552,1
"34",14,25,"male","right","T.bmp","中性","Matching","中性",2,781,0.781,1
"35",14,25,"male","right","T.bmp","中性","Matching","中性",2,888,0.888,1
"36",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,690,0.69,1
"37",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,582,0.582,1
"38",14,25,"male","right","T.bmp","中性","Matching","中性",2,1024,1.024,1
"39",14,25,"male","right","T.bmp","中性","Matching","中性",1,940,0.94,0
"40",14,25,"male","right","T.bmp","中性","Matching","中性",2,785,0.785,1
"41",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,627,0.627,1
"42",14,25,"male","right","T.bmp","中性","Matching","中性",2,593,0.593,1
"43",14,25,"male","right","T.bmp","中性","Matching","中性",2,763,0.763,1
"44",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,574,0.574,1
"45",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,583,0.583,1
"46",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,649,0.649,1
"47",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,707,0.707,1
"48",14,25,"male","right","T.bmp","中性","Matching","中性",2,717,0.717,1
"49",14,25,"male","right","C.bmp","高兴","Matching","高兴",2,527,0.527,1
"50",14,25,"male","right","T.bmp","中性","Matching","中性",2,724,0.724,1
"51",14,25,"male","right","T.bmp","中性","Matching","中性",2,526,0.526,1
"52",14,25,"male","right","T.bmp","中性","Matching","中性",2,536,0.536,1
