"Subject","Age","Gender","Session","Shape","Matching","Origin_Identity","English_Identity","Standarlized_Identity","Response","Phase","RT_ms","RT_sec","ACC"
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",760,0.76,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",730,0.73,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",748,0.748,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",805,0.805,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",832,0.832,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",802,0.802,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",684,0.684,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",750,0.75,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",776,0.776,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",826,0.826,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",668,0.668,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",742,0.742,0
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",721,0.721,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",715,0.715,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",0,"post",941,0.941,0
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",737,0.737,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",0,"post",763,0.763,0
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",685,0.685,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",664,0.664,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",802,0.802,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",916,0.916,0
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",1,"post",1070,1.07,0
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",680,0.68,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",796,0.796,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",741,0.741,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",744,0.744,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",994,0.994,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",684,0.684,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",830,0.83,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",792,0.792,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",866,0.866,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",660,0.66,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",727,0.727,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",809,0.809,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",699,0.699,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",837,0.837,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",703,0.703,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",697,0.697,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",891,0.891,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",774,0.774,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",728,0.728,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",634,0.634,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",852,0.852,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",742,0.742,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",824,0.824,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",874,0.874,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",764,0.764,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",886,0.886,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",752,0.752,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",658,0.658,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",852,0.852,1
41,19,"male","post","self","Matching","Self","Self","Self",0,"post",622,0.622,0
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",944,0.944,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",714,0.714,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",669,0.669,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",607,0.607,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",705,0.705,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",819,0.819,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",722,0.722,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",716,0.716,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",750,0.75,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",712,0.712,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",786,0.786,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",805,0.805,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",862,0.862,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",896,0.896,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",738,0.738,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",628,0.628,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",710,0.71,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",600,0.6,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",827,0.827,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",645,0.645,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",663,0.663,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",673,0.673,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",755,0.755,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",725,0.725,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",663,0.663,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",825,0.825,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",724,0.724,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",606,0.606,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",680,0.68,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",730,0.73,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",700,0.7,1
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",734,0.734,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",832,0.832,1
41,19,"male","post","self","Matching","Self","Self","Self",1,"post",635,0.635,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",1,"post",733,0.733,0
41,19,"male","post","stranger","Matching","Stranger","Stranger","Stranger",1,"post",679,0.679,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",736,0.736,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",778,0.778,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",756,0.756,1
41,19,"male","post","friend","Matching","Friend","Friend","Close",1,"post",654,0.654,1
41,19,"male","post","stranger","Nonmatching","Stranger","Stranger","Stranger",0,"post",824,0.824,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",667,0.667,1
41,19,"male","post","self","Nonmatching","Self","Self","Self",0,"post",757,0.757,1
41,19,"male","post","friend","Nonmatching","Friend","Friend","Close",0,"post",887,0.887,1
