"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",3001,1,"You","You","Julia","none","Self","Matching","z",1006,1.006,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"2",3001,1,"You","You","Julia","none","Self","Matching","z",884,0.884,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"3",3001,1,"You","You","Julia","none","Self","Matching","z",764,0.764,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"4",3001,1,"You","You","Julia","none","Self","Matching","z",753,0.753,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"5",3001,1,"You","You","Julia","none","Self","Matching","z",621,0.621,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"6",3001,1,"You","You","Julia","none","Self","Matching","z",672,0.672,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"7",3001,1,"You","You","Julia","none","Self","Matching","z",656,0.656,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"8",3001,1,"You","You","Julia","none","Self","Matching","z",724,0.724,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"9",3001,1,"You","You","Julia","none","Self","Matching","z",654,0.654,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"10",3001,1,"You","You","Julia","none","Self","Matching","z",830,0.83,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"11",3001,1,"You","You","Julia","none","Self","Matching","z",569,0.569,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"12",3001,1,"You","You","Julia","none","Self","Matching","z",640,0.64,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"13",3001,1,"You","You","Julia","none","Self","Matching","z",795,0.795,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"14",3001,1,"You","You","Julia","none","Self","Matching","z",698,0.698,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"15",3001,1,"You","You","Julia","none","Self","Matching","z",450,0.45,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"16",3001,1,"You","You","Julia","none","Self","Matching","z",720,0.72,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"17",3001,1,"You","You","Julia","none","Self","Matching","z",624,0.624,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"18",3001,1,"You","You","Julia","none","Self","Matching","z",629,0.629,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"19",3001,1,"You","You","Julia","none","Self","Matching","z",284,0.284,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"20",3001,1,"You","You","Julia","none","Self","Matching","z",478,0.478,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"21",3001,1,"You","You","Julia","none","Self","Matching","z",792,0.792,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"22",3001,1,"You","You","Julia","none","Self","Matching","z",469,0.469,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"23",3001,1,"You","You","Julia","none","Self","Matching","m",367,0.367,0,"21.5-inch",NA,NA,"white","grey",NA,NA
"24",3001,1,"You","You","Julia","none","Self","Matching","z",477,0.477,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"25",3001,1,"You","You","Julia","none","Self","Matching","z",589,0.589,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"26",3001,1,"You","You","Julia","none","Self","Matching","z",722,0.722,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"27",3001,1,"You","You","Julia","none","Self","Matching","z",671,0.671,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"28",3001,1,"You","You","Julia","none","Self","Matching","z",735,0.735,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"29",3001,1,"You","You","Julia","none","Self","Matching","z",756,0.756,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"30",3001,1,"You","You","Julia","none","Self","Matching","z",1442,1.442,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"31",3001,1,"You","You","Julia","none","Self","Matching","z",823,0.823,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"32",3001,1,"You","You","Julia","none","Self","Matching","z",731,0.731,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"33",3001,1,"You","You","Julia","none","Self","Matching","z",608,0.608,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"34",3001,1,"You","You","Julia","none","Self","Matching","z",460,0.46,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"35",3001,1,"You","You","Julia","none","Self","Matching","z",481,0.481,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"36",3001,1,"You","You","Julia","none","Self","Matching","z",530,0.53,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"37",3001,1,"You","You","Julia","none","Self","Matching","z",761,0.761,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"38",3001,1,"You","You","Julia","none","Self","Matching","z",490,0.49,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"39",3001,1,"You","You","Julia","none","Self","Matching","z",695,0.695,1,"21.5-inch",NA,NA,"white","grey",NA,NA
