"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",2501,1,"You","You","Anna","none","Self","Matching","z",531,0.531,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"2",2501,1,"You","You","Anna","none","Self","Matching","z",376,0.376,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"3",2501,1,"You","You","Anna","none","Self","Matching","z",541,0.541,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"4",2501,1,"You","You","Anna","none","Self","Matching","z",575,0.575,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"5",2501,1,"You","You","Anna","none","Self","Matching","m",518,0.518,0,"21.5-inch",NA,NA,"white","grey",NA,NA
"6",2501,1,"You","You","Anna","none","Self","Matching","z",939,0.939,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"7",2501,1,"You","You","Anna","none","Self","Matching","z",563,0.563,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"8",2501,1,"You","You","Anna","none","Self","Matching","z",677,0.677,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"9",2501,1,"You","You","Anna","none","Self","Matching","z",495,0.495,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"10",2501,1,"You","You","Anna","none","Self","Matching","m",389,0.389,0,"21.5-inch",NA,NA,"white","grey",NA,NA
"11",2501,1,"You","You","Anna","none","Self","Matching","z",581,0.581,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"12",2501,1,"You","You","Anna","none","Self","Matching","z",857,0.857,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"13",2501,1,"You","You","Anna","none","Self","Matching","z",529,0.529,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"14",2501,1,"You","You","Anna","none","Self","Matching","z",433,0.433,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"15",2501,1,"You","You","Anna","none","Self","Matching","z",594,0.594,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"16",2501,1,"You","You","Anna","none","Self","Matching","z",559,0.559,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"17",2501,1,"You","You","Anna","none","Self","Matching","z",509,0.509,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"18",2501,1,"You","You","Anna","none","Self","Matching","z",794,0.794,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"19",2501,1,"You","You","Anna","none","Self","Matching","z",662,0.662,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"20",2501,1,"You","You","Anna","none","Self","Matching","m",739,0.739,0,"21.5-inch",NA,NA,"white","grey",NA,NA
"21",2501,1,"You","You","Anna","none","Self","Matching","z",490,0.49,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"22",2501,1,"You","You","Anna","none","Self","Matching","z",544,0.544,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"23",2501,1,"You","You","Anna","none","Self","Matching","z",686,0.686,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"24",2501,1,"You","You","Anna","none","Self","Matching","z",694,0.694,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"25",2501,1,"You","You","Anna","none","Self","Matching","z",850,0.85,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"26",2501,1,"You","You","Anna","none","Self","Matching","z",676,0.676,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"27",2501,1,"You","You","Anna","none","Self","Matching","z",521,0.521,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"28",2501,1,"You","You","Anna","none","Self","Matching","z",409,0.409,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"29",2501,1,"You","You","Anna","none","Self","Matching","z",551,0.551,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"30",2501,1,"You","You","Anna","none","Self","Matching","z",694,0.694,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"31",2501,1,"You","You","Anna","none","Self","Matching","z",482,0.482,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"32",2501,1,"You","You","Anna","none","Self","Matching","z",555,0.555,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"33",2501,1,"You","You","Anna","none","Self","Matching","z",613,0.613,1,"21.5-inch",NA,NA,"white","grey",NA,NA
