"","Subject","Gender","Shape","Label1","Label2","Label3","Identity","Matching","Response","RT_ms","RT_sec","ACC","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"1",1002,2,"You","You","none","Masha","Self","Matching","m",360,0.36,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"2",1002,2,"You","You","none","Masha","Self","Matching","m",654,0.654,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"3",1002,2,"You","You","none","Masha","Self","Matching","m",652,0.652,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"4",1002,2,"You","You","none","Masha","Self","Matching","m",489,0.489,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"5",1002,2,"You","You","none","Masha","Self","Matching","m",410,0.41,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"6",1002,2,"You","You","none","Masha","Self","Matching","m",659,0.659,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"7",1002,2,"You","You","none","Masha","Self","Matching","m",819,0.819,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"8",1002,2,"You","You","none","Masha","Self","Matching","m",446,0.446,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"9",1002,2,"You","You","none","Masha","Self","Matching","m",721,0.721,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"10",1002,2,"You","You","none","Masha","Self","Matching","m",535,0.535,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"11",1002,2,"You","You","none","Masha","Self","Matching","m",496,0.496,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"12",1002,2,"You","You","none","Masha","Self","Matching","m",542,0.542,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"13",1002,2,"You","You","none","Masha","Self","Matching","m",544,0.544,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"14",1002,2,"You","You","none","Masha","Self","Matching","m",803,0.803,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"15",1002,2,"You","You","none","Masha","Self","Matching","m",631,0.631,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"16",1002,2,"You","You","none","Masha","Self","Matching","m",549,0.549,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"17",1002,2,"You","You","none","Masha","Self","Matching","m",503,0.503,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"18",1002,2,"You","You","none","Masha","Self","Matching","m",654,0.654,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"19",1002,2,"You","You","none","Masha","Self","Matching","m",552,0.552,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"20",1002,2,"You","You","none","Masha","Self","Matching","m",484,0.484,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"21",1002,2,"You","You","none","Masha","Self","Matching","m",529,0.529,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"22",1002,2,"You","You","none","Masha","Self","Matching","m",559,0.559,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"23",1002,2,"You","You","none","Masha","Self","Matching","m",444,0.444,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"24",1002,2,"You","You","none","Masha","Self","Matching","m",541,0.541,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"25",1002,2,"You","You","none","Masha","Self","Matching","m",543,0.543,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"26",1002,2,"You","You","none","Masha","Self","Matching","m",537,0.537,1,"21.5-inch",NA,NA,"white","grey",NA,NA
"27",1002,2,"You","You","none","Masha","Self","Matching","m",822,0.822,1,"21.5-inch",NA,NA,"white","grey",NA,NA
