"","Subject","Age_Participant1","Age_Participant2","StrangerShape","P1Shape","P2Shape","Shape","Matching","Identity","ShapeLoc","Response","RT_ms","RT_sec","ACC","Phase"
"90",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",783.497243,0.783497243,1,2
"91",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",883.454724,0.883454724,1,2
"92",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",750.16058,0.75016058,1,2
"93",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",1017.089965,1.017089965,1,2
"94",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",617.140418,0.617140418,1,2
"95",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",1283.459935,1.283459935,1,2
"96",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",933.452217,0.933452217,1,2
"97",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",700.150848,0.700150848,1,2
"98",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",683.465541,0.683465541,1,2
"99",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",617.096202,0.617096202,1,2
"100",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",817.093281,0.817093281,1,2
"101",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",766.829701,0.766829701,1,2
"102",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",850.608388,0.850608388,1,2
"103",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",583.528589,0.583528589,1,2
"104",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",883.505652,0.883505652,1,2
"105",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",650.177832,0.650177832,1,2
"106",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",850.105033,0.850105033,1,2
"107",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",750.16966,0.75016966,1,2
"108",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",816.82443,0.81682443,1,2
"109",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",650.233892,0.650233892,1,2
"110",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",866.914304,0.866914304,1,2
"111",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",716.839314,0.716839314,1,2
"112",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",683.74742,0.68374742,1,2
"113",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",666.858402,0.666858402,1,2
"114",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",633.493314,0.633493314,1,2
"115",1,23,21,"TRIANGLE","PENTAGON","STAR","P2","Matching","P2","Bottom","w",883.513547,0.883513547,1,2
"116",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",750.134524,0.750134524,1,2
"117",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",733.78755,0.73378755,1,2
"118",1,23,21,"TRIANGLE","PENTAGON","STAR","P1","Matching","P1","Bottom","w",683.523575,0.683523575,1,2
"119",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",733.436583,0.733436583,1,2
"120",1,23,21,"TRIANGLE","PENTAGON","STAR","Stranger","Matching","Stranger","Bottom","w",666.803921,0.666803921,1,2
"121",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",566.84565,0.56684565,1,1
"122",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",550.16666,0.55016666,1,1
"123",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",650.122167,0.650122167,1,1
"124",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",600.170469,0.600170469,1,1
"125",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",683.540551,0.683540551,1,1
"126",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",583.425549,0.583425549,1,1
"127",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",616.844328,0.616844328,1,1
"128",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",600.136518,0.600136518,1,1
"129",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",616.843933,0.616843933,1,1
"130",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",600.078089,0.600078089,1,1
"131",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",600.138886,0.600138886,1,1
"132",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",616.74721,0.61674721,1,1
"133",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",616.805244,0.616805244,1,1
"134",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","w",650.198756,0.650198756,1,1
"135",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",800.175838,0.800175838,1,1
"136",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",933.48459,0.93348459,1,1
"137",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",666.829977,0.666829977,1,1
"138",1,23,21,"STAR","TRIANGLE","PENTAGON","Stranger","Matching","Stranger","Top","o",733.501329,0.733501329,0,1
"139",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",583.816389,0.583816389,1,1
"140",1,23,21,"STAR","TRIANGLE","PENTAGON","P2","Matching","P2","Top","w",1300.103395,1.300103395,1,1
"141",1,23,21,"STAR","TRIANGLE","PENTAGON","P1","Matching","P1","Top","w",650.137959,0.650137959,1,1
