"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
1,1,"Matching","Self",250,0.25,0
2,1,"Matching","Self",357,0.357,0
3,1,"Matching","Self",293,0.293,0
4,1,"Matching","Self",646,0.646,0
5,1,"Matching","Self",494,0.494,0
6,1,"Matching","Self",533,0.533,0
7,1,"Matching","Self",872,0.872,0
8,1,"Matching","Self",396,0.396,1
9,1,"Matching","Self",599,0.599,1
10,1,"Matching","Self",288,0.288,1
11,1,"Matching","Self",277,0.277,1
12,1,"Matching","Self",251,0.251,1
13,1,"Matching","Self",213,0.213,1
14,1,"Matching","Self",281,0.281,1
15,1,"Matching","Self",398,0.398,1
16,1,"Matching","Self",325,0.325,1
17,1,"Matching","Self",292,0.292,1
18,1,"Matching","Self",562,0.562,1
19,1,"Matching","Self",424,0.424,1
20,1,"Matching","Self",440,0.44,1
21,1,"Matching","Self",470,0.47,1
22,1,"Matching","Self",471,0.471,1
23,1,"Matching","Self",448,0.448,1
24,1,"Matching","Self",516,0.516,1
25,1,"Matching","Self",364,0.364,1
26,1,"Matching","Self",523,0.523,1
27,1,"Matching","Self",320,0.32,1
28,1,"Matching","Self",335,0.335,1
29,1,"Matching","Self",271,0.271,1
30,1,"Matching","Self",546,0.546,1
31,1,"Matching","Self",493,0.493,1
32,1,"Matching","Self",293,0.293,1
33,1,"Matching","Self",491,0.491,1
34,1,"Matching","Self",507,0.507,1
35,1,"Matching","Self",574,0.574,1
36,1,"Matching","Self",519,0.519,1
37,1,"Matching","Self",331,0.331,1
38,1,"Matching","Self",586,0.586,1
39,1,"Matching","Self",703,0.703,1
40,1,"Matching","Self",592,0.592,1
41,1,"Matching","Self",318,0.318,1
42,1,"Matching","Self",518,0.518,1
43,1,"Matching","Self",691,0.691,1
44,1,"Matching","Self",492,0.492,1
45,1,"Matching","Self",446,0.446,1
46,1,"Matching","Self",942,0.942,1
47,1,"Matching","Self",529,0.529,1
48,1,"Matching","Self",409,0.409,1
49,1,"Matching","Self",612,0.612,1
50,1,"Matching","Self",595,0.595,1
51,1,"Matching","Self",335,0.335,1
52,1,"Matching","Self",595,0.595,1
53,1,"Matching","Self",379,0.379,1
54,1,"Matching","Self",534,0.534,1
55,1,"Matching","Self",582,0.582,1
56,1,"Matching","Self",473,0.473,1
57,1,"Matching","Self",287,0.287,1
58,1,"Matching","Self",480,0.48,1
59,1,"Matching","Self",368,0.368,1
60,1,"Matching","Self",449,0.449,1
61,1,"Matching","Self",481,0.481,1
62,1,"Matching","Self",603,0.603,1
63,1,"Matching","Self",730,0.73,1
64,1,"Matching","Self",702,0.702,1
65,1,"Matching","Self",517,0.517,1
66,1,"Matching","Self",560,0.56,1
67,1,"Matching","Self",692,0.692,1
68,1,"Matching","Self",734,0.734,1
69,1,"Matching","Self",627,0.627,1
70,1,"Matching","Self",715,0.715,1
71,1,"Matching","Self",887,0.887,1
72,1,"Matching","Self",495,0.495,1
73,1,"Matching","Self",586,0.586,1
74,1,"Matching","Self",684,0.684,1
75,1,"Matching","Self",868,0.868,1
76,1,"Matching","Self",561,0.561,1
77,1,"Matching","Friend",312,0.312,0
78,1,"Matching","Friend",409,0.409,0
79,1,"Matching","Friend",330,0.33,0
80,1,"Matching","Friend",287,0.287,0
81,1,"Matching","Friend",496,0.496,0
82,1,"Matching","Friend",550,0.55,0
83,1,"Matching","Friend",289,0.289,0
84,1,"Matching","Friend",604,0.604,0
85,1,"Matching","Friend",804,0.804,0
86,1,"Matching","Friend",872,0.872,0
87,1,"Matching","Friend",521,0.521,0
88,1,"Matching","Friend",714,0.714,0
89,1,"Matching","Friend",612,0.612,0
90,1,"Matching","Friend",920,0.92,0
91,1,"Matching","Friend",796,0.796,0
92,1,"Matching","Friend",719,0.719,0
93,1,"Matching","Friend",566,0.566,0
94,1,"Matching","Friend",929,0.929,0
95,1,"Matching","Friend",262,0.262,0
96,1,"Matching","Friend",806,0.806,0
97,1,"Matching","Friend",897,0.897,0
98,1,"Matching","Friend",668,0.668,0
99,1,"Matching","Friend",264,0.264,1
100,1,"Matching","Friend",598,0.598,1
101,1,"Matching","Friend",708,0.708,1
102,1,"Matching","Friend",506,0.506,1
103,1,"Matching","Friend",529,0.529,1
104,1,"Matching","Friend",1003,1.003,1
105,1,"Matching","Friend",521,0.521,1
106,1,"Matching","Friend",851,0.851,1
107,1,"Matching","Friend",976,0.976,1
108,1,"Matching","Friend",305,0.305,1
109,1,"Matching","Friend",1050,1.05,1
110,1,"Matching","Friend",656,0.656,1
111,1,"Matching","Friend",580,0.58,1
112,1,"Matching","Friend",947,0.947,1
113,1,"Matching","Friend",376,0.376,1
114,1,"Matching","Friend",840,0.84,1
115,1,"Matching","Friend",422,0.422,1
116,1,"Matching","Friend",724,0.724,1
117,1,"Matching","Friend",725,0.725,1
118,1,"Matching","Friend",595,0.595,1
119,1,"Matching","Friend",794,0.794,1
120,1,"Matching","Friend",834,0.834,1
121,1,"Matching","Friend",570,0.57,1
122,1,"Matching","Friend",797,0.797,1
123,1,"Matching","Friend",797,0.797,1
124,1,"Matching","Friend",826,0.826,1
125,1,"Matching","Friend",1005,1.005,1
126,1,"Matching","Friend",1024,1.024,1
127,1,"Matching","Friend",694,0.694,1
128,1,"Matching","Friend",237,0.237,1
129,1,"Matching","Friend",1081,1.081,1
130,1,"Matching","Friend",1001,1.001,1
131,1,"Matching","Friend",748,0.748,1
132,1,"Matching","Friend",394,0.394,1
133,1,"Matching","Friend",822,0.822,1
134,1,"Matching","Friend",503,0.503,1
135,1,"Matching","Friend",364,0.364,1
136,1,"Matching","Friend",600,0.6,1
137,1,"Matching","Friend",483,0.483,1
138,1,"Matching","Friend",691,0.691,1
139,1,"Matching","Friend",1006,1.006,1
140,1,"Matching","Friend",687,0.687,1
141,1,"Matching","Friend",958,0.958,1
142,1,"Matching","Friend",893,0.893,1
143,1,"Matching","Friend",736,0.736,1
144,1,"Matching","Friend",237,0.237,1
145,1,"Matching","Friend",975,0.975,1
146,1,"Matching","Friend",323,0.323,1
147,1,"Nonmatching","Self",277,0.277,0
148,1,"Nonmatching","Self",266,0.266,0
149,1,"Nonmatching","Self",406,0.406,0
150,1,"Nonmatching","Self",352,0.352,0
151,1,"Nonmatching","Self",269,0.269,0
152,1,"Nonmatching","Self",332,0.332,0
153,1,"Nonmatching","Self",532,0.532,0
154,1,"Nonmatching","Self",445,0.445,0
155,1,"Nonmatching","Self",565,0.565,0
156,1,"Nonmatching","Self",375,0.375,0
157,1,"Nonmatching","Self",321,0.321,0
158,1,"Nonmatching","Self",905,0.905,0
159,1,"Nonmatching","Self",412,0.412,0
160,1,"Nonmatching","Self",748,0.748,0
161,1,"Nonmatching","Self",254,0.254,1
162,1,"Nonmatching","Self",434,0.434,1
163,1,"Nonmatching","Self",356,0.356,1
164,1,"Nonmatching","Self",361,0.361,1
165,1,"Nonmatching","Self",803,0.803,1
166,1,"Nonmatching","Self",495,0.495,1
167,1,"Nonmatching","Self",244,0.244,1
168,1,"Nonmatching","Self",355,0.355,1
169,1,"Nonmatching","Self",373,0.373,1
170,1,"Nonmatching","Self",394,0.394,1
171,1,"Nonmatching","Self",214,0.214,1
172,1,"Nonmatching","Self",297,0.297,1
173,1,"Nonmatching","Self",369,0.369,1
174,1,"Nonmatching","Self",463,0.463,1
175,1,"Nonmatching","Self",432,0.432,1
176,1,"Nonmatching","Self",429,0.429,1
177,1,"Nonmatching","Self",415,0.415,1
178,1,"Nonmatching","Self",353,0.353,1
179,1,"Nonmatching","Self",754,0.754,1
180,1,"Nonmatching","Self",411,0.411,1
181,1,"Nonmatching","Self",375,0.375,1
182,1,"Nonmatching","Self",483,0.483,1
183,1,"Nonmatching","Self",422,0.422,1
184,1,"Nonmatching","Self",1009,1.009,1
185,1,"Nonmatching","Self",462,0.462,1
186,1,"Nonmatching","Self",419,0.419,1
187,1,"Nonmatching","Self",566,0.566,1
188,1,"Nonmatching","Self",566,0.566,1
189,1,"Nonmatching","Self",710,0.71,1
190,1,"Nonmatching","Self",799,0.799,1
191,1,"Nonmatching","Self",944,0.944,1
192,1,"Nonmatching","Self",625,0.625,1
193,1,"Nonmatching","Self",511,0.511,1
194,1,"Nonmatching","Self",994,0.994,1
195,1,"Nonmatching","Self",523,0.523,1
196,1,"Nonmatching","Self",871,0.871,1
197,1,"Nonmatching","Self",739,0.739,1
198,1,"Nonmatching","Self",726,0.726,1
199,1,"Nonmatching","Self",444,0.444,1
200,1,"Nonmatching","Self",555,0.555,1
201,1,"Nonmatching","Self",454,0.454,1
202,1,"Nonmatching","Self",593,0.593,1
203,1,"Nonmatching","Self",846,0.846,1
204,1,"Nonmatching","Self",914,0.914,1
205,1,"Nonmatching","Self",707,0.707,1
206,1,"Nonmatching","Self",659,0.659,1
207,1,"Nonmatching","Self",562,0.562,1
