"X","Subject","Matching","Identity","Group","RT_ms","RT_sec","ACC"
329,2,"Nonmatching","Stranger",2,473,0.473,0
330,2,"Nonmatching","Stranger",2,615,0.615,1
331,2,"Nonmatching","Stranger",2,649,0.649,1
332,2,"Nonmatching","Stranger",2,467,0.467,0
333,2,"Nonmatching","Stranger",2,452,0.452,1
334,2,"Nonmatching","Stranger",2,468,0.468,1
335,2,"Nonmatching","Stranger",2,591,0.591,1
336,2,"Nonmatching","Stranger",2,656,0.656,1
337,2,"Nonmatching","Stranger",2,624,0.624,1
338,2,"Nonmatching","Stranger",2,547,0.547,0
339,2,"Nonmatching","Stranger",2,727,0.727,1
340,2,"Nonmatching","Stranger",2,494,0.494,0
341,2,"Nonmatching","Stranger",2,623,0.623,1
342,2,"Nonmatching","Stranger",2,538,0.538,1
343,2,"Nonmatching","Stranger",2,658,0.658,1
344,2,"Nonmatching","Stranger",2,502,0.502,1
345,2,"Nonmatching","Stranger",2,653,0.653,0
346,2,"Nonmatching","Stranger",2,594,0.594,0
347,2,"Nonmatching","Stranger",2,460,0.46,1
348,2,"Nonmatching","Stranger",2,638,0.638,1
349,2,"Nonmatching","Stranger",2,448,0.448,1
350,2,"Nonmatching","Stranger",2,624,0.624,1
351,2,"Nonmatching","Stranger",2,382,0.382,0
352,2,"Nonmatching","Stranger",2,741,0.741,1
353,2,"Nonmatching","Stranger",2,575,0.575,1
354,2,"Nonmatching","Stranger",2,572,0.572,1
355,3,"Matching","Self",1,454,0.454,1
356,3,"Matching","Self",1,669,0.669,1
357,3,"Matching","Self",1,795,0.795,1
358,3,"Matching","Self",1,596,0.596,1
359,3,"Matching","Self",1,797,0.797,1
360,3,"Matching","Self",1,498,0.498,1
361,3,"Matching","Self",1,442,0.442,1
362,3,"Matching","Self",1,423,0.423,1
363,3,"Matching","Self",1,471,0.471,1
364,3,"Matching","Self",1,501,0.501,1
365,3,"Matching","Self",1,455,0.455,1
366,3,"Matching","Self",1,600,0.6,1
367,3,"Matching","Self",1,642,0.642,1
368,3,"Matching","Self",1,608,0.608,1
369,3,"Matching","Self",1,553,0.553,1
370,3,"Matching","Self",1,629,0.629,1
371,3,"Matching","Self",1,625,0.625,1
372,3,"Matching","Self",1,828,0.828,1
373,3,"Matching","Self",1,504,0.504,1
374,3,"Matching","Self",1,497,0.497,1
375,3,"Matching","Self",1,483,0.483,1
376,3,"Matching","Self",1,491,0.491,1
377,3,"Matching","Self",1,334,0.334,0
378,3,"Matching","Self",1,515,0.515,1
379,3,"Matching","Self",1,460,0.46,1
380,3,"Matching","Self",1,510,0.51,1
381,3,"Matching","Self",1,594,0.594,1
382,3,"Matching","Self",1,511,0.511,1
383,3,"Matching","Self",1,485,0.485,1
384,3,"Matching","Self",1,693,0.693,1
385,3,"Matching","Self",1,567,0.567,0
386,3,"Matching","Self",1,701,0.701,1
387,3,"Matching","Self",1,737,0.737,1
388,3,"Matching","Self",1,519,0.519,1
389,3,"Matching","Self",1,555,0.555,1
390,3,"Matching","Self",1,801,0.801,1
391,3,"Matching","Self",1,578,0.578,0
392,3,"Matching","Self",1,465,0.465,1
393,3,"Matching","Self",1,473,0.473,1
394,3,"Matching","Self",1,519,0.519,1
395,3,"Matching","Self",1,452,0.452,1
396,3,"Matching","Self",1,473,0.473,1
397,3,"Matching","Self",1,522,0.522,1
398,3,"Matching","Self",1,379,0.379,1
399,3,"Matching","Self",1,561,0.561,1
400,3,"Matching","Self",1,472,0.472,1
401,3,"Matching","Self",1,485,0.485,1
402,3,"Matching","Self",1,525,0.525,1
403,3,"Matching","Self",1,677,0.677,1
404,3,"Matching","Self",1,555,0.555,0
405,3,"Matching","Self",1,389,0.389,0
406,3,"Matching","Self",1,695,0.695,1
407,3,"Matching","Self",1,750,0.75,1
408,3,"Matching","Self",1,536,0.536,1
409,3,"Matching","Self",1,437,0.437,0
410,3,"Matching","Self",1,548,0.548,1
411,3,"Matching","Self",1,630,0.63,1
412,3,"Matching","Self",1,481,0.481,1
413,3,"Matching","Self",1,474,0.474,1
414,3,"Matching","Self",1,537,0.537,1
415,3,"Matching","Friend",1,667,0.667,1
416,3,"Matching","Friend",1,627,0.627,1
417,3,"Matching","Friend",1,845,0.845,1
418,3,"Matching","Friend",1,832,0.832,1
419,3,"Matching","Friend",1,615,0.615,1
420,3,"Matching","Friend",1,648,0.648,1
421,3,"Matching","Friend",1,437,0.437,1
422,3,"Matching","Friend",1,584,0.584,1
423,3,"Matching","Friend",1,674,0.674,1
424,3,"Matching","Friend",1,671,0.671,1
425,3,"Matching","Friend",1,515,0.515,1
426,3,"Matching","Friend",1,631,0.631,0
427,3,"Matching","Friend",1,525,0.525,0
428,3,"Matching","Friend",1,737,0.737,1
429,3,"Matching","Friend",1,653,0.653,1
430,3,"Matching","Friend",1,697,0.697,1
431,3,"Matching","Friend",1,559,0.559,1
432,3,"Matching","Friend",1,642,0.642,1
433,3,"Matching","Friend",1,554,0.554,1
434,3,"Matching","Friend",1,555,0.555,1
435,3,"Matching","Friend",1,633,0.633,1
436,3,"Matching","Friend",1,566,0.566,1
437,3,"Matching","Friend",1,531,0.531,1
438,3,"Matching","Friend",1,839,0.839,1
439,3,"Matching","Friend",1,507,0.507,1
440,3,"Matching","Friend",1,650,0.65,0
441,3,"Matching","Friend",1,579,0.579,0
442,3,"Matching","Friend",1,753,0.753,0
443,3,"Matching","Friend",1,535,0.535,0
444,3,"Matching","Friend",1,636,0.636,1
445,3,"Matching","Friend",1,625,0.625,1
446,3,"Matching","Friend",1,580,0.58,1
447,3,"Matching","Friend",1,469,0.469,1
448,3,"Matching","Friend",1,587,0.587,0
449,3,"Matching","Friend",1,946,0.946,1
450,3,"Matching","Friend",1,596,0.596,1
451,3,"Matching","Friend",1,615,0.615,0
452,3,"Matching","Friend",1,544,0.544,1
453,3,"Matching","Friend",1,526,0.526,0
454,3,"Matching","Friend",1,552,0.552,1
455,3,"Matching","Friend",1,649,0.649,1
456,3,"Matching","Friend",1,515,0.515,1
457,3,"Matching","Friend",1,577,0.577,1
458,3,"Matching","Friend",1,551,0.551,1
459,3,"Matching","Friend",1,584,0.584,1
460,3,"Matching","Friend",1,493,0.493,1
461,3,"Matching","Friend",1,601,0.601,1
462,3,"Matching","Friend",1,623,0.623,1
463,3,"Matching","Friend",1,622,0.622,1
464,3,"Matching","Friend",1,512,0.512,1
465,3,"Matching","Friend",1,721,0.721,1
466,3,"Matching","Friend",1,558,0.558,1
467,3,"Matching","Friend",1,593,0.593,1
468,3,"Matching","Friend",1,744,0.744,1
469,3,"Matching","Friend",1,584,0.584,1
470,3,"Matching","Friend",1,609,0.609,1
471,3,"Matching","Friend",1,459,0.459,1
472,3,"Matching","Friend",1,571,0.571,0
473,3,"Matching","Friend",1,645,0.645,1
474,3,"Matching","Friend",1,746,0.746,1
475,3,"Matching","Stranger",1,775,0.775,1
476,3,"Matching","Stranger",1,571,0.571,1
477,3,"Matching","Stranger",1,666,0.666,1
478,3,"Matching","Stranger",1,546,0.546,1
479,3,"Matching","Stranger",1,673,0.673,1
480,3,"Matching","Stranger",1,452,0.452,0
481,3,"Matching","Stranger",1,577,0.577,1
482,3,"Matching","Stranger",1,482,0.482,1
483,3,"Matching","Stranger",1,885,0.885,1
484,3,"Matching","Stranger",1,448,0.448,1
485,3,"Matching","Stranger",1,538,0.538,1
486,3,"Matching","Stranger",1,519,0.519,1
487,3,"Matching","Stranger",1,735,0.735,1
488,3,"Matching","Stranger",1,549,0.549,1
489,3,"Matching","Stranger",1,782,0.782,1
490,3,"Matching","Stranger",1,739,0.739,1
491,3,"Matching","Stranger",1,569,0.569,0
492,3,"Matching","Stranger",1,650,0.65,1
493,3,"Matching","Stranger",1,472,0.472,1
494,3,"Matching","Stranger",1,688,0.688,1
495,3,"Matching","Stranger",1,458,0.458,1
496,3,"Matching","Stranger",1,439,0.439,1
497,3,"Matching","Stranger",1,467,0.467,1
498,3,"Matching","Stranger",1,774,0.774,1
499,3,"Matching","Stranger",1,537,0.537,1
500,3,"Matching","Stranger",1,562,0.562,1
501,3,"Matching","Stranger",1,440,0.44,1
502,3,"Matching","Stranger",1,658,0.658,1
503,3,"Matching","Stranger",1,676,0.676,1
504,3,"Matching","Stranger",1,647,0.647,1
505,3,"Matching","Stranger",1,556,0.556,1
506,3,"Matching","Stranger",1,554,0.554,1
507,3,"Matching","Stranger",1,608,0.608,1
508,3,"Matching","Stranger",1,445,0.445,1
509,3,"Matching","Stranger",1,556,0.556,1
510,3,"Matching","Stranger",1,568,0.568,1
511,3,"Matching","Stranger",1,569,0.569,1
512,3,"Matching","Stranger",1,599,0.599,1
513,3,"Matching","Stranger",1,473,0.473,1
514,3,"Matching","Stranger",1,463,0.463,1
515,3,"Matching","Stranger",1,491,0.491,1
516,3,"Matching","Stranger",1,578,0.578,1
517,3,"Matching","Stranger",1,494,0.494,1
518,3,"Matching","Stranger",1,430,0.43,0
519,3,"Matching","Stranger",1,512,0.512,1
520,3,"Matching","Stranger",1,494,0.494,1
521,3,"Matching","Stranger",1,496,0.496,1
522,3,"Matching","Stranger",1,443,0.443,1
523,3,"Matching","Stranger",1,830,0.83,1
524,3,"Matching","Stranger",1,502,0.502,1
525,3,"Matching","Stranger",1,621,0.621,1
526,3,"Matching","Stranger",1,633,0.633,1
527,3,"Matching","Stranger",1,543,0.543,1
528,3,"Matching","Stranger",1,416,0.416,1
529,3,"Matching","Stranger",1,637,0.637,0
530,3,"Matching","Stranger",1,720,0.72,1
531,3,"Matching","Stranger",1,529,0.529,1
532,3,"Matching","Stranger",1,538,0.538,1
533,3,"Matching","Stranger",1,597,0.597,1
534,3,"Nonmatching","Self",1,466,0.466,1
535,3,"Nonmatching","Self",1,484,0.484,1
536,3,"Nonmatching","Self",1,431,0.431,1
537,3,"Nonmatching","Self",1,533,0.533,1
538,3,"Nonmatching","Self",1,468,0.468,1
539,3,"Nonmatching","Self",1,521,0.521,1
540,3,"Nonmatching","Self",1,497,0.497,1
541,3,"Nonmatching","Self",1,425,0.425,1
542,3,"Nonmatching","Self",1,419,0.419,1
543,3,"Nonmatching","Self",1,616,0.616,1
544,3,"Nonmatching","Self",1,479,0.479,1
545,3,"Nonmatching","Self",1,561,0.561,1
546,3,"Nonmatching","Self",1,439,0.439,1
547,3,"Nonmatching","Self",1,529,0.529,1
548,3,"Nonmatching","Self",1,452,0.452,1
549,3,"Nonmatching","Self",1,580,0.58,1
550,3,"Nonmatching","Self",1,752,0.752,0
551,3,"Nonmatching","Self",1,468,0.468,1
552,3,"Nonmatching","Self",1,391,0.391,1
553,3,"Nonmatching","Self",1,571,0.571,1
554,3,"Nonmatching","Self",1,408,0.408,1
555,3,"Nonmatching","Self",1,406,0.406,1
556,3,"Nonmatching","Self",1,378,0.378,1
557,3,"Nonmatching","Self",1,357,0.357,1
558,3,"Nonmatching","Self",1,408,0.408,1
559,3,"Nonmatching","Self",1,400,0.4,1
560,3,"Nonmatching","Self",1,387,0.387,1
561,3,"Nonmatching","Self",1,379,0.379,1
562,3,"Nonmatching","Self",1,386,0.386,1
563,3,"Nonmatching","Self",1,344,0.344,1
564,3,"Nonmatching","Self",1,480,0.48,1
565,3,"Nonmatching","Self",1,468,0.468,0
566,3,"Nonmatching","Self",1,396,0.396,1
567,3,"Nonmatching","Self",1,415,0.415,1
568,3,"Nonmatching","Self",1,466,0.466,1
569,3,"Nonmatching","Self",1,459,0.459,1
570,3,"Nonmatching","Self",1,455,0.455,1
571,3,"Nonmatching","Self",1,431,0.431,1
572,3,"Nonmatching","Self",1,556,0.556,1
573,3,"Nonmatching","Self",1,397,0.397,1
574,3,"Nonmatching","Self",1,443,0.443,1
575,3,"Nonmatching","Self",1,464,0.464,1
576,3,"Nonmatching","Self",1,401,0.401,1
577,3,"Nonmatching","Self",1,404,0.404,1
