"X","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
231,1,"Matching","Stranger",1,634,0.634,1
232,1,"Matching","Stranger",1,733,0.733,1
233,1,"Matching","Stranger",1,700,0.7,1
234,1,"Matching","Stranger",1,567,0.567,1
235,1,"Matching","Stranger",1,734,0.734,0
236,1,"Matching","Stranger",1,567,0.567,0
237,1,"Matching","Stranger",1,833,0.833,0
238,1,"Matching","Stranger",1,350,0.35,1
239,1,"Matching","Stranger",1,500,0.5,0
240,1,"Matching","Stranger",1,500,0.5,1
241,1,"Matching","Stranger",1,550,0.55,0
242,1,"Matching","Stranger",1,650,0.65,1
243,1,"Matching","Stranger",1,817,0.817,0
244,1,"Matching","Stranger",1,567,0.567,1
245,1,"Matching","Stranger",1,500,0.5,1
246,1,"Matching","Stranger",1,500,0.5,0
247,1,"Matching","Stranger",1,483,0.483,1
248,1,"Matching","Stranger",1,767,0.767,1
249,1,"Matching","Stranger",1,700,0.7,1
250,1,"Matching","Stranger",1,484,0.484,1
251,1,"Matching","Stranger",1,750,0.75,1
252,1,"Matching","Stranger",1,567,0.567,1
253,1,"Matching","Stranger",1,533,0.533,0
254,1,"Matching","Stranger",1,667,0.667,1
255,1,"Matching","Stranger",1,750,0.75,1
256,1,"Matching","Stranger",1,500,0.5,1
257,1,"Matching","Stranger",1,617,0.617,1
258,1,"Matching","Stranger",1,400,0.4,0
259,1,"Matching","Stranger",1,667,0.667,1
260,1,"Matching","Stranger",1,584,0.584,1
261,1,"Matching","Stranger",1,817,0.817,0
262,1,"Matching","Stranger",1,467,0.467,1
263,1,"Matching","Stranger",1,467,0.467,1
264,1,"Matching","Stranger",1,767,0.767,1
265,1,"Matching","Stranger",1,517,0.517,1
266,1,"Matching","Stranger",1,517,0.517,1
267,1,"Matching","Stranger",1,667,0.667,1
268,1,"Matching","Stranger",1,600,0.6,1
269,1,"Matching","Stranger",1,483,0.483,1
270,1,"Matching","Stranger",1,667,0.667,1
271,1,"Matching","Stranger",1,584,0.584,1
272,1,"Matching","Stranger",1,600,0.6,1
273,1,"Matching","Stranger",1,733,0.733,1
274,1,"Matching","Stranger",1,884,0.884,1
275,1,"Matching","Stranger",1,717,0.717,1
276,1,"Matching","Stranger",1,567,0.567,1
277,1,"Matching","Stranger",1,500,0.5,1
278,1,"Matching","Stranger",1,700,0.7,1
279,1,"Matching","Stranger",1,600,0.6,1
280,1,"Matching","Stranger",1,550,0.55,1
281,1,"Matching","Stranger",1,534,0.534,1
282,1,"Matching","Stranger",1,634,0.634,1
283,1,"Matching","Stranger",1,450,0.45,1
284,1,"Matching","Stranger",1,550,0.55,1
285,1,"Matching","Stranger",1,367,0.367,0
286,1,"Matching","Stranger",1,533,0.533,1
287,1,"Matching","Stranger",1,600,0.6,1
288,1,"Matching","Stranger",2,400,0.4,1
289,1,"Matching","Stranger",2,567,0.567,0
290,1,"Matching","Stranger",2,467,0.467,0
291,1,"Matching","Stranger",2,284,0.284,0
292,1,"Matching","Stranger",2,584,0.584,0
293,1,"Matching","Stranger",2,683,0.683,1
294,1,"Matching","Stranger",2,367,0.367,1
295,1,"Matching","Stranger",2,633,0.633,0
296,1,"Matching","Stranger",2,384,0.384,0
297,1,"Matching","Stranger",2,750,0.75,0
298,1,"Matching","Stranger",2,734,0.734,1
299,1,"Matching","Stranger",2,817,0.817,1
300,1,"Matching","Stranger",2,534,0.534,1
301,1,"Matching","Stranger",2,300,0.3,1
302,1,"Matching","Stranger",2,983,0.983,1
303,1,"Matching","Stranger",2,384,0.384,1
304,1,"Matching","Stranger",2,467,0.467,1
305,1,"Matching","Stranger",2,800,0.8,1
306,1,"Matching","Stranger",2,467,0.467,1
307,1,"Matching","Stranger",2,433,0.433,1
308,1,"Matching","Stranger",2,617,0.617,1
309,1,"Matching","Stranger",2,467,0.467,1
310,1,"Matching","Stranger",2,817,0.817,1
311,1,"Matching","Stranger",2,717,0.717,1
312,1,"Matching","Stranger",2,600,0.6,1
313,1,"Matching","Stranger",2,850,0.85,1
314,1,"Matching","Stranger",2,600,0.6,0
315,1,"Matching","Stranger",2,550,0.55,1
316,1,"Matching","Stranger",2,783,0.783,0
317,1,"Matching","Stranger",2,633,0.633,1
318,1,"Matching","Stranger",2,683,0.683,1
319,1,"Matching","Stranger",2,550,0.55,1
320,1,"Matching","Stranger",2,567,0.567,0
321,1,"Matching","Stranger",2,500,0.5,1
322,1,"Matching","Stranger",2,500,0.5,1
323,1,"Matching","Stranger",2,733,0.733,1
324,1,"Matching","Stranger",2,800,0.8,1
325,1,"Matching","Stranger",2,384,0.384,1
326,1,"Matching","Stranger",2,367,0.367,1
327,1,"Matching","Stranger",2,717,0.717,0
328,1,"Matching","Stranger",2,484,0.484,1
329,1,"Matching","Stranger",2,584,0.584,0
330,1,"Matching","Stranger",2,750,0.75,1
331,1,"Matching","Stranger",2,817,0.817,1
332,1,"Matching","Stranger",2,667,0.667,1
333,1,"Matching","Stranger",2,667,0.667,1
334,1,"Matching","Stranger",2,683,0.683,1
335,1,"Matching","Stranger",2,650,0.65,1
336,1,"Matching","Stranger",2,667,0.667,1
337,1,"Matching","Stranger",2,633,0.633,1
338,1,"Matching","Stranger",2,750,0.75,1
339,1,"Matching","Stranger",2,567,0.567,1
340,1,"Matching","Stranger",2,700,0.7,1
341,1,"Matching","Stranger",2,700,0.7,1
342,1,"Matching","Stranger",2,600,0.6,1
343,1,"Matching","Stranger",2,700,0.7,1
344,1,"Matching","Stranger",2,500,0.5,0
345,1,"Matching","Stranger",2,517,0.517,1
346,1,"Matching","Stranger",2,450,0.45,0
347,1,"Matching","Stranger",2,683,0.683,0
348,1,"Matching","Stranger",2,583,0.583,1
349,1,"Matching","Stranger",2,550,0.55,0
350,1,"Matching","Stranger",2,700,0.7,1
351,1,"Matching","Stranger",2,667,0.667,1
352,1,"Matching","Stranger",2,650,0.65,1
353,1,"Matching","Stranger",2,600,0.6,1
354,1,"Matching","Stranger",2,417,0.417,1
355,1,"Matching","Stranger",2,617,0.617,0
356,1,"Matching","Stranger",2,417,0.417,1
357,1,"Matching","Stranger",2,983,0.983,1
358,1,"Matching","Stranger",2,683,0.683,1
359,1,"Matching","Stranger",2,550,0.55,1
360,1,"Matching","Stranger",2,534,0.534,1
361,1,"Matching","Stranger",2,450,0.45,1
362,1,"Matching","Stranger",2,583,0.583,1
363,1,"Matching","Stranger",2,567,0.567,1
364,1,"Matching","Stranger",2,617,0.617,1
365,1,"Matching","Stranger",2,683,0.683,1
366,1,"Matching","Stranger",2,733,0.733,1
367,1,"Matching","Stranger",2,617,0.617,1
368,1,"Matching","Stranger",2,634,0.634,1
369,1,"Matching","Stranger",2,650,0.65,1
370,1,"Matching","Stranger",2,617,0.617,1
371,1,"Matching","Stranger",2,884,0.884,1
372,1,"Matching","Stranger",2,650,0.65,1
373,1,"Matching","Stranger",2,417,0.417,1
374,1,"Matching","Stranger",2,767,0.767,1
375,1,"Matching","Stranger",2,450,0.45,1
376,1,"Matching","Stranger",2,567,0.567,1
377,1,"Matching","Stranger",2,517,0.517,1
378,1,"Matching","Stranger",2,617,0.617,1
379,1,"Matching","Stranger",2,667,0.667,1
380,1,"Matching","Stranger",2,433,0.433,1
381,1,"Nonmatching","Self",1,351,0.351,1
382,1,"Nonmatching","Self",1,900,0.9,1
383,1,"Nonmatching","Self",1,450,0.45,1
384,1,"Nonmatching","Self",1,284,0.284,1
385,1,"Nonmatching","Self",1,500,0.5,0
386,1,"Nonmatching","Self",1,467,0.467,0
387,1,"Nonmatching","Self",1,517,0.517,1
388,1,"Nonmatching","Self",1,484,0.484,1
389,1,"Nonmatching","Self",1,500,0.5,0
390,1,"Nonmatching","Self",1,417,0.417,1
391,1,"Nonmatching","Self",1,700,0.7,0
392,1,"Nonmatching","Self",1,834,0.834,0
393,1,"Nonmatching","Self",1,317,0.317,0
394,1,"Nonmatching","Self",1,550,0.55,1
395,1,"Nonmatching","Self",1,400,0.4,0
396,1,"Nonmatching","Self",1,533,0.533,1
397,1,"Nonmatching","Self",1,733,0.733,1
398,1,"Nonmatching","Self",1,517,0.517,1
399,1,"Nonmatching","Self",1,683,0.683,1
400,1,"Nonmatching","Self",1,333,0.333,0
401,1,"Nonmatching","Self",1,800,0.8,1
402,1,"Nonmatching","Self",1,767,0.767,1
403,1,"Nonmatching","Self",1,467,0.467,0
404,1,"Nonmatching","Self",1,783,0.783,1
405,1,"Nonmatching","Self",1,734,0.734,1
406,1,"Nonmatching","Self",1,667,0.667,1
407,1,"Nonmatching","Self",1,683,0.683,1
408,1,"Nonmatching","Self",1,533,0.533,0
409,1,"Nonmatching","Self",1,467,0.467,1
410,1,"Nonmatching","Self",1,650,0.65,1
411,1,"Nonmatching","Self",1,683,0.683,1
412,1,"Nonmatching","Self",1,734,0.734,1
413,1,"Nonmatching","Self",1,883,0.883,1
414,1,"Nonmatching","Self",1,817,0.817,1
415,1,"Nonmatching","Self",1,684,0.684,1
416,1,"Nonmatching","Self",1,584,0.584,1
417,1,"Nonmatching","Self",1,567,0.567,1
418,1,"Nonmatching","Self",1,550,0.55,0
419,1,"Nonmatching","Self",1,534,0.534,1
420,1,"Nonmatching","Self",1,617,0.617,1
421,1,"Nonmatching","Self",1,783,0.783,1
422,1,"Nonmatching","Self",1,517,0.517,1
423,1,"Nonmatching","Self",1,533,0.533,1
424,1,"Nonmatching","Self",1,717,0.717,1
425,1,"Nonmatching","Self",1,333,0.333,0
426,1,"Nonmatching","Self",1,400,0.4,0
427,1,"Nonmatching","Self",1,334,0.334,0
428,1,"Nonmatching","Self",1,717,0.717,1
429,1,"Nonmatching","Self",1,883,0.883,1
430,1,"Nonmatching","Self",1,683,0.683,1
431,1,"Nonmatching","Self",1,500,0.5,1
432,1,"Nonmatching","Self",1,483,0.483,1
433,1,"Nonmatching","Self",1,533,0.533,0
434,1,"Nonmatching","Self",1,833,0.833,1
435,1,"Nonmatching","Self",1,600,0.6,0
436,1,"Nonmatching","Self",1,567,0.567,1
437,1,"Nonmatching","Self",1,733,0.733,1
438,1,"Nonmatching","Self",1,600,0.6,1
439,1,"Nonmatching","Self",1,650,0.65,1
440,1,"Nonmatching","Self",1,633,0.633,1
441,1,"Nonmatching","Self",1,350,0.35,1
442,1,"Nonmatching","Self",1,433,0.433,1
443,1,"Nonmatching","Self",1,533,0.533,1
444,1,"Nonmatching","Self",1,617,0.617,1
445,1,"Nonmatching","Self",1,567,0.567,1
446,1,"Nonmatching","Self",1,917,0.917,1
447,1,"Nonmatching","Self",1,567,0.567,1
448,1,"Nonmatching","Self",1,767,0.767,1
449,1,"Nonmatching","Self",1,700,0.7,1
450,1,"Nonmatching","Self",1,450,0.45,1
451,1,"Nonmatching","Self",1,633,0.633,1
452,1,"Nonmatching","Self",1,817,0.817,1
453,1,"Nonmatching","Self",1,650,0.65,1
454,1,"Nonmatching","Self",1,717,0.717,1
455,1,"Nonmatching","Self",1,900,0.9,1
456,1,"Nonmatching","Self",1,650,0.65,1
457,1,"Nonmatching","Self",1,700,0.7,1
458,1,"Nonmatching","Self",1,667,0.667,1
459,1,"Nonmatching","Self",1,533,0.533,1
460,1,"Nonmatching","Self",1,733,0.733,0
461,1,"Nonmatching","Self",1,783,0.783,1
462,1,"Nonmatching","Self",1,717,0.717,1
463,1,"Nonmatching","Self",1,600,0.6,0
464,1,"Nonmatching","Self",1,683,0.683,1
465,1,"Nonmatching","Self",1,617,0.617,1
466,1,"Nonmatching","Self",1,567,0.567,1
467,1,"Nonmatching","Self",1,584,0.584,0
468,1,"Nonmatching","Self",1,650,0.65,1
469,1,"Nonmatching","Self",1,1033,1.033,1
470,1,"Nonmatching","Self",1,633,0.633,1
471,1,"Nonmatching","Self",1,400,0.4,0
472,1,"Nonmatching","Self",1,783,0.783,1
473,1,"Nonmatching","Self",1,567,0.567,1
474,1,"Nonmatching","Self",1,700,0.7,1
475,1,"Nonmatching","Self",1,734,0.734,0
476,1,"Nonmatching","Self",2,384,0.384,0
477,1,"Nonmatching","Self",2,300,0.3,0
478,1,"Nonmatching","Self",2,434,0.434,0
479,1,"Nonmatching","Self",2,434,0.434,0
480,1,"Nonmatching","Self",2,650,0.65,0
481,1,"Nonmatching","Self",2,500,0.5,0
482,1,"Nonmatching","Self",2,567,0.567,1
483,1,"Nonmatching","Self",2,517,0.517,1
484,1,"Nonmatching","Self",2,600,0.6,1
485,1,"Nonmatching","Self",2,384,0.384,1
486,1,"Nonmatching","Self",2,933,0.933,1
487,1,"Nonmatching","Self",2,217,0.217,0
488,1,"Nonmatching","Self",2,350,0.35,0
489,1,"Nonmatching","Self",2,817,0.817,1
490,1,"Nonmatching","Self",2,800,0.8,1
491,1,"Nonmatching","Self",2,767,0.767,1
492,1,"Nonmatching","Self",2,733,0.733,1
493,1,"Nonmatching","Self",2,750,0.75,1
494,1,"Nonmatching","Self",2,583,0.583,1
495,1,"Nonmatching","Self",2,717,0.717,0
496,1,"Nonmatching","Self",2,483,0.483,0
497,1,"Nonmatching","Self",2,500,0.5,1
498,1,"Nonmatching","Self",2,367,0.367,0
499,1,"Nonmatching","Self",2,917,0.917,1
500,1,"Nonmatching","Self",2,517,0.517,1
501,1,"Nonmatching","Self",2,500,0.5,0
502,1,"Nonmatching","Self",2,717,0.717,1
503,1,"Nonmatching","Self",2,650,0.65,1
504,1,"Nonmatching","Self",2,667,0.667,1
505,1,"Nonmatching","Self",2,567,0.567,0
506,1,"Nonmatching","Self",2,833,0.833,0
507,1,"Nonmatching","Self",2,433,0.433,0
508,1,"Nonmatching","Self",2,550,0.55,1
509,1,"Nonmatching","Self",2,417,0.417,0
510,1,"Nonmatching","Self",2,633,0.633,1
511,1,"Nonmatching","Self",2,583,0.583,1
512,1,"Nonmatching","Self",2,467,0.467,1
513,1,"Nonmatching","Self",2,667,0.667,1
514,1,"Nonmatching","Self",2,634,0.634,1
515,1,"Nonmatching","Self",2,600,0.6,0
516,1,"Nonmatching","Self",2,600,0.6,1
517,1,"Nonmatching","Self",2,600,0.6,1
518,1,"Nonmatching","Self",2,684,0.684,1
519,1,"Nonmatching","Self",2,534,0.534,0
520,1,"Nonmatching","Self",2,717,0.717,1
521,1,"Nonmatching","Self",2,367,0.367,0
522,1,"Nonmatching","Self",2,550,0.55,1
523,1,"Nonmatching","Self",2,633,0.633,1
524,1,"Nonmatching","Self",2,933,0.933,1
525,1,"Nonmatching","Self",2,767,0.767,1
526,1,"Nonmatching","Self",2,750,0.75,1
527,1,"Nonmatching","Self",2,600,0.6,1
528,1,"Nonmatching","Self",2,450,0.45,1
529,1,"Nonmatching","Self",2,733,0.733,1
530,1,"Nonmatching","Self",2,550,0.55,1
531,1,"Nonmatching","Self",2,650,0.65,1
532,1,"Nonmatching","Self",2,717,0.717,1
533,1,"Nonmatching","Self",2,550,0.55,1
534,1,"Nonmatching","Self",2,650,0.65,1
535,1,"Nonmatching","Self",2,617,0.617,1
536,1,"Nonmatching","Self",2,750,0.75,1
537,1,"Nonmatching","Self",2,650,0.65,0
538,1,"Nonmatching","Self",2,733,0.733,1
539,1,"Nonmatching","Self",2,367,0.367,0
540,1,"Nonmatching","Self",2,417,0.417,0
541,1,"Nonmatching","Self",2,717,0.717,1
542,1,"Nonmatching","Self",2,700,0.7,1
543,1,"Nonmatching","Self",2,783,0.783,1
544,1,"Nonmatching","Self",2,583,0.583,1
545,1,"Nonmatching","Self",2,617,0.617,1
546,1,"Nonmatching","Self",2,733,0.733,1
547,1,"Nonmatching","Self",2,433,0.433,0
548,1,"Nonmatching","Self",2,717,0.717,1
549,1,"Nonmatching","Self",2,383,0.383,0
550,1,"Nonmatching","Self",2,517,0.517,0
551,1,"Nonmatching","Self",2,567,0.567,0
552,1,"Nonmatching","Self",2,584,0.584,1
553,1,"Nonmatching","Self",2,817,0.817,1
554,1,"Nonmatching","Self",2,517,0.517,1
555,1,"Nonmatching","Self",2,933,0.933,1
556,1,"Nonmatching","Self",2,700,0.7,1
557,1,"Nonmatching","Self",2,533,0.533,1
558,1,"Nonmatching","Self",2,733,0.733,0
559,1,"Nonmatching","Self",2,500,0.5,1
560,1,"Nonmatching","Self",2,467,0.467,0
561,1,"Nonmatching","Self",2,400,0.4,1
562,1,"Nonmatching","Self",2,584,0.584,1
563,1,"Nonmatching","Self",2,567,0.567,1
564,1,"Nonmatching","Self",2,500,0.5,1
565,1,"Nonmatching","Self",2,684,0.684,1
566,1,"Nonmatching","Self",2,417,0.417,0
567,1,"Nonmatching","Self",2,617,0.617,1
568,1,"Nonmatching","Self",2,417,0.417,0
569,1,"Nonmatching","Self",2,717,0.717,1
570,1,"Nonmatching","Self",2,750,0.75,1
571,1,"Nonmatching","Stranger",1,467,0.467,0
572,1,"Nonmatching","Stranger",1,367,0.367,0
573,1,"Nonmatching","Stranger",1,350,0.35,0
574,1,"Nonmatching","Stranger",1,434,0.434,1
575,1,"Nonmatching","Stranger",1,634,0.634,1
576,1,"Nonmatching","Stranger",1,334,0.334,0
577,1,"Nonmatching","Stranger",1,650,0.65,1
578,1,"Nonmatching","Stranger",1,517,0.517,0
579,1,"Nonmatching","Stranger",1,584,0.584,0
580,1,"Nonmatching","Stranger",1,234,0.234,1
581,1,"Nonmatching","Stranger",1,383,0.383,0
582,1,"Nonmatching","Stranger",1,600,0.6,1
