"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
1,1,"Matching","Self",516,0.516,1
2,1,"Matching","Self",725,0.725,1
3,1,"Matching","Self",523,0.523,0
4,1,"Matching","Self",759,0.759,1
5,1,"Matching","Self",841,0.841,1
6,1,"Matching","Self",569,0.569,1
7,1,"Matching","Self",652,0.652,0
8,1,"Matching","Self",659,0.659,1
9,1,"Matching","Self",514,0.514,1
10,1,"Matching","Self",582,0.582,1
11,1,"Matching","Self",771,0.771,1
12,1,"Matching","Self",821,0.821,0
13,1,"Matching","Self",330,0.33,0
14,1,"Matching","Self",500,0.5,1
15,1,"Matching","Self",829,0.829,1
16,1,"Matching","Self",630,0.63,1
17,1,"Matching","Self",696,0.696,1
18,1,"Matching","Self",555,0.555,1
19,1,"Matching","Self",659,0.659,1
20,1,"Matching","Self",677,0.677,1
21,1,"Matching","Self",797,0.797,1
22,1,"Matching","Self",666,0.666,1
23,1,"Matching","Self",622,0.622,0
24,1,"Matching","Self",580,0.58,1
25,1,"Matching","Self",650,0.65,1
26,1,"Matching","Self",596,0.596,0
27,1,"Matching","Self",547,0.547,1
28,1,"Matching","Self",688,0.688,0
29,1,"Matching","Self",785,0.785,1
30,1,"Matching","Self",909,0.909,0
31,1,"Matching","Self",837,0.837,1
32,1,"Matching","Self",694,0.694,0
33,1,"Matching","Self",727,0.727,1
34,1,"Matching","Self",519,0.519,1
35,1,"Matching","Self",477,0.477,1
36,1,"Matching","Self",669,0.669,1
37,1,"Matching","Self",826,0.826,1
38,1,"Matching","Self",618,0.618,1
39,1,"Matching","Self",664,0.664,0
40,1,"Matching","Self",629,0.629,1
41,1,"Matching","Self",988,0.988,1
42,1,"Matching","Self",866,0.866,0
43,1,"Matching","Self",614,0.614,1
44,1,"Matching","Self",654,0.654,1
45,1,"Matching","Self",625,0.625,1
46,1,"Matching","Self",809,0.809,1
47,1,"Matching","Self",831,0.831,1
48,1,"Matching","Friend",391,0.391,0
49,1,"Matching","Friend",627,0.627,1
50,1,"Matching","Friend",648,0.648,1
51,1,"Matching","Friend",802,0.802,1
52,1,"Matching","Friend",436,0.436,1
53,1,"Matching","Friend",573,0.573,1
54,1,"Matching","Friend",994,0.994,1
55,1,"Matching","Friend",594,0.594,1
56,1,"Matching","Friend",507,0.507,1
57,1,"Matching","Friend",790,0.79,1
58,1,"Matching","Friend",586,0.586,1
59,1,"Matching","Friend",777,0.777,1
60,1,"Matching","Friend",970,0.97,1
61,1,"Matching","Friend",1053,1.053,1
62,1,"Matching","Friend",549,0.549,1
63,1,"Matching","Friend",749,0.749,1
64,1,"Matching","Friend",699,0.699,1
65,1,"Matching","Friend",605,0.605,0
66,1,"Matching","Friend",807,0.807,1
67,1,"Matching","Friend",762,0.762,1
68,1,"Matching","Friend",622,0.622,1
69,1,"Matching","Friend",681,0.681,1
70,1,"Matching","Friend",530,0.53,1
71,1,"Matching","Friend",677,0.677,1
72,1,"Matching","Friend",1090,1.09,1
73,1,"Matching","Friend",577,0.577,0
74,1,"Matching","Friend",745,0.745,1
75,1,"Matching","Friend",847,0.847,1
76,1,"Matching","Friend",748,0.748,0
77,1,"Matching","Friend",755,0.755,1
78,1,"Matching","Friend",691,0.691,1
79,1,"Matching","Friend",653,0.653,0
80,1,"Matching","Friend",809,0.809,0
81,1,"Matching","Friend",515,0.515,0
82,1,"Matching","Friend",462,0.462,0
83,1,"Matching","Friend",877,0.877,1
84,1,"Matching","Friend",599,0.599,1
85,1,"Matching","Friend",743,0.743,0
86,1,"Matching","Friend",756,0.756,0
87,1,"Matching","Friend",643,0.643,1
88,1,"Matching","Friend",730,0.73,1
89,1,"Matching","Friend",629,0.629,0
90,1,"Matching","Friend",892,0.892,1
91,1,"Matching","Friend",750,0.75,1
92,1,"Matching","Friend",765,0.765,1
93,1,"Nonmatching","Self",815,0.815,1
94,1,"Nonmatching","Self",497,0.497,0
95,1,"Nonmatching","Self",506,0.506,1
96,1,"Nonmatching","Self",785,0.785,1
97,1,"Nonmatching","Self",520,0.52,1
98,1,"Nonmatching","Self",491,0.491,1
99,1,"Nonmatching","Self",913,0.913,1
100,1,"Nonmatching","Self",647,0.647,1
101,1,"Nonmatching","Self",700,0.7,0
102,1,"Nonmatching","Self",595,0.595,1
103,1,"Nonmatching","Self",596,0.596,1
104,1,"Nonmatching","Self",633,0.633,1
105,1,"Nonmatching","Self",725,0.725,1
106,1,"Nonmatching","Self",275,0.275,1
107,1,"Nonmatching","Self",942,0.942,1
108,1,"Nonmatching","Self",693,0.693,1
109,1,"Nonmatching","Self",952,0.952,0
110,1,"Nonmatching","Self",845,0.845,1
111,1,"Nonmatching","Self",655,0.655,1
112,1,"Nonmatching","Self",756,0.756,0
113,1,"Nonmatching","Self",762,0.762,1
114,1,"Nonmatching","Self",719,0.719,1
115,1,"Nonmatching","Self",667,0.667,0
116,1,"Nonmatching","Self",729,0.729,1
117,1,"Nonmatching","Self",611,0.611,1
118,1,"Nonmatching","Self",716,0.716,0
119,1,"Nonmatching","Self",702,0.702,1
120,1,"Nonmatching","Self",635,0.635,0
121,1,"Nonmatching","Self",765,0.765,1
122,1,"Nonmatching","Self",579,0.579,0
123,1,"Nonmatching","Self",577,0.577,1
124,1,"Nonmatching","Self",689,0.689,1
125,1,"Nonmatching","Self",723,0.723,1
126,1,"Nonmatching","Self",620,0.62,1
127,1,"Nonmatching","Self",826,0.826,1
128,1,"Nonmatching","Self",544,0.544,1
129,1,"Nonmatching","Self",967,0.967,1
130,1,"Nonmatching","Self",884,0.884,1
131,1,"Nonmatching","Self",621,0.621,1
132,1,"Nonmatching","Self",928,0.928,1
133,1,"Nonmatching","Self",698,0.698,1
134,1,"Nonmatching","Self",870,0.87,0
135,1,"Nonmatching","Self",648,0.648,1
136,1,"Nonmatching","Self",606,0.606,1
137,1,"Nonmatching","Self",647,0.647,1
138,1,"Nonmatching","Self",723,0.723,1
139,1,"Nonmatching","Friend",557,0.557,1
140,1,"Nonmatching","Friend",537,0.537,1
141,1,"Nonmatching","Friend",634,0.634,1
142,1,"Nonmatching","Friend",800,0.8,1
143,1,"Nonmatching","Friend",679,0.679,1
144,1,"Nonmatching","Friend",922,0.922,0
145,1,"Nonmatching","Friend",622,0.622,1
146,1,"Nonmatching","Friend",443,0.443,0
147,1,"Nonmatching","Friend",586,0.586,1
148,1,"Nonmatching","Friend",508,0.508,1
149,1,"Nonmatching","Friend",532,0.532,1
150,1,"Nonmatching","Friend",698,0.698,1
151,1,"Nonmatching","Friend",548,0.548,1
152,1,"Nonmatching","Friend",731,0.731,1
153,1,"Nonmatching","Friend",727,0.727,1
154,1,"Nonmatching","Friend",624,0.624,1
155,1,"Nonmatching","Friend",712,0.712,1
156,1,"Nonmatching","Friend",623,0.623,0
157,1,"Nonmatching","Friend",636,0.636,1
158,1,"Nonmatching","Friend",553,0.553,1
159,1,"Nonmatching","Friend",708,0.708,1
160,1,"Nonmatching","Friend",759,0.759,1
161,1,"Nonmatching","Friend",643,0.643,1
162,1,"Nonmatching","Friend",655,0.655,1
163,1,"Nonmatching","Friend",606,0.606,1
164,1,"Nonmatching","Friend",732,0.732,1
165,1,"Nonmatching","Friend",728,0.728,1
166,1,"Nonmatching","Friend",656,0.656,1
167,1,"Nonmatching","Friend",643,0.643,1
168,1,"Nonmatching","Friend",828,0.828,1
169,1,"Nonmatching","Friend",704,0.704,1
170,1,"Nonmatching","Friend",680,0.68,1
171,1,"Nonmatching","Friend",1017,1.017,0
172,1,"Nonmatching","Friend",539,0.539,1
173,1,"Nonmatching","Friend",714,0.714,1
174,1,"Nonmatching","Friend",509,0.509,1
175,1,"Nonmatching","Friend",599,0.599,1
176,1,"Nonmatching","Friend",661,0.661,0
177,1,"Nonmatching","Friend",670,0.67,0
178,1,"Nonmatching","Friend",936,0.936,1
179,1,"Nonmatching","Friend",532,0.532,1
180,1,"Nonmatching","Friend",621,0.621,1
181,1,"Nonmatching","Friend",667,0.667,0
182,1,"Nonmatching","Friend",1095,1.095,1
183,1,"Nonmatching","Friend",714,0.714,0
184,2,"Matching","Self",691,0.691,1
185,2,"Matching","Self",567,0.567,1
186,2,"Matching","Self",746,0.746,1
187,2,"Matching","Self",760,0.76,0
188,2,"Matching","Self",375,0.375,1
189,2,"Matching","Self",647,0.647,0
190,2,"Matching","Self",465,0.465,1
191,2,"Matching","Self",221,0.221,0
192,2,"Matching","Self",369,0.369,0
193,2,"Matching","Self",339,0.339,1
194,2,"Matching","Self",342,0.342,0
195,2,"Matching","Self",436,0.436,1
196,2,"Matching","Self",536,0.536,1
197,2,"Matching","Self",590,0.59,0
198,2,"Matching","Self",469,0.469,1
199,2,"Matching","Self",375,0.375,1
200,2,"Matching","Self",657,0.657,1
201,2,"Matching","Self",646,0.646,0
202,2,"Matching","Self",1096,1.096,1
203,2,"Matching","Self",507,0.507,1
204,2,"Matching","Self",965,0.965,0
205,2,"Matching","Self",895,0.895,1
206,2,"Matching","Self",706,0.706,0
207,2,"Matching","Self",591,0.591,1
208,2,"Matching","Self",938,0.938,0
209,2,"Matching","Self",562,0.562,1
210,2,"Matching","Self",893,0.893,1
211,2,"Matching","Self",803,0.803,1
212,2,"Matching","Self",782,0.782,1
213,2,"Matching","Self",432,0.432,1
214,2,"Matching","Self",636,0.636,1
215,2,"Matching","Self",384,0.384,1
216,2,"Matching","Self",565,0.565,1
217,2,"Matching","Self",702,0.702,1
218,2,"Matching","Self",450,0.45,1
219,2,"Matching","Self",479,0.479,1
220,2,"Matching","Self",403,0.403,1
221,2,"Matching","Self",485,0.485,1
222,2,"Matching","Self",825,0.825,1
223,2,"Matching","Self",597,0.597,1
224,2,"Matching","Self",861,0.861,1
225,2,"Matching","Self",530,0.53,1
226,2,"Matching","Self",502,0.502,1
227,2,"Matching","Self",617,0.617,1
228,2,"Matching","Friend",397,0.397,0
229,2,"Matching","Friend",854,0.854,1
230,2,"Matching","Friend",310,0.31,1
231,2,"Matching","Friend",262,0.262,1
232,2,"Matching","Friend",299,0.299,1
233,2,"Matching","Friend",683,0.683,0
234,2,"Matching","Friend",248,0.248,1
235,2,"Matching","Friend",363,0.363,1
236,2,"Matching","Friend",334,0.334,0
237,2,"Matching","Friend",295,0.295,1
238,2,"Matching","Friend",309,0.309,1
239,2,"Matching","Friend",386,0.386,1
240,2,"Matching","Friend",311,0.311,0
241,2,"Matching","Friend",355,0.355,1
242,2,"Matching","Friend",448,0.448,1
243,2,"Matching","Friend",284,0.284,1
244,2,"Matching","Friend",560,0.56,1
245,2,"Matching","Friend",835,0.835,1
246,2,"Matching","Friend",481,0.481,0
247,2,"Matching","Friend",201,0.201,1
248,2,"Matching","Friend",392,0.392,1
249,2,"Matching","Friend",670,0.67,1
250,2,"Matching","Friend",778,0.778,1
251,2,"Matching","Friend",529,0.529,1
252,2,"Matching","Friend",693,0.693,1
253,2,"Matching","Friend",469,0.469,1
254,2,"Matching","Friend",585,0.585,1
255,2,"Matching","Friend",618,0.618,1
256,2,"Matching","Friend",990,0.99,1
257,2,"Matching","Friend",860,0.86,1
258,2,"Matching","Friend",795,0.795,0
259,2,"Matching","Friend",715,0.715,1
260,2,"Matching","Friend",479,0.479,1
261,2,"Matching","Friend",600,0.6,1
262,2,"Matching","Friend",814,0.814,0
263,2,"Matching","Friend",616,0.616,1
264,2,"Matching","Friend",513,0.513,0
265,2,"Matching","Friend",589,0.589,1
266,2,"Matching","Friend",406,0.406,1
267,2,"Matching","Friend",790,0.79,1
268,2,"Matching","Friend",1041,1.041,1
269,2,"Matching","Friend",669,0.669,1
270,2,"Matching","Friend",658,0.658,1
271,2,"Nonmatching","Self",1015,1.015,1
272,2,"Nonmatching","Self",705,0.705,0
273,2,"Nonmatching","Self",347,0.347,0
274,2,"Nonmatching","Self",568,0.568,0
275,2,"Nonmatching","Self",425,0.425,1
276,2,"Nonmatching","Self",261,0.261,0
277,2,"Nonmatching","Self",441,0.441,1
278,2,"Nonmatching","Self",563,0.563,1
279,2,"Nonmatching","Self",578,0.578,1
280,2,"Nonmatching","Self",962,0.962,0
281,2,"Nonmatching","Self",412,0.412,0
282,2,"Nonmatching","Self",609,0.609,0
283,2,"Nonmatching","Self",463,0.463,0
284,2,"Nonmatching","Self",452,0.452,0
285,2,"Nonmatching","Self",720,0.72,1
286,2,"Nonmatching","Self",775,0.775,1
287,2,"Nonmatching","Self",587,0.587,0
288,2,"Nonmatching","Self",961,0.961,0
289,2,"Nonmatching","Self",654,0.654,1
290,2,"Nonmatching","Self",456,0.456,0
291,2,"Nonmatching","Self",795,0.795,1
292,2,"Nonmatching","Self",903,0.903,1
293,2,"Nonmatching","Self",847,0.847,1
294,2,"Nonmatching","Self",631,0.631,1
295,2,"Nonmatching","Self",1038,1.038,1
296,2,"Nonmatching","Self",866,0.866,1
297,2,"Nonmatching","Self",839,0.839,0
298,2,"Nonmatching","Self",686,0.686,1
299,2,"Nonmatching","Self",737,0.737,1
300,2,"Nonmatching","Self",584,0.584,1
