"X","Subject","Matching","Identity","RT_ms","RT_sec","ACC"
144,9605,"Nonmatching","Self",549,0.549,1
145,9605,"Nonmatching","Self",1033,1.033,1
146,9605,"Nonmatching","Self",973,0.973,0
147,9605,"Nonmatching","Self",1482,1.482,1
148,9605,"Nonmatching","Self",1442,1.442,1
149,9605,"Nonmatching","Self",959,0.959,1
150,9605,"Nonmatching","Self",1190,1.19,1
151,9605,"Nonmatching","Self",746,0.746,1
152,9605,"Nonmatching","Self",904,0.904,0
153,9605,"Nonmatching","Self",966,0.966,1
154,9605,"Nonmatching","Self",1008,1.008,1
155,9605,"Nonmatching","Self",724,0.724,1
156,9605,"Nonmatching","Self",1430,1.43,1
157,9605,"Nonmatching","Self",1497,1.497,1
158,9605,"Nonmatching","Self",696,0.696,1
159,9605,"Nonmatching","Self",865,0.865,1
160,9605,"Nonmatching","Self",791,0.791,1
161,9605,"Nonmatching","Self",924,0.924,1
162,9605,"Nonmatching","Self",663,0.663,1
163,9605,"Nonmatching","Self",1257,1.257,1
164,9605,"Nonmatching","Self",819,0.819,1
165,9605,"Nonmatching","Self",1156,1.156,1
166,9605,"Nonmatching","Self",806,0.806,1
167,9605,"Nonmatching","Self",553,0.553,1
168,9605,"Nonmatching","Self",947,0.947,1
169,9605,"Nonmatching","Self",848,0.848,1
170,9605,"Nonmatching","Self",1173,1.173,1
171,9605,"Nonmatching","Self",1219,1.219,1
172,9605,"Nonmatching","Self",776,0.776,1
173,9605,"Nonmatching","Self",967,0.967,1
174,9605,"Nonmatching","Self",777,0.777,1
175,9605,"Nonmatching","Self",903,0.903,1
176,9605,"Nonmatching","Self",963,0.963,1
177,9605,"Nonmatching","Self",1114,1.114,1
178,9605,"Nonmatching","Self",1202,1.202,1
179,9605,"Nonmatching","Self",888,0.888,1
180,9605,"Nonmatching","Father",997,0.997,1
181,9605,"Nonmatching","Father",1417,1.417,1
182,9605,"Nonmatching","Father",899,0.899,1
183,9605,"Nonmatching","Father",1322,1.322,1
184,9605,"Nonmatching","Father",900,0.9,1
185,9605,"Nonmatching","Father",966,0.966,1
186,9605,"Nonmatching","Father",969,0.969,1
187,9605,"Nonmatching","Father",965,0.965,1
188,9605,"Nonmatching","Father",983,0.983,1
189,9605,"Nonmatching","Father",761,0.761,1
190,9605,"Nonmatching","Father",802,0.802,1
191,9605,"Nonmatching","Father",722,0.722,1
192,9605,"Nonmatching","Father",1319,1.319,1
193,9605,"Nonmatching","Father",1315,1.315,1
194,9605,"Nonmatching","Father",1066,1.066,1
195,9605,"Nonmatching","Father",1161,1.161,1
196,9605,"Nonmatching","Father",1044,1.044,1
197,9605,"Nonmatching","Father",962,0.962,1
198,9605,"Nonmatching","Father",1430,1.43,1
199,9605,"Nonmatching","Father",1075,1.075,1
200,9605,"Nonmatching","Father",1092,1.092,1
201,9605,"Nonmatching","Father",1074,1.074,1
202,9605,"Nonmatching","Father",1112,1.112,1
203,9605,"Nonmatching","Father",967,0.967,1
204,9605,"Nonmatching","Father",1275,1.275,1
205,9605,"Nonmatching","Father",807,0.807,1
206,9605,"Nonmatching","Father",1474,1.474,1
207,9605,"Nonmatching","Father",1241,1.241,1
208,9605,"Nonmatching","Father",1016,1.016,1
209,9605,"Nonmatching","Father",1164,1.164,1
210,9605,"Nonmatching","Father",1052,1.052,1
211,9605,"Nonmatching","Father",773,0.773,1
212,9605,"Nonmatching","Father",778,0.778,1
213,9605,"Nonmatching","Father",875,0.875,1
214,9605,"Nonmatching","Father",642,0.642,1
215,9605,"Nonmatching","Father",824,0.824,1
216,9605,"Nonmatching","Father",965,0.965,1
217,9605,"Nonmatching","Father",1433,1.433,1
218,9605,"Nonmatching","Father",712,0.712,1
219,9605,"Nonmatching","Father",1027,1.027,1
220,9605,"Nonmatching","Stranger",789,0.789,1
221,9605,"Nonmatching","Stranger",1155,1.155,1
222,9605,"Nonmatching","Stranger",1256,1.256,1
223,9605,"Nonmatching","Stranger",1048,1.048,1
224,9605,"Nonmatching","Stranger",1219,1.219,1
225,9605,"Nonmatching","Stranger",1289,1.289,1
226,9605,"Nonmatching","Stranger",1080,1.08,1
227,9605,"Nonmatching","Stranger",822,0.822,1
228,9605,"Nonmatching","Stranger",1311,1.311,1
229,9605,"Nonmatching","Stranger",1252,1.252,1
230,9605,"Nonmatching","Stranger",810,0.81,1
231,9605,"Nonmatching","Stranger",1496,1.496,1
232,9605,"Nonmatching","Stranger",824,0.824,1
233,9605,"Nonmatching","Stranger",1412,1.412,1
234,9605,"Nonmatching","Stranger",1079,1.079,1
235,9605,"Nonmatching","Stranger",1206,1.206,1
236,9605,"Nonmatching","Stranger",1417,1.417,1
237,9605,"Nonmatching","Stranger",1188,1.188,1
238,9605,"Nonmatching","Stranger",882,0.882,1
239,9605,"Nonmatching","Stranger",1016,1.016,1
240,9605,"Nonmatching","Stranger",998,0.998,1
