"X","Subject","Matching","Identity","ShapeLoc","RT_ms","RT_sec","ACC"
1,1,"Matching","Self",1,1117,1.117,1
2,1,"Matching","Self",1,1050,1.05,1
3,1,"Matching","Self",1,1167,1.167,1
4,1,"Matching","Self",1,784,0.784,1
5,1,"Matching","Self",1,1267,1.267,1
6,1,"Matching","Self",1,900,0.9,1
7,1,"Matching","Self",1,1167,1.167,1
8,1,"Matching","Self",1,1067,1.067,1
9,1,"Matching","Self",1,784,0.784,0
10,1,"Matching","Self",1,800,0.8,1
11,1,"Matching","Self",1,900,0.9,1
12,1,"Matching","Self",1,767,0.767,1
13,1,"Matching","Self",1,884,0.884,1
14,1,"Matching","Self",1,934,0.934,1
15,1,"Matching","Self",1,1017,1.017,1
16,1,"Matching","Self",1,1217,1.217,1
17,1,"Matching","Self",1,834,0.834,1
18,1,"Matching","Self",1,917,0.917,1
19,1,"Matching","Self",1,1050,1.05,1
20,1,"Matching","Self",1,717,0.717,1
21,1,"Matching","Self",1,867,0.867,1
22,1,"Matching","Self",1,784,0.784,1
23,1,"Matching","Self",1,817,0.817,1
24,1,"Matching","Self",1,917,0.917,1
25,1,"Matching","Self",1,867,0.867,1
26,1,"Matching","Self",1,1250,1.25,1
27,1,"Matching","Self",1,1484,1.484,1
28,1,"Matching","Self",1,1284,1.284,1
29,1,"Matching","Self",1,817,0.817,1
30,1,"Matching","Self",1,734,0.734,1
31,1,"Matching","Self",1,734,0.734,1
32,1,"Matching","Self",1,950,0.95,1
33,1,"Matching","Self",1,634,0.634,1
34,1,"Matching","Self",1,550,0.55,1
35,1,"Matching","Self",1,834,0.834,1
36,1,"Matching","Self",1,1167,1.167,0
37,1,"Matching","Self",1,800,0.8,1
38,1,"Matching","Self",1,1017,1.017,1
39,1,"Matching","Self",1,1017,1.017,1
40,1,"Matching","Self",1,869,0.869,1
41,1,"Matching","Self",1,1200,1.2,1
42,1,"Matching","Self",1,700,0.7,1
43,1,"Matching","Self",1,917,0.917,1
44,1,"Matching","Self",1,950,0.95,1
45,1,"Matching","Self",1,800,0.8,1
46,1,"Matching","Self",1,934,0.934,1
47,1,"Matching","Self",1,1100,1.1,1
48,1,"Matching","Self",2,767,0.767,1
49,1,"Matching","Self",2,767,0.767,1
50,1,"Matching","Self",2,1034,1.034,1
51,1,"Matching","Self",2,817,0.817,1
52,1,"Matching","Self",2,900,0.9,1
53,1,"Matching","Self",2,762,0.762,1
54,1,"Matching","Self",2,734,0.734,1
55,1,"Matching","Self",2,750,0.75,1
56,1,"Matching","Self",2,950,0.95,1
57,1,"Matching","Self",2,700,0.7,1
58,1,"Matching","Self",2,1150,1.15,1
59,1,"Matching","Self",2,767,0.767,1
60,1,"Matching","Self",2,784,0.784,1
61,1,"Matching","Self",2,1000,1,1
62,1,"Matching","Self",2,717,0.717,1
63,1,"Matching","Self",2,584,0.584,1
64,1,"Matching","Self",2,917,0.917,1
65,1,"Matching","Self",2,584,0.584,1
66,1,"Matching","Self",2,534,0.534,1
67,1,"Matching","Self",2,650,0.65,1
68,1,"Matching","Self",2,900,0.9,1
69,1,"Matching","Self",2,1100,1.1,1
70,1,"Matching","Self",2,784,0.784,1
71,1,"Matching","Self",2,817,0.817,1
72,1,"Matching","Self",2,734,0.734,1
73,1,"Matching","Self",2,984,0.984,1
74,1,"Matching","Self",2,700,0.7,1
75,1,"Matching","Self",2,717,0.717,1
76,1,"Matching","Self",2,900,0.9,1
77,1,"Matching","Self",2,684,0.684,1
78,1,"Matching","Self",2,800,0.8,1
79,1,"Matching","Self",2,1184,1.184,1
80,1,"Matching","Self",2,984,0.984,1
81,1,"Matching","Self",2,1017,1.017,0
82,1,"Matching","Self",2,950,0.95,1
83,1,"Matching","Self",2,917,0.917,1
84,1,"Matching","Self",2,767,0.767,1
85,1,"Matching","Self",2,1234,1.234,1
86,1,"Matching","Self",2,1317,1.317,0
87,1,"Matching","Self",2,1015,1.015,1
88,1,"Matching","Self",2,684,0.684,1
89,1,"Matching","Self",2,1084,1.084,1
90,1,"Matching","Self",2,784,0.784,1
91,1,"Matching","Self",2,850,0.85,1
92,1,"Matching","Self",2,750,0.75,1
93,1,"Matching","Stranger",1,1483,1.483,1
94,1,"Matching","Stranger",1,1350,1.35,1
95,1,"Matching","Stranger",1,1250,1.25,1
96,1,"Matching","Stranger",1,1350,1.35,1
97,1,"Matching","Stranger",1,634,0.634,1
98,1,"Matching","Stranger",1,1200,1.2,0
99,1,"Matching","Stranger",1,1367,1.367,1
100,1,"Matching","Stranger",1,1084,1.084,1
101,1,"Matching","Stranger",1,1285,1.285,1
102,1,"Matching","Stranger",1,834,0.834,1
103,1,"Matching","Stranger",1,884,0.884,0
104,1,"Matching","Stranger",1,817,0.817,1
105,1,"Matching","Stranger",1,1250,1.25,1
106,1,"Matching","Stranger",1,1100,1.1,0
107,1,"Matching","Stranger",1,934,0.934,1
108,1,"Matching","Stranger",1,1084,1.084,0
109,1,"Matching","Stranger",1,1117,1.117,1
110,1,"Matching","Stranger",1,733,0.733,0
111,1,"Matching","Stranger",1,1017,1.017,0
112,1,"Matching","Stranger",1,1334,1.334,1
113,1,"Matching","Stranger",1,934,0.934,1
114,1,"Matching","Stranger",1,1034,1.034,1
115,1,"Matching","Stranger",1,1017,1.017,1
116,1,"Matching","Stranger",1,1050,1.05,0
117,1,"Matching","Stranger",1,1067,1.067,1
118,1,"Matching","Stranger",1,867,0.867,1
119,1,"Matching","Stranger",1,1000,1,0
120,1,"Matching","Stranger",1,1350,1.35,1
121,1,"Matching","Stranger",1,1067,1.067,1
122,1,"Matching","Stranger",1,1250,1.25,1
123,1,"Matching","Stranger",1,667,0.667,1
124,1,"Matching","Stranger",1,1435,1.435,1
125,1,"Matching","Stranger",1,1250,1.25,1
126,1,"Matching","Stranger",1,934,0.934,1
127,1,"Matching","Stranger",1,1017,1.017,1
128,1,"Matching","Stranger",1,1217,1.217,1
129,1,"Matching","Stranger",1,1117,1.117,1
130,1,"Matching","Stranger",1,1034,1.034,1
131,1,"Matching","Stranger",1,1017,1.017,1
132,1,"Matching","Stranger",1,1234,1.234,1
133,1,"Matching","Stranger",1,884,0.884,1
134,1,"Matching","Stranger",1,1117,1.117,1
135,1,"Matching","Stranger",1,1100,1.1,1
136,1,"Matching","Stranger",1,1432,1.432,1
137,1,"Matching","Stranger",1,1384,1.384,1
138,1,"Matching","Stranger",2,1200,1.2,1
139,1,"Matching","Stranger",2,1350,1.35,0
140,1,"Matching","Stranger",2,1083,1.083,0
141,1,"Matching","Stranger",2,1483,1.483,1
142,1,"Matching","Stranger",2,1117,1.117,1
143,1,"Matching","Stranger",2,1067,1.067,1
144,1,"Matching","Stranger",2,1100,1.1,1
145,1,"Matching","Stranger",2,934,0.934,1
146,1,"Matching","Stranger",2,950,0.95,1
147,1,"Matching","Stranger",2,1117,1.117,1
148,1,"Matching","Stranger",2,667,0.667,1
