"Subject","Shape","Matching","Label_Identity","Origin_Identity","English_Identity","Standarlized_Identity","Group","RT_ms","RT_sec","ACC"
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",437,0.437,0
2,"Self","Matching","Self","Self","Self","Self","2",367,0.367,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",374,0.374,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",542,0.542,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",543,0.543,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",789,0.789,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",912,0.912,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",525,0.525,1
2,"Self","Matching","Self","Self","Self","Self","2",692,0.692,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",636,0.636,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",538,0.538,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",473,0.473,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",644,0.644,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",663,0.663,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",487,0.487,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",607,0.607,1
2,"Self","Matching","Self","Self","Self","Self","2",455,0.455,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",677,0.677,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",471,0.471,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",467,0.467,0
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",559,0.559,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",558,0.558,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",674,0.674,1
2,"Self","Matching","Self","Self","Self","Self","2",550,0.55,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",461,0.461,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",494,0.494,0
2,"Self","Matching","Self","Self","Self","Self","2",437,0.437,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",473,0.473,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",510,0.51,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",819,0.819,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",428,0.428,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",659,0.659,1
2,"Self","Matching","Self","Self","Self","Self","2",490,0.49,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",593,0.593,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",494,0.494,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",338,0.338,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",498,0.498,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",676,0.676,1
2,"Self","Matching","Self","Self","Self","Self","2",513,0.513,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",668,0.668,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",660,0.66,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",475,0.475,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",541,0.541,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",688,0.688,1
2,"Self","Matching","Self","Self","Self","Self","2",350,0.35,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",472,0.472,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",644,0.644,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",640,0.64,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",603,0.603,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",564,0.564,1
2,"Self","Matching","Self","Self","Self","Self","2",502,0.502,1
2,"Self","Matching","Self","Self","Self","Self","2",471,0.471,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",503,0.503,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",671,0.671,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",520,0.52,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",561,0.561,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",667,0.667,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",533,0.533,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",729,0.729,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",0,0,0
2,"Self","Nonmatching","Friend","Self","Self","Self","2",535,0.535,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",471,0.471,0
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",632,0.632,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",493,0.493,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",509,0.509,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",461,0.461,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",468,0.468,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",495,0.495,1
2,"Self","Matching","Self","Self","Self","Self","2",758,0.758,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",395,0.395,1
2,"Self","Matching","Self","Self","Self","Self","2",410,0.41,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",294,0.294,0
2,"Self","Nonmatching","Friend","Self","Self","Self","2",588,0.588,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",497,0.497,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",424,0.424,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",473,0.473,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",671,0.671,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",587,0.587,1
2,"Self","Matching","Self","Self","Self","Self","2",449,0.449,1
2,"Self","Matching","Self","Self","Self","Self","2",472,0.472,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",548,0.548,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",615,0.615,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",467,0.467,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",0,0,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",461,0.461,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",649,0.649,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",611,0.611,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",506,0.506,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",569,0.569,1
2,"Self","Matching","Self","Self","Self","Self","2",521,0.521,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",507,0.507,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",627,0.627,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",467,0.467,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",800,0.8,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",531,0.531,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",656,0.656,1
2,"Self","Matching","Self","Self","Self","Self","2",602,0.602,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",452,0.452,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",603,0.603,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",549,0.549,1
2,"Self","Matching","Self","Self","Self","Self","2",444,0.444,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",510,0.51,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",461,0.461,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",624,0.624,1
2,"Self","Matching","Self","Self","Self","Self","2",622,0.622,0
2,"Self","Nonmatching","Friend","Self","Self","Self","2",505,0.505,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",784,0.784,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",468,0.468,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",428,0.428,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",720,0.72,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",591,0.591,1
2,"Self","Matching","Self","Self","Self","Self","2",395,0.395,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",577,0.577,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",691,0.691,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",726,0.726,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",656,0.656,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",481,0.481,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",432,0.432,0
2,"Self","Matching","Self","Self","Self","Self","2",515,0.515,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",527,0.527,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",552,0.552,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",624,0.624,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",759,0.759,1
2,"Self","Matching","Self","Self","Self","Self","2",393,0.393,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",598,0.598,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",484,0.484,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",715,0.715,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",445,0.445,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",547,0.547,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",469,0.469,1
2,"Self","Matching","Self","Self","Self","Self","2",399,0.399,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",713,0.713,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",517,0.517,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",680,0.68,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",552,0.552,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",727,0.727,1
2,"Self","Matching","Self","Self","Self","Self","2",746,0.746,0
2,"Self","Matching","Self","Self","Self","Self","2",391,0.391,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",507,0.507,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",521,0.521,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",858,0.858,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",494,0.494,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",327,0.327,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",552,0.552,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",700,0.7,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",583,0.583,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",623,0.623,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",839,0.839,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",727,0.727,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",538,0.538,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",613,0.613,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",460,0.46,1
2,"Self","Matching","Self","Self","Self","Self","2",469,0.469,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",568,0.568,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",494,0.494,1
2,"Self","Matching","Self","Self","Self","Self","2",512,0.512,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",392,0.392,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",555,0.555,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",718,0.718,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",430,0.43,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",565,0.565,1
2,"Self","Matching","Self","Self","Self","Self","2",508,0.508,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",485,0.485,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",488,0.488,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",658,0.658,1
2,"Self","Matching","Self","Self","Self","Self","2",439,0.439,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",435,0.435,0
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",528,0.528,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",502,0.502,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",544,0.544,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",583,0.583,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",539,0.539,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",1044,1.044,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",458,0.458,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",528,0.528,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",653,0.653,0
2,"Self","Matching","Self","Self","Self","Self","2",579,0.579,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",672,0.672,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",594,0.594,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",701,0.701,1
2,"Self","Matching","Self","Self","Self","Self","2",517,0.517,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",589,0.589,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",454,0.454,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",633,0.633,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",587,0.587,1
2,"Self","Matching","Self","Self","Self","Self","2",501,0.501,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",635,0.635,0
2,"Self","Matching","Self","Self","Self","Self","2",611,0.611,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",814,0.814,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",601,0.601,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",477,0.477,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",460,0.46,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",638,0.638,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",663,0.663,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",448,0.448,1
2,"Self","Matching","Self","Self","Self","Self","2",667,0.667,1
2,"Stranger","Nonmatching","Friend","Stranger","Stranger","Stranger","2",624,0.624,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",735,0.735,0
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",600,0.6,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",0,0,0
2,"Self","Nonmatching","Friend","Self","Self","Self","2",464,0.464,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",599,0.599,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",623,0.623,1
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",710,0.71,1
2,"Self","Matching","Self","Self","Self","Self","2",588,0.588,1
2,"Self","Nonmatching","Friend","Self","Self","Self","2",712,0.712,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",649,0.649,0
2,"Friend","Matching","Friend","Friend","Friend","Close","2",632,0.632,1
2,"Stranger","Matching","Stranger","Stranger","Stranger","Stranger","2",470,0.47,1
2,"Stranger","Nonmatching","Self","Stranger","Stranger","Stranger","2",382,0.382,0
2,"Friend","Nonmatching","Stranger","Friend","Friend","Close","2",700,0.7,1
2,"Self","Matching","Self","Self","Self","Self","2",498,0.498,1
2,"Self","Nonmatching","Stranger","Self","Self","Self","2",515,0.515,1
2,"Friend","Nonmatching","Self","Friend","Friend","Close","2",594,0.594,1
2,"Friend","Matching","Friend","Friend","Friend","Close","2",498,0.498,1
