Shape,Label,ShapeLoc,Condition,FaceIdentity,Stimulus,Strength,textColour,resp,rt,Exclude,corr,nCorr,trialinBlock,BlankFrames,Block,6. Stimuli Type (Self = Negative/Self = Positive),4. Handedness,3. Age,5. First Language,2. Gender,Subject
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,1.233528638,0,1,59,68,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.750214078,0,1,60,69,70,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,1.033530376,0,1,61,70,75,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.833534876,0,1,62,71,64,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,1.366844364,0,1,63,72,68,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.950200892,0,1,64,73,58,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,1.06685072,0,1,65,74,67,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.800210979,0,1,66,75,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.066868091,0,1,67,76,49,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.700206123,0,1,68,77,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.100232258,0,1,69,78,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.816876876,0,1,70,79,60,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,1.08352096,0,1,71,80,56,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,0.883531777,0,1,72,81,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,0.933549207,0,1,73,82,74,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,0.983578482,0,1,74,83,73,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,0.950199313,0,1,75,84,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,1.083524908,0,1,76,85,51,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,0.916874231,0,1,77,86,64,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,1.285229477,0,1,78,87,52,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,0.833548694,0,1,79,88,49,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,1.150185731,0,1,80,89,50,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.766885107,0,1,81,90,57,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.116878415,0,1,82,91,61,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.90020557,0,1,83,92,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.766881159,0,1,84,93,50,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.900306638,0,1,85,94,65,1,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.816904116,0,1,86,95,75,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.766864183,0,1,87,96,48,1,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.86496573,0,1,1,1,50,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.800219664,0,1,2,2,72,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,0.816975574,0,1,3,3,63,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,k,0.883548753,0,0,3,4,51,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,0.666840377,0,1,4,5,67,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.866957868,0,1,5,6,72,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.916877389,0,1,6,7,52,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.783575086,0,1,7,8,48,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.733612138,0,1,8,9,60,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,1.516822433,0,1,9,10,50,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,1.000207663,0,1,10,11,68,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.333579686,0,1,11,12,56,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,1.10020936,0,1,12,13,75,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,1.450169506,0,1,13,14,52,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.866889963,0,1,14,15,63,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,0.950196944,0,1,15,16,69,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.116857491,0,1,16,17,52,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.850206695,0,1,17,18,71,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,1.033576962,0,1,18,19,71,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.100220414,0,1,19,20,58,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.766894187,0,1,20,21,74,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,0.816882008,0,1,21,22,59,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,0.883530988,0,1,22,23,67,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.033581304,0,1,23,24,48,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.93354526,0,1,24,25,62,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.965018356,0,1,25,26,74,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.283487244,0,1,26,27,69,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.383518946,0,1,27,28,59,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,0.866876145,0,1,28,29,74,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.583484441,0,1,29,30,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.200196845,0,1,30,31,62,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,1.250223356,0,1,31,32,67,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,0.916881731,0,1,32,33,57,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,k,1.100208965,0,0,32,34,75,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,1,StrangerStrong,Strong,white,l,0.933514071,0,1,33,35,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,0.866874566,0,1,34,36,58,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,1.016876718,0,1,35,37,55,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,k,1.083514643,0,0,35,38,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,0.930512046,0,1,36,39,50,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.050215223,0,1,37,40,70,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.100224362,0,1,38,41,63,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.216880902,0,1,39,42,55,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,0.800272172,0,1,40,43,76,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.216836685,0,1,41,44,63,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.916929502,0,1,42,45,60,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.200151444,0,1,43,46,48,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,k,1.150192048,0,0,43,47,76,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,2,StrangerWeak,Weak,white,k,1.316849832,0,1,44,48,66,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,None,None,1,3,44,49,68,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,0.833543562,0,1,45,50,53,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.716915052,0,1,46,51,68,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,0.583549977,0,1,47,52,76,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.933535784,0,1,48,53,58,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,l,1.116909604,0,1,49,54,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,1,StrangerStrong,Strong,white,l,1.283516064,0,1,50,55,72,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.916902261,0,1,51,56,70,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.468488411,0,1,52,57,72,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Bottom,Mismatch,1,StrangerStrong,Strong,white,k,1.183536476,0,1,53,58,75,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.783531659,0,1,54,59,54,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,2,SelfWeak,Weak,white,k,1.200181843,0,1,55,60,49,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,1.183590168,0,1,56,61,68,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,l,1.183490284,0,0,56,62,48,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,1.050184034,0,1,57,63,50,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.716927686,0,1,58,64,52,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Top,Match,2,StrangerWeak,Weak,white,k,0.733493699,0,0,58,65,58,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,2,SelfWeak,Weak,white,l,0.866876935,0,1,59,66,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.916861202,0,1,60,67,69,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.583551951,0,1,61,68,54,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.533557024,0,1,62,69,60,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.750257111,0,1,63,70,58,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.083527277,0,1,64,71,55,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,2,StrangerWeak,Weak,white,k,0.800211768,0,1,65,72,65,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,l,1.116869335,0,1,66,73,72,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,1,SelfStrong,Strong,white,l,0.650210801,0,1,67,74,49,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Bottom,Mismatch,1,SelfStrong,Strong,white,k,0.848361816,0,1,68,75,62,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Self,Top,Mismatch,1,StrangerStrong,Strong,white,k,0.800213742,0,1,69,76,60,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.433491765,0,1,70,77,62,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Top,Match,1,SelfStrong,Strong,white,l,0.783577455,0,1,71,78,63,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Self,Bottom,Match,2,SelfWeak,Weak,white,l,1.550211472,0,1,72,79,74,2,Self = Positive,Right,24,Ukrainian,Male,1
Stranger,Stranger,Bottom,Match,2,StrangerWeak,Weak,white,k,0.733544233,0,0,72,80,61,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,1,SelfStrong,Strong,white,k,0.950446849,0,1,73,81,74,2,Self = Positive,Right,24,Ukrainian,Male,1
Self,Stranger,Top,Mismatch,2,SelfWeak,Weak,white,k,1.38516327,0,1,74,82,74,2,Self = Positive,Right,24,Ukrainian,Male,1
